,影片名,评论内容,评论人,推荐星数,有用数
0,21克拉,"这篇影评可能有剧透

                        总结 1，女主表情夸张且生硬。2，剧情单薄牵强。3，三观不正。4，只要需要配合剧情可以无视现实。 例举1，女主全程一个脸，无甚大的表情波动，台词像背书。 2，故事大概是一男一女不知道做了什么的事情，最后在一起了。 3，本来就普通家庭，不想做被小三，但还是想拿着奢侈品和...

                        ?(展开)",S_unny,很差,353
1,21克拉,"这篇影评可能有剧透

                        《21克拉》影片剧情真的挺烂的，就是东拼西凑，各种蹩脚剧情突如其来，关键性转折毫无逻辑，而且老套，无聊。听说这是用话剧改编的，感觉剧本根本撑不起大电影，整体观感很尴尬，从头尬到尾，搞笑部分也很生硬，就是在强行搞笑。其实看得出演员很认真在演，可还是挽救不了剧本...

                        ?(展开)",如鱼得水,较差,159
2,21克拉,"这篇影评可能有剧透

                        影片《21克拉》郭京飞、迪丽热巴首次搭档，演绎“经济适用男”与“拜金女”在魔都的爱情故事。因破产还债变卖自己所有奢侈品的刘佳音与为了省钱无所不用其极的王继伟，在一系列机缘巧合下合租一个屋檐，继而开始了荒诞生活，影片借“经济适用男”王抠抠和“破产拜金女”刘买买...

                        ?(展开)",吉静,还行,123
3,21克拉,"影片讲述了因破产还债变卖自己所有奢侈品的刘佳音与为了省钱无所不用其极的王继伟，在一系列机缘巧合下合租一个屋檐，继而开始了荒诞生活的故事。 本来以为会是很一般很一般的一部电影，因为这种电影给我的总体感觉就没什么特别好的印象，只是无聊的时候娱乐一下的一部影片。但...

                        ?(展开)",吧啦吧啦,推荐,53
4,21克拉,"从很久之前就很喜欢他，演技好还很自然，台词好，人也很好玩，就嗯长得不行，但是不重要，这部电影大部分的戏都是靠他带起走才能维持。 我不是说迪丽热巴不行，但是演技演演小古偶还行，上大荧幕还是有点不行。 剧情其实是很简单的，旧瓶装新酒，两主演共同创业合租一个屋子，...

                        ?(展开)",自掘坟墓,还行,202
5,21克拉,"说实话，在踏入电影院之前，我对这部电影是满怀期待的。 但直到结束字幕升起的那一刻，我都不愿承认自己被！骗！了！ 怎么说？这要从我看电影的“陋习”说起。 为了躲避烂片，我看电影前一般都会去豆瓣先消个毒。 结果一看，短评处都是清一色的五星+四星好评！ 顿时兴趣飙升：...

                        ?(展开)",倪小猩,很差,44
6,21克拉,"荒诞可以，但你不能太荒谬。女主毫无来由跑进剧院是闹哪样？出了车祸她还能迅速美美的走出医院？菜市场的Rap也让人一脸懵逼。最后，为了不让女主背负“拜金”的骂名，硬是把情节走向往回掰，也不管是否牵强。整部电影就像一身奢侈品的热巴一样，光彩照人却弱到虚脱。提名：最烂...

                        ?(展开)",纶子,很差,39
7,21克拉,"剧情太过狗血  太不现实  整体来说太过拖拉  整段剧情前面大部分都在啰嗦 该交代的没交代清除  埋的伏笔最后也令人失望  大鹏的贝总还是听令人惊喜 不愧喜剧出身  一出场就有种想笑的感觉  不过这个人物为什么之前那么强势想带刘佳音走二最后又轻易的放开她 挺不理解的  还有包...

                        ?(展开)",喵喵爱吃火锅,很差,17
8,21克拉,"剧情虽然简单点，但里面还是有很多启迪和精华的: 为什么我这么独立，什么都没有要，你也不想和我结婚，可能真的是玩玩而已吧，我这么好，会找更好的，离开你是我这辈子做出的最正确的决定！ 刚看完电影过来看看豆瓣评价，实在不吐不快。豆瓣评分里面整体评分5.0分，甚至出现各...

                        ?(展开)",花吖,还行,50
9,21克拉,"这篇影评可能有剧透

                        电影《21克拉》用极致的人物设定及表演风格探讨了爱情的真谛，郭京飞、迪丽热巴首次搭档，饰演“经济适用男”与“拜金女”。影片故事挺简单，但也蛮轻松搞笑的！一个抠门，一个爱花钱，两种极致的人物性格，而电影就是想用这极致的人物设定以及表演风格，来探讨关于爱情的真谛...

                        ?(展开)",敏莉Lily,推荐,157
10,21克拉,"这篇影评可能有剧透

                        整部电影的剧情让我觉得有点匪夷所思。女主因为和自己的富豪男朋友分手，所有的财产被冻结，一夜之间破产，而因为巧合与男主认识，并且一起生活了一段时间，然后就相互喜欢，然后就在一起了……然后？？？ 觉得郭京飞的演技真的浪费了，不过作为一部喜剧，还是存在一些笑点的，...

                        ?(展开)",头发没了,还行,47
11,21克拉,"实在受不了这种为了流量而电影，为了赚粉丝钱而拍的东西了。承认现在很多心智没成熟的小孩追星真的很拼，粉丝行为太夸张了，稍微说一点不好。整个就被粉丝喷死。。。不好就是不好，演技为负，为负好嘛。也就骗骗小孩子。等过一两年，或者最多两三年，那些小孩长大，就会发现之...

                        ?(展开)",aluilui2011,很差,19
12,21克拉,"穷，怎么能开心呢？ 其实这就要感谢我们汉语的博大精深了，“穷开心”中的“穷”并不是当没钱的解释，而是“终极、终端”来解释，穷工极巧、穷凶极恶的示例。所以“穷开心”这个词，意思就是非常开心，而不是因为穷才开心。 不过《21克拉》中这一对儿，不单单很开心，而且是真...

                        ?(展开)",乌鸦火堂,还行,166
13,21克拉,"因为热巴看了一下 中规中矩吧，不管是演技剧情还是人设，看了开头知道整个走向，80%以上剧情都能猜出来 爆米花电影，打发时间看看还可以，还可以用来粉丝舔屏 迪丽热巴这里面的人设妥妥高雯2.0，毫无新意，她抱着包包不撒手的时候真的有种在看克拉恋人的感觉……咦？刚发现电影...

                        ?(展开)",一個意亂情迷的,推荐,30
14,21克拉,"故事并不复杂，不过还挺戳人的。故事把矛盾点设置在了“抠抠”“买买”的冲突对立上，价值观的碰撞也是影片的笑点和泪点所在。郭京飞的角色满嘴省钱经，精打细算的模样和他有种迷之契合。热巴的角色很讨喜，拜金但是被她演的很可爱，两人相互斗贫打嘴炮，很有梗。后半段的感情...

                        ?(展开)",风琴,较差,31
15,21克拉,"每次喊女主的名字佳音时，我就开始跳戏，这是我难受的点，也是我觉得搞笑的点。然后脑子里想的是他们什么能合作一次喜剧。。。 人与人相处 很多时候价值观世界观都会不一样，相处久了，总会被同化一些，这也是大家说的在一起久了的人会有夫妻相，但是是谁为谁改变呢，女主最开...

                        ?(展开)",岁月神偷,还行,41
16,21克拉,"这篇影评可能有剧透

                        郭京飞，一看见他我就想笑，哈哈。二代妖精里认识他，自带bgm，演技挺好，不尴尬，搞笑也很自然。 迪丽热巴，从芙蕖小师妹到高雯到烈如歌，也挺好的，就是电影里多少还是有高雯的影子，可能跟人设也有关系吧。 两个相对比较对立的人物设定，一个抠，一个花钱如流水，又是怎么相...

                        ?(展开)",墨里写繁花,还行,37
17,21克拉,"这篇影评可能有剧透

                        纯粹为了女主名字看的 后来听朋友说是话剧改编的 看完又好想看话剧哇 真的被笑死 刚开始就被女主名字吸引了 佳音 让我不得不想起来雷佳音 还有郭京飞 我感觉可能会很搞笑 就怀着好奇的心情去了电影院 果然 笑死 剧里女主是很爱花钱的那种 男主是很抠那种 阴差阳错的住到一个屋...

                        ?(展开)",嘟嘟爱啊啊,推荐,236
18,21克拉,"剧情比较简单，有几个桥段还是挺有意思的。看得出布景镜头啥都挺简陋的，花钱不多。最大的问题是节奏把握得不太好，可能是话剧导演的缘故，开头交代剧情很快，什么封房进警局都一笔带过，两个人面对面说话的情节就拍得很仔细，让人感觉是个情景剧。后半段剧情发展得还比较顺，...

                        ?(展开)",谁啊是谁啊,还行,29
19,21克拉,"本来剧情的立意应该是不错的，但是只能说太俗套了，没有创新没有新意看起来就很无聊，不值得花一张电影票钱去坐到电影院里看。 整部电影就围绕男女主两个人展开，女主和男友分手而破产，失去了一切，然后因为一场意外，男主和女主联系到了一起，然后两人在一起共患难度过了很多...

                        ?(展开)",樱桃咻咻咻,较差,52
20,21克拉,"一部小成本典型商业圈钱电影，宣发手段恶劣，盗号刷数据等低贱手段事件还在发酵。看了电影，剧情老套狗血，人设恶搞拜金等人设。不堪入目。这种电影毫无欣赏价值。和其他类型电影简直就是如出一撤大同小异，故事情节简单低俗幼稚毫无逻辑，只能给这个评分了。中肯的评价。说是...

                        ?(展开)",什么都不敢说,很差,15
