,影片名,评论内容,评论人,推荐星数,有用数
0,三傻大闹宝莱坞,"我最喜欢的一位单口相声表演者叫Russell Peters，他是加拿大第二代印度移民，专长于种族笑话，又善模仿各种族裔的口音，不管是中国人、印度人还是意大利人，他都能找到突出特色予以模仿夸张，在逗得观众哈哈大笑之余留下悠远回味，一边佩服他观察细致入微，一边咂摸各个种族的...

                        ",艾小柯,推荐,3625
1,三傻大闹宝莱坞,"

                            有识之士路过请原谅我把这两部电影放在一起比较，事情的起因是前几天我向别人推荐了一部除了名字翻译得恶俗，内容却属上乘的印度电影佳作《三傻大闹宝莱坞（three idiots）》，结果居然被贬成还不如《人在囧途》，对于此人的艺术欣赏水平我只能用影片里的一句话形容——剧...

                        ",意识变态,力荐,2991
2,三傻大闹宝莱坞,"“他的人和名字一样不同寻常” “一出生就有人告诉我们，生活是场赛跑，不跑快点就会惨遭蹂躏，哪怕是出生，我们都得和3亿个精子赛跑” “一切顺利，一切顺利……” “盐水具有极强的导电性，初二物理知识，我们都学过，只有他会应用。” “噪鹃从来不自己筑巢，他只在别人...

                        ",To三儿,力荐,2083
3,三傻大闹宝莱坞,"All is well！ 口音很重的英语，听久了，却能给人会心的微笑。 当我们的导演都在铺张大场面，玩特技的时候，看看印度，这个一度，甚至现在，都被我们嘲笑的国家，这个落后，贫穷，拥挤的国家，生产出了怎样的艺术，生产出了怎样的激动人心的作品。 让我们看看这部电影颂扬了什...

                        ",巴斯特德,力荐,2342
4,三傻大闹宝莱坞,"我很想说豆瓣你真没眼光。亦或是眼光太高。让我羞于写影评的人都要为它写些什么赞颂一番。  　　  　　两个小时的片长，无半点拖沓的就把故事轻松的讲完了，有喜有泪，故事简单道理易懂，可升华到片中人物的境界怕是要活个三五十年尝尽人间冷暖才能领悟到。如果说这个世界太浮...

                        ",°葫芦娃你站住,力荐,753
5,三傻大闹宝莱坞,"梦醒之后是现实                        ——Three Idiots 叙事分析与意识形态批评  2009年上映的印度电影Three Idiots（又名《三傻大闹宝莱坞》、《三个傻蛋》、《寻找兰彻》，由拉库马?希拉尼（Rajkumar Hirani）执导，改编自印度畅销书作家奇坦?巴哈特（Chetan Bhagat...

                        ",夏笳,推荐,396
6,三傻大闹宝莱坞,"前几天在看一篇关于1992年美国共和党和民主党竞选的文章，其中提到这么一句话：虚构般美好的事情，只能在虚构的媒介中达成。说的是共和党提倡的家庭观念导致选票下滑，以至于败给民主党的事情。不免在论述中提到政治概念隐性灌输的方式，其中最行之有效又不容易引起抵触心理的...

                        ",付玲,较差,552
7,三傻大闹宝莱坞,"“我就是因为考不上印度理工，才到麻省理工来的。”一位美国麻省理工学院的印度学生在开学时这样回答教授的提问，当时，教授看到新生里有一位来自印度，好奇地问：“你怎么会在这里？你的国家有印度理工学院，为什么不去那里呢？”     这是在印度理工学院的校友中广为流...

                        ",常减常肥的温绮,力荐,222
8,三傻大闹宝莱坞,"想说被这影片的名字给耽误了，神他么的宝莱坞什么鬼名字，看名字一点想看的欲望都没有好嘛。。。。。不过因为看了《摔跤吧，爸爸》后来看的，庆幸自己没有错过这么好的影片。很欢乐的印度励志喜剧，就是影片时间很长，但是故事情节足够精彩，虽然一言不合就尬舞什么的，反正看...

                        ",花怜要开车,力荐,76
9,三傻大闹宝莱坞,"

                        第一次看《三傻》(国语版）时是高中时期，老师放给我们看，当时只是觉得很搞笑。后来上了大学，把它推荐给同学，陪着同学再看一次时，却有了不一样的感受。 影片开头是两个好朋友法函和莱俱在去寻找另一个失散已久的兄弟兰彻，通过倒叙的方法，影片重现了他们三人在皇家工程学...

                        ",敏莉Lily,力荐,65
10,三傻大闹宝莱坞,"校长病毒可以定义为好人，他儿子进他们学校都被拒绝三次。 他不是不想让他儿子进，他非常希望他儿子能进去，可惜考不上，没办法的事。 他其实也有权利让他儿子进去，身为校长它却没有这么做，如果在XX国，压根不会这样。 他精力旺盛，老当益壮吧，不偏不倚、 双手写字、休息时...

                        ",背兔子的乌龟,推荐,96
11,三傻大闹宝莱坞,"故事内容积极上进，三位很要好的大学同学，法罕，拉加，和兰彻他们是为朋友。 由于兰彻么与众不同，让各方面都很出色的阿呆很不爽，他和兰彻约定10年后一绝高低，10年后事业有成的阿呆，想兑现诺方，找到了法罕和拉加，一起走上寻找兰彻之路，也发现了兰彻所不为人知的秘密。 ...

                        ",虹HongLi,推荐,43
12,三傻大闹宝莱坞,"《三傻大闹宝莱坞》是我本人很喜欢的一部电影。 我也相信喜欢看电影的朋友如果说起印度片的话第一个肯定会想起这部影片，虽然说电影的时长仍然近3小时候里边也穿插具有印度电影独有的歌舞，可是这部反应了社会阶层，教育层面和印度的婚嫁等众多社会现象的喜剧电影却并不让人觉...

                        ",是一颗小草啊,力荐,45
13,三傻大闹宝莱坞,"这算是我的看过的首部泰国电影，非常有意思。 片中的男主角是老师眼中的问题学生，别人眼中他歪理一大堆，而且经常做出令人啼笑皆非的事情。但事实上，主角是一个喜欢冒险探索和尝试新鲜事物的人，他热爱思考，尊重生命，富有同情心，并且智商很高。 显而易见，这样性格的主角...

                        ",老王豆瓣,推荐,43
14,三傻大闹宝莱坞,"

                        《三傻大闹宝莱坞》影片剧情紧凑曲折，风格幽默搞笑。片用幽默讽刺的手法来探讨各种社会问题，如自杀、贫富差距、拜金主义、填鸭式教育等等，影片均透过不同情节进行嘲讽和批判。同时电影不忘探讨人生的意义，无穷笑料以外亦不乏真挚情感，内容有欢笑、有泪水、有悬疑、有道理...

                        ",吉静,力荐,37
