,影片名,评论内容,评论人,推荐星数,有用数
0,东方快车谋杀案,"作为一个超过二十年粉龄的侦探小说粉（我既是福尔摩斯铁粉又是波洛铁粉，如假包换），我对片中波洛形象的刻画很失望。总的来说，这不是波洛啊，除了留着奇怪的小胡子以外，这根本就是福尔摩斯吧。 1.一上来就加了一个原著没有的小案子给波洛立威。案子的线索是脚印，然而原著中...

                        ",phoebe,较差,2344
1,东方快车谋杀案,"影片开端无味让人不禁失去兴趣 , 直到命案发生之后让我的心底生出一丝兴 奋的火花 , 然后故事转入侦探为破案而对乘客盘问 , 我也渐渐进入她的假想 , 走入 她预先安排好的圈套忽略了真实 , 随着案件的深入 , 我不断推翻自己所下的结论 , 最后的结果令我非常意外 . 想不到最后的...

                        ",沙与鸟,推荐,44
2,东方快车谋杀案,"推理好。但是看完了我却有了一个更大的疑问，如果死者是被凶手，也就是是整个车厢的十二个人，杀死的，在死者身上也看到了十几刀深浅不一大小不一的伤口，真的是每人一刀刺上去的吗？如果不是那到底是谁或者哪几个刺的？如果是每人一刀，那这么多人连续进出死者房间杀人侦探本...

                        ",-福仔-,还行,43
3,东方快车谋杀案,"

                        013|《东方快车谋杀案》 阿加莎·克里斯蒂，英国小说家和剧作家，被誉为“举世公认的侦探小说女王”。她最著名的作品之一，《东方快车谋杀案》曾先后多次被改编，登上大荧幕。比较著名的版本有1974年西德尼·吕美特执导的英国版，2010年《大侦探波洛》系列英剧第十二季第四集和...

                        ",Danny,较差,199
4,东方快车谋杀案,"吐槽完智商明显下线的情侣观众，还是来认真的聊聊电影本身。阿婆的原著自不必说，这已经是《东快》改编的第三版电影，有吕美特1974年版珠玉在前，这部《东快》真的是有点对不起原著在推理文学史上的地位。 核心问题在于两点，整部电影能够明显感到导演兼主演试图突出塑造波洛的...

                        ",Sai,还行,572
5,东方快车谋杀案,"大侦探在东方快车上巧破一桩谋杀奇案的故事。 波洛乘上东方快车，夜间三次被吵醒，第二天清晨便发现同车的美国富商雷切尔被人谋杀，死者被戳了12刀。波洛根据他所观察到的各种可疑迹象以及同车人士的讯问，并结合美国实行的12人陪审团制度等情况进行逻辑推理，成功地揭开了这起...

                        ",**,还行,36
6,东方快车谋杀案,"《雷神》和《灰姑娘》的英国导演、莎翁戏剧大师肯尼思·布拉纳（Kenneth Branagh）即将为20世纪福克斯公司翻拍阿加莎·克里斯蒂（Agatha Christie）的侦探悬疑小说《东方快车谋杀案》（Murder on the Orient Express）的消息。 福克斯宣布，肯尼思·布拉纳不仅将担任导演，同时...

                        ",烂人?浪女,推荐,30
7,东方快车谋杀案,"

                        跟朋友深夜一起看的这部电影，第二天讨论的时候，他说，感觉波洛跟陆小凤差不多。 这句话一语中的。我是第二天上午意识到，对于非原著党来说，这部电影虽然有可圈可点之处，但大概算不上一个精彩的侦探片。在看到一半的时候，几乎所有人都被明确暗示这起谋杀案和“阿姆斯特朗”...

                        ",朱欢尘,还行,16
8,东方快车谋杀案,"

                        今天晚上我去看了这一个月以来唯一走进电影院的电影《东方快车谋杀案》，我对它很失望，也许我的观点更多的倾向于不尊重原著，而忽略了非原著党观看电影本书可以看到的精彩程度，那就不好意思了，看过阿加莎克里斯蒂将近全部80本左右全部著作的我，实在接受不了，你将波洛拍成...

                        ",大钊ricardo,较差,61
9,东方快车谋杀案,"

                        从理性的角度讲我想丢出两颗星并肆意吐槽，但从个人喜好来说，我还是看得蛮开心的。这一切只是因为我的影品很差，而且并没有和原著、老版电影做任何对比。 去影院的公交车上恰好播放着以色列文化周的宣传广告，耶路撒冷、哭墙、死海，犹太大厨为你展示着琳琅满目的美食，相似的...

                        ",胡言一Pie,还行,50
10,东方快车谋杀案,"除了画面、特技有创新，艺术上、思想上，走得还是老一套，故事其实不重要，观众看的是演员的表演，导演的功力。观众可以很轻松的认识波洛，这个波洛像一个好莱坞类型片中的英雄，而不是我们所熟悉的那个小个子，整部影片弱化了推理，很多情节略过了推理过程，直接得出结论，不...

                        ",冰心,还行,17
11,东方快车谋杀案,"

                        印象最深的是临近结尾的部分，白茫茫的雪地里，侦探波洛拿着枪走向端坐在桌前的十三个嫌疑人，像极了《最后的晚餐》里，脸上各怀心事的门徒，可惜耶稣并不在其中。 从一开始波洛说的“要么是对的，要么是错的”，到命案的最后他得出了第三种结论，人性并不能单纯以对错来判断。...

                        ",顾羲,推荐,58
12,东方快车谋杀案,"美利坚又一次失败的非本土作品改编 让非原著党看得一脸懵 逻辑混乱神乎其神的硬扯派推理完全丧失了原著小说那种抽丝剥茧后恍然大悟的快感 让原著党了一脸喵喵喵？这演的哪里是那个和蔼可亲念念叨叨的比利时侦探波洛 这分明就是贝克街221b里住着的那个毒舌反社会侦探福尔摩斯 这...

                        ",春山冷,还行,179
13,东方快车谋杀案,"

                        如果不是翻拍，这个故事可以打四星，毕竟风景迷人，配乐精美、卡司庞大，结局还感人。  但是这是对鼎鼎大名的阿加莎·克里斯汀的翻拍阿，还是一部赫赫有名的经典著作。作为阿婆粉站在尊重原著的立场上，二星真的不能更多。枉费我双十一熬夜剁手后的清晨为这份翻拍的期待创造的...

                        ",杰西姐,较差,53
14,东方快车谋杀案,"

                        看完这部2017年的《东方快车谋杀案》，我感觉自己被喂屎了。  这不是一部经典的侦探推理电影，更像是一部披着侦探外衣的文艺片。  因为，我根本就没有看到任何推理的要素——正相反，我看到的是一个毛利小五郎式的傻侦探，理不清思绪，看不清迷雾，被自以为是的推断牵着走，甚...

                        ",青冥如风,很差,513
15,东方快车谋杀案,"周末看了《东方快车谋杀案》，说实话，有点失望。 虽然故事主线尊重原著，但包厢分配和人物性格上都与原著略有差别。 首先，在包厢分配问题上，结合原著中所有人物的证词，能轻松还原“凶手”的运动轨迹；其次，原著中经典的一审，二查，三诈，在电影里也生生地合并成几幕片段...

                        ",于玖月,还行,47
16,东方快车谋杀案,"

                        注：以2010电视剧版做对比，来讲“改编”这件事，而非与原著文字对比。不要误会。 波罗不喜欢长领带，非常懂礼仪和分寸，没有蓝眼睛和夸张的胡子，完全不会生硬地模仿比利时法语口气，称呼素未谋面的对方一定是monsieur、madmoiselle，爱吃蛋糕，吃两个一模一样大小的水煮蛋但...

                        ",南悠一,较差,93
17,东方快车谋杀案,"

                        题目出自《九三年·第四卷·母亲》；援引《圣经·马太福音·第三章》 【既然人家不肯给她指路，她不得不自己去找】。 在雨果的小说里，母亲如此走投无路。在最新版本的《东方快车谋杀案》里，因为一位伟大的女演员，母亲的痛苦再一次如此清晰和深邃。 推理小说里最重要的是什么...

                        ",本来老六,力荐,4
18,东方快车谋杀案,"朋友强烈推荐的，没看过小说，但觉得电影还不错，看似简单的故事情节，实则任务关系很复杂，故事主要围绕在一辆东方快车上，因为戴西的死亡，引发身边的的痛苦密谋杀死凶手策划的旅行，随着大侦探波洛对每个人物身份的确认，每个人和戴西家的关系，通过抽丝剥茧的分析，最终找...

                        ",jessica,推荐,26
19,东方快车谋杀案,"看过小说也知道结局的我，在观看这部戏时，还是得到了很多的乐趣。 主要可能来自于众多演员的诠释与表现，剧情很流畅，即使知道了剧情，心情也忍不住会随着剧情而起伏。  特别喜欢主角白罗，当时看小说时，没有特别喜欢白罗这个侦探， 但没想到诠释起来，竟然是这么有意思的一...

                        ",小狐狸,推荐,17
20,东方快车谋杀案,"

                        这是我看过的第三版东方快车谋杀案的电影，总体来说排第三名。 首先是人物造型，实在不理解胡子从鼻孔那里开始长并且长得比脸宽是什么审美，相比而言更喜欢英剧（大卫·苏切特）版本的造型。 （不黑，但是我全程都在盯着胡子和鼻孔的交界处，讲真这两个难道不像吗？？） （图片...

                        ",黄邹,还行,35
21,东方快车谋杀案,"日夜行驶、穿过冰雪的蒸汽火车，车厢上繁杂的雕花，做工考究的地毯，熠熠生辉的银器，丰盛的佳肴美酒，时尚复古的精致装扮，充满异域风情的动人旋律，这些元素给该片的视觉效果加分不少。和1974年西德尼·吕美特导演的版本相比，它不再是密闭空间的群戏，增加不少跑动场面，片...

                        ",鸥怩,还行,35
22,东方快车谋杀案,"#东方快车谋杀案#5.0。 名留文学史的推理小说是非常难改编成电影的，这是因为其经典很可能是源自其开创性的模式和在当时大胆的构思，一方面这个构思可能已广为人知或被后市作品借鉴而不新奇，另一方面除去这个经典核心的小说故事本身可能太简单或逻辑思路不够严谨，这对于看多...

                        ",问宝侠,较差,24
23,东方快车谋杀案,"

                        1.片头增加了一个小案子提现波洛牛逼，不过我走了个神没注意到怎么抓住的罪犯，只记得壁画上的脚印，和波洛一贯心理流，喜欢窝起来思考不喜欢到处奔波寻找线索的形象不符，还有莫名其妙的鸡蛋强迫症是什么鬼，初步显现ooc倾向。 2.原著医生被砍线，医生和上校合并成一个人，还...

                        ",V,还行,89
24,东方快车谋杀案,"从电影里看天下，看未来，看人生！喜欢就关注我吧 R君说 这应该是第五次《东方快车谋杀案》被搬上了银幕，如果算上日本和印度分别各自做了一次以自己国家为背景的作品。然而，令人尴尬的是，迄今为止，2017年的新版却是当前豆瓣评分最低的一部。7.1分的评价，对一部重头电影来...

                        ",RickyLIU,还行,13
25,东方快车谋杀案,"

                        从来没看过阿加莎的作品，也没看过以往改编的电影，所以不了解她笔下波洛是怎么样的，单纯说一下整部片子的观影感受好了。 这部片子的波洛侦探给我的感觉是比较感性的，虽然他自己总强调对他来说黑就是黑，白就是白，没有灰色地带。他是偶然乘上这辆火车的，因为临时要他去解决...

                        ",呆呆,推荐,10
26,东方快车谋杀案,"“我把它看作一个完美的拼花艺术，各人都扮演他（或她）所分配到的角色。一切都安排的十分巧妙。任何可能受到怀疑的人，都会有一个或几个人站出来替他作证。并把事情搅乱。” ------阿加莎克里斯蒂《东方快车谋杀案》 福尔摩斯和波洛，这是在全世界范围内最让人熟知的两大侦探...

                        ",白羊先生,推荐,33
27,东方快车谋杀案,"

                        日夜行驶、穿过冰雪的蒸汽火车，车厢上繁杂的雕花，做工考究的地毯，熠熠生辉的银器，丰盛的佳肴美酒，时尚复古的精致装扮，充满异域风情的动人旋律，这些元素给该片的视觉效果加分不少。和1974年西德尼·吕美特导演的版本相比，它不再是密闭空间的群戏，增加不少跑动场面，片...

                        ",仙女山的月亮,推荐,23
28,东方快车谋杀案,"最后才浮出水面的核心概念非常好，有创意，有思考。但从全片来看表现是相当失败的。几乎一切情节和推理都靠波洛一张嘴巴说说说，影像化严重不足，完全凭语言推动，不仅削弱观众参与感，而且显得混乱、没有说服力。演员们演技都很棒，唯一可以挑剔的就是偶尔过于戏剧化。 无论是...

                        ",糖果魔法师。,还行,17
29,东方快车谋杀案,"在一个严冬的夜晚，“东方”号快车从伊斯坦布尔开出。车上的乘客为数不多，其中就有大名鼎鼎的私家侦探波洛。第二天早上，人们发现美国富翁雷切特死在自己的包厢里，死者被戳了12刀。这显然是一起谋杀案。波洛感到事出蹊跷，应铁路公司之请立即展开调查。经询问所有乘客和唯一...

                        ",拥抱谎言拥抱你,力荐,19
30,东方快车谋杀案,"50/100。 如果是冲着演员去看，还是不要期待除肯尼斯·布拉纳之外的角色有太多银幕时间为好。虽然大侦探波洛应该戏份吃重，但这简直要拍成布拉纳本人的独角戏，到底还是出了自导自演最容易出的问题。 除此之外，上车前加的小案件没什么必要，而且未免有太福尔摩斯的嫌疑；局促...

                        ",墨雪飘·痕,较差,16
31,东方快车谋杀案,"? 纯个人感想     先说刚看完的新版，整个电影对场景的描绘很细致着墨很多，但个人感觉主演的台词表达的不够好。整个电影完全按照正常的逻辑发展，电影对波洛调查案件的过程没有太细致的表达，并且增加一些更为冲突的矛盾，整个电影看起来戏剧性更强一些。德普一如既往的演...

                        ",二二二祺 °,还行,1
32,东方快车谋杀案,"

                        个人观点 非喜勿扰 这版《东方快车谋杀案》评分不高，看了一下影评，负面评价有的来源于原著党的期望与失望，有的可能出于更为高深的专业视角......但小说和电影本身就是两种不同的艺术表现形式，改编也属于一种再创作，只有将一个故事反复重述，通过创造者和接受者的交替式传...

                        ",想枪枪~,推荐,19
33,东方快车谋杀案,"

                        新版东方列车拍得可真差呀，随便说几处。 1、可能导演并不知道自己拍的是波罗还是福尔摩斯。 2、配乐堪称全片最大败笔。经典的十二人杀人画面，竟然被导演配合以抒情曲裹挟昏昏欲睡的观众，试图渲染同情与升华正义。可他太天真了，就这配乐水平，我没别的想法，只想现场朗诵一...

                        ",cht.,较差,52
