,影片名,评论内容,评论人,推荐星数,有用数
0,亲爱的,"这篇影评可能有剧透

                        看完点映，我想给五星，并非片子已臻完美，而是为了这个题材。如果能够多一些这样的题材，以电影撬动（也许是敲动）现实，即便剧作不够完美剧情不够触动又如何？大陆的影院里可以放映这样的片子大牌的演员可以比较没顾忌（片酬和得奖压力）地出演这样的片子，即使商业立足点又...

                        ?(展开)",塔拉胡,力荐,6648
1,亲爱的,"《亲爱的》电影中唯一的恶，是李红琴早逝的、面目不清的丈夫。导演在一个安全的范围内讲述了这个真实的故事。但实际上，生活本身要比剧本复杂得多，在人贩子之外，警方的不作为和维Wen的权利机器构成了悲剧又一个触发的原因。  彭高峰寻子的时候一直在写寻子日记，家长集体进京...

                        ?(展开)",熊阿姨,力荐,2575
2,亲爱的,"田文军望着空荡荡的网吧，不知道该恨谁。        是恨自己生意失败，还是恨妻子没有尽到责任抛家弃子？        是恨自己一时贪心放进几个未成年小混混进网吧，还是恨抱走孩子的人贩子？         鲁晓娟在失子互助社的鼓励下痛哭，不知道该恨谁。        是恨自己开车时...

                        ?(展开)",飞天PP猪,力荐,1173
3,亲爱的,"昨天看了点映，看完之后最大的感觉是，陈可辛对这部电影、每个角色的评价都无比到位。看完之后就会知道他为什么说黄渤的表演非常准确，为什么说赵薇的表演是神来之笔，为什么会说这是一部温暖的电影。 其实除了黄渤之外，这部电影的每个演员应该说都非常准确。因为编剧非常的厉...

                        ?(展开)",moonlight,力荐,1035
4,亲爱的,"这篇影评可能有剧透

                        编剧匠心独到，同样是根据真实故事改变，比起上一部《中国合伙人》进步太多。  表面上，电影讲了一个亲情和法则规章的故事，这两个是传统戏剧冲突的老题材。而精明的地方，其实埋了一个坚持和换位思考的问题，而这后两者却是关于人性的思考。  先说坚持，影片一开始就不断在时...

                        ?(展开)",hedgehog,力荐,784
5,亲爱的,"评价《亲爱的》是件矛盾的事。 但有一点可以肯定，无论相比挨刀子的《投名状》或反被聪明误的《武侠》，这部电影并不坏。哪怕是第一观感以及价值取向上，它也比《中国合伙人》要端正得多，应该值得推荐。 陈可辛变通求生存的功力令人刮目，作为一个纯内地化的社会问题选材，陈...

                        ?(展开)",木卫二,还行,383
6,亲爱的,"这篇影评可能有剧透

                        赵薇在《亲爱的》里奉献了影后级的演出，她把一个满口土话刻意扮丑的山村妇女李红琴塑造得丝丝入扣，这位在一个多小时以后才出场的人物当仁不让的成为影片的女主角，看过电影你才明白，这绝不是因为赵薇的明星地位，而是因为李红琴这个人物，她的亮相让整部影片从“打拐”进入...

                        ?(展开)",图宾根木匠,推荐,272
7,亲爱的,"我至今还记得小时候的一件事：一次在外面玩耍时，我抓了一只羽毛未丰的小麻雀，欣喜地带回家养。无奈小麻雀什么都不吃，隔壁爷爷教了一条妙招，让我用一条绳子系住小麻雀的脚，拴在窗台外面，麻雀妈妈自然会来喂。我照做，果然小麻雀在窗口啾啾地叫，不多久便看见麻雀一家冒着...

                        ?(展开)",夏笳,推荐,170
8,亲爱的,"这篇影评可能有剧透

                        韩总因为出生证和办事机关大吵一架之后，在鹏鹏生日会上宣布老婆怀孕了，合法的，从影片的基调看，个人是对抗不了制度的，所以其实韩总其实是为丢失的孩子开了死亡证明才“合法”，所以他狠狠的亲吻鹏鹏，包含了对失去孩子的告别、愧疚，最后在曾经为之坚守的寻亲组织的歌声中...

                        ?(展开)",苹果大人,力荐,201
9,亲爱的,"这篇影评可能有剧透

                        被问起我为什么会跑来电影院看这部电影时，我竟一时语塞。我压根儿没考虑过这问题。华语片不大常有这种能让我轻易做出判断“决定是你了！”然后义无反顾的买票去看的。上一次还是将近两个月前的《绣春刀》，就凭借片名我就认定电影很靠谱。至于这部《亲爱的》，去年最有影响力...

                        ?(展开)",马泽尔法克尔,力荐,165
10,亲爱的,"和《金陵十三钗》、《1942》一样，从话题锁定“寻子”开始，《亲爱的》就一定是部伤心的电影。   电影散场，赵薇蹲在医院，镜头越拉越远，上字幕，后排两位陌生女子同时惊呼，“完了？！”很遗憾我是在她们5分钟一次的笑声中度过的这场电影，她们的笑点包括：黄渤还是那么...

                        ?(展开)",马人人,较差,184
11,亲爱的,"数一数今年上映的电影，上半年张艺谋《归来》，国师虽未能完全归来寻回他的地位和品位，也是不可多得的佳作了。而从九月开始，佳作频出，这是让影迷们开心的一年啊！         首先就是陈可辛导演的《亲爱的》，九月26日就上映了，可不可以快些？陈导是位有情怀的导演，...

                        ?(展开)",阿升在1900,力荐,180
12,亲爱的,"如之前预料，观影过程中果然多次哭成渣渣，尤其是张译扮演的老韩宣布妻子怀孕那一段。我想有孩子的人会感同身受于影片中的许多细节，因为同理心而落泪。而我的泪点则雷打不动，那就是放弃。  我们这一代人以及我们这一代之前的几代人，从小被教育不可轻易抛弃放弃，救大火、堵...

                        ?(展开)",十三,推荐,114
13,亲爱的,"中国每年被拐卖的儿童接近20万，这个数据触目惊心，我不知道你们怀着怎样一种心情来看这部电影，但是总的来说是很感人的。 主题线路明确，就是一对离异夫妇找寻自己失踪的儿子，电影中很平淡的生活场景，网吧电线杆的街景更是寻常可见，但是在电影的开头我注意到了那些错综复杂...

                        ?(展开)",品茗听雨轩,推荐,67
14,亲爱的,"这篇影评可能有剧透

                        作为一个尚未成家尚未有孩子的我，自然是无法真确体会到电影里两方“妈妈”对孩子的爱，以及失去孩子的焦急与崩溃，可我也流下了说不出感觉的泪。 体会过离别的感觉，那种孩子哭，“妈妈”也哭的感觉，我知道那是痛彻心扉的感觉，大家更多关注的是两方家长的感觉与法律的规定，...

                        ?(展开)",虞呐呐呐,力荐,38
15,亲爱的,"这篇影评可能有剧透

                        该片是根据央视早年的一则“打拐”新闻改编而成，讲述一对夫妻因为关系不和睦，儿子成为他们唯一的联系 但是有一天孩子却莫名其妙的走丢了。夫妻二人努力的寻找着自己的孩子，在路上遇到了很多像自己一样找孩子的父母，更发生了许多震撼人心的事情。在得知要拍摄这样一部沉重又...

                        ?(展开)",樱桃咻咻咻,推荐,33
16,亲爱的,"这篇影评可能有剧透

                        剧中催泪程度相当高，全片满布泪点，尤其前半部分。导演很懂如何抓人心的软处，并在关键时刻给你一击。这是部很催泪的电影，却也只是部很催泪的电影。就像那个缺席的人贩子，影片隐去所有关键元素，并补以温情。尤其前后的割裂，以及过度的人文关怀。如果只想看亲情与苦难，结...

                        ?(展开)",深海有咸鱼,力荐,40
17,亲爱的,"还清楚记得影院门口负责发票的女孩非常认真地核对我的姓名信息，然后另一个女孩微笑着提醒我看后发微博，一切有序又友善，我也因这细致劲儿感到高兴。  入座，开映。  影片的情节因为此前各种带剧透评论已变得不那么惊奇，但镜头下的叙事因为演员的精湛表演而生动，即便知道即...

                        ?(展开)",米斯特,力荐,122
18,亲爱的,"跟朋友逛街时一时兴起走进了电影院，正巧这部片子马上开播，便买了票。之前对这部片子没做任何了解，看名字还以为是爱情片，所以，一开始我是抱着看爱情片的心态最终看完了一部亲情片。不，应该是道德伦理片？众口难调，那就干脆就叫打拐片吧。         老实说，作为在...

                        ?(展开)",铁马冰河皆是你,推荐,38
19,亲爱的,"这篇影评可能有剧透

                        影片之所以会从先前的《亲爱的小孩》更名为如今的《亲爱的》，是因为很多人对《亲爱的小孩》简称《小孩》，会让人以为这是个儿童片，再加上大家在剧组里拍戏每天都互称亲爱的，也因此决定省略片名。赵薇补充道：如今的片名更加大气，而且影片中小孩戏没有大人戏多，大人唱主角...

                        ?(展开)",仙女山的月亮,推荐,33
20,亲爱的,"首先《亲爱的》的主要角色和故事都脱胎于真实发生的“打拐”事件；多年前一部《妈妈再爱我一次》所掀起的观影盛况，相信80后们都记忆犹新。面对“骨肉分离”的人间惨剧，再理性的观众，恐怕也都会心软。 电影剧情比较特别的设计是，在片中饰演一对离婚夫妻的黄渤和郝蕾，在丢了...

                        ?(展开)",毛毛球的毛毛虫,力荐,29
21,亲爱的,"其实很怕看这种类型的影片，因为太难受了，太心酸了。看的过程中全程眼泪肯定会不受控制的流下来，但是我们又太需要这种类型的电影。《亲爱的》是根据一个真实故事改编的，全片就这样真真切切地讲故事，不浮夸不做作，不随波逐流追求大场面，但是每一个画面都不失充足的表现力...

                        ?(展开)",花怜要开车,力荐,27
22,亲爱的,"《亲爱的》大概看哭了不少观众，但看过电影后，却会发现，那不仅仅是一部苦情催泪片。有些悲，不一定让人落泪，但那种沉重会直戳心灵；有些希望，不一定让人开怀大笑，但总会有一丝阳光不经意地落在眉梢。《亲爱的》就是这样一部电影。就像黄渤说的，“这个电影有一只手，是深...

                        ?(展开)",碧浪去污中心-,推荐,44
23,亲爱的,"“这个电影有一只手，是深深地伸到你的胸膛里，会触碰到你的心灵。” 成片要比催泪的预告片克制很多，煽情并没有来源于强烈的戏剧冲突，或者人物之间不可调和的矛盾，而是来源于每个角色的真实塑造，来源于每个观众的感同身受。 毫无疑问，这次几位主要演员，奉献了极为精准和...

                        ?(展开)",浮生愿景,力荐,44
24,亲爱的,"非常好的电影，沉重的体裁，悲伤的故事，温暖的人心。     几大主演演技爆棚，每一个人都演得生动立体，形象丰满，让你看的时候，完全代入了情景，跟着哭跟着笑跟着叹息。     赵薇演得太好了，这么复杂的人物，演得基本没有表演的痕迹，只用眼神就让人跟着痛跟着纠结。     配...

                        ?(展开)",雪,推荐,30
25,亲爱的,"故事主要发生在深圳，一开始便是一幅潮湿、昏暗的城中村画面，网线电线交错，村屋密密麻麻。开场几幕戏，陈可辛就较为写实地呈现出外来人口进入大城市寄居城中村，和城中村特有的空间画面。 李红琴是一个较为悲剧的角色。作为第二条主线的李红琴其实可以拍得很煽情，但煽情的部...

                        ?(展开)",鸥怩,推荐,28
26,亲爱的,"这篇影评可能有剧透

                        这部片子很好的反应了留守儿童被拐被卖的现实，也很让人痛心，赵薇演的李红琴是属于买孩子的一方，因为失去了孩子，所以对丈夫拐来的孩子异常疼爱和高兴，也不管孩子的来源，当然农村妇女对法律意识薄弱。而田文军，鲁晓娟属于孩子被卖的一方，失去孩子的痛苦也是很难弥补的。...

                        ?(展开)",中药,推荐,26
27,亲爱的,"给这部电影打分饶是头疼。  打高了吧，对不起同是拐卖题材的《盲山》同是丢小孩的《换子疑云》同是天下父母心苦逼的《苏菲的选择》。  打低了吧，把这片儿拉到大部分国语电影的均线上对伊又是很不公平。毕竟像影片的开头，田文军找自家那跟网线，说把它系在电话线上的红绳不见...

                        ?(展开)",小斑,推荐,71
28,亲爱的,"这部电影中有两个最具代表性的生活在中国社会最底层的人。 一个是李红琴，一个是丢掉孩子的田文军。 什么的底层人呢？ 在中国，不仅仅是穷。是和你一样穷的人还欺负你。 “我都已经是人下人了，他们怎么还这样呢？”田文军在分享会上如是说。 一群穷凶极恶的穷人，在骗他这个可...

                        ?(展开)",夏天,推荐,70
29,亲爱的,"田文军和鲁晓娟曾是一对恩爱的夫妻，然而，两人之间的感情却被时间和争吵消耗殆尽，最终，他们选择了离婚。如今，联系着两人的唯一枢纽，就是可爱的儿子田鹏。然而，某一天，这唯一的纽带也断裂了，田鹏于一次外出玩耍时无故失踪，绝望和崩溃之中，田文军与鲁晓娟踏 上了漫漫寻...

                        ?(展开)",毛毛球的毛毛虫,力荐,24
30,亲爱的,"《亲爱的》大概看哭了不少观众，但看过电影后，却会发现，那不仅仅是一部苦情催泪片。有些悲，不一定让人落泪，但那种沉重会直戳心灵；有些希望，不一定让人开怀大笑，但总会有一丝阳光不经意地落在眉梢。《亲爱的》就是这样一部电影。就像黄渤说的，“这个电影有一只手，是深...

                        ?(展开)",粉丝酱,还行,23
31,亲爱的,"我有一个远房亲戚，我叫她二姨。她嫁到北京，如今家里有一个很大的农场，生活相对富裕。但她每年都要回四川，一是回家看看她的老母亲，二是回家找她的小女儿。 她的小女儿没有被拐卖，只是以前家里穷，而前夫又不争气，生下小女儿之后，因为养不活，被迫送给了别人。生活好了之...

                        ?(展开)",林下一度,推荐,70
32,亲爱的,"这篇影评可能有剧透

                               这个十一黄金周，电影院的热闹程度前所未有。如果影迷也是有阶级的，那么请允许我妄加揣测一下：《心花路放》和《痞子英雄2》是无产阶级的放浪狂欢，《亲爱的》近似中产阶级的安全克制，《黄金时代》必定是特权阶级的高冷矜持。所以，如果你自认为是一位普通年纪的普通...

                        ?(展开)",snoopynirvana,推荐,81
33,亲爱的,"这篇影评可能有剧透

                          人的一生会遭遇种种隐喻，这些隐喻都在提醒我们该从梦中醒来了。  在《亲爱的》先导宣传片中，很多人都提到，孩子是自己此生唯一亲爱，将伴侣排到了孩子之后；还有一些人，将自己原生家庭的父母列为此生唯一亲爱，伴侣及孩子都没有他们重要。在中国的语境中，这样的答案会获...

                        ?(展开)",不识君否,还行,64
34,亲爱的,"《亲爱的》这部电影，真的催人泪下，亲爱的，它讲述的是我们身边经常存在的儿童呗拐卖的事，但是这部电影不仅仅是一个普通的寻子之旅，它更多的表现出的是一种亲情之下的伦理和道德，剧中各位主演的表现都是可圈可点。 电影大篇幅的描述了寻找孩子的场景，并且重点表现除了父母...

                        ?(展开)",琉璃苣,力荐,37
35,亲爱的,"这篇影评可能有剧透

                        经典台词 1、其实现在觉得有个骗子还挺好的，有时候还能骗骗自己，感觉有点希望，人最怕没有希望。希望和饭一样，不吃不行! 2、每一次都在徘徊孤单中坚强，每一次就算很受伤也不闪泪光，我知道，我一直有双隐形的翅膀，带我飞，给我希望。 3、我叫田文军，这是我儿子田鹏，他于...

                        ?(展开)",蜜汁少女,力荐,20
36,亲爱的,"这篇影评可能有剧透

                        这个电影是我在高中的时候看的，而且也是一个人班一起看的。很多人看就很有氛围，这电影主要说的是一个以田文军 为首的一群失去孩子的父母去寻孩子以及养育被拐孩子的农村妇女李红琴如何为夺取孩子做抗争的故事。其实不光是失去孩子的还是得到的孩子的，都挺可怜的。我看着电影...

                        ?(展开)",你always,力荐,24
37,亲爱的,"《亲爱的》看完，不做很严肃的评价，只是对片子中某些情节的想法和这个片子没有做满（或者说做得太满的地方）整理一下。  首先，先说一下陈可辛的姿态问题。就像片中两次提到的一个无法回避的现实一样，你面对弱者，所谓人道主义根本无法解决事情，就像心理医生和郝蕾丈夫，你...

                        ?(展开)",萨罗迈拉,还行,39
38,亲爱的,"这篇影评可能有剧透

                        看了这电影后有几点疑问，因为存在这几个疑问，只能给一分，有负分就给负分，因为这关系到人性的底线。  1.影片中田鹏能清晰地和大人对话，孩子不认识拐子，知道自己父母的情况，绑回这样的孩子，拐子的妻子不知道是拐来的吗？另外这孩子可能在那么短的时间里就完全忘掉亲生父...

                        ?(展开)",ccc1850,很差,77
39,亲爱的,"这篇影评可能有剧透

                        这部是真实故事改编，整个故事对现在有孩子的或者以后会有孩子的朋友们敲响警钟，这个社会现实就是这样，尽管您住五星级服务的高档别墅区也一样会丢孩子的危险！ 还没当过父母，但看了却深深的感受到孩子丢了的那种痛，用一部电影让更多人知道，警惕这样的事，发生在自己身上是...

                        ?(展开)",爱吃馒头的宝宝,推荐,15
40,亲爱的,"《亲爱的》大概看哭了不少观众，但看过电影后，却会发现，那不仅仅是一部苦情催泪片。有些悲，不一定让人落泪，但那种沉重会直戳心灵；有些希望，不一定让人开怀大笑，但总会有一丝阳光不经意地落在眉梢。《亲爱的》就是这样一部电影。就像黄渤说的，“这个电影有一只手，是深...

                        ?(展开)",傻不傻666,推荐,16
41,亲爱的,"有一种电影，被戏称为“影展片”，它们喜欢关注民工、妓女、小城镇，喜欢和苦涩的现实相依为命，和沉重的过往相濡以沫，它们的镜头很长，画面很灰，情节很淡。这类去国际电影节参赛的华语电影，和关心它们的“文艺青年”一样，常常被人挤兑，它们是非主流，挤兑它们是安全的。...

                        ?(展开)",chongbei,还行,23
