,影片名,评论内容,评论人,推荐星数,有用数
0,人狗奇缘,"其实我是一直想抽出点时间来写写俞承浩的，彼时，是2004年，原因自然就是那部众所周知的《不要告诉爸爸》。之后的一段时间，零零散散，也一直没有把这件事放在心上。直到2006年的《人狗奇缘》，我才意识到一晃已经又两年过去了，自己的确应该义无返顾的兑现一下当初最单纯的诺...

                        ?(展开)",三木,力荐,130
1,人狗奇缘,"只看过日本和西方所拍摄的动物电影，第一次看韩国的。        导演始终站在万物灵长的高度诉说着故事，动物只是赚取票房的一个工具。    在这部电影中，我没有发现心意这个角色存在的合理性以及对于情节叙述的帮助。    一个个心意与主人分离、失之交臂的镜头无比的刻意、...

                        ?(展开)",厚厚,很差,77
2,人狗奇缘,"好不容易看完了，看来——用矫情收买眼泪在这个年头还没有彻底绝迹。对于我这种狗痴来说，就算去掉所有人类的情节不说，单单把一只狗搞得这么惨，就够我哭上几小时了。泡菜国的棒子在这一套上还是有两把刷子的。一只狗，为了找小主人一路流浪，又被人打，又被恶狗咬，又没饭吃...

                        ?(展开)",田小闹↓在路上,推荐,50
3,人狗奇缘,"昨天晚上看了这部韩国影片《人狗奇缘》，看到结束时，小脸都哭的又红，眼睛又肿。  狗狗的忠诚与小主人的悲惨遭遇令我心痛，为什么那两个可爱的孩子最需要母亲时，母亲却狠心抛弃他们。当小狗为救主人时，被坏人打成那样时，小主人却无力帮救。最后，它还是带着对主人的眷恋与...

                        ?(展开)",可慕欣,力荐,48
4,人狗奇缘,"这篇影评可能有剧透

                        很感人,我流了至少3次眼泪,而且是不知不觉的. 一开始兄妹的生活环境,感觉就是韩国真人版的<萤火虫之墓>,窘迫的生活,没有亲人的照料,兄妹俩相依为命.稍有不同的就是这里的兄妹俩妈妈没有死,而且还有一直很忠心的狗狗""心意""陪伴.影片的基调我已经预感到会向一个悲剧发展,但是还是...

                        ?(展开)",HANABI,力荐,15
5,人狗奇缘,"我有很多疑问： 1. 男孩已经13岁了，怎么智商还不如一条狗？既然能一个人跑出去找被扔掉的心意，难道不能早早带心意走掉吗？ 2. 在心意长成一条大狗的期间（明显是生育过的大母狗了），小妹妹没有一点变化，这这这说得过去吗？ 3. “爱心之家”的大叔，您的表演还能再假一点吗...

                        ?(展开)",卡列宁的微笑,较差,30
6,人狗奇缘,"刚刚看完这部电影，末了眼泪还是没有忍住，哭得淅沥哗啦，即便人与人之间又有多少如此真挚的感情呢？好久没有这样的感觉了，庆幸自己没有麻木，能哭，能笑，能感动，本来就是一种幸福。

                        ?(展开)",Bono,力荐,8
7,人狗奇缘,"从一开始看这破垃圾 就觉得劲假 假到让人恶心 让人想呕 全剧除了最后几分钟没有虐待动物之外 基本都在虐狗   看完全剧后 有种特别的冲动想揍剧里的每一个演员 包括导演 在内的所有工作人员  每一个人都让我看起来特别的讨打 TMD  还给我死了两只狗 一只给撞死 一只给打死 这也...

                        ?(展开)",我路过的= =||,很差,18
8,人狗奇缘,"这篇影评可能有剧透

                           不经意的下了一部韩剧，几天之后，突然想起，随手点开， 接着，这样一部让人心痛的影片在眼前开始了......    男孩与妹妹相依为命，父亲早逝，母亲不堪忍受离家出走... 多么熟悉的情节。     看着眼前展开了一幅韩国小城镇的样貌，     男孩与女孩稚气的脸上挂着让人心疼的...

                        ?(展开)",lingling,力荐,17
9,人狗奇缘,"为了狗狗才来看，可是看到一大半还是放弃了。。              韩剧比日剧起来实在要差很多。              今天刚刚看了我和狗狗的十个约定，宣扬爱护动物，热爱生活，关注家人，虽然最后也是狗狗死了，可是看过之后得到很多启发                而人狗奇缘，明显的小意识...

                        ?(展开)",饭饭熊,很差,8
