,影片名,评论内容,评论人,推荐星数,有用数
0,假如没有遇见你,"这篇剧评可能有剧透

                        赖敏、丁一舟，两个广西柳州的年轻人，曾经的小学同桌。本来两人生活已无交集，却因为赖敏的遗传性家族疾病“企鹅病”让两人又重新相遇，坠入爱河。随着赖敏的病症逐渐严重，丁一舟做出了一个惊人的决定，带着赖敏走出去，去所有想去的地方看一看。于是，一辆自行车、一部轮椅...

                        ?(展开)",喵喵喵了个咪,推荐,51
1,假如没有遇见你,"第一次看题材剧本，以为是韩剧，很难去相信。首先题材很有意义，色彩以及故事节奏整个给人以温暖感动，剧情方面:男女主的这场跋涉饱含了人间疾苦，不仅是为女主，也是他们两个人彼此自渡与救赎。  看得很感动，很走心的一部剧，而且所有演员演技都在线，路途中的小插曲，也非常...

                        ?(展开)",往事不要再提,推荐,41
2,假如没有遇见你,"一部由真实故事改编的网剧，剧情很感人，男主（丁一舟）在追爱的长跑中，发现心目中女神的心愿，在得知女主（赖敏）患有重病（企鹅病）。 赖敏梦想能环游中国，丁一舟便骑着单车拉着轮椅带着她的爱大阿宝，完成她的心愿，途经几个省，遇到了各种形形色色的人和事，最终到拉萨在...

                        ?(展开)",虹HongLi,还行,56
3,假如没有遇见你,"很用心的一部剧，《假如没有遇见你》本是一部文艺清新风的作品,却无心插柳的惹得观众们纷纷渴望在现实中“冲动”一把。 看到丁一舟和赖敏旅途里风景美不胜收,第一站黄姚古镇,弹幕纷纷在问“这是哪儿?”,广西一时划入很多人的旅行计划。 激励大家来一场说走就走的旅行,也是意义...

                        ?(展开)",爱吃猫的鱼?,推荐,49
4,假如没有遇见你,"赖敏、丁一舟，两个广西柳州的年轻人，曾经的小学同桌。本来两人生活已无交集，却因为赖敏的遗传性家族疾病“企鹅病”让两人又重新相遇，坠入爱河。随着赖敏的病症逐渐严重，丁一舟做出了一个惊人的决定，带着赖敏走出去，去所有想去的地方看一看。于是，一辆自行车、一部轮椅...

                        ?(展开)",七七,还行,15
5,假如没有遇见你,"这篇剧评可能有剧透

                        “穿过爱与孤独，误会与风波” 首先呢整部剧很良心，没有过多的广告植入，导演、演员都很用心。 一部公路题材，风格偏向文艺风格很清新。 它改编于真人真事，剧情很现实又很感人，特别能引起观众的共鸣。大部分人迫于现实的各种各样的原因，很少能来一场说走就走的旅程。本剧丁...

                        ?(展开)",**,推荐,41
6,假如没有遇见你,"原来，现实生活中，真的有偶像剧的情节。也终于相信了他们说的剧本来源于生活。 电视剧改编自一个真实的故事，取了故事的一个大概的走向，为了电视剧的可看性和戏剧性加了一些东西。整个剧看下了，温情、感动贯穿始终，无论是善良的赖敏还是热血的丁一舟，都让人印象深刻。很多...

                        ?(展开)",萧萧是个乖孩子,力荐,35
7,假如没有遇见你,"这篇剧评可能有剧透

                        知道这部剧后，先去看了丁一舟赖敏在《朗读者》中的片段，在第10集中有一处，看到丁一舟有在看三毛的《你是我不及的梦》 ，赖敏在《朗读者》上就有朗读一段献给丁一舟? 后来也陆续在优酷上看了他们的纪录片《遇见你》，可惜只看了每期的几分钟，所以不多作评论。但若剧集再...

                        ?(展开)",水蓝默言浅,推荐,9
8,假如没有遇见你,"这篇剧评可能有剧透

                        来自于一个真实的爱情故事！不得不坐在轮椅上的企鹅病患者赖敏和爱人丁一舟选择环游中国，挑战死神！这一路他们的心路历程，他们所遇见的形形色色的人们都很真实。 当生活给了我们太多的伤，如何走出伤痛，如何学会爱生活爱自己，如何面对死神，如何调整自我，挑战自己，如何走...

                        ?(展开)",有爱就是天使,力荐,8
9,假如没有遇见你,"原本以为这又是一部歌颂爱情伟大的爱情片，未曾想，导演会用“公路片”的叙事手法，用旅程来描述剧中人物的内心世界。 该剧取材自“企鹅病情侣”赖敏、丁一舟环游中国的真实事件，因为真实，所以心酸，因为情深，所以动人。剧中所提炼出的6段小故事，也许就是两位原型主人公在...

                        ?(展开)",一生一个你,力荐,16
