,影片名,评论内容,评论人,推荐星数,有用数
0,全城高考,"这篇影评可能有剧透

                          和爸妈一起看电影，正处于高二苦逼兮兮的我看到电影名字顿觉亲切，想看看大荧幕里的高中生活是什么样的。    看完之后觉得 真假。完全是编剧意淫出来的一部电影，高三怎么可能是这个样子的。    先说情节（含剧透，慎读）课间走进任何一个高三教室，你会发现几乎所有人都在睡...

                        ?(展开)",球球鼠,很差,153
1,全城高考,"之所以会请假看这部电影，是因为附近的影院只排一场上午十点半的，第二天居然一场都没有。之所以会去看这部电影，是因为想在大荧幕上看到曾经混迹三年的黄冈中学，和黄州这个以前无比熟悉现在却逐渐陌生的小城。好像是一种仪式，借此祭奠一番我那曾经美好又无聊、甜蜜又遗...

                        ?(展开)",satan,还行,152
2,全城高考,"我的高考已经过去快七年了。 现在我研三，也快要毕业了。  带着一种观摩湖北考生和黄冈中学的心态来看这部片子的吧，毕竟和自己的母校地理位置比较靠近。可是，除了书桌上摞起来层层叠叠的参考书，我就找不到能够引起同为“湖北考生”共鸣的地方了。  那么，高考倒计时一百天的...

                        ?(展开)",八重樱下,较差,162
3,全城高考,"又是一年高考季，希望同学们在最后的几天里再努力一把，不是量力而行，而是全力以赴，千万不要让自己后悔。高考，它不一定会决定你的一生，但它却给了你一个当前最好的选择，选择要不要对自己的未来负责。它对每个人都是公平的，努力的人终究会得到回报。想想父母，想想老师，...

                        ?(展开)",Gising,还行,40
4,全城高考,"拍这部片的编剧和导演。你们高考过吗？或者说，你们还记得高考吗？  编剧和导演，你们要赞扬的是什么？ 为了高考，抛弃作为一个人该有的理念？ 放弃亲情、放弃道德、放弃健康，只为了一个理念，我要高考？  六年前的我，应该是跟秦鹏有点类似之处的。 自以为有自己的想法，有自...

                        ?(展开)",紫蘇,较差,103
5,全城高考,"影片讲述了一所百年名校的高三九班班主任带领全班同学在高考冲刺的最后阶段中发生的一系列决定学生命运的精彩故事。影片以四个学子在高考前面临的家庭、心态、情感等问题为主线展开故事，以高考的拼搏进取为背景，展现了学生校园生活的活力与激情。虽然影片以“高考”为背景，...

                        ?(展开)",一袋桔子,推荐,13
6,全城高考,"四个高三学生以及老师、家长、社会在一场青春无悔、感动时代、见证风华、牵动每一个中国人神经的高考大试面前的所思所求、所苦所乐，以考生的拼搏精神和远大理想折射时代精神，以父母的关切、以可怜天下父母心的情怀关注民生，以考生的不同命运和不同选择扣问社会良知，以社会...

                        ?(展开)",啊哈,还行,8
7,全城高考,"带眼镜那个就够娘泡了，男二号更娘泡。那个伪娘一边坐在轮椅上答题，一边说我有个隐形的翅膀，我相信你不仅有隐形的翅膀你还有个隐形的鸡吧！  然后就是老师把他推出来，我擦远看我还以为是邓小平呢？作伟人状。  然后大家开始唱歌，我擦，男生女生都一样！安能辨我是雌雄！生...

                        ?(展开)",何无忌,很差,18
8,全城高考,"果断吐槽无力啊，太对不起这名字了，首先是编剧。你们真心经历过高考吗，虽然各地可能会有些差异，但像高考前30天才二模，永远的语文课，而且上课还讲那些有的没的，还有那些学生傻逼的言论，狗血的剧情，而且演的太假了吧，贺帆（貌似叫这个）和林叶哭的那段都可以剪下来当国...

                        ?(展开)",八月素年。、,很差,6
9,全城高考,"这篇影评可能有剧透

                        编剧大人，我觉得你写这样的故事前，是不是先跑去一所高中蹲点个1个月做个辅导员什么的再回来写比较好呢？   这个电影里面主要有四个主人公，但是这四个主人公的故事，基本都背离了主题，我觉得他们的故事都和高考无关。你就算把影片名字换成高中生的烦恼，都比现在这个标题来...

                        ?(展开)",mimi250,较差,8
