,影片名,评论内容,评论人,推荐星数,有用数
0,功夫熊猫,"正如包子，好馅儿不在褶子上。《功夫熊猫》对中国文化的全部理解，绝不是一只会花拳绣腿的熊猫所能涵盖的，更不要好莱坞主旋律的假象所欺骗。实际上，《功夫熊猫》是史上最了解中国的电影之一，在华丽动画的包裹下，其内核是关于中国政治历史最深刻的暗喻，而绝不仅仅是一...

                        ?(展开)",独行的猪,推荐,1975
1,功夫熊猫,"这篇影评可能有剧透

                        打斗动作不说了，大家有目共睹； 背景音乐不说了，大家有耳共听； 想说的是，里面的台词，有几句真的说得极好。也可以说是看影片时的一些感受吧。：）  1.We all have our places in the world. 鸭子老爸说得极对，我们为何苦苦随大流地争夺不属于自己的东西呢？找到自己的位置...

                        ?(展开)",eugne,力荐,734
2,功夫熊猫,"胖子没有远大的理想目标，能做一个跟实际生活不一样的美梦就很满足了 。 胖子有自知之明，当狗屎运砸到自己的时候，不会觉得是理所应当，总觉得还有人比自己更适合这坨狗屎运。 胖子没有存在感，一条破裤子穿个半年也无所谓，睡觉的时候，也不会还要睡到自己的尾巴上练功。 胖...

                        ?(展开)",poorwind,推荐,665
3,功夫熊猫,"从熊猫的父亲为什么是鸭子说起？  难道梦工场真得已经将想象力发挥到了极致？将鸭子当作了熊猫的生父？ 非也！在影片中其实已经有所暗示，鸭子期盼熊猫能够梦见面条的，但终究不是，他梦见的是功夫，这是冥冥之中的。 熊猫为什么会梦见功夫？原因只有一个，那就是熊猫在身体里...

                        ?(展开)",ROY,还行,545
4,功夫熊猫,"从前有座山，山里有个庙。山下有个熊猫在卖面条。 如果是王家卫，熊猫阿宝开头一定会这样冷冷的说道：很多年后，我有个绰号叫龙武士。任何人都可以成为龙武士，只要他知道如何做一碗美味的面条。 不论是什么样的江湖，总会在相似的传说中流传神秘的典籍，总会有坏人为此奔命。...

                        ?(展开)",张樾,力荐,457
5,功夫熊猫,"这篇影评可能有剧透

                        【文\袁柒】 ：“我们是面条家族，血管中流着面汤：”鸭子老爹常自豪地对我这么说，做面条的‘师傅’和教武术的‘师父’，两个称呼只有一字之差，对我来说确意味着此岸和彼岸之间的宽广鸿沟。 在江湖上，我并不靠帅生存，我靠的是传说。我时常忘记自己干过的漂亮事儿，但黎民百...

                        ?(展开)",袁牧,推荐,449
6,功夫熊猫,"桃李满天下，龟仙人桃树下教导熊宝宝，说了句著名的英语谚语：  Yesterday is a history,  tomorrow is a mystery,  but today is a gift,  that is why it is called Present.  这句谚语最早我是从一部叫《力克千年虫》的新加坡剧集中知道的，但稍微有些不同：  Yesterday is ...

                        ?(展开)",恶魔的步调,推荐,251
7,功夫熊猫,"严重剧透，严重歪曲，慎入！ 版权没有，随便转载 o(∩_∩)o...  中国的应试教育制度害人害己-----最近有一个叫派拉蒙的美国人和一个叫梦工厂的美国人在聊天的时候聊出来这么一个共识。  泰狼（Tai Lung）这个形象，代表的应该是一个典型的应试教育受害者吧。  瞧那意思，泰狼小...

                        ?(展开)",关耳,力荐,209
8,功夫熊猫,"这篇影评可能有剧透

                        可以预言，这部电影将是继《色·戒》之后，被写影评最多的电影。我知道现在写出影评来不免有趋之若鹜之嫌，不过有些话还真是不吐不快。  在豆瓣上看了一些有关这部电影的评论，最令观众质疑的就是熊猫最后的一击必杀：那只仅练了几天武功的胖熊猫如何练就了＂无极拈花指＂？．...

                        ?(展开)",[已注销],推荐,181
9,功夫熊猫,"题记：前天和一帮PhD们品酒吃大虾，白葡萄酒、红葡萄酒、aperitif、cider、啤酒都已喝罢，正面酣耳热之际，有人开谈起电影来。一位青年才俊说：“我这人啊，就喜欢有思想、有深度的电影。就是那种特深刻，看完了让你想个几天的，比如《阿甘正传》。”  对于《功夫熊猫》，我还...

                        ?(展开)",晨光荣耀,还行,123
