,影片名,评论内容,评论人,推荐星数,有用数
0,北京女子图鉴,"这篇剧评可能有剧透

                        《北京女子图鉴》4月10日出了六集，我就一口气看了六集。 前两集还有点趣味性，后四集真的味同嚼蜡。 能把剧情拍得这么不吸引人，导演也是很不容易了。 这部剧主要就是讲2008年，四川人陈可依（戚薇 饰）来到北京做北漂的故事。 第一集开头就说她的闺蜜王佳佳高中还没毕业就去...

                        ?(展开)",凌睿,较差,1301
1,北京女子图鉴,"这部剧的体裁本来就是不同的。 图鉴图鉴，其实是用一个女人串联起形形色色北漂女孩经历过的工作境遇还有男人，根本就没有打算展现具体细节和过程，所谓点到即止。 你把陈可当一个人，自然会显得她工作/男人换得频繁，但其实陈可代表着的是一群人，每个普通北漂女都能从她的某段...

                        ?(展开)",蘅驴驴,推荐,372
2,北京女子图鉴,"这篇剧评可能有剧透

                        《北京女子图鉴》在没开播之前就有很多人在给好评，说真实地拍出了小城女性青年到大城市奋斗的心酸历程。 我觉得好剧不能错过，一播出就去看了，豆瓣7.2跟《欢乐颂》第一部的评分一样。 打5星好评的人有27%，难道剧情真的戳进了每个人的心里？我可能要说点实话了。 这部剧要从2...

                        ?(展开)",Lavender,较差,296
3,北京女子图鉴,"说《北京女子图鉴》是我这些年看过最犀利、最现实的一部国产剧也不为过。如果说东京女子图鉴里女主角的遭遇还有一点梦幻色彩，《北京女子图鉴》简直现实到让人要性冷淡了。 看这部剧丝毫不会让人有想谈个美好恋爱的渴望（也有可能因为我现在不单身），因为它用夸张而又讽刺的手...

                        ?(展开)",冬惊,推荐,287
4,北京女子图鉴,"看了影评，有的还挺两级的，吐槽一无是处的说女主交际花，有喜欢剧情说体会到陈可的，但是看到提每集小番外剧场的不太多。我是看到主页有人看，我就打开扫了几集。前面很多集都是到快结尾就跳，也没听片尾曲，直到十一集才发现有个番外小剧场，回头又把每一集的小剧场都补了。...

                        ?(展开)",荔枝白羊悅,推荐,147
5,北京女子图鉴,"这篇剧评可能有剧透

                        从去年年底开始，漫天的“我们要现实主义题材”的口号，让所有人都停下了玛丽苏剧的研发，开始专攻所谓的“现实主义”。披着现实主义题材的玛丽苏，你们骂太玛丽苏；披着玛丽苏的现实主义题材，你们又说太现实，反正无论是拍成啥样，总能找到被逼逼的地方。 北京女子图鉴，我一...

                        ?(展开)",溏心蘑菇,推荐,108
6,北京女子图鉴,"没变成烂剧的一个重要的成功元素就是接地气的改编。 比如北漂的地下室，进了小区，刚准备上电梯，却被拉进地下室，那一段真是神来之笔，理想与现实的差距不过如此了。 比如限购，想买的时候没资格了，也是呵呵。 还有港澳通行证的办理，前些年是要专门回老家办。 跳槽的时候各...

                        ?(展开)",Helen,推荐,49
7,北京女子图鉴,"一口气看完几集，吸引我的不是剧情，而是想看北漂是什么样的生活状态，不仅如此我看到的还有生活压力的无奈，当梦想被现实击打的面目全非时，我们到底该怎么做呢？是继续坚持还是顺从现实？比起之前毫无诚意照搬照抄的日剧翻拍来说强了一些，剧情在原版的基础上做了很多贴合国...

                        ?(展开)",往事不要再提,还行,59
8,北京女子图鉴,"这篇剧评可能有剧透

                        在这个剧里，男性几乎主导了女主的职业生涯。女主无论工作还是生活上的每一次巨大变化，都不取决于她的努力，而是取决于她身边男人的帮忙，这部电视剧绝不是探讨女性自觉、女性权利意识的都市剧，而是国产玛丽苏剧的翻版。剧里女主每一次工作都是靠男人的原因才晋级，而现实中...

                        ?(展开)",影视评论人,较差,56
9,北京女子图鉴,"戚薇，一个我喜欢的演员，也是因为她我才去看了这部剧。虽然跟我想象当中的有一点不一样，但这并不影响我继续看下去，对于陈可褒贬不一，有的人是心疼她，理解她的每一个选择，有的人则是诋毁。而我当然属于前者，一个信心满满的去到北京闯荡的坚强女孩，她也曾满怀着梦想，却...

                        ?(展开)",意醉音影蝶,力荐,59
10,北京女子图鉴,"一直觉得自己的感性遇到了理性的人，直到看了《北京女子图鉴》，顾总把我想说的话简单明了的总结了起来。我以前不懂怎么就分开了呢，后来才懂得其实我们无非想让自己过的轻松一些，才开始释怀，才开始不去那么较真。真的，过好自己的比什么都强，没有非要在一起的人，没有非离...

                        ?(展开)",一个大脑壳,推荐,52
11,北京女子图鉴,"这篇剧评可能有剧透

                        题目有点矫情，但是确实能从女主身上多多少少看到自己的影子，切实的感受，刚毕业时的“心比天高命比纸薄”，后来不断的降低期望值，不断的换工作，为了在单位里混住，给同事们买点小特产。 剧的色调很让人舒服，剧情也慢慢的展开，没有过分的煽情，没有玛丽苏，或者说即使有也...

                        ?(展开)",程咬金爱电影,推荐,16
12,北京女子图鉴,"其实，最后的她，收获了自己的内心。看到她的笑容，我知道，她遇见了对的人。看完好几天了，终于静下来了，她给我的启迪真的很重要。记得剧中有一段话印象特别深刻，大致上是这样的:你问我到底有没有在长夜里嚎啕大哭，你问我离婚后有没有后悔，你问我有没有害怕之后会遇不到更...

                        ?(展开)",一个瓜子壳,还行,32
13,北京女子图鉴,"剧中的女主，来到北京投奔一个发展不错的一个同学，到了北京之后发现这位同学也没有想的那么好，和这位同学同住地下室，生活和工作的努力都非常的不容易，完全突显了北漂女孩的不易。 为了在北京发展，痛苦的和男友分手，为了能更好的发展，利用各种方法，利用身边各种可利用的...

                        ?(展开)",虹HongLi,还行,42
14,北京女子图鉴,"这篇剧评可能有剧透

                        时隔一年半，日本小地方出身的绫子本土化成了四川的陈可，从2008年开始了北漂生活，《北京女子图鉴》一直在强调这不是北漂，这是北奔，北奔有更明确的目标，态度更积极，他们不随波逐流走哪儿算哪儿，他们永远向前。 漂也好，奔也罢，只要加上北京这个前缀，就一定沾染了这座城...

                        ?(展开)",大将军郭,还行,48
15,北京女子图鉴,"这篇剧评可能有剧透

                        在百度词条上，“北漂”有种三种涵义： 1）“北漂一族”一词，在特定的意义上，是指那些从其他地方来到北京（“迁移”应是“漂”的第一层含义）。 2）在北京生活但却没有北京户口的人群，他们或已经有职业，或正在寻找发展机遇(“未扎根”应是“漂”的第二层含义)。这些人几乎...

                        ?(展开)",有匪君子,较差,48
16,北京女子图鉴,"我最喜欢的是张超和女主恋爱那段，觉得很甜蜜，张超在黑板上分析他们未来时候我也觉得很接地气，但是最后女主分手莫名其妙，难道就因为没有买LV。看完六集，我觉得女主啥也没干，换一份工作谈一次恋爱，签那份合同不是因为她自己的能力而是因为男主喜欢她。其实本质还是玛丽苏...

                        ?(展开)",静静的春天,很差,46
17,北京女子图鉴,"女主人公刚来北京时眼中充满好奇和期待，身处繁华都市，她梦想变得更好更强、过上更好的生活。北京，是广大北奔一族梦想开始的地方。然而，这座城市又是现实残酷的。在实现自我进阶的过程中，女主遭遇了一系列北奔女性都会遇到的现实问题，如办公室“文化”，涉及到切身利益，...

                        ?(展开)",花吖,还行,40
