,影片名,评论内容,评论人,推荐星数,有用数
0,千与千寻,"看完《千与千寻》，我一直没弄清楚那只无脸怪从哪里来。可要命的是，我对它念念不忘。千寻过桥时，一个黑影子，像个黑布袋，长了一张像白纸面具一样的脸，立在桥边。这个鬼魅一样的脸，目光追随着她，透出隐隐微笑。  　　这个无脸怪，这个鬼，就飘啊飘。千寻到哪儿，它就...

                        ?(展开)",lemon,推荐,7458
1,千与千寻,"这篇影评可能有剧透

                        （一）千与千寻之童年情境  我的一个朋友每看到在花丛下白给千寻吃他用魔法做的饭团那一段就泣不成声。很多人不明白，但是我并不奇怪，因为我也是一样。  也许没有童年创伤的孩子不会明白那一段的感人之处。我想也许每个孩子都会幻想自己能够有一个白龙朋友，平时他也就和自己...

                        ?(展开)",邝言,力荐,4707
2,千与千寻,"这篇影评可能有剧透

                        迟钝了些，直到昨天，我才看了这部在学校里就早已被大家念叨了千万遍的《千与千寻》，看的是粤语配音版。 在深圳这个相对自由的城市里，我谨以“自由”的名义，写下一点点感想： 有一点从头至尾震憾着我：那就是日本人的教育和思想！为什么日本动画片小孩大人都爱看，我想是因...

                        ?(展开)",楚,力荐,4932
3,千与千寻,"今天又把这个电影看了一遍，感慨良多，说出来，大家听听：）  千与千寻:让我们感动的内涵  孩子不是父母手里拥有的东西，他们要学习这个世界的规则，发掘自己心里的美丽。  千与千寻，就是用童话的形式讲的正在孩子身边发生的现实的故事。  1 父母  父母是普通的城里人，比较重...

                        ?(展开)",44,推荐,1809
4,千与千寻,"千与千寻--一直以为这是两个人的名字，结果是一个人的，前一个是被给予的名字，后一个是被剥夺的。这个故事其实是属于两个名字的，琥珀川与千寻。宫崎俊有着天下最迤俪的幻想，他给你的比你想要的还要好。好，伴随着苦难，却不伴随着虚假。好的好，不是残酷的好，不是骇人的好...

                        ?(展开)",viyu,力荐,1308
5,千与千寻,"1。千寻VS父母：进入另外的世界，成长的开始。  通往新家的路上，父母给千寻说着新环境的优点，而千寻却说，还是以前的学校比较好。好在哪里她没有说，但我想，是因为那里有熟悉的人和快乐的回忆，一旦离开那里，一切都将重新开始。  千寻看见手中的花枯萎了，心里就一阵阵的难...

                        ?(展开)",叶子阿姨,力荐,995
6,千与千寻,"電影，首先是關於夢的藝術。而夢，又是擬象的表達。  　　《千與千尋的神隱》並不僅僅是一位少女跟隨父母闖入異鄉的奇異夢幻，還代表了一代日本長輩囑託年輕人的警示之夢。  　　第一次看這部電影的時候我十三歲。當時並不能理解這部電影為什麼能摘取諸多桂冠。 　　在裡...

                        ?(展开)",风扬兮,力荐,497
7,千与千寻,"看到蔡康永说,他看神隐少女最后小白终于得知自己名字然后鳞片剥落的那一刻会落泪.说着说着竟然在康熙来了中哽咽. 有点讶异,于是把这部几年前看过的动画片重新看了一遍.  古赈早琥珀川.白龙的灵片在一霎那闪着光碎去,他们拉着手下坠,他眼镜亮亮地把犹如神明一般的名字告诉她,她...

                        ?(展开)",小豹子,力荐,537
8,千与千寻,"2001年的某天，我极度寂寞。从同学家里借来了一部没听说过的导演导的不知道什么内容的片子就看了起来。结果我对这部片子的喜爱近乎达到了疯狂的地步，在接下来的一个礼拜里几乎每天看一遍，真叫“读你千遍也不厌倦”。  先不说情节，单单那精致的绘画就让我多么希望自己不是在...

                        ?(展开)",艾小柯,力荐,288
9,千与千寻,"静静的开端： 我们的时代  生活剧一般的开端。音乐虽然是近似主旋律的那首《あの日の川へ》，但在这里只作为“好听的曲子”而存在着。 风和日丽，道路畅通，乐声轻巧温馨，琐碎的家常谈话--一切都极为流畅，在这里导演无意提及一个“重点”来引起观众的注意。因为那在同时也意...

                        ?(展开)",刚哥的最后绯闻,力荐,388
10,千与千寻,"《千与千寻》中，给我印象最深的，不是越挫越勇的千寻，也不是白马王子小白龙，而是那个没有名字和样貌的人。他说得很少，他做得很多，他很沉默，可是他在爱。   我不知道他是从哪里来的，但是他从一开始，就选择站在千寻身边，默默的关注着她。  他孤单的站在雨里，正在擦地的...

                        ?(展开)",叶子阿姨,力荐,387
11,千与千寻,"电影《千与千寻》的结尾处，千寻紧紧挽着妈妈的手臂，走出黑黢黢的隧道，与千寻第一次走进隧道时一模一样的镜头，让人恍惚以为经历的一切只是一场梦。但千寻的发带一闪而过的光芒，却在提醒你它不可辩驳的真实。这也许就是“成长”的模样——它总是来得如此缓慢而微弱，以至于...

                        ?(展开)",五乔,力荐,251
12,千与千寻,"作者：chenke  孩子不是父母手里拥有的东西，他们要学习这个世界的规则，发掘自己心里的美丽。   千与千寻，就是用童话的形式讲的正在孩子身边发生的现实的故事。   1 父母   　　父母是普通的城里人，比较重视自己的快乐，生活对他们来说就是规矩，适应别人的规矩，也让别人适...

                        ?(展开)",[已注销],力荐,231
13,千与千寻,"这部电影告诉我们: 1.不要随便吃别人的东西——不贪婪。 2.有工作，努力地工作，别人便拿你没办法。 3.不要忘记自己的名字。记得自己是谁，便知道自己要做什么。要走什么样的路。

                        ?(展开)",弧度,还行,225
