,影片名,评论内容,评论人,推荐星数,有用数
0,向往的生活 第二季,"这一季蘑菇屋全面升级了，两层小洋楼，更大的院子和更多样的乡村“体验”项目，目前解锁了挖笋、插秧、捉泥鳅和采蜜…………再加上这一季所有农产品要二次加工才能换钱，所以这一帕还蛮让人期待的。 黄老师还是一如既往的“一家之主”，老实说看黄老师在土灶前忙活比看黄老师在...

                        ?(展开)",攒钱养布偶,推荐,66
1,向往的生活 第二季,"世上总有一片美好的风景使你安静和向往，也许是外面的世界，也许是亮丽的霓虹灯，也许是挪威的森林，也许是瑞士的雪山，所有的跋涉都是为了回归农村淡泊名利这一刻的幸福。节目中有客人到访的好客之情，精心准备饭菜来迎接客人，也有最为普通的送客之情，节目中黄磊老师的厨艺...

                        ?(展开)",雨洛,推荐,55
2,向往的生活 第二季,"这篇剧评可能有剧透

                        离开了城市的喧嚣，没有络绎不绝的鸣笛声，每天得为一天的饭做准备，自己摘菜，捕鱼，摘草莓，一切都看起来那么的平淡，但又如此的幸福，在这个偌大的城市了，想过这种慢生活已经不容易了，很重要的一个原因在于城市的繁华让很多的人不愿离去，有时候追求的太多，得到的太多就...

                        ?(展开)",苗苗,力荐,60
3,向往的生活 第二季,"我需要一块地 偏远一点 可以想做什么就做什么 确切地说 我想要一个为朋友们准备的户外场所 在那里人们可以不用牵挂工作 而是需要彼此紧密协作 磨练新手艺 我们在一起 就是向往的生活 依旧是熟悉的人，熟悉的感觉，小H有了他的陪伴小O，大华也有了弟弟彭彭，而何老师和黄老师，...

                        ?(展开)",樱桃咻咻咻,力荐,47
4,向往的生活 第二季,"是完全不妨碍我们看到彭昱畅小哥哥的可爱，顶着鸡窝头带着眼镜刷牙，笑到躲在何老师身后，挖了一个real小的竹笋说够吃了，真的是360°无死角的可爱呆萌了。采蜂蜜前乖乖的去穿上袜子，却是一双船袜，最后被蜜蜂蛰了一个包，我也是心疼又笑出了声。 徐峥老师，真的让我想起了上...

                        ?(展开)",怼怼怼就是你,推荐,62
5,向往的生活 第二季,"最新一期可以说是非常爆笑了，大华承包了所有笑点，喝水，放屁，掉裤子，掰大腿，妈呀笑的我嘞， 彭彭，有礼貌，谦虚，有一点和我一模一样，笑点低???看见他笑不知道为什么我也想笑 何老师，温暖，总之就是非常好 黄小厨，不得不说，我能看他做饭一整期， 向往的生活...

                        ?(展开)",毛毛虫,还行,61
6,向往的生活 第二季,"新一季来啦 喜欢这个节目简单轻松的氛围 黄小厨的厨艺真的让人佩服 何老师还是和上一季一样 这一季多了一个人 暂时觉得还可以 多了个劳动力 第一期没有刘宪华可是看了后面的预告实在是嫌弃 总觉得他有点浮夸了 一些行为动作让人反感 之前看到消息粉丝不喜欢他们叫他大华 所以节...

                        ?(展开)",你不在,推荐,34
7,向往的生活 第二季,"看过这个节目让我想起生活还不是这么快节奏的那个时候，没有发达的网络，邻里之间互相串门，每天吃完晚饭搬张凳子坐在门前唠嗑，坐在天台看星星，这种生活真的很惬意。什么是向往的生活？日出而作日落而息，自给自足，知足常乐。看这个节目真的很舒服，心情整个会很放松，喜欢...

                        ?(展开)",花怜要开车,力荐,32
8,向往的生活 第二季,"这篇剧评可能有剧透

                        每个人都有自己所向往的生活，不过不管是是节目中那般的田园风光，还是城市之中的车水马龙，我想人们所向往的无非就是和家人朋友相聚一堂而已。 坦言之，我还挺喜欢第一期节目的嘉宾的，没有刻意的熟络，只是平淡的交谈，却又能在其中看到他们那彼此熟悉的联系。 其实这一季的...

                        ?(展开)",叶子的眼睛,推荐,40
9,向往的生活 第二季,"这篇剧评可能有剧透

                        向往的生活真的可以说是2.0升级版了 房子更大更漂亮 附近的环境也更丰富 草莓园 蜂巢啊 啥都有了 也加入了彭昱畅 连小H都不再是单身狗了 播出的这几期还是不错的 第一期的徐峥可以说是搞笑本人了 不仅仅自带笑点 而且真的是个很随和 完了又很勤劳的大厨一枚 那个王老师的接梗也...

                        ?(展开)",栗子,推荐,33
