,影片名,评论内容,评论人,推荐星数,有用数
0,复仇者联盟3：无限战争,"

                        有剧透！ 有剧透！ 有剧透！ 《复联3》海报上，有着“十年布局，巅峰一役”的小标题，有自信说出这句话的，可能也只有漫威了吧。 2007年，漫威冒着破产的风险孤注一掷拍摄了《钢铁侠1》，正是这一场破釜沉舟的豪赌换来了MCU的空前盛世。 2008年5月2日，《钢铁侠1》在北美上映。...

                        ",凌睿,力荐,9413
1,复仇者联盟3：无限战争,"*文中有剧透，观影前请慎重。 漫威十年 影片开场出现漫威十周年特别版LOGO，""MARVEL STUDIOS""上的""I""和""O""变化成数字“10”的字样。在官方宣传物料上，这个LOGO下面还有一句话""The First Ten Years""（第一个十年）。既有纪念意义，又似乎在告诉大家：未来我们还能再战十年！ 据...

                        ",彩蛋君KL,推荐,6308
2,复仇者联盟3：无限战争,"

                        《复联3》一上映，全国漫威粉哭倒一片，上微博、朋友圈转一圈，简直是大型的哭丧现场。 结局这么惨，《复仇者联盟4》的故事要怎么继续？要怎么圆回来？ 这是我们最想知道的事情，恨不能穿越时空赶紧看完《复联4》。 那么就在《复联4》上映之前，我们重新捋顺一下《复联3》的剧...

                        ",X教授的傻儿子,推荐,4088
3,复仇者联盟3：无限战争,"此篇影评为话题“看《复仇者联盟3：无限战争》前应该了解哪些背景？”下内容，不包含任何关于《复仇者联盟：无限战争》的剧透。 先说两句：一、本篇影评适合以下几类观众食用：对MCU十年了如指掌的铁杆粉、看过几部MCU电影但对整体宇宙框架不太了解的路人粉、没怎么看过MCU但想...

                        ",Inconsolable,力荐,1948
4,复仇者联盟3：无限战争,"

                        开场阿斯加德人遭到了灭霸的袭击，他们对附近发出了求救讯号，抵抗已经失败，乌木喉跨过死者，受伤的海姆达尔躺在地上，洛基被黑暗教团包围，灭霸一个人船首把托尔带到他面前，问是要他哥的头还是空间宝石。 过程中灭霸说了他失败的感受，索尔喷他话太多，并且告诉了观众一星期...

                        ",贺六浑,力荐,1882
5,复仇者联盟3：无限战争,"漫威最深情的反派，没有之一。 《复仇者联盟3》大陆定档于5月11日，和全球首映时间相比晚了近半个月。这是漫威电影在内地首次因翻译问题未能全球同步，对于观众而言，是一件很遗憾的事，毕竟晚了十多天，才能看到大反派灭霸的首次正式登场。 要知道，许多影迷都对他寄予深厚期...

                        ",架空,力荐,1543
6,复仇者联盟3：无限战争,"

                        不剧透是不可能不剧透的，这辈子都不可能不剧透的，正儿八经的影评嘛又不会写。 故事的开头接的是《雷神3》的片尾彩蛋。阿斯嘉德飞船遭遇灭霸。后者没有任何想要当索尔的姐夫或者当洛基的女婿或者以任何形式成为奥丁家族姻亲的意思。作为一个执着追求音乐梦想的男子，灭霸的目...

                        ",马泽尔法克尔,推荐,838
7,复仇者联盟3：无限战争,"

                        告诉各位好消息，QQ看点删除了那篇抄袭文，知乎上抄袭的那篇和百家号的也举报了，交给维权骑士处理 抄袭文章的地址: http://q.url.cn/CDJgDo 如今QQ看点都已经无耻到这种地步了吗？图片文字一个没变？强烈要求各位帮忙举报！ ——————分割—————— ——————分割—...

                        ",Ada Wang,推荐,1117
8,复仇者联盟3：无限战争,"

                        索尔：嗨，大家好，我是雷神索尔，上一集中我没了锤子还没了右眼，那还玩个锤子？所以这一集中我改用斧子了。虽然我遭受的创伤是所有人中最多的，但是放心吧，我可是男主角，哦不，我是说放心吧我可是一个神，所以我不会这么轻易地狗带的。抱歉各位，最后一斧子没劈到灭霸的头...

                        ",卡尔文劳斯特张,还行,704
9,复仇者联盟3：无限战争,"

                        老实市民为何在头上镶钻？ 性感少妇为何羊癫疯发作？ 为什么她去做了头发，他就绿了？ 为什么雷神在《雷神3》看了整整一集绿巨人，不但没让视力变得更好，反而还瞎了一只眼睛？说好的多看绿色可以改善视力呢？ 雷神单眼开飞船，是否违反宇宙交通管理条例？ 神探和小伙伴辞职做...

                        ",凌睿,力荐,643
10,复仇者联盟3：无限战争,"

                        在片尾自己消失之前，奇异博士对托尼说：There was no other way. 他做了什么？用时间宝石交换了托尼的性命。 在这部电影中，在他观看14000605种可能之前，他明确地对托尼和小蜘蛛说我会选择保护宝石，如果牺牲你们的性命也要这样做。这应该是一个伏笔——他做出了一个明显的改...

                        ",康anachronism,力荐,785
11,复仇者联盟3：无限战争,"

                        很明显，这个影评有剧透。 =====我是防止推荐显示剧透的分割线=======我是防止推荐显示剧透的分割线=======我是防止推荐显示剧透的分割线=======我是防止推荐显示剧透的分割线=======我是防止推荐显示剧透的分割线=======我是防止推荐显示剧透的分割线=======我是防止推荐显示...

                        ",FluorineSpark,力荐,452
12,复仇者联盟3：无限战争,"刷了《复联3》7遍以后，还是很难下笔去写这样一部现象级的电影，因为有太多角度去延伸，每一个延伸都能写出万字解析。 所以最后决定，就选自己最想表达的角度吧，来聊聊大家对《复联3》一些热门谜团问题。 可能有些问题别人也作出过分析回答，但大聪对这些问题的看法，一定是从...

                        ",大聪看电影,力荐,482
13,复仇者联盟3：无限战争,"

                        电影局之前曾跟大家报道过一则新闻： 美国首映当天，一位观众看完《复联3》之后，直接在电影院现场昏厥了，被救护车紧急送往医院抢救。 这还算好的，只是晕厥。没想到《复联3》在印度上映期间，竟然出了人命！ 一位43岁的印度工人在电影院观看《复仇者联盟3》直接死在了现场。 ...

                        ",X教授的傻儿子,推荐,483
14,复仇者联盟3：无限战争,"

                        最后的洛基，不再两面三刀，顶着不死之神的身份，死在了哥哥面前，他终于还是奥丁之子。 最后的铁人，耗尽了身上的每一寸铁，裸露着凡人之躯，坐在废墟上，等着被消灭，被遗忘，身后是他的小辣椒和婚期。 最后的小虫，倒在亦父亦友的铁人怀里，他说不想走，他说他恐惧，但是他...

                        ",小虎,力荐,296
15,复仇者联盟3：无限战争,"

                        本文首发于电影幕后故事微信公众号（微信号“saymovie”），欢迎关注，看幕后君第一时间为你评新片，品经典。 FBI Warning：本文有剧透！没看过本片，又不想被剧透的请速撤离！ 用十年的等待，换来2个半小时的快感，究竟值不值？ 我觉得值，如果你等待的是《复联3》，那就太值...

                        ",电影幕后故事,还行,557
16,复仇者联盟3：无限战争,"1.诸神黄昏过后剧情完美承接复仇者3开头，正值兄弟俩在讨论洛基去地球会不会被人人喊打的时候，眼前出现了庞大的飞船。就是灭霸和黑曜五将的飞船。 2.洛基对灭霸说:我们有浩克，这个梗出自复仇者1，当时托尼对洛基说的话。 3.开头托尼和小辣椒讨论孩子时谈到了Morgan，经查阅美...

                        ",Ada Wang,推荐,363
17,复仇者联盟3：无限战争,"

                        作者 | 荷兰弟的女朋友 从2008年第一部《钢铁侠》到这部《复仇者联盟3：无限战争》，漫威用十年时间构建起庞大的电影宇宙。 作为第三阶段的收官之作，《复联3》集结了漫威宇宙近百名重要角色，两个半小时满满都是信息量。不散小队为大家一一梳理好全片中你可能错过的80个彩蛋，...

                        ",不散,推荐,130
18,复仇者联盟3：无限战争,"对于一部接近160分钟的史诗级电影来说，《复仇者联盟3》绝对不会令人失望：在罗素兄弟出色的整合力与执行力之下，电影统一了一个经过10年19部电影锻造的超级英雄宇宙，在一个相对完整的故事中装进了76个角色，四到六条情节线齐头并进稳而不乱，还布满了典型的迪士尼/漫威式人畜...

                        ",CydenyLau,推荐,197
19,复仇者联盟3：无限战争,"萨诺斯的生态恐怖主义及其命运悖论 ——从《复仇者联盟3》看萨诺斯的定位 ——知识的诅咒？或不及格的诅咒？ 文=空语因明 战争是一切之王，它显明这些是神，那些是人。 ——真?赫拉克里特。 萨诺斯=灭霸，作为漫威电影宇宙目前反派里最被熟知的陌生人，应该是《复仇者联盟3...

                        ",空语因明,推荐,279
20,复仇者联盟3：无限战争,"

                        前言：严重警告，本文有严重剧透。 再次严重警告，本文以吐槽为主，不喜勿喷。 灭霸同志，成为宇宙中最大的反派，夺取六颗宝石，不是为了自己称霸宇宙，不是为了自己的欲望，恰恰相反，他是为了宇宙里的黎民百姓，为了让他们能过上小康生活，为了宇宙的可持续发展，跟外面那些...

                        ",人生路甲,较差,156
21,复仇者联盟3：无限战争,"

                        《复仇者联盟3：无限战争》在IMDb拿下了8.9的高分，已经成为漫威至今最高分的作品。 此前漫威最高分是《复仇者联盟》（2012）与《银河护卫队》（2014）的8.1分，相比之下，拉开了整整0.8的分差。 在观影人数近30万的情况下，这个分数下降空间也不大了。 与之相对的是，在影评人...

                        ",架空,力荐,218
