,影片名,评论内容,评论人,推荐星数,有用数
0,天下第一,"看天下第一，就是因为剧照中小璇子那女扮男装帅气的一笑，为此把抵制那个鹏的誓约都压了下去。璇的男装比女装飒爽和干净，而且处处透着一股带活力的英气。她出现的时候是个神话，一个心思缜密能力超凡的女强人，一个能把只有在神话中才出现的天下第一庄打理得井井有条的女强...

                        ?(展开)",林家苏哥哥,推荐,102
1,天下第一,"这篇剧评可能有剧透

                        “护龙山庄”天地玄黄四大密探，和权倾天下、野心勃勃、狠辣凶残、阴谋篡位、残害忠良的曹正淳以及雄才伟略、城府颇深、胆识过人、至情至性、匡正时弊的铁胆神侯朱无视之间的明争暗斗，爱恨情仇的故事。“天，地，玄，黄”，出自《千字文》的“天地玄黄、宇宙洪荒、日月盈昃、...

                        ?(展开)",中药,推荐,38
2,天下第一,"从再生缘中聪明机灵的状元孟丽君到天下第一中一身白衣翩翩飞至的公子，叶璇的男装给我留下了相当深刻的印象，英姿飒爽不扭捏总有种翩翩佳公子之感，在一众女扮男装生怕让人看不出之流中绝对是清流中的清流。    上官海棠这么个敢爱敢恨的人物，她聪明她洒脱她果断，与归海一刀...

                        ?(展开)",御剑乘风,力荐,38
3,天下第一,"其实这部电视剧可以说是武侠电影的感觉，刨去女主的玛丽苏部分。叶璇那个时候长得的确好看，但是貌似电视剧的颜值担当落到了霍建华和高圆圆和黄圣依等配角身上。 男主角被三个女人深爱，光环太强了，关键长得一般。如果按性格来说，一刀更好吧……成是非和公主的爱情也挺感人的...

                        ?(展开)",小女子无以为报,推荐,41
4,天下第一,"这篇剧评可能有剧透

                        明朝中期“护龙山庄”天地玄黄四大密探，和权倾天下、野心勃勃、狠辣凶残、阴谋篡位、残害忠良的曹正淳以及雄才伟略、城府颇深、胆识过人、至情至性、匡正时弊的铁胆神侯朱无视之间的明争暗斗，爱恨情仇。(?????????) 小时候非常喜欢看，人物剧情也...

                        ?(展开)",爱吃馒头的宝宝,力荐,23
5,天下第一,"这篇剧评可能有剧透

                        大明重臣铁胆神侯朱无视雄才伟略、胸怀天下，他建立了赫赫有名的“护龙山庄”保国安民，麾下有天、地、玄、黄四大密探。“天，地，玄，黄”，出自《千字文》的“天地玄黄、宇宙洪荒、日月盈昃、辰宿列张”。 “天字第一号”段天涯，冷静沉着，自小由铁胆神侯收养，在东瀛跟随“...

                        ?(展开)",南音,力荐,28
6,天下第一,"这篇剧评可能有剧透

                        第一次看到这个电视剧是看到别人在看，当时看到李亚鹏在东瀛学武，还有些忍者什么的，感觉有些新意。于是就从头把此剧看了一遍。搀进东瀛、忍者这些元素确实让剧情丰富了些。 高圆圆的日装造型和她敢爱敢恨的个性。第9集中她刺杀段天涯时潇洒的身姿，第十一集中为了段天涯背叛...

                        ?(展开)",君子懿,推荐,37
7,天下第一,"《天下第一》是由王晶监制，邓衍成导演，程小东担任武术指导的一部武侠剧，由李亚鹏、霍建华、叶璇、郭晋安、黄圣依、高圆圆、邓超、张卫健等两岸三地众多实力演员联合主演的一部超强阵容的大型古装武侠连续剧。 这部武侠剧可以说是一代人的回忆，也是最经典的武侠剧之一，其精...

                        ?(展开)",HANABI,推荐,14
8,天下第一,"现在看看这部剧，阵容还是挺强大的，段天涯（李亚鹏 饰），归海一刀（霍建华 饰），上官海棠（叶璇 饰），成是非（郭晋安 饰）是护龙山庄的四大密探，各自有着江湖众人无法匹及的绝技，效命于神侯朱无视（刘松仁 饰），还有柳生雪姬(黄圣依 饰)，柳生飘絮(高圆圆 饰)，还有那个...

                        ?(展开)",兵长一米六,还行,30
9,天下第一,"《残酷的美好》 曾经以为绝对 都变了绝对相对 为什么我们昨是却今非 多少的雨打风吹 让天真伤痕累累 当真心长了茧 是否不再碎 你一句话 就把防备都摧毁 你的温柔依然尖锐 噢... 我的沙漠 等待不来的雨水 你却问我在等谁 你装作你看不到 你都不知道 我以为断了 却还是对你 忘不...

                        ?(展开)",任性,还行,11
10,天下第一,"这篇剧评可能有剧透

                        这部剧阵容强大，内容丰富精彩，可以说是一部不可多得的古装喜剧武侠片。当年看得挺欢乐的，放在今天也很经典，尤其是开头音乐，一响起，里面的角色、剧情都瞬间在记忆中涌现。不得不说王晶的面子挺大的，他的剧一向主打明星牌，总会有各种各样有名的演员明星出现，什么《八大...

                        ?(展开)",呆呆,力荐,17
11,天下第一,"今天大半天的农药玩不了 闲来无事就翻以前的电视看 果然还是以前的好看啊 配乐都超级好听！！（感觉以前电视剧里的纯音乐都是互相串的？比如成是非出现的时候那个音乐和小鱼儿与花无缺里的一模一样诶） 剧情太傻了 段天涯和利秀走了一路人家拿簪子扎你你都没感觉？ 故事线太松...

                        ?(展开)",爱吃糖的猫,还行,39
12,天下第一,"对这个电视剧印象最深刻的就是深圳台每天7点放，那时候新闻联播期间只有这一个可以看，所以一直看一直看，特别熟悉。感觉那时候电视剧真好看啊，编剧的功力太深厚可，情节跌宕起伏，涉及的每一个人物都是鲜活的，包括配角也有丰富的故事，武功秘籍和各种奇奇怪怪的名字，编剧脑...

                        ?(展开)",雨夜与你,力荐,11
13,天下第一,"天下第一特好看哦，我都看了三遍了，上官海棠（叶璇饰）女扮男装很是英姿飒爽，归海一刀（霍建华饰）冷酷又深爱海棠，成是非和云萝郡主这一对欢喜冤家也颇为搞笑，还有高圆圆等人的演出也很不错，力荐大家看看啦

                        ?(展开)",淘气与珊,力荐,30
14,天下第一,"友尝云归海一刀者，余未闻之，乃问何人也？  友肃然赞曰：“亦侠之大者也！”尽诉其平生。  归海一刀者，以刀称之，世人莫有敌者，是为天下第一刀也。其性坚忍，谨言慎思，智勇有德。少时为报父仇入护龙山庄。七年即修霸刀，故佞臣朱无视授之“地”字密探以为己用。  然终与其...

                        ?(展开)",焰,还行,20
15,天下第一,"古三通，一个被称为不败顽童的武林高手，天下间没有什么可以束缚得了他，除了那个与他自小指腹为婚的少女，素心。 素心，素心。一个让人念起来就会觉得温暖的名字，从这个名字里，你似乎可以看到一个眉目温婉的少女，正撑着一把伞，从江南细雨蒙蒙的小镇中走出来。她或许并不是...

                        ?(展开)",雾和酒馆,推荐,15
16,天下第一,"这篇剧评可能有剧透

                        第二次试图看这部剧，一集没落的看了进去。 第一次记得哪里看到了叶璇男装的图，很美，找剧，进入，一听怎么是这样的配音，不喜欢，退了。 多年后，过年了，外面噼里啪啦的好是热闹，亲朋好友也在外面聊天，聊一些过年应该聊的话题。 乱，于是lz就想找点东西看，主题不能太沉重...

                        ?(展开)",seabiscuit,还行,13
17,天下第一,"在b站刷了一波童年回忆，算是半架空的历史剧。说一下演员吧，李亚鹏饰演的天字第一号段天涯是一个很中国化的大哥形象。他仁义忠信有责任感，初恋是雪姬，后来因为责任娶了雪姬的妹妹飘絮。最终柳生一家都因为他死了吧，只能说柳生一家除了雪姬就没有好人设；霍建华演了地字第一...

                        ?(展开)",阿津,推荐,9
18,天下第一,"这篇剧评可能有剧透

                              是冲着叶璇去看的电视剧，叶璇所扮演的上官海棠英俊潇洒，一袭白衣在身真的是有道骨仙风的侠气，她正气凛然，一心忠君报国，为了江山社稷付出了她的青春与热血。       二十几年的女扮男装或许早就让她习惯了男子的生活，在她的生活里除了收集情报、完成任务之外，就是满...

                        ?(展开)",凌诺君,力荐,7
19,天下第一,"这篇剧评可能有剧透

                        四年级第一次看天下第一，初中四年沉迷其中无法自拔，现在我大三了，对它却依然爱的深沉。但是，我仍然没法给五星，因为一些剧情，真的不连贯，甚至有些前后矛盾啊，如果当初编剧和导演，再用心一点就好了。 演员真的是没话说，大陆的，港台的，日本的，新加坡的，演技通通在线...

                        ?(展开)",剑号巨阙,推荐,3
20,天下第一,"正在B站重温本剧，看弹幕版的感受就是不一样，总会有人提醒你哪里有BUG。 所以本帖我就收集一下本剧的穿帮镜头和矛盾剧情。  1.第2集里成是非见古三通那段，古三通说他7年没见外人了。然而第1集里朱无视刚刚去看望了他，而且看样子第1集和第2集之间不像是差了几年。  2.第2集40...

                        ?(展开)",彼端の雲,力荐,10
21,天下第一,"十分经典的一部古装武侠片，借用别人的话来说，这才是真正的武侠。而其中夹杂的柔情又十分让人痛心。 天涯的情路孤苦，命局其实早已注定。 成是非和云罗这对欢喜冤家。 神侯谋划一生却唯独败在了自己平生所爱之上。 令人印象最深的还是海棠一刀，这段情路最坎坷的情侣。 我爱你...

                        ?(展开)",追逐那逝去的...,力荐,6
22,天下第一,"这篇剧评可能有剧透

                        很小的时候就看过，高中又看了一遍，想法却完全不同了。只能说是心境随着经历悄然转变了吧。 以前很喜欢陈法蓉，所以连带素心也喜欢，现在却觉得有点白莲花潜质，心里是古三通，却把神候当备胎，结局的牺牲计谋让我有些心寒，甚至可怜神候。 以前喜欢郎才女貌的一刀海棠组，后...

                        ?(展开)",遇到你花光运气,推荐,3
23,天下第一,"这篇剧评可能有剧透

                        上数昨日风流累， 官路坎坷欲流泪。 海上明月心难平， 棠败梅开含苞蕾。 她，是护龙山庄铁胆神侯身边的“玄字第一号”，也是天下第一庄庄主，她网罗天下第一人才，机智过人，医卜星相，无不通晓，羽扇纶巾，文采风流，颠倒众生，看似浊世佳公子，却实为一倾国红颜，集天地灵秀...

                        ?(展开)",简单点再简单点,推荐,4
24,天下第一,"小时候似乎没有看全，就记得郡主那对很欢乐，神侯很狠。之前在b站上重温了一下，还是很好看，剧情跌宕起伏，尤其是很多搞笑的地方，演员的演技也很不错，再看看今天的魔幻武侠剧，怎么就堕落成这样了。  这部剧最出彩的角色无疑是海棠，作为一部武侠剧这真是很少见。海棠的人设...

                        ?(展开)",晚照听花落,推荐,1
25,天下第一,"从来都是成者为王败者为寇，赢了便是天下，输了便是死亡。就算是believe，中间也藏了一个lie，到底谁可以相信，到底谁能靠得住？没人知道，有时候伤害你的往往就是你最亲的人。有人，因为“情”而成事，也因“情”而败事，正所谓“成也情，败也情也”，神候，终极大boss，他训...

                        ?(展开)",Somuns,推荐,4
26,天下第一,"1. 我叫曹正淳，是个阉人。     第一次做阉人，是在七岁。 很少有人这么小就成为阉人，除非他有个跟我一样的爹。    他是个杀猪匠，杀很多猪，却总买不起猪肉。每次杀完猪都在水缸里洗手，他说每天这样就可以喝油水。  油水不是水，我明白他的意思。     如果人一生分四季...

                        ?(展开)",快走我有神经病,推荐,6
27,天下第一,"这篇剧评可能有剧透

                        是不是这几年对李亚鹏的演技都低估了？ 片中李亚鹏背着高圆圆演的飘絮往山下走，李亚鹏把对逝去恋人的爱和对恋人妹妹的怜惜在脸上表现的淋漓尽致。看到那个瞬间，才理解为啥当初王菲会嫁给他。满脸的柔情！柔情！柔情！ 唉，可惜现在不演了…… 啥？没有140字？我再想想想想想...

                        ?(展开)",你外婆叫你吃饭,力荐,1
28,天下第一,"看天下第一，就是因为剧照中小璇子那女扮男装帅气的一笑，为此把抵制那个鹏的誓约都压了下去。璇的男装比女装飒爽和干净，而且处处透着一股带活力的英气。她出现的时候是个神话，一个心思缜密能力超凡的女强人，一个能把只有在神话中才出现的天下第一庄打理得井井有条的女强人...

                        ?(展开)",微笑面对每一天,推荐,
29,天下第一,"再看天下第一，恍若旧梦。 只先看了首集，却发现那些场景仍然清晰。 我记忆里的海棠呐，好像还是那样翩翩的。她那样飒爽干净，一个转头都带着英气，好像春草初生的活力。她真的特别特别好，无论是女扮男装的上官公子，还是改换红妆的海棠，她都是最好的。所以，我一直还觉得叶...

                        ?(展开)",寥寥,力荐,
30,天下第一,"这篇剧评可能有剧透

                        这部电视剧招人喜欢的角色太多了，比如潇洒又温柔的上官海棠，沉默但是深情的归海一刀，稳重成熟的天涯，甚至惊鸿一瞥的雪姬也有着独特的魅力。而且不得不说王晶是个超级颜控，每个人的颜都标致的不得了。 但是我最喜欢的是那个啰里啰嗦，油头滑脑的成是非和他那个任性不娇纵的...

                        ?(展开)",轻言sunshine,推荐,1
31,天下第一,"这篇剧评可能有剧透

                        爱情，是人无法避免的一个感情。 雪姬为了爱情，可以牺牲性命 海棠为了爱情，可以另嫁他人 飘絮为了爱情，可以自杀谢罪 神候为了爱情，可以有负天下 云罗为了爱情，可以以身试险 一刀为了爱情，可以自断右臂 …… 大家生活中，离不开情与义，爱情是伟大的，但是义气也是伟大的...

                        ?(展开)",iFelicity,推荐,
32,天下第一,"小时候看的经典武侠片，去年重温。发现了更多亮点。人物形象塑造的简直不要太让人喜欢！这几个演员给我印象太深了。成是非顽皮，一刀冷酷，海棠善良温柔，段天涯重情重义，神侯大奸似忠。 看到最后真的是好触动，一个最亲近的人最后居然是最奸诈阴险的人，在他的世界里别人都是...

                        ?(展开)",你称把小纸伞,力荐,
33,天下第一,"这篇剧评可能有剧透

                        最近在B站重温了一遍这剧，就谈谈本剧的卡司吧~~ 霍建华      他在这里扮演的是归海一刀，从姓就可以看出来，归海——归于海棠，绝对官配。归海一刀算是一个冷漠的角色，只对海棠柔情，但也不是全过程板着脸的（敲黑板！各小鲜肉请注意：不是全过程一张死人脸就是冷酷）。杀人...

                        ?(展开)",小缪,推荐,
34,天下第一,"苦求而不得是苦的，而求得之后发现不是自己想要的，是最苦的。因为前者尚可追求，后者却只有追悔。 “没有素心，我当皇帝还有什么意思？” 这“赢了天下输了你，”“江山如画，不及你眉间一点朱砂”的肉麻宣言，唯一有资格说的怕是只有铁胆神侯了吧。

                        ?(展开)",本大爷,力荐,
35,天下第一,"这也是很早的一部古装剧了，不得不说很多90后的小时候都是浸泡在古装剧里面长大的，可见古装剧在中国的影视文化里有着多重要的地位，这部剧的女生都很漂亮，每个人的性格特点也很鲜明，性格孤立的飘絮让人敬畏，美丽善良的素心，活泼可爱的云罗，机智聪明的海棠，最喜欢里面的...

                        ?(展开)",楠楠楠竹山,还行,
36,天下第一,"今天是2016年10月30号，第一次看这个剧的时候还是小学生，如今已经大四了，前几天突然想起来就重新看了一遍，每一个人物都那么鲜明。段天涯的忠孝节义，海棠巾帼气概，柔情似水，一刀的侠骨柔情，坎坷经历，成是非的玩世不恭，潇洒任性。   那时候黄圣依和叶璇还很美！雪姬和天...

                        ?(展开)",叶孤城,力荐,2
37,天下第一,"一日，一月，一年，乃至一生都不過只是一個時間，長長短短我說不清。愛恨的量衡單位不會依靠這些，也許一日執著勝於一生所愛，也許半生之恨須臾化解。  情情愛愛總喜歡說生生世世，不管緣分也好，命定也罷，孟婆湯一仰而盡，奈何橋回不了頭，我都以為此生是此生，彼世歸彼世。 ...

                        ?(展开)",果果,推荐,1
