,影片名,评论内容,评论人,推荐星数,有用数
0,如果，爱,"《如果，爱 》昨晚首播，该剧讲述女主万嘉玲(张柏芝饰演)在经历离婚后重新找回人生的治愈故事，同时张柏芝担任该电视剧的总制片人。  这是典型的传统家庭生活模式，女人在家带孩子没权没钱没地位。什么都要靠老公，在婆家一直都是小心翼翼谨言慎行的样子，看得我憋屈死了，新时...

                        ?(展开)",往事不要再提,还行,37
1,如果，爱,"感觉是是翻拍韩剧家和万事兴，不过张柏芝这美颜真的很能打，一举一动、一颦一笑曾让无数人沉迷。张柏芝的回归之作还是很让人惊喜的，觉得不光漂亮，而且演技也需要人生经验的沉淀，在医院把宇晨当作逸轩的那段哭戏都看哭了。不过又是一个悲惨的女主抓到自己老公出轨…… 人生最...

                        ?(展开)",发呆中的电冰箱,推荐,36
2,如果，爱,"熟悉的配方  熟悉的剧情 熟悉的台词 我们小时候妈妈和奶奶喜欢看的电视剧让我们跟着受罪的剧，如今自己也喜欢啊 张柏芝的颜值还是服气的，男主嗯嗯嗯不评价，因为他出轨了！！！ 其实挺反映社会现象的，剧本挺符合现代的一些家庭的，当年回家的诱惑也火，家庭伦理剧，妻子复仇...

                        ?(展开)",怼怼怼就是你,还行,54
3,如果，爱,"看了一点点，真的好尼玛狗血啊，什么鬼剧情啊！！！！什么出轨，婆媳，自己前夫得了绝症(编剧你是老版韩剧好多了吗……)(现在韩剧都不敢这么写ok？？？) 以及我觉得吴建豪演的男主角宋乔植脑子是不是有点进水了，自己这么漂亮的老婆不要，去和自己秘书不清不楚……emmmm 还有配...

                        ?(展开)",许凡若曦,还行,50
4,如果，爱,"张柏芝还是好美啊 来我们认识一下她的婆婆  不理解她婆婆的下嘴唇的口红为什么要涂的这么外边  果然有钱人  想多涂点口红  浪费一下吗？ 张柏芝在剧里叫万嘉玲  嫁给了一个有钱人  但是她婚后并不幸福  婆媳关系不好  她和老公的关系也不好  而且儿子还在三年前出车祸死了  那...

                        ?(展开)",峰回路转,推荐,42
5,如果，爱,"这篇剧评可能有剧透

                        电视剧《如果爱》张柏芝沉寂几年后的回归之作。曾经的妙龄少女，如今成熟女人，应该值得期待。第一集里张柏芝的哭戏爆发力不错，还有，柏芝一笑，那种天真明亮的少女感瞬间屏幕感爆棚，让人不得不想起自己的初恋，20年来还是那么美，那么久了，复出新剧收视一定要好啊。她私人...

                        ?(展开)",花吖,推荐,33
6,如果，爱,"今天看到预告，是在温柔的弦后面播，然后看到有张柏芝，吴建豪，还有十八岁的天空里面的裴老师，都是回忆啊，就耐着性子看了一下。 开头就是婆媳之间的矛盾，因为三年前女主孩子因车祸皮死了，婆婆让生二胎，但是女主要完全没有从悲伤中走出来，然后就一直不和的样子，想说一下...

                        ?(展开)",兮颜,还行,34
7,如果，爱,"首先看到这个剧情和预告片我就不喜欢，很抵触它，这样的狗血剧情居然柏芝女神也会选择拍。而且我感觉这和现实中的亲身经历有点像，虽然我相信感同身受她能够把握好度，或许能够将它演好，可是这样的剧本很多人都会不接受的，这个明明和当年火的不要不要的回家的诱惑是样的。但...

                        ?(展开)",吼吼吼吼,较差,33
8,如果，爱,"女主角，家庭主妇，丈夫不爱，婆婆不待见，然后经历变故自立自强，从以前的逆来顺受变得找回自我。 男主角，妈宝男，开始冷落妻子，性格懦弱，后来变得勇于追求挚爱。 最后俩人肯定相扶相持，家庭幸福，走向美满大结局。 看了这么多年的偶像剧，咱能换个套路吗？ 现在真的是什...

                        ?(展开)",蝶衣,较差,38
9,如果，爱,"《如果，爱》中，张柏芝饰演的家庭主妇万嘉玲，从逆来顺受的全职太太，逐渐找回了曾经独一无二的自己。谈及角色张柏芝坦言：“她是很多女性的代表，我可以从她身上看到自己三十岁时的很多情绪和人生经历。” 而《如果爱》果然包含了很多，简直就是一部狗血大集合的电视剧，各种...

                        ?(展开)",浮生愿景,还行,34
10,如果，爱,"这么多年了狗血剧还是有它固定的市场，遥控器把控者大妈们对狗血、出轨、小三、婆媳关系等话题有着执着的喜爱，所以这种狗血剧也是经久不衰。不同的是，当年青春玉女已走下神坛拍起了家庭伦理剧，大妈们对于这剧剧情多年的追求却还是纹丝未动。这剧的狗血程度简直是为大妈量身...

                        ?(展开)",一言不合,还行,27
