,影片名,评论内容,评论人,推荐星数,有用数
0,当幸福来敲门,"（本文剧透，阅读须谨慎……）      一段时间以前，一位在港的大陆学生，因为学业的压力、前途的渺茫等诸多原因，选择了自杀。在讨论和反思的潮流中，有一位毕业生在校内网匿名发表了自己的故事。他说，自己当年在学校也曾经面临绝境，一文不名。他选择了做“乞丐学生”，坚持...

                        ?(展开)",ida,推荐,3347
1,当幸福来敲门,"片子中有个关于上帝的笑话是这样的：一个虔诚的落水者希望上帝能救他。一艘船过去了，他拒绝被救，说，上帝会来救我的。第二艘船又过去，他仍然以同样的理由拒绝被救。后来落水者溺死了。天堂上，他不服气问上帝，万能的主啊，你为什么不来救我？上帝回答道，为了救你，我派出...

                        ?(展开)",张樾,推荐,2478
2,当幸福来敲门,"（一）   罗永浩在吉大做了一个演讲，叫《我的奋斗》。其中，有一个他早年在新东方学习英语的故事。   他们学习的地方，在北京附近的一个山上。很多人象疯子一样拼命地背单词。他觉得这种疯狂的感觉真好。   他经常在晚上2点过离去的时候，还有很多人在坚持。   有一天，他决...

                        ?(展开)",铂程斋@喷嚏网,推荐,1829
3,当幸福来敲门,"今天又看了一个关于loser的故事。其实我一直觉得英语loser要比中文里的“失败者”严重得多，当你被冠以一个“loser”的名号，你就要抬不起头来；要是你被人称作“total loser”的时候，恐怕你这辈子都不要想翻身了。     但这个故事无关乎成功，只关乎幸福。     唐人街料...

                        ?(展开)",cathystour,推荐,818
4,当幸福来敲门,"年三十清晨，我翻出《当幸福来敲门》这部片子，默默开始看。  电影里没有漂亮的演员,没有花哨的剪辑,也没有精彩的配乐……但是却有一个好故事，一个足以令我坐在电脑面前看完并为之感动的好故事。   励志题材的故事大概都是这个模式：窘迫的处境，艰难的奋斗，没完没了的倒霉事...

                        ?(展开)",Pin,推荐,691
5,当幸福来敲门,"途加千字文俱乐部专稿  打开邮箱，看到一封offer静静地躺在那里。无数次梦寐以求的画面在那一刻终于定格成现实的时候，我却没有预想的那样激动，只是不由得想起了Chris在听到“你明天还可以穿着这身衣服来上班”的时候那张老泪纵横的脸。  也许幸福永远都是都要在无数的折磨和...

                        ?(展开)",[已注销],推荐,344
6,当幸福来敲门,"感动。 在父子俩在餐厅里坐着，看着远处一家人快乐的吃饭的时候。修好的机器亮起了灯，明亮的就像是来自天堂。chris红了眼圈，和上司们一一握手，然后冲出去，冲到幼儿园，抱起他的儿子。 所以他生活的这一部分，这一小部分，叫做幸福。  诚如人人都偶尔会犯傻会火星一样，人人...

                        ?(展开)",Vermouth,力荐,210
7,当幸福来敲门,"经典的文艺作品总是充满精神力量打动人心，《当幸福来敲门》一部小投资电影，没有特技特、华丽的场景、深沉的音乐，然而就是靠着质朴的故事,就能打动人。  克里斯在通往成功的道路上，遇见了许多绊脚石，克里斯被迫四处流浪，最让我感触的是父子俩没有地方栖身，就到了地铁站的...

                        ?(展开)",品茗听雨轩,推荐,115
8,当幸福来敲门,"影片男主人公克里斯·加德纳，是一名濒临破产的落魄业务员，在人生低谷经历了妻子出走、和儿子相依为命、存款仅有21美金、没薪水的实习…… 最困苦的时候，克里斯每天要带着儿子来到教会收容所排队，为了争取床位，他不惜和别人争吵打架。没有床位的时候，他带着儿子住在车站的...

                        ?(展开)",一醉一陶然,力荐,53
9,当幸福来敲门,"每个人都会有一段异常艰难的时光，学业的压力，工作的失意，生活的窘迫，爱得惶惶不可终日。挺过来的，人生就会豁然开朗；挺不过来的，时间也会教会你怎么与它们握手言和。” “你要尽全力保护你的梦想。那些嘲笑你梦想的人，因为他们必定会失败，他们想把你变成和他们一样的人...

                        ?(展开)",一个大脑壳,力荐,59
10,当幸福来敲门,"“这是我人生的一部分”。 即使影片的中文名起得极富诗意，“当幸福来敲门“，它依然只是人生的一部分。 在经历了那么多不堪与苦难之后，幸福终于来了，那么等幸福来了之后呢。 人总贪婪，再多幸福都不知足。有大志的人，每一天踏踏实实认认真真做好每一件事，善待他人，委屈自...

                        ?(展开)",圣墟,力荐,60
11,当幸福来敲门,"他是一个普通的人，一个普通的男人；一个普通的丈夫；一个普通的爸爸，一个走在大街上都不会让人认出的人，却真真切切的感动了我，震撼了我，眼泪在那不经意间流淌。 chris的不屈让我震撼；chris的坚持让我佩服；他是执着的代名词，是不屈的代言人，他用行动向我们证明，向世人...

                        ?(展开)",雨洛,推荐,55
12,当幸福来敲门,"你总说，你有从小到大的梦想； 你总说，现实残酷的让人无可奈何； 你总说，对于你想要的你力不从心； 你总说，你就算如何还是和想象将将差那么一步； 你总说，时常迷惘而不知道要什么。 而《当幸福来敲门》影片里的Chris只说一次：You got a dream, you gonna protect it. Peop...

                        ?(展开)",山水烟花,力荐,61
13,当幸福来敲门,"你是在什么状态下看这部电影的？ 是和恋人手拉着手在电影院甜蜜共享，还是一个人宅在昏暗的房间里独自欣赏？ 是下了班拖着疲惫的身躯回家随意看看，还是和同样郁闷的朋友相约一起寻找安慰？  我们中的大多数，终日在钢筋混凝土的城市森林里打转，每天踩着时间点做该做的事情，...

                        ?(展开)",巢北,力荐,136
