,影片名,评论内容,评论人,推荐星数,有用数
0,微笑Pasta,"这篇剧评可能有剧透

                        这对欢喜冤家，因被狗仔追拍而被迫扮演一对假的未婚夫妻，而两人在相处中也不知不觉对对方动了真心，何群也逐渐被晓诗的乐观微笑，微笑Pasta店所有成员的温暖融化，找到原本被封存的笑容和温暖性格，积极面对自己的人生，找回失去的亲情与梦想。阿哲虽然处处与何群对立，却在一...

                        ?(展开)",薛凯琪,推荐,45
1,微笑Pasta,"可能现在长大了，看的剧也多了，接触的不同类型剧更多了，对电视剧的要求也高了很多，这个在当初也是很火的，放在现在可能就没多少人看了吧，这部剧实力诠释颜值不在线也能颜偶像剧，不过张栋梁是真的蛮有才的，到现在虽然剧情差不多都忘光了，但是小乌龟依然记得，还会唱，真...

                        ?(展开)",烦烦,还行,40
2,微笑Pasta,"台湾偶像剧《微笑pasta》又名微笑百事达，讲述一对八竿子打不着的年轻男女，因为街头的一次意外撞击，不小心撞出漫天绯闻，也撞出一段趣味横生的浪漫情缘，两个平行的人生，从此交缠在一起，展开了一段浪漫而不凡的人生旅程。 何群跟晓诗这对欢喜冤家，因被狗仔追拍而被迫扮演...

                        ?(展开)",毛毛球的毛毛虫,还行,32
3,微笑Pasta,"微笑Pasta，一家店。 里面有一个天真直率的平凡少女，成晓师，她被最喜欢的人阿哲学长下了「恋情永远不会满三个月」的魔咒。 跑步永远跑最后一名，还要穿上乌龟服。直到她遇见了男主何群那一天开始，她的世界发生了变化。 何群，歌坛小天王，也是一个富二代，他后面给女主写了...

                        ?(展开)",兵长一米六,还行,23
4,微笑Pasta,"一部很治愈的爱情剧，看得开心又感动，乐观可爱的女主和嘴欠却很温柔的男主搭配，不得不说，太温暖了…会为女朋友作歌的男朋友我最喜欢啦！ Ia Ia Ia Ia Ia Ia Ia Ia Ia Ia 这首歌要给一个人 歌声代替语言 深情只增不减 那一刻吻她的脸 地转天旋 爱的感觉 比樱桃更甜 双眼放送...

                        ?(展开)",黑洞啊,推荐,27
5,微笑Pasta,"一对八竿子打不着的年轻男女，因为街头的一次意外撞击，不小心撞出漫天绯闻，也撞出一段趣味横生的浪漫情缘，两个平行的人生，从此交缠在一起，展开了一段浪漫而不凡的人生旅程。 何群跟晓诗这对欢喜冤家，因被狗仔追拍而被迫扮演一对假的未婚夫妻，而两人在相处中也不知不觉对...

                        ?(展开)",满心欢喜,推荐,26
6,微笑Pasta,"感觉小时候自己接受能力超强啊，哈哈哈哈 看到热搜我又去百度了下这剧 《微笑pasta》是沈怡、丁仰国执导的台湾偶像剧，由王心凌，张栋梁等领衔主演。 该剧讲述一对八竿子打不着的年轻男女，因为街头的一次意外撞击，不小心撞出漫天绯闻，也撞出一段趣味横生的浪漫情缘，两个平...

                        ?(展开)",?,较差,34
7,微笑Pasta,"这篇剧评可能有剧透

                        一对八竿子打不着的年轻男女，因为街头的一次意外撞击，不小心撞出漫天绯闻，也撞出一段趣味横生的浪漫情缘，两个平行的人生，从此交缠在一起，展开了一段浪漫而不凡的人生旅程。 何群跟晓诗这对欢喜冤家，因被狗仔追拍而被迫扮演一对假的未婚夫妻，而两人在相处中也不知不觉对...

                        ?(展开)",南音,推荐,15
8,微笑Pasta,"老实说台湾偶像剧我看得很少，可最近却独独很喜欢这部剧。其实它跟大多数台湾偶像剧一样有很多硬伤，比如演员演技都不太过关，有些台词很烦（比如关于“乌龟”的一套理论），很多情节也挺幼稚的。 可是，就是这么一部看似一无是处的剧让我渡过了轻松开心，没有损害任何脑细胞的...

                        ?(展开)",tamashi,力荐,28
9,微笑Pasta,"挺喜欢这部电视剧的，它没有勾心斗角，也没有爱恨纠缠，就是很简单地喜欢与不喜欢，很轻松，很温暖，很欢乐。男女主长得都还可以，看着挺舒服的。      最一开始喜欢看是因为觉得里面插曲挺好听的。男主在剧中的形象配上低沉磁性的嗓音，配上一把吉他，我不小心就陷进去了，剧...

                        ?(展开)",梦游仙境,推荐,13
10,微笑Pasta,"我对于台剧最受不了的不是白目的女猪，不是白痴的配角，也不是幼稚的剧情（虽然这3点每一点都让我无法容忍），我最受不了的是在一开始高富帅男猪对屌丝女猪的各种鄙视。按照台剧定律，男猪高帅富女猪屌丝是一定的（这一点虽然俗烂但有人爱看我也可以接受），但在剧情一开始通常...

                        ?(展开)",鳗鱼拉芬,力荐,7
11,微笑Pasta,"微笑pasta，我最最最最最喜欢的偶像剧，没有之一，我很多朋友都不能理解，其实我自己也说不清为什么，它没有勾心斗角，也没有爱恨纠缠，就是很简单地喜欢或是不喜欢，友情或是爱情傻傻分不清楚，很轻松，很温暖，这十年，我看了几十遍，每一次都还会笑出来，用剧里的话来说：“...

                        ?(展开)",阳光暖暖爱幻想,力荐,10
12,微笑Pasta,"偶像剧的魅力 就是能把一个龅牙妹变成少男杀手 把娘娘腔整成电眼达人 把歪嘴台客弄成风靡少女的酷哥 把老气台妹演绎为“又美丽又智慧的女二号” 这样漏洞百出的剧情也能让我看得很快活  所以，资质真不重要，制度才是大关键。

                        ?(展开)",熏衣草的小香水,还行,8
13,微笑Pasta,"多幼稚的电视剧啊，好像全世界都在陪着那对主角玩。逻辑不通到极致，情节夸张到可以。可是那时候我们却是很认真很痴迷的看着，就算现在重温，虽对情节已经吐槽无力，却也依然还是能痴痴傻傻的笑出来。 说不清是那时的我们太傻太天真，还是那年头的剧烂都烂的那么精彩，总之好像...

                        ?(展开)",暮雪微微,还行,4
14,微笑Pasta,"偶像剧本来就很不合理，但是如果做得好我也不介意  微笑Pasta的不合理实在是让我有点难以接受 我只能说是导演和编剧的无能  不合理的地方包括  - 王心凌一直喜欢阿哲和17个男友是否属于劈腿？ - 记者们抓住王心凌来做新闻有点过于夸张，并不是什么值得炒作的新闻 - 跑龙套的演...

                        ?(展开)",shower999,很差,5
15,微笑Pasta,"很久没有看台湾偶像剧了，这次是因为朋友强烈推荐《命中注定我爱你》，看了之后，引起了我对台湾偶像剧的极大兴趣。刚好芒果台在播，看了一集觉得还不错，就到网上一口气看完了这部连续剧。 其实，张栋梁并不帅，可是他的笑容有种力量，让人温暖的力量。何群很酷，可是他的笑容...

                        ?(展开)",凯小茵,推荐,5
16,微笑Pasta,"也许里面的情节没有大波大浪，可是，我看了真的很好笑。 只要找到属于两个人的恋爱方式，就是幸福恋人。只要自己觉得幸福。

                        ?(展开)",漫沙妖,还行,3
17,微笑Pasta,"湖南台播了不知道多少遍的电视剧，也就看了那么多遍！电视剧里的小乌龟和北极星的眼泪两首歌也听了好多好多遍！这部剧的名字也是被改成好多个版本。以前的台湾偶像剧真的是很火很火呀！爱能不能永远 明天或许来不及变 北极星的眼泪 说不出的想念 原来我们活在两个世界 。男主女...

                        ?(展开)",一首歌一支舞,力荐,1
18,微笑Pasta,"我在网上看微笑百事达，一共有24集，可24集还没演完啊，我就搜25集，可是没有，这是为什么啊？ 

                        ?(展开)",小樱,力荐,
