,影片名,评论内容,评论人,推荐星数,有用数
0,心花路放,"第一次听说《心花路放》这个片子的时候，这个片子还叫《玩命邂逅》。 其实早就想到这个片子会好，但没想到这个片子仍然超出了我的预期。宁浩在这部片子所体现出来的新思维以及呈现人物的新方法让我眼前一亮。 我认为这是今年中国拍的最好的喜剧电影，他不是用低级乃至低俗的搞...

                        ?(展开)",白小蝎,力荐,6481
1,心花路放,"（不涉及剧透，反正也没什么好剧透的。）   今天正宅着呢，久在外地的老朋友G难得来电，约我喝茶看电影。大过节的想放松一下，自然选了这部颇受期待的喜剧电影。  进入影院之前，我期待的自然是 一部笑得前俯后仰的喜剧片，但看完之后，我和G都有点压抑，神情复杂，不是滋味。 ...

                        ?(展开)",小岩井,还行,2470
2,心花路放,"1、《心花路放》电影的灵感来自编剧岳小军的一段经历。岳小军两年前曾经在情感上出现了一些困惑，宁浩就劝他，然后他们开着车一路从北京到了广西北海。这一路也是岳小军的治愈之旅。在影片中，岳小军演了那个梧桐客栈里刷墙的老板。  2、黄渤在电影里演了一个过气的歌手，其实...

                        ?(展开)",王小鱼,推荐,1617
3,心花路放,"1.《心花路放》宁浩的一部投降之作。他拍了一部电视剧，或者说，一部电视电影。它更适合在中央六套播出，而非大银幕。以宁浩上一部院线片《无人区》的期待值去观察这部新片，显然，他做得不及格。这部电影只是一个话题剧的格局，一个轻飘的小品，囊括了中国剩女、中年危机、故...

                        ?(展开)",frozenmoon,较差,1379
4,心花路放,"宁浩新片《心花路放》即将于十一期间登上全国院线。这次他放弃了花哨的结构和剪辑，隐去了暴力与犯罪，专心讲好一段轻松搞笑的艳遇之旅。可宁浩骨子里到底是个多愁善感的人，尤其在这个人到中年的危机时段，他对人生的思考也更加细腻与沉重。所以，你真的看懂了《心花路放》里...

                        ?(展开)",何小沁,还行,626
5,心花路放,"看完这部片子，圈姐问我，这片子癌不？我说癌，真癌，特别癌。  好笑不好笑其实是仁者见仁智者见智的事，有人觉得好笑有人就觉得不好笑，但剧情有硬伤很雷很奇葩这个就可以拿来讨论了。  比如徐峥那条线，感觉一股敷衍了事的态度。阿凡达小妹，一个在旅游区当托坑游客的老江湖...

                        ?(展开)",刘康康,很差,1161
6,心花路放,"这是微信的时代，这是陌陌的时代；这是每个文艺青年都张罗着一场说走就走的旅行的时代，这是周末飞一趟大理或丽江便期待邂逅一场艳遇的时代；这是九零后和杀马特直接从劲舞团过度到开房的时代。  当被现代都市的快节奏浸泡到近乎麻木的年轻人们不再相信婚姻和爱情的时候，简...

                        ?(展开)",时间之葬,推荐,232
7,心花路放,"这篇影评可能有剧透

                                黄渤在片子里是个纯屌丝，有过文青的梦，甚至多年前发过唱片，但终究要为了生活回归现实。          袁泉貌美身段好，不缺求爱者，但因为要求很高，所以一直单身，在现实逼迫下成了所谓的剩女。在闺蜜结婚时巧遇已婚的前男友，又一次被深深的刺激到了。独自一人缩在家...

                        ?(展开)",shouren,力荐,195
8,心花路放,"限制级有点多，在班里放了几分钟老师就被迫给关了2333333后来自己看了又看的迷迷糊糊的，快结尾了才知道是个反转。讲真还是挺难过的，两人相遇相知相爱相别，男主在情殇中迟迟走不出来，让人羡慕那个女生——能这样被一个人爱着，真是幸福。最后没有像言情小说那样破镜重圆，让...

                        ?(展开)",春风十里,推荐,51
9,心花路放,"这篇影评可能有剧透

                        这部电影应该是个不错的回答。 看片子的时候，第一层，挺清晰的，大家都看得很开心。无非老婆跟别人跑了，基友带着上路约炮，一路槽点妹子不断，阿凡达杀马特大妈小混混轮番登场，最后观众满心期待黄渤和袁泉修成正果的时候，发现来了个时间错位，第一层故事一下子跃然纸上——...

                        ?(展开)",金正峰江湖骗子,还行,72
