,影片名,评论内容,评论人,推荐星数,有用数
0,忽而今夏,"我多年来一直看豆瓣，但很少写评，有的话也都发在自己微博和公号上了。这次是因为在讨论自家的剧，但《忽而》一书的初版已经是十多年前，这些年许多读者未必关注了我的微博，所以在此把微博的文章转发过来。 下面这个内容很长，耐心读完就是真爱。 之前还写了一系列关于《忽而...

                        ?(展开)",明前雨后,推荐,596
1,忽而今夏,"看了电视剧《忽而今夏》前8集，情不自禁想起自己高中生涯，尤其是关于高考的一些事情。觉得我的经历和女主何洛的挺像，都是中途奋起从学渣练成了学霸，然后考入全国top2的大学；不同的是我经历了两次复读，也没有像她那样曲折的感情经历。 剧中何洛他们参加高考的时间应该比我...

                        ?(展开)",韦大宝,力荐,308
2,忽而今夏,"这篇剧评可能有剧透

                        其实看完第一集和第二集的时候，我真的觉得这个电视剧挺俗套的，就是在重复之前偶像剧的套路，男强女弱的既视感。 不过看到第八集的时候，我觉得其实也就是开篇的时候很是俗套，其实后面部分还不错。至少何洛是通过自己不断的努力才取得成功的，而且她也不是传统意义上的弱者，...

                        ?(展开)",叶子的眼睛,还行,117
3,忽而今夏,"这篇剧评可能有剧透

                        看这部剧发现好多熟悉的面孔，其中最让我记忆深刻的就是教导主任，那个在振华中一连两部剧中都存在的教导主任，这一次在三中，他依旧是教导主任。 除此之外还有一个熟悉的面孔，振华的老师，三中的学生，而且还是个学习成绩不太好的学生。 不过这部剧里面的女主前面观感不太好...

                        ?(展开)",南 ことり,较差,80
4,忽而今夏,"这里有好多你熟悉的情节，熟悉的画面。纯净得让人嫉妒的青春岁月，有一种感觉--每个人心里都有一个叫“章远”的男孩--在我们最意气风发青春年华的时候。 这个球场上的男孩，格子衬衫、颀长的身影，优美的侧脸弧线，曾经定格在多少人心中。最常出现的画面，是车厢里立着的一对少...

                        ?(展开)",A班江直树,推荐,57
5,忽而今夏,"这篇剧评可能有剧透

                        已经追到第二十集了，真的是采访里面说的前半部分甜的要死，后半部分虐的要死啊，不得不说这部剧是我迄今为止看过的最棒的一部青春片。主演演技自然真实不做作，剧情精彩轻快不拖拉。 印象最深的就是男女主的表演，每个表演的细节都可深刻探讨，每一个小片段都能写一片小作文呢...

                        ?(展开)",你曾是少年?,力荐,72
6,忽而今夏,"这是一个关于异地恋的故事，很甜，也很虐，说不上哪里好笑哪里悲伤，可就是看着看着就笑了，看着看着就泪目了，或许，我们的内心，都有一段遥远而又无果的牵挂吧 看了几集  一直很喜欢校园故事  这个呢也算比较有趣  就先看一看 希望不要烂尾希望结局是个好结局，现实已如此残...

                        ?(展开)",樱花少女,推荐,56
7,忽而今夏,"第一次看是因为同事在看，就问了看的啥，下班回家就看了，看着看着有瘾啊，连着看了6集，第二天把剩下的看完了，就是一星期四集有点少了，一天一集多得劲啊，看下集的时候，上集也不会忘?不得不说，男主女主演技特别自然，也很真实，导演棒棒哒，演员棒棒哒，加油，记得最深...

                        ?(展开)",毛毛虫,推荐,61
8,忽而今夏,"虽说是老套的青春初恋套路，但是却又真实。真实在 感情变化的真实，从高中的两小无猜一起努力，到大学相隔两地的异地恋，其中产生的一系列问题，都是生活中所存在的。记得一个场景，章远小游戏被人看上，希望合作，但在何洛看来却是“不务正业”，站在上帝视角去看这部剧，看他...

                        ?(展开)",ponytail,推荐,56
9,忽而今夏,"其实我还挺喜欢看这种青春爱情故事的，可能我是一个念旧的人，而且去年才结束高考，所以应该有很大的共鸣吧。感觉白宇在还挺帅的，卜冠今也挺可爱的，笑的时候露着小虎牙，挺喜欢的。其实我觉得何洛是一个挺幸运的人，有那么多的好朋友，还有一个章远，对她那么好，还有一个冯...

                        ?(展开)",沙与鸟,推荐,38
