,影片名,评论内容,评论人,推荐星数,有用数
0,撒娇女人最好命,"这篇影评可能有剧透

                               还是彭浩翔一贯的“三级片”风格，粗口、黄段子、俗套的爱情。好在节奏够快、画面够美，整个故事也算一气呵成。整个故事类似《我可能不会爱你》，李大仁和程又青一般的异性好友，结局也毫不意外地证明了，男女之间没有纯友谊。        可是看完了以后我总觉得哪里不对，...

                        ?(展开)",吃蛋专家,推荐,2019
1,撒娇女人最好命,"这篇影评可能有剧透

                        我14岁的时候认识一个男生，中学时期同班五年，一直奔着铁血革命情谊发展，他期间追过两个女生，每次都是我替他打头阵，要么以性别为掩饰找老师哭天抢地来换座位，跟他心仪的妹子坐同桌，要么收起猥琐的笑容直杀低年级，扮演好心纯良的学姐。不过他这两次主动出击都失败了，某...

                        ?(展开)",丢丢,还行,1562
2,撒娇女人最好命,"先吐槽一句，光这个媚俗的片名已经足够让人呕血三升了。  电影的故事一句话就可以讲完，周公子在电影里的设定是个女汉子，因为太汉子导致公子暗恋的教主基友看上了别人，公子洗心革面奋发图强终于形象大变身成一个发嗲精，于是打败隋棠成功上位正式转正成了教主的女友。End of ...

                        ?(展开)",后宫风云,很差,1270
3,撒娇女人最好命,"按照导演为我们总结的忠心思想，这是一个讲述女汉子最终获得了爱情的故事。  彭浩翔的技巧和趣味都还是很有娱乐观赏性的，这点从该场女孩子数次的笑点中看得出来。遗憾的是，导演的三观比起技巧来却有些缺失。  不知道是从什么时候起，女汉子这个词开始流行了起来，QQ前面里满...

                        ?(展开)",安德,还行,364
4,撒娇女人最好命,"彭浩翔是个直男癌晚期患者，所以在看《撒娇女人最好命》的时候，任何对于女性简单粗暴的类型划分都让人觉得很“正常”。一个女人为了爱情放弃理想、为心爱之人铺路，在一切走上正轨后又要改变自己屈就他人，这个在国产电视剧界都被抛弃的烂梗彭浩翔居然还能再拉低一个level，...

                        ?(展开)",唐书钰,较差,281
5,撒娇女人最好命,"这篇影评可能有剧透

                        看的时候，我一直很怨念王姑娘，你你你为什么要拉我来看这个啊！还有，周迅为什么都开始接拍这种电影了，谁出来回答我一下！><  结尾的时候出现字幕，说电影改编自罗曼夫的工具书《会撒娇的女人最好命》。我很好奇，第一稿编剧柏邦妮是怎么根据一本工具书编出一个故事的。  回...

                        ?(展开)",haylin,较差,128
6,撒娇女人最好命,"1、偶尔撒娇，是没有问题的。但一直很“嗲”，男人也会习惯成厌倦！科学的角度上讲，生理上是不能一直承受的。累的是两个人，而且是真累啊。  2、你可以生龙活虎、孙猴子一样72变，邋遢的、温柔的、不洗头的、面容娇好的等等等等，在爱情面前，最重要的都不是这些，而是做自己...

                        ?(展开)",花开落年复年,较差,46
7,撒娇女人最好命,"这篇影评可能有剧透

                        这片从开始借助谢依霖和一干锥子脸姐妹团的经验就是告诉我们： 1.撒娇的女人很好命。 2.绿茶婊最后都能扶正。 3.骚浪贱不可怕，可怕的是会撒娇的骚浪贱。 然后……周迅学了半天撒娇最后没好使？！！ 然后的然后就是【真爱战胜了一切？】 妈蛋！！！ 结局不应该是周迅看着黄晓明...

                        ?(展开)",小川叔,很差,70
8,撒娇女人最好命,"我以前的豪爽大气通通都没了，只剩下无穷无尽的小情绪。 我拒绝了他，我们开始冷战。那天学校突然停电，条件反射地，我回头看向他的方向，他竟然也在看着我。那时夜幕微落，星光闪烁。 后来兜兜转转，他又表白过，我越发自卑，越发退缩，然后，就没有然后了。然后，不再联系了...

                        ?(展开)",怼怼怼就是你,还行,26
9,撒娇女人最好命,"片子名字起的就不贴切，撒娇的女人没有得到真爱，不会撒娇的女人反而拥抱真爱。影片三观也不正，迅哥儿说实话演的真的是个小三，结果小三还上位成功了！男主也是个渣男！徘徊在两个女生之间摇摆不定，睡了这个结果还抱得那个美人归？？！人家女二做了什么？最后什么也没得到，...

                        ?(展开)",春风十里,较差,32
