,影片名,评论内容,评论人,推荐星数,有用数
0,昆池岩,"这篇影评可能有剧透

                        昆池岩到底发生了什么？ 看了大部分影评，都是属于猜测。真的只是一部为了恐怖而恐怖，毫无伏笔的恐怖片么。 个人觉得其实不然，其中大量的伏笔其实暗示了整个精神病院发生事情的走向。下面我就根据这些伏笔来解释各位心中的疑惑。 其实在开头已经提到，60年代-70年代，传言这...

                        ?(展开)",夏小狼,推荐,2450
1,昆池岩,"这篇影评可能有剧透

                        和小伙伴讨论出来的几个有趣的点： 1.从队长帐篷断电开始，队长也进入了402房间。这里在队长看到直播中有6个人一起出现的画面时有暗示，并且飙升到100w的直播观看人数和最后真实的直播观看人数以及寥寥无几的评论可以看出，这里的空间已经不是现实了。断电之后的镜头其实都没有...

                        ?(展开)",队长,推荐,805
2,昆池岩,"这篇影评可能有剧透

                        ［友情提示：下文只是剧透，无图片］ ［据好心同学指出：有个叫“小涛讲电影”的自媒体没打招呼也没注明出处，盗用了本文大部分文字，好奇的同学可以去看一下这人在B站的视频。2018.5.7 22时］ ［本文对后半段进入医院的剧情着墨较多，前面嬉闹或是医院的历史并没有关注，想刨...

                        ?(展开)",四月物语,推荐,677
3,昆池岩,"这篇影评可能有剧透

                        重新检查了一下电影的相关细节， 发现确实如一位评论的朋友所说， 最终界面的观看量收藏量转发（或打赏？）评论的数字连起来是12345678910，那么数字方面的论据已经不具有可靠说服力了。 只能说导演确实给观众玩了个故弄玄虚的开放式结局。 也就不存在什么正解与误解了。 当然...

                        ?(展开)",葉辷,推荐,526
4,昆池岩,"这篇影评可能有剧透

                        1.这电影一开始对这个谜一样的精神病院各种铺垫，患者全被杀了，院长上吊了（还是失踪了来着？）有传言说是院长杀的，我作为观众感觉到的就是这片肯定就是要叙事整件事情的原委了并且也提起了兴趣…结果电影看下来也没明白这医院到底发生了啥，光看着那些演员窜来窜去在那儿喊...

                        ?(展开)",资磁,还行,442
5,昆池岩,"我大概有近十一年没有被恐怖片吓到了。 身为一个小学一年级在小伙伴的怂恿下从租片店里借了《蜘蛛》结果晚上吓到梦游、小学二年级被在电影院工作的熟人阿姨带去电影院免费观看《人骨拼图》电影、小学三年级暑假在表哥的鬼故事中度过、初一时自己一个人在家里看电影《生化危机1...

                        ?(展开)",渐渐融化的飘雪,推荐,401
6,昆池岩,"这电影剧情的确有硬伤。 但是为什么那么多人大中午头十点多十一点多自己在网盘上看的，甚至更多的人是和一大帮子人抱着个手机看的，然后就大义凛然的说：“恩，这电影一点都不吓人”之类的话？   有条件的话在电影院或者自己在屋里关了灯用电脑看完，再说吓人不吓人，ok？ 明显...

                        ?(展开)",Sori na,推荐,439
7,昆池岩,"这篇影评可能有剧透

                        最近，我们被韩国喜剧片《昆池岩》刷屏了，有人说这是地球诞生46亿年来最佳喜剧片，有人说比卓别林好100个金·凯瑞、甩周星驰800条街，有人说《头号玩家》的《闪灵》片段给《昆池岩》提鞋都不配。 还有人笑得爆米花都打翻了，甚至笑得满地打滚只好送进医院。 光是看看电影的剧...

                        ?(展开)",凌睿,还行,178
8,昆池岩,"这篇影评可能有剧透

                        这两天电影圈最火爆的电影一定是一部韩国本土的，在上映时连续两周打败好莱坞大热影片《头号玩家》而占据票房榜首的恐怖片——《昆池岩》。许多身在韩国的小伙伴去电影院看时，要么没能坚持到结尾，要么看完后毫不犹疑地把“今年最吓人恐怖片”的“桂冠”给了它。 这不，作为一...

                        ?(展开)",魔法炼金术士,较差,131
9,昆池岩,"这篇影评可能有剧透

                        有图！慎戳！慢慢滑下去做好心理准备！ 昨晚和舍友一起看的 虽然从小看恐怖片长大自认为比较胆儿肥但因为基本木有在电影院看过（国产的那些只会瞎叫唤的就不算了…）所以不知道是不是因为在影院看的所以觉得真的蛮吓人的 虽然没到短评里那种半个电影院的人都被吓哭的境地但确实...

                        ?(展开)",泷泽萝兰,力荐,198
10,昆池岩,"这篇影评可能有剧透

                        最近大家都被一部韩国恐怖片《昆池岩》刷屏了。 这部号称“韩国恐怖片十年最佳”的电影，在韩国上映首周即打败《头号玩家》成为票房冠军，并最终锁定了韩国恐怖片票房榜第二位，仅次于15年前的《蔷花，红莲》。 在韩国热映时，观众们都得“做好吓得扔/被扔爆米花的准备”。 也...

                        ?(展开)",架空,还行,100
11,昆池岩,"这篇影评可能有剧透

                        看完电影对昆池岩究竟发生了什么非常有兴趣。但是看了影评似乎真正的分析文较少，自己脑洞了几个细节，仅供娱乐。 1、院长朴英爱就是朴槿惠 去知乎看了一圈没想到又看到了夏小狼的回答和最新补充，比较有意思的是这个： 之前还觉得院长打球的照片有点做作，再加上都是姓氏也相...

                        ?(展开)",I_MILANO,推荐,130
12,昆池岩,"昆池岩后期观影状态↓ （原型原态 我录了三十分钟reaction 跟这涂鸦的画面一点不差） （其实有点差 眼睛部分的指缝应该要再小一点） 所以后期细节啥的什么都不知道【扶额】 谁能告诉我队长用航拍机拍到的窗口画面是什么… 好好奇 大家剧透都没有提到这个镜头QAQ ↑ 评论有人这...

                        ?(展开)",anytiyo,推荐,101
13,昆池岩,"关于该精神病医院的灵异传闻在网络上数不胜数：医院原来是一个监狱，死过很多犯人，改建成精神病院后，医师曾对病患施虐，42名病患集体自杀，院长下落不明，医院因此关闭至今…… 单就这个听了令人毛骨悚然却又充满好奇的故事，影片就能吸引不少眼球了。既然影片是“恐怖直播”...

                        ?(展开)",花吖,推荐,81
