,影片名,评论内容,评论人,推荐星数,有用数
0,欢喜密探,"这篇剧评可能有剧透

                        简直是抄袭潜伏啊 一模一样  可能大家都没有看到最近更新吧 娶错人---春花vs翠萍 初恋情人---玉娥vs左蓝 小三--包文婧vs晚秋 包文婧的爹沈老三vs晚秋的叔父 皇华驿vs天津站 龙定天vs站长 裘清月vs陆站长 提前领盒饭的茅罡vs马奎 新来的一石鸟vs李涯 我坚持看到20集 太可怕了 怎...

                        ?(展开)",=.=~Yu,很差,38
1,欢喜密探,"这篇剧评可能有剧透

                        《欢喜密探》讲述了顺治年间，牛大宝一心想与心上人袁玉娥建立家庭，在追求过程中阴差阳错成为了京师总驿站皇华驿一员，而袁玉娥是洪帮的成员。为了保护心上人袁玉娥，牛大宝凭着智慧取得驿长龙定海信任，暗中为化解洪帮与清廷的矛盾上做出努力。在一系列的事件中，他一边保护...

                        ?(展开)",Angel安琪,还行,27
2,欢喜密探,"不知不觉16年就结束马上到17年，这一年对于国产电视剧来说，非常惨淡！没有几部好看走心的电视剧，像麻雀，青云志，幻城，等等，一些没有意义的烂剧集体扎堆，要演技没有演技，要剧情没剧情，没有点深度！今年大量的IP大剧，看着真是醉了！尊重原著的很少！今年对于国产很失望...

                        ?(展开)",铅华,很差,59
3,欢喜密探,"如果不是知道这是一部今年刚出的作品，光听名字，我一定以为这是一部拥有古老历史的妈妈桑级别电视剧。我也是没想到，在这个网大都开始讲究精品化了的年代，居然也有人敢用“欢喜”这么具有年代感的词语作剧名。对于出品方的审美也是real服气。  还记得有一次也是看影评，一个...

                        ?(展开)",TippingPoint,较差,21
4,欢喜密探,"已经很久很久没有看过这么好的剧了，想来豆瓣上夸一夸，打个5星，结果一看，5.8。  很心寒，如果不是因为靠攻击别人装逼成风，那这个社区的审美也快要毁灭中国喜剧了。  为了以后还有这样的戏看，我得说点什么。  对，这个剧乍一看并不是很用心，我看前三集的时候也是无聊的不...

                        ?(展开)",才郝,力荐,26
5,欢喜密探,"这部片子很多一闪而过的大腕面孔，其实他们并不能给片子带来太多正面评价，希望包导以后再做片子噱头少些，惊喜多些。 这部片子所有的惊喜没有一个是明星给我的，全是片中主要角色给的。出现了三集以上的主要角色全是好的喜剧演员。 笑死笑死……每一集都有爆笑点，很多集泪点...

                        ?(展开)",科卡,力荐,23
6,欢喜密探,"这篇剧评可能有剧透

                        没想到啊没想到~最后的最后才发现，以为抄袭结果并不是抄袭，顶多算是一篇杰克苏的同人文。 我说怎么扯到顺治年间呢，结果都是套路~ 平心而论吧，整个剧虽然是挺low的，但也没有一星那么不堪~ 情节上漏洞百出，不过反正也不是正经讲故事，都是搞笑的~ 比较意外的是作为喜剧来说...

                        ?(展开)",心理强迫症,还行,9
7,欢喜密探,"《欢喜密探》，我不是来推荐的，我是来吐槽的?? 剧情：参照《鹿鼎记》，走心你就输了?? 风格：参照周星驰，但是-1?? 演员：群演是实力+偶像，主演是实力-1，偶像-1?? 笑点：有，但是迷之尴尬，隔着屏幕都能感受剧组资金实力不落实，才看三集，有一集完...

                        ?(展开)",浅浅,还行,7
8,欢喜密探,"这篇剧评可能有剧透

                        看了半天评论，多为吐槽，还是自己写一个客观评价吧。 作为一部喜剧连续剧来讲，客观的说，还是凑合的。有笑点，尽管也有许多尴尬的点、老梗在里面。 先肯定优秀的部分，44集看完后，我自认久经剧场的老影虫也笑了很多次，在此剧透就略有不道德了，只能从大概念上评价一下，包...

                        ?(展开)",赫小赫Orz,较差,2
9,欢喜密探,"刚看的时候前几集有点闹，不过越来越后面就越想看。 刚看了结局，只能说对鹿鼎记的致敬吧。 弹幕好多人说是鹿鼎记的前传比翻拍鹿鼎记好得多。 对鹿鼎记不是很了解，剧中人物还有谁代表着鹿鼎记中的谁呢？ 春花……韦春花 牛大宝儿子小宝……韦小宝 陈枉然……陈近南 范惜逢……...

                        ?(展开)",看Z那一片蔚蓝,力荐,4
10,欢喜密探,"客观一点说，这个片子有它的好处与坏处，不是太好但也没太差。   看完全部之后补充点，原文在下面。算是拍出了真情实感，也足够打动一众观众了。虽然回头想来这不算是个多优秀的剧，但能看出制作人员有用心在用自己的方式表达这个故事。虽然剧情大体与潜伏很像，但也有很多很多...

                        ?(展开)",我爱邵半仙,还行,1
11,欢喜密探,"反正我笑了，没有你们打低分把别人踩脚下b格那么高那么会装死人妖。文松贱起来真的不是一般贱呀哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈...

                        ?(展开)",Wdong Z,力荐,
12,欢喜密探,"影片有很多细节都在暗示这部剧是鹿鼎记前传，我这次第三遍看，再一次研究了每一个人物，还有很多细节，埋的伏笔真的很好。范惜逢，冯锡范。 海公公， 吴子奇，春花，扬州凤鸣院，顺治年间过后就是康熙年间，还有龙牙收养的姑娘在吴庄村，都是在暗示包贝尔对鹿鼎记的致敬。我以...

                        ?(展开)",香蕉长毛,力荐,1
13,欢喜密探,"这篇剧评可能有剧透

                        朋友截图给我茅罡带着小花妖娆的姿态，说她已经笑哭了安利我们去看的时候我并没有在意。搜了一下关于《欢喜密探》的相关内容，看到是包贝尔导演的时候果断关掉了，对他的印象还停留在致青春里面那个不学无术替人写自传的xxx和婚礼上逼柳岩湿身的负面消息。 重新捡起来已经过了...

                        ?(展开)",阿腿,还行,
14,欢喜密探,"连续看了2遍《欢喜密探》，每一个细节都没放过，深深爱上了该剧。        有个习惯，遇到喜爱的电视，会上网搜索相关信息，看到很多不好的评价，我只想说，众口难调，或许是不适合你的口味，你可以不喜欢，但不一定代表别人不喜欢。        我不是一个喜欢看喜剧片、娱乐片的人...

                        ?(展开)",卓娅,力荐,
15,欢喜密探,"贾玲、包贝尔、开心麻花 光看着几个人就知道是一部开心的喜剧了，在现在快节奏和高压的工作生活环境里，下班后能轻松不带压力的看一部电视剧，是让人很轻松愉悦的一件事情！ 每天累的要死，洗漱完后趟在床上，已经不想再看高智商、煽情的剧的，就简简单单的看一部开心的剧真的...

                        ?(展开)",爱看福来,力荐,
16,欢喜密探,"这篇剧评可能有剧透

                        我只说我个人的看法，好看。 我笑了，我哭了，我跟着剧情和包袱一路的喜怒哀乐走一遭，体会的淋漓。 一开始我是冲着贾玲而来，却被包贝尔吸引的不断看下去。 剧情可能确实有些拖沓或者尴尬，但是导演说了这是小学生作品，我觉得我没有觉得尴尬，没有觉得三次肚子痛有什么尴尬。...

                        ?(展开)",中毒不解毒的米团,力荐,1
17,欢喜密探,"就是我。前两天豆瓣账户异常，还是头一次。今天发现多了两个影评，才知道原来我的豆瓣账号是被盗了。然后给这部电影和吐槽大会那个综艺节目以及小明和他的小伙伴们不知道是个毛线分别评了四五星，然后给了好一顿夸。 我要举报水军不到位啊为什么还会有四星，五星多一点才能中和...

                        ?(展开)",宇宙蛋,很差,2
18,欢喜密探,"看到那么多人黑欢喜密探，实在看不下去了，我是一集不落看完的，就想问那些同样看完此剧的人，欢喜密探真的有那么不堪吗？  说真的，现在看剧，我甚至不知道什么是喜剧，也理解不了星爷的喜剧了！影评五花八门，公说公有理，婆说婆有理，大家争论不休，从各种角度来解释自己的...

                        ?(展开)",永畔丶菩蓝,推荐,
19,欢喜密探,"喜剧的极致是什么吗？就是笑中带泪，喜中有悲，让人前一分钟还在稀里哗啦，后一分钟就破涕为笑，然后又是一次次鼻酸心痛、忍俊不禁的轮回！包贝尔，小包包！我看过几乎所有你的影和剧，没有任何一个角色任何一部剧情能让我要死要活的！所以说，点击破两亿真的不是靠水军能达成...

                        ?(展开)",梦冰寒,力荐,3
20,欢喜密探,"前一阵子身体不好，窝在床上的时候，选择了这部剧。我这人有个毛病，一生病就要看不用动脑子的“烂剧”，《欢喜密探》貌似挺符合我这个标准的。包氏夫妇不是我的菜，贾玲我倒是很喜欢。看了前几集觉得梗有点无聊、有点刻意、有点没乐找乐。尤其《伪装者》里的极品美颜王鸥也没...

                        ?(展开)",Emma,推荐,1
21,欢喜密探,"如题所示，这是我看完其他影评后的最想说的话。 说实话前几集确实不怎么样，傻了吧唧又有点做作，极力搞笑但就是没什么笑点。我当时也是闲着没事，看到女主是贾玲，想着随便当小品看看吧等有事了随时弃剧便是，但是越演到后面越让人惊喜不断，欲罢不能，整部剧看下来真的很棒，...

                        ?(展开)",马鳖蛋,力荐,1
