,影片名,评论内容,评论人,推荐星数,有用数
0,深宫计,"作为一名电视儿童当然自小看着tvb剧长大，各类现代职业剧、爱情喜剧、古装宫斗剧看得实在不少，其它剧我很难说得出哪部最好，但古装宫斗剧一定首推《金枝欲孽》，先不论其中的攻心斗角众人的身不由己单单该剧的制作色调绝对是tvb宫斗剧中少有色调优雅吊打其它金晃晃繁复庸俗辣...

                        ?(展开)",御剑乘风,较差,90
1,深宫计,"TVB的古装服装和造型有点一言难尽，一眼望去有点粗糙，满满的黄金既视感，整体造型看上去不精致，妆容也有点不搭，让女演员看上去没有那个朝代的感觉，还有点显老，整体看上去有点减分。 感觉TVB现在出的剧的演员始终就是以前常看到的那几位，马浚伟、胡定欣、马国民、刘心悠…...

                        ?(展开)",jessica,较差,47
2,深宫计,"TVB的剧真的不会让人失望，真的很不错的一部宫斗片。虽然场景和服化道有点花哨，但看到这么多熟面孔还是很开心，看着他们撕逼很过瘾，陈炜饰演的太平公主演技简直能吹爆！！随手一截就都是戏一个眼神秒杀众人，花式流泪更戳心，看到根本停不下来！ 演技分分钟在线。被她圈粉啦...

                        ?(展开)",沙与鸟,还行,49
3,深宫计,"之前看过金枝欲孽，欲罢不能，对深宫计很期待了。终于上线后看了第一集，感觉服装、场景、道具跟多年前差不多啊，颜色太艳丽了，服装浮夸，场景假，特效也很假…… 不过众多演员还是很棒的，太平公主一个眼神秒杀全场好嘛！简直太赞了！小皇帝的也演得很好，小细节演得很到位了...

                        ?(展开)",一醉一陶然,还行,33
4,深宫计,"从小就喜欢看港剧，犹记得幼儿园时看的第一部港剧是日月神侠，每晚不看完坚决不睡觉。所以对港剧一直有情怀，但也不得不承认港剧一直在没落，其实深宫计的上一部宫心计时，我就已经觉得不太好看了，然而还能让人看下去，到这部深宫计，真的无力吐槽，服化道更土更俗更闪瞎人眼...

                        ?(展开)",movieeivom,较差,47
5,深宫计,"TVB真的是TVB  宫斗戏就是宫斗戏《宫心计》《金枝欲孽》 真的没让人失望的  那眼神那台词 真的很棒 一开场米雪饰演的韦后在与李隆基对质时 李：妄想牝鸡司晨，当第二个则天圣后 韦后：又如何呀！ 眼神太有劲儿???? 在大殿上太平与李隆基拥护相王李旦登基，威逼利诱...

                        ?(展开)",志评,推荐,42
6,深宫计,"1最近感觉港剧又活过来了，出了好几部新的片子。本来对这部《宫心计》的姐妹篇充满了期待的。但跟了几集，发现除了服化道更华丽了点，其它包括动作、台词什么的都不适应，看得有点尴尬。虽然里面的演员都是以前很喜欢的TVB老人，但如果一部片子全部选用旧人，而不启用新面孔（...

                        ?(展开)",乡下丫头0504,还行,45
7,深宫计,"宫心计2确实超乎我的想象，剧中人物说死就死，感觉节奏过快，有股子老剧的感觉，但很容易让人入戏。剧情虽然有老套的地方，但是不会无脑，人物行为逻辑很清楚。看完前几集后感觉剧中撕逼的戏码太少，而且还有一个看似傻白甜的元玥，感觉对不起宫心计这个名字，迫不及待想看剧中...

                        ?(展开)",深海有咸鱼,还行,35
8,深宫计,"一开场，霸气十足的米雪，在帝王灵前毫无伤感之意，把恶人演的很纯粹。遗憾的是还没看到韦后撕出一片天地，米雪竟然领盒饭了…… 紧接着，太平公主强势登场，横眉怒目的向全世界宣告着：“我就是坏人。”也依旧件件坏事都有参与，就是不知道后续会不会有转变，还是在狠毒这条路...

                        ?(展开)",兔子爱跳跳,还行,32
9,深宫计,"唐隆年间，李隆基（马浚伟饰）联同姑姑太平公主（陈炜饰）发动政变，将蚕食法统的韦氏（米雪饰）就地正法，拥护相王李旦（李龙基饰）重回大统。但看似重归平静的太极深宫，实则暗流涌动。朝堂之上，风云色变，李隆基与太平公主阵营分化，势成水火。深宫之中，以主理尚宫局的王...

                        ?(展开)",满心欢喜,推荐,39
