,影片名,评论内容,评论人,推荐星数,有用数
0,游侠索罗：星球大战外传,"这篇影评可能有剧透

                        本文分两部分。 第一部分是对《游侠索罗》（Solo）电影本身的彩蛋、致敬、渊源和梗的梳理。由于本人刚刚一刷，因此肯定有不少细节遗忘或记错了，会在之后的几天慢慢修改。 第二部分是对官方小说《汉·索罗三部曲》的概述。《汉·索罗三部曲》由卢卡斯影业授权矮脚鸡图书出版于1...

                        ?(展开)",南方战士,力荐,149
1,游侠索罗：星球大战外传,"这篇影评可能有剧透

                        千年隼的逃生舱飞了 所以一直缺一块 千年隼不需要逃生舱 人在船在 千年隼的样子很奇怪 所以扁扁得很好侧飞 千年隼的天线也飞了 后来换了几次了 千年隼 Tie战机的克星 同时瞄准系统我一直都觉得也太难了吧 千年隼最快纪录来得很刺激了 大家一直都在那块板子下面藏东西 丘伊是后...

                        ?(展开)",Sash,力荐,31
2,游侠索罗：星球大战外传,"这篇影评可能有剧透

                        不需要。 本影评前半部分不涉及剧透，后半部分将有完全剧透吐槽。请按需谨慎阅读。 作为一个伪星战粉，看过所有电影，但是经常叫不出人名字，彩蛋也只能认全一半，在戛纳看首映纯属凑热闹。因为工作日程接近尾声，参加电影市场的人也走得差不多了，申请到邀请函的几率比较大。...

                        ?(展开)",gegemoon,较差,66
3,游侠索罗：星球大战外传,"《韩索罗》的价值在于存在本身。作为一部星战外传电影，显得很不星战，竟然没有光剑和原力。而另一方面电影又非常星战，讲解了星战最有趣平民角色韩索罗的人物前史。在星战正传续集越发难看的今天，（我是指，新的反派多傻帽啊）韩索罗外传已经是非常让人满意了。 在剧本上各方...

                        ?(展开)",写剧本的李亦树,推荐,13
4,游侠索罗：星球大战外传,"这篇影评可能有剧透

                        大家都该向韩·索罗学习，活了几十年直到死了都从来没提过前任。前任没死，却当她是死了。 -------------------------------------------------------------------- 之前《红雀》出资源的时候，有网友吐槽“为什么电影里的俄罗斯人都讲英语”，你们真的是too young too simple...

                        ?(展开)",凌睿,还行,50
5,游侠索罗：星球大战外传,"这篇影评可能有剧透

                        重要剧透：男主角在电影的最后活了下来，但是没有和女主角在一起。 如果上面的剧透还没看过瘾，那么请继续往下看。 故事围绕着长得像壮阳药的超级燃料展开。主角韩和青梅竹马的女朋友Qi'ra成长在一个看上去没什么活力的老工业基地。像大部分年轻人一样，他们想要离开这里，于是...

                        ?(展开)",马泽尔法克尔,还行,50
6,游侠索罗：星球大战外传,"这篇影评可能有剧透

                        *文中有剧透，请绕道行驶。 （配图版编辑中……） 经典片头 熟悉星战系列的观众都知道，电影开场必先出现一句序言“A long time ago in a galaxy far, far away”（很久很久以前，在一个遥远的银河系），紧接着经典音乐响起，浩瀚星空中出现“STAR WARS”的字样，一段关于故事...

                        ?(展开)",彩蛋君KL,还行,14
7,游侠索罗：星球大战外传,"韩，索罗，全新银河系探险之环，所经过的重重冒险， 韩，索罗和琦拉是一对恋人，后来琦拉离开了韩，索罗，剧中关于两人的感情故事没有细讲，整体上看好象缺少东西。 剧中对贝克特的人物设定也是奇妙，起初贝克特是一有情谊之人，转之他背叛韩，索罗，听命德莱登，当德来登被琦...

                        ?(展开)",虹HongLi,还行,36
8,游侠索罗：星球大战外传,"感觉上，这两年开始，内地的大V还有很多电影类微信号对于好莱坞电影越来越不友好了，大V们天天贬低好莱坞电影，鼓吹着中国电影还未真正成型的工业体系，顺便拿着中美的文化差异可劲儿唱衰引进片的商业价值，一部国产的IP大制作卖到10个亿就是票房爆棚，一部好莱坞的商业大片就...

                        ?(展开)",谢谢你们的鱼,推荐,28
9,游侠索罗：星球大战外传,"文/梦里诗书 《游侠索罗：星球大战外传》力图为《星战》系列衍生新的分支，然而这部外传其实显得尤为尴尬，电影在主人公汉·索罗的塑造上既无法博取星战粉的欢心，同样对于普通观众来说也很难算的上友好，匮乏亮点的呈现，使这部外传对《星战》系列而言显得聊胜于无。 迪士尼在...

                        ?(展开)",梦里诗书,还行,9
10,游侠索罗：星球大战外传,"这篇影评可能有剧透

                        从观影体验上来说，这是一部流畅的爆米花电影，对于没有看过或者不太熟悉星战系列的观众来说十分友好。首先，本片对于新观众的优势在于它和星战系列剧情的关联不大，人们无需恶补星战知识就能看懂剧情；其次，套用了星战的IP，有着宏大的世界观设定、丰富的行星环境表现以及飙...

                        ?(展开)",在下大福老师,较差,14
11,游侠索罗：星球大战外传,"冲着龙妈看的 里面真的很美很惊艳哇~ Emilia不笑的时候真滴美 一笑起来...就很可爱? 炮总也是帅的 造型很好看 诱惑~(*/ω＼*) 本来看到男主的长相我还是有点儿退缩的 但电影里还是可以接受的 为啥我一直在说这些表面的咩？ 因为剧情确实没啥亮点啊...可能是因为我不是星战粉...

                        ?(展开)",去踏马达,还行,30
12,游侠索罗：星球大战外传,"这篇影评可能有剧透

                        《游侠索罗：星球大战外传》讲述了阿尔登·埃伦瑞奇饰演的年轻索罗，从街头混混进化为银河系最有名走私犯的历程。 影片很一般，烂倒不至于，就是没有什么特别的亮点。昏暗和无趣是大问题，画面一味追求原来老片，黑乎乎的不清楚，3D效果一般，根本没必要做。特效倒还行，可这样...

                        ?(展开)",吉静,还行,25
13,游侠索罗：星球大战外传,"这篇影评可能有剧透

                        曾经有人问卢卡斯为什么不再拍摄星战了，他说：不想费力拍好电影之后被人骂。 其实在我的心中，星战系列的故事线，在《绝地归来》之后，就已经终结了。前年的《侠盗一号》，算是对真正意义上的星战故事一个最后的有益补充。 下面是一些对星战系列的现状批评，作为今天的铺垫，...

                        ?(展开)",果豆,还行,14
14,游侠索罗：星球大战外传,"这篇影评可能有剧透

                        首先，除了一些特写镜头里略显奇怪，新索罗演员的综合表现还可以；其次，本片出现了全系列最基情四射的镜头，看过的应该都懂；最后，千年隼真的……辛苦了，太辛苦了。 然后是本片的最大问题：究竟哪对路人是泰格和宾克？ 以上划掉。 现在是本片真正的最大问题：一部几乎所有关...

                        ?(展开)",墨雪飘·痕,推荐,5
15,游侠索罗：星球大战外传,"为什么是他——汉·索罗？ 他是一位酷劲十足的游侠， 也是穿梭银河的飞行员， 更是星战中不可或缺的角色， 他就是大名鼎鼎的——索罗！ 1.继2016年推出首部外传《侠盗一号：星球大战外传》后，卢卡斯影业此次在《游侠索罗：星球大战外传》中将镜头对准了银河系中的传奇游侠、拥...

                        ?(展开)",朝暮逢岁晚,推荐,6
16,游侠索罗：星球大战外传,"这篇影评可能有剧透

                        本文首发于电影幕后故事微信公众号（微信号“saymovie”），欢迎关注，看幕后君第一时间为你评新片，品经典。 《游侠索罗：星球大战外传》全球扑街！ 作为比肩漫威的超级大IP,星战系列虽然在国内不温不火，但在欧美每上映一部，那都是提前过年的节奏。 没想到的是，汉·索罗的...

                        ?(展开)",电影幕后故事,推荐,7
17,游侠索罗：星球大战外传,"看完《游侠索罗》，大聪的表情是这样的。 剧透吐槽汹涌而来 算了，反正这也不是星球大战系列第一次翻车，但影片这一次车祸现场可以说是很厉害了。 《游侠索罗》经历过换导风波不说，似乎饰演年轻索罗的演员阿尔登.艾伦瑞奇，到现在依然很多观众不买账，觉得没办法超越曾经的哈...

                        ?(展开)",大聪看电影,还行,17
18,游侠索罗：星球大战外传,"这篇影评可能有剧透

                        说Solo不好的，真的有认真看吗？？ 这部致敬彩蛋安排得不尴尬（I have a very good feeling about this真的有笑到）；演员演技也在线（可以感觉到solo在刻意模仿老福，而兰多表现突出）；制作不用说，还是保持了星战的风格。 原来千年隼爱钻缝是老罗培养出来的? 原来星战宇...

                        ?(展开)",velvetkururu,力荐,3
19,游侠索罗：星球大战外传,"关于这部星球大战的外传电影，不知道该说什么好！ 其实，对于“外传”这种支线故事，本来就没抱太大期望，但还是刷新了自己的认知。看电影的时候频频打哈欠，若不是里面有星战系列的影子，根本没办法往下看！ 走出影厅后，真是“我挥一挥衣袖，不带走一点剧情”。第一时间就在...

                        ?(展开)",叼烟的戈达尔,还行,2
20,游侠索罗：星球大战外传,"比预期好，我能给7.1，豆瓣6分多稍微低了些，但也相差不远，想来主要吃亏在男一号气场太弱，没能演绎出韩索罗混那股子混不吝的味道。反抗军三言两句就让solo改变初衷在我看来不可理喻。对面可算害了你队友，折损买飞船的钱，往大了说打碎了你的梦想都不过分，就这么毫无代价的...

                        ?(展开)",无齿的情兽,还行,1
21,游侠索罗：星球大战外传,"如题 一份观影后片中残影记忆呈现罢了 1.梅尔松热能榴弹 赏金猎人标配 2.这次的配乐绝对惊艳 超级妙啊啊啊（尤其是观后单独听） 3.斯卡里夫帝国基地：那是我大侠盗一号开干的地方啊 4.龙妈好看 可惜终将是悲剧结局了 桑心 5.楚伊190岁终于解谜（他可是8之后唯一老人了呀！） 6....

                        ?(展开)",rache,力荐,3
22,游侠索罗：星球大战外传,"知道这部片子的换导演风波吗？ 还能在此片中看到R2-D2和C-3PO哦吗？ 龙妈的出演，期待吗，知道本片幕后与《权游》的联系吗？ ...... 背景简单陈述 这是一部关于星球大战的美国太空西部片，简单的说是关于韩·索罗的故事，电影是由朗霍华德执导的，由卢卡斯影业出品，剧本是由乔...

                        ?(展开)",Aloneye,推荐,13
23,游侠索罗：星球大战外传,"迪士尼每一项巨大的成功背后可能都要有一部甚至更多的“献祭者”，《黑豹》的爆红伴随着《时间的皱折》毁灭性的失败，而在全世界影迷或投身于或被卷入《复联3》的庆典时，卢卡斯影业的星战外传成为了不幸被遗忘的那个。 我甚至都不愿意称呼它为“星战电影”，而更愿意称其为“...

                        ?(展开)",Devlali Number,较差,
