,影片名,评论内容,评论人,推荐星数,有用数
0,滚蛋吧！肿瘤君,"第一次在微博看到《滚蛋吧，肿瘤君》发布会的演员公布，我转发说：“熊顿如果知道梁医生是吴彦祖不知道该有多高兴啊。”很多人带着泪目的表情转发我的评论。我知道，大家想...

",闷人自便,推荐,4381
1,滚蛋吧！肿瘤君,"

 看完心情挺复杂，写在前面，个人给出满分（有主观因素）。 首先感谢格瓦拉提供的这次机会，参与了影片的点映。 主要还是说说电影吧，熊顿这个漫画家之前就知道，微博有看过她的漫画，充满了乐观与趣味，后来听说得了绝症，又跑去看了她的微博，不幸已经离开。仔细浏览她生前...

",鱼叔,力荐,1329
2,滚蛋吧！肿瘤君,"其实7月的时候就看了内部点映场，但是始终没有写点什么，不知道该写什么。因为根本无法客观的评价，那大段大段的幻想屡次让我出戏，但是当我想起熊顿，想到若是她就坐在电影院里，看着自己的幻想化为现实的影像（特别是看到男神吴彦祖），会尖叫着跑上前去舔荧幕吧，一定会的...

",老阿飞—故园,推荐,734
3,滚蛋吧！肿瘤君,"从章子怡拍完《非常完美》开始，华语的小妞电影进入了一个井喷期，到《小时代》的出现达到了一种极致。虽然《小时代》系列是为粉丝服务，但内核恰恰是最经典的大城市里四个女性朋友追逐爱情的故事。但第四部很显然，过度燃烧掉了观众对这一类型电影的好感与热情，7月接下来的时...

",舒农,推荐,673
4,滚蛋吧！肿瘤君,"首发于微信公众号：movie432，文末有二维码噢~ 即便在有白百何出演的电影里面，《滚蛋吧！肿瘤君》大概是她到目前为止表现最好的一次——还是绝症女王的老角色。记得在韩延《第一次》里面，白百何还是一个既霹雳又可怕的摇滚女造型，灾难程度直接暴露了整部电影的糟糕水平。也...

",木卫二,较差,288
5,滚蛋吧！肿瘤君,"白百何真是个挺神奇的女演员。大概没有强卖的人设，没有固定的标签，所以白百何的记忆点其实并不明确，在如今这光怪陆离的娱乐圈或许并不算好事，但从《失恋33天》到《捉妖记》再到《滚蛋吧！肿瘤君》，白百何硬生生的走出自己的风格并且无法否认她在电影领域成功的占...

",铁马冰河皆是你,推荐,92
6,滚蛋吧！肿瘤君,"

2015年8月14日，我在杭城某家电影院坐了近两小时——没买爆米花，带足了餐巾纸——怀着一颗近乎虔敬的心，我来，只为想认真听一听熊顿，这位因“罹患绝症却仍乐观生活”而闻名读者的漫画家生前最后的故事。 然而，或者说，果不其然，我又失望了。电影开头近二十分钟，当白百...

",刺猬你好,较差,400
7,滚蛋吧！肿瘤君,"似乎是每一个玩微博的姑娘都会在某一年的夏天被“熊顿”这个名字刷屏，她和她的肿瘤君的故事一度让我哭的不知所措，然后更加珍惜生命的每一分每一秒，同时她的乐观也时常会激励偶尔在夜里因为挫折和失败哭泣的自己，别伤心，活着就是好的，活着就能改变。 所以，当这部以熊顿为...

",山水烟花,还行,66
8,滚蛋吧！肿瘤君,"在中国院线这个因为缺乏自信而必须依靠笑和闹来讨好观众的地方，要看到一场病痛与死亡是很少见的。当然，《滚蛋吧，肿瘤君》的内在主题仍然是励志，用一个人的死亡给众多活人打气，表面上它肯定有效，但仔细想想也足够残忍。 小妞电影和励志主题容易让故事显得平缓，对...

",frozenmoon,还行,146
9,滚蛋吧！肿瘤君,"

白百何在《滚蛋吧，肿瘤君》里所做的并不是什么表演，而是真正成为了原著漫画的原型熊顿。就题材而言，这是一部让人惧怕的电影：讲述一个无法绕过去的生死话题，却偏要用喜剧的方式去呈现。这种调性上的天然罅隙，往往会造成电影不是偏向肤浅狗血，就是酿成情绪上的失控。...

",淘金汉,推荐,194
10,滚蛋吧！肿瘤君,"正常来说看这种电影我都是很淡定的 不会掉眼泪的 可是因为我的一个学姐我看的稀里哗啦的 尤其是微博看到演员的诞生张雪迎和那个男孩我忘了名字 看着看着眼泪就流下来了 多么像你啊转转 虽然我不曾见过你 你那么乐观是那么美好的女孩子你的事业刚刚起步配角事务所取得了很好的成...

",啊南,力荐,72
11,滚蛋吧！肿瘤君,"这是一部国产励志片中的佳作。熊顿这样乐观的态度面对疾病和死亡这在现实中真的很少很少会有这样的人。虽然影片中主角得了绝症，虽然最后还是把主角写死了，但片子的整体基调还是挺欢乐的，中间再夹杂着点心灵鸡汤，看这种片子总是能让人笑着笑着就哭了。片子结尾葬礼上的VCR很...

",花怜要开车,推荐,67
12,滚蛋吧！肿瘤君,"

首先，我们抛开现实的熊顿本人，来说一说电影。当然是纯吐槽，别把真实的熊顿带入。白百何饰演的熊顿在影片的开始扮演的姑娘我很难想象这是一个智商正常的姑娘，婚礼迟到，撕掉新娘的肩带，说男友的妈妈是大便头。对比后面好贱的劈腿我突然感到理解，如果我有这样一个女友，...

",萌贱贱小鬼才,很差,102
13,滚蛋吧！肿瘤君,"这片子一直没看，今天才翻出来看的，很多年之前我在天涯上追过熊顿的帖子，还鼓励过她，让她加油，可是，生命真的很脆弱，再坚强再乐观的人在死亡面前都太渺小了，白百何太出彩了，演技朴实自然，让人能量满满，再加上真实故事的悲伤结局，真的挺感动的。没有大段渲染悲...

",妖孽丛生,推荐,55
14,滚蛋吧！肿瘤君,"一部让人能够明白很多的电影。就算有多少不如意，也远没有生命来得重要。生命只有一次，在这有限的生命力，就勇敢地去疯吧。电影讲述的是一个乐天派的漫画家与肿瘤斗争的故事，即使到最后，她还是依然想给别人留下笑容，还是依然安慰着别人。刚得知病情的她是乐观的：肿瘤嘛...

",品茗听雨轩,推荐,63
15,滚蛋吧！肿瘤君,"《滚蛋吧!肿瘤君》把我弄哭了，并且不止一次。但这不是一部虐心的电影，熊顿踏上毫无悬念的旅程，死亡是终点，而留给观众的，却是生的希望，用熊顿的微笑赶走这个世界的阴霾，真正给予你力量，让你勇敢面对未知又坎坷的人生路。 熊顿说“死，只是一种结果，怎么活着才是最重要...

",爱吸喵的Annie,推荐,57
16,滚蛋吧！肿瘤君,"

29岁生日前那天，熊顿因吐槽奇葩老板而丢了工作，又遭遇极品男友劈腿而丢了爱情，但坏运气并没到头，在生日PARTY上欢腾过后，熊顿突然晕倒在了自己的房间。那一刻起，熊顿踏上了一段虽然痛苦但仍然充满欢乐，囧事不断的抗癌之旅……从急诊室到血液科再到化疗，每一段旅程，伴随...

",郑开司女朋友,推荐,36
17,滚蛋吧！肿瘤君,"电影真正好起来，是从那一场熊顿靠在妈妈怀里，问她知不知道自己银行卡密码的戏开始的。那一场戏，白百何的表现是足以称道的。独生女即将死去，父母手足无措根本无计可施，但这一切还都糅合在细碎而家常的对话中。这种平静中的残酷现实才第一次让人得见绝症的锋刃和主角内心碎...

",确认过眼神,推荐,44
18,滚蛋吧！肿瘤君,"

滚蛋吧肿瘤君经典台词 1.人不能因为害怕失去，就不去拥有。 2.死，只是一个结果，怎么活着才是最重要的。 3.经历过，爱过，坚强过，战胜过自己，有过这些过程，才算没有白活过呢。 4.哪怕是冲动，也就是后悔一阵子，但要是活得太怂呢，就会后悔一辈子。 5.反正开心不开心，都是...

",梦舞鱼,推荐,47
19,滚蛋吧！肿瘤君,"

其实开始看到这个电影名字的时候，我还以为这是一部喜剧电影，而电影前半段也的确很搞笑。一开场熊顿的那一串自我介绍，那你以为蝴蝶而又自嘲为飞蛾的片段……然后的剧情有些俗套，失业加失恋，不过那一场普通的生日会却是一个温馨的亮点。而后就是熊顿生病，坦言之那个时候想...

",叶子的眼睛,推荐,32
20,滚蛋吧！肿瘤君,"虽然现在对白百合再无好感，但不得不承认她在电影里表现得特别好。印象深刻的那段独白戏准确自然，“非严肃煽情”看得我老泪纵横。 韩延这个导演，名气不大，但是挺有想法的。去百度了一下，还挺年轻的，看好的。 之前不了解熊顿，看完电影后又去看了熊顿本人的访谈节目，虽然...

",槑槑,推荐,34
21,滚蛋吧！肿瘤君,"白百何负责搞笑与感动，吴彦祖负责帅，闺蜜们负责打酱油……很多漫画式桥段、奇异笑点。白百何表现很好，那段独白戏准确自然，“非严肃煽情”效果不错。之前不了解熊顿，想去多看看她和肿瘤君的故事了。积极乐观改变不了客观现实，但能使生命变得自由潇洒。悲观或许能博得他...

",往事不要再提,推荐,54
22,滚蛋吧！肿瘤君,"在观影之前，我没做什么功课。只对制片人李亮文说过的一句话印象深刻：“每当与人提及《滚蛋吧！肿瘤君》是讲一个年轻女孩抗癌的故事，所有人第一反应是——这是一个悲剧的故事。但事实上我们想要创作的是一部喜剧，一部充满欢乐而又饱含泪水的喜剧。感觉这部电影和其他的不太...

",KK,推荐,33
23,滚蛋吧！肿瘤君,"

前几天，看到这部片子的导演又发了一条关于那个早以离开的可爱的，乐观的女孩的微博，就又把这部片子重新看了一遍，戳泪点的地方实在是太多了，熊顿和妈妈道别，差点哭出声，真的想永远和妈妈在一起，还有她和朋友吵架，就是现实中的我们没错了，整部片子有笑点，有泪点，韩延...

",夏与风,推荐,49
