,影片名,评论内容,评论人,推荐星数,有用数
0,现在去见你,"电影从距今一年多前讲起，患有神经系统疾病、不能剧烈运动的前游泳国家选手宇镇和上小学的儿子智浩生活在距离小镇很远的美丽的山上，家里的女主人秀雅刚刚去世，宇镇用无助空洞的眼神盯着妻子的遗像，智浩看着妈妈手绘的云之国故事画册期待雨季的到来。 在亲友的担心下，他们开...

                        ?(展开)",朝暮逢岁晚,推荐,73
1,现在去见你,"开头的动画片挺可爱的，故事也感觉是妈妈再爱我一次的另一种表达。单亲的小男孩渴望妈妈从云国（天堂和人间的中间地带）回来，然后居然真的梦想成真了，妈妈虽然失忆了，但是真的回来了。 中间的剧情其实比较老套，爸爸讲述他们的清纯恋爱故事，小男孩对妈妈的亲近和不舍，这段...

                        ?(展开)",Blue Monday,还行,46
2,现在去见你,"爱情，亲情，色调，话语…… 就算爱人不再身边，但只要带着那份刻骨铭心回忆去生活，就是幸福的。 人生就是要在爱中成长，哪怕只有一次，竭尽全力去爱，无论结局如何，最后都是丰富多彩的一生。 生命中能有一个竭尽所能去爱你珍惜你的人是一件多么美好多么珍贵的东西。 我们应...

                        ?(展开)",If潜移默化了呢,力荐,71
3,现在去见你,"上大学的秀雅在奔向已患病前来找她的宇镇途中遭遇车祸，陷入昏迷之中，由此她穿越到了33岁的年龄，遇见了已经成为自己丈夫的喜欢的男孩宇振，和他们的孩子，但同时也知晓，在前一年自己已经去世。　刚来时秀雅对这个家的一切都很陌生，是宇振断断续续的故事把她的过去拼凑了起...

                        ?(展开)",志评,力荐,65
4,现在去见你,"这篇影评可能有剧透

                        影片根据小说「相约在雨季」改编，讲述了男主佑振的妻子秀雅去世前告诉他，自己将在下一个雨季回来。果不其然，一年后，雨季来临之际，妻子如约而至。可奇怪的是，妻子似乎忘记了他和家庭 虽然剧情算俗套吧，但是很触动人心，没个点都把把握的很好，无论是爱情还是亲情，都能让...

                        ?(展开)",风琴,推荐,39
5,现在去见你,"随着年龄的增长，阅片量也在蹭蹭涨，有很多情节都看过很多遍了，甚至看了开头都知道故事的发展方向以及结尾。本片也没有逃开这些惯用情节: 男主患了重病，女主去探望，发生车祸，穿越到自己33岁的时候，在自己33岁的家庭里，重新爱上了这个时空的丈夫，无微不至照顾自己的儿子...

                        ?(展开)",相信,推荐,48
6,现在去见你,"好久没看韩国爱情电影了，正好朋友推荐，就去看了《现在去见你》，没想到，出奇的好看！ 虽然这部电影剧情有点老套，但是却拍得格外催泪。与已故亲人重逢很有创意，最后儿子在舞台上的独白也很感人。最动人的是爱情线，两人的爱情非常浪漫，甜到爆炸。 电影很美，画面质感舒服...

                        ?(展开)",一生一个你,推荐,56
7,现在去见你,"看的有被感动到，前面犯了近年来韩式温情片的通病，太过刻意直接没有余味，索性最后的女主视角让整部电影的情感有一个升华，比起亲情这部的爱情戏刻画得更好。孙艺珍有几个场景还是能依稀看到当年《假如爱有天意》时的清秀模样，不过李有镇X金贤秀的少年组才是这部电影最动人的...

                        ?(展开)",甜甜一笑,还行,41
8,现在去见你,"一场车祸，秀雅离开了她的亲人，死前她说：“雨季我会回来”，在天堂和人间的中间有个云国，每天秀雅在云国看着丈夫宇镇，和儿子志昊。一年后的雨季秀雅真的回来了，她且失去了记忆。 电影大部分是倒叙的手法，男主宇镇讲述他的爱情故事，和所有的爱情故事一样甜蜜而温馨，所以...

                        ?(展开)",虹HongLi,还行,45
9,现在去见你,"整个电影都是梅雨季的灰绿。田间小路，带着小黄帽的小孩坐在爸爸自行车后座。麦田和暮色。废旧轨道，穿着小白裙粉开衫的女人。 坐在山顶透过望远镜看电影的恋人，适时滴落的雨滴和吻。高中青涩的双向暗恋，红伞下的惊鸿一瞥，写满心事的日记本和写了隐喻告白的同学录。 幼儿园...

                        ?(展开)",麦芒少女,力荐,33
