,影片名,评论内容,评论人,推荐星数,有用数
0,红海行动,"

                        去年，《战狼2》风靡暑假档，疯狂席卷50多亿。 但你只要敢说它半点不好，就会遭到脑残粉的围攻，被问候家人，甚至上升到不爱国的层面。 凡事就怕有对比，《红海行动》的问世，使得《战狼2》相比之下显得相当可笑，就像幼儿园的小朋友玩过家家。 我们要感谢林超贤导演，是他证明...

                       ",凌睿,力荐,9967
1,红海行动,"开门见山，《红海行动》是今年春节档质量最好的一部，但尺度很大，R级。 我之前一直觉得，林超贤的前作《湄公河行动》，作为中国的军事甚至战争题材，在审查制度、主旋律光环甚至意识形态的笼罩之下，拍成那样已经是华语电影极限了。 没想到《红海行动》这样作品，如果不考虑国...

                       ",乌鸦火堂,推荐,4534
2,红海行动,"2016年，由林超贤执导，根据“10·5中国船员金三角遇害事件”改编的警匪动作电影《湄公河行动》就取得了豆瓣8分和11.84亿票房的成绩。 这一次，金马奖最佳导演，《湄公河》制作班底，5亿制作成本。正如主演杜江所说：“《红海行动》是一部非常火爆、非常震撼、场面巨大的巨制”...

                       ",阿德,推荐,1787
3,红海行动,"微信公众号：movie432    首发于 MOViE木卫 有人说，这年月，一部热门档期院线片不是烂片。那就已经是新闻了。 前阵子，有大号还在耸人听闻：港片终于死亡。 简直荒谬！完全是无稽之谈的老调重弹。 从本世纪开始，香港电影已死之类的论调，已经听得人想抽他十万八千个大嘴巴。 ...

                       ",木卫二,还行,1048
4,红海行动,"

                        在这里要说一个有趣的故事。当时，英国的《每日星报》援引路透社消息称，有一队不明国籍的武装部队搭乘军舰在也门亚丁港登陆，但并未说明部队的人数以及装备情况，更没有现场照片。外媒援引当地一名海事官员的描述，称这支武装部队的任务旨在确保港口内的外国人撤离，在确保安...

                       ",老肖,力荐,1013
5,红海行动,"作为一名军事迷，以及一名网络军事小说作家。我只想说，那些在说我军刷水军的人，我可以称之为素质极差。我们先不说黑鹰坠落美军以19人的阵亡代价消灭索马里一千多人。我们就说去年。具体内容我不太记得。但是，英国SAS特种部队8名队员与恐怖分子血战。最后打到子弹打没了，拼...

                       ",作者：空军猎人,力荐,1078
6,红海行动,"今年过年，巴塞君没有回家，留在了深圳“愉快地”加班看电影。 之前很少看春节档（因为大部分是烂片），完全没有预料到电影院在春节会是这样一种盛况，几乎座无虚席，一票难求，吓得我赶紧抢了一张角落的位置静鸡鸡地端坐着。 但更令人心塞的是，电影院像是涌进了一群原始社会...

                       ",巴塞电影,推荐,1001
7,红海行动,"

                        非常荣幸的，在一个寒风凛冽的夜晚参与了未删减版《红海行动》的提前点映活动。 作为一个非军事迷、非战争迷、非政治迷的“三非影迷”，在不知道卡司构成、不了解基本剧情的情况下，我竟然眼睛都舍不得眨、一秒都舍不得落下的看完了这部两个多小时的电影。 友人很是好奇的问我...

                       ",我是摇又鸟又鸟,力荐,985
8,红海行动,"在看完《湄公河行动》之后，《红海行动》是让人带着更多一份期待的。 主旋律题材在近一年中暴风崛起，但论起来实打实的电影技巧与艺术，依然是林超贤最为驾轻就熟。《证人》《激战》的时代已经远去，包裹在动作题材下讲人性的警匪系列逐渐没落。北上的香港大导，在与内地融合的...

                       ",山水烟花,推荐,757
9,红海行动,"《红海行动》是林超贤团队《湄公河行动》原班制作人马拍摄的，根据也门撤侨”真实事件改编，讲述我军特种部队蛟龙突击队在局势紧张的非洲，在恶劣环境之下执行撤侨任务，解救中国公民的故事。电影中展现多种世界级武器装备，将中国海军和特战部队拍得威武霸气。 《红海行动》与...

                       ",电影大爆炸,推荐,495
