,影片名,评论内容,评论人,推荐星数,有用数
0,给19岁的我自己,"一部反映大学校园校花校草的爱情故事，故事太过简单，人物刻画得不够细致 。剧情推进不错，老梗玩得不少，前面加了一些色情的东西，估计是为了吸引人看，后面就比较感人了，情节虽然老套，但主题仍旧是能与过去的自己连接，意图改变当时的自己，最后一幕让人感觉有续作或者是承...

                        ?(展开)",发呆中的电冰箱,还行,41
1,给19岁的我自己,"“如果我当时勇敢，回忆是不是也可以改变。”十年之后，阳艺雪因错过爱情而后悔。在发现莫晓枫留给自己的木盒可与过去时空连接时，29岁的阳艺雪试图挽回昔日的爱人。她根据日记里记录下的与莫晓枫相处的时时刻刻，不停地跑到两人曾经待过的场所，通过不断地与19岁的自己鸿雁传...

                        ?(展开)",蝶衣,还行,41
2,给19岁的我自己,"这篇影评可能有剧透

                        一部小清新的爱情文艺片，虽然讲述的是传统的校园爱情，但是电影里的情节无一不带给我们校园的回忆。男女主角“冤家”式的爱情，阳艺雪在爱情和友情上的犹豫，男配对女主舍友的求爱，舍友之间的互损，衣服长时间不洗还换水，在宿舍吃火锅，这些情节都曾经发生在我们的身边，真...

                        ?(展开)",萧萧是个乖孩子,还行,27
3,给19岁的我自己,"一部小清新的爱情文艺片这部电影写得是青春时期的爱情的不勇敢，造成的遗憾，但是通过这种时光穿梭的方式让时光倒流做了不一样的选择，然后不同的未来，寓意都是珍惜身边的人，珍惜时光！情节老套主题仍旧是能与过去的自己连接，意图改变当时的自己，但如果只能改变过去的经历...

                        ?(展开)",芳香,还行,24
4,给19岁的我自己,"这种青春片采用穿越时空，回归校园时代的梗倒也很常见，所以说影片整体平平，没有什么太大的惊喜。但是影片出现频率最高的一句台词“不好好学习没关系，泡学长才是正经事”，倒是给我留下深刻印象。我们现在的学生都被要求要好好学习，天天向上，但是是否又有很多人追忆过自己...

                        ?(展开)",爱吃猫的鱼?,还行,27
5,给19岁的我自己,"人生是一列前行的列车，只有单程票，抓住现在，活在当下，也许这也是导演想要传达给我们的东西。 这部有点类似与解忧，做了趟哆啦A梦的时光机，回到过去弥补了青春的遗憾，但是结果是注定的了，只是过程变化了，变得让人可以接受了。希望青春不留白，勇敢爱。关于爱情，关于勇...

                        ?(展开)",???????????????,还行,10
6,给19岁的我自己,"这篇影评可能有剧透

                        这是一部集所有美好于一体的爱情片。首先，29岁的阳艺雪通过和19岁的自己对话，改变了青春时期的友谊和爱情，因为青春已经经历过一次，所以如果能重来，必然会更加顺遂自己的心愿；再者，莫晓枫的人设简直是所有少女的理想对象，人帅得掉渣，弹得溜吉他，玩得转浪漫，可以毫不...

                        ?(展开)",米果,还行,12
7,给19岁的我自己,"黄朝亮导演的这部新片一半取景在浙师大，让我又是惊喜又是疑惑，惊喜的是作为金华人，这所家门口的大学将在电影里被展现出来，疑惑的是，印象里朴实的浙师大如何能够拍出台湾导演所要的小清新的青春片之感。 作为从浙师大附小和浙师大附中毕业的金华人，每年暑假都在浙师大的各...

                        ?(展开)",莫吉托,力荐,
8,给19岁的我自己,"这篇影评可能有剧透

                        其实说起来应该三星半，但个人认为还没到四星，franchement … 一切青春片应该有的元素都有了，也没有大陆青春片桥段那些狗血桥段。看电影的时候迟到了两分钟，一进场男主就挂了?一脸懵逼之时才发现原来是一部超现实青春片?女主通过盒子写信的设定莫名回想起解忧杂货店和...

                        ?(展开)",Echo,还行,1
9,给19岁的我自己,"19岁的我自己，有时突然想起，发现自己好像忘记了，虽然有悸动，但那是对自己的感动，与别人无关了。19岁的我们憧憬未来，29岁的我们却回忆当初，明明只隔着10年啊，也许每个人心里都有一根拔不掉的刺。 往往让人没有那么期待的东西 会给你意外的惊喜 未满20 刚好19 你没有办法...

                        ?(展开)",安若晴,还行,
10,给19岁的我自己,"这篇影评可能有剧透

                        在连续加了一个月的某一天，放松一下自己，奖励自己去看个电影。正好看到影院上线这部电影，奔着名字去看了。 整个电影院只有我和前排不认识的一位也是独自去看电影的人。也算是包场吧。 电影放到半个小时的时候我甚至在想为什么要浪费时间看这个片子。充斥着狗血又老套的句子...

                        ?(展开)",媸,推荐,2
11,给19岁的我自己,"这篇影评可能有剧透

                        跨越10年之久的虐心之恋，已经结婚成家的阳艺雪对大学初恋莫晓枫久久不能释怀。当得知初恋莫晓枫意外逝去，悲痛欲绝的阳艺雪抛开现有的家庭和生活，借助初恋留下的宝盒穿越回十年前，找回那段业已远去的大学初恋。 为了找回失去的莫晓枫，阳艺雪意外发现眼泪可以触动宝盒穿越回...

                        ?(展开)",希希 爱电影,较差,
12,给19岁的我自己,"这篇影评可能有剧透

                        好戏，筋、骨、皮、肉、相。 这戏，看筋。 没有放不下的忧伤； 只有爱不起的回忆。 电影《给19岁的我自己》的筋，连着一本书的骨， 书是@写字的阿琪 《爱得起放得下》 男主角，一根筋。 孤独十年，徒步十年，相思十年，写信十年。 信是一封一封从未邮寄的、手写的倾诉。 终于，...

                        ?(展开)",炳叔,较差,1
13,给19岁的我自己,"这篇影评可能有剧透

                        这部新片在我们学校点映了，因为取景的缘故兴冲冲地跑去看。男女主很青春，剧情总体可以，尤其是过去未来当下的选择确实让我也想到自己，但还是不得不说，里面有些桥段真的败笔，比如男主偷看女生洗澡，男主穿梭在女生宿舍楼顶晾衣服的地方（可能我太古板了吧这要是换成我总会...

                        ?(展开)",蕉下鹿,还行,
14,给19岁的我自己,"前天夜里下楼，突然被广场上外放的音乐吸引。很诧异现在还有人听徐怀钰的《向前冲》 我能体会 好多姐妹为爱 傻傻的等待 偷偷掉眼泪 这样不对 耳朵过来交换意见 当王子被发现 我们向前冲吧！ 虽然这首歌已经被发廊、中介和销售部毁了，但我还记得作为小女生的时候，听到这首歌的...

                        ?(展开)",懒懒牛,推荐,1
15,给19岁的我自己,"我觉得作为青春片，让人感觉到触动，基本上这部电影就及格了。 这部电影应该让很多人触动吧，毕竟青春里面基本都有一个喜欢到不敢追的人，或者说最后阴差阳错错过的人。 但这部电影里面混杂了很多我所厌恶的大陆青春片情节，我不是反对大学生生活里面有荤段子，有是正常的，但...

                        ?(展开)",ls,推荐,1
