,影片名,评论内容,评论人,推荐星数,有用数
0,西小河的夏天,"影片是以1998年世界杯为故事背景，讲述了一个小男孩的夏天和他眼中的大人世界，这部片子不仅含有童年的烦恼、成长的阵痛，还有成年世界的无奈。作为一部成长类型片，电影以一个小孩子的视角还原一个家庭和一个时代，讲述独生子女三代人的家庭故事，故事娓娓道来且细腻，见微知...

                        ?(展开)",天山黑姥姥,推荐,60
1,西小河的夏天,"电影《西小河的夏天》讲述了1998年绍兴台门三代人的成长故事。10岁的顾晓阳的足球梦想遭到父亲的反对，强压之下他开始和邻居爷爷偷偷练球。与此同时，顾晓阳意外发现爸爸的秘密，而陪伴了自己很久的爷爷也将要离开台门。梦想、争吵、别离，在这个夏天，晓阳第一次感受到了来自...

                        ?(展开)",时间都去哪啦,推荐,39
2,西小河的夏天,"这篇影评可能有剧透

                        1998年夏，皮耶罗决战世界杯，10岁的晓阳也想像他一样。当老师的爸爸拒绝为他的校队申请书签字，忙着角逐梅花奖的妈妈也没空搭理他。在没有兄弟姐妹的年少时光，隔壁怪爷爷成了晓阳的好朋友。他们一起踢球，一起出游。孤独的夏天，他窥见了爸爸、妈妈和爷爷的秘密。2018年的晓...

                        ?(展开)",毛毛虫,推荐,40
3,西小河的夏天,"整部电影看完最主要的观感是两个字“舒心”就好像跟着小朋友一起经历了水乡的夏天，夹杂着雨声和蝉鸣的那种。三代人都有自己的成长主题，也都有各自的勇敢和妥协，生活大概就是如此吧。整部电影最成功的地方在于用细腻的细节展现出三代人在一个特定年代的成长与改变，尤其是对...

                        ?(展开)",往事不要再提,推荐,45
4,西小河的夏天,"这篇影评可能有剧透

                        电影名字让人感觉是儿童片，其实是给成年人的怀旧作品，勾起了一代人的回忆。1998年的夏天，有法国世界杯，有球迷的激情，有小孩子的梦想，有中年人的困惑，也有老年人的孤独。江南古镇的小桥流水，风光旖旎，时光慢悠悠地走，人们心里仍有暗流涌动。1998年，国内第一次全程实...

                        ?(展开)",花吖,还行,47
5,西小河的夏天,"这部《西小河的夏天》好暖心啊，讲述了一个小学生在1998年夏天经历的一系列事情。家庭的变故、他自己要面对的足球选拔，还有1998年的世界杯。很生活化的电影，也很优美，尤其是江南水乡取景拍摄，画面尤为精致。这是一部很难得的电影，仿佛让人在夏天感受到了一缕清凉之风 。从...

                        ?(展开)",人间四月是芳菲,推荐,41
6,西小河的夏天,"很舒心的一部电影，第22届釜山国际电影节得奖作品。导演很年轻也很踏实，功底非常地扎实，叙事流畅，两年前的夏天在绍兴与剧组拍的。 少年成长的烦恼，中年奋斗的烦恼，老年生存的烦恼，汇聚到一起，就组成了这部《西小河的夏天》真正的生活，是如炎炎夏日下的绿植，遇到日头就...

                        ?(展开)",吼吼吼吼,还行,31
7,西小河的夏天,"本片虽是导演的处女作，但各方面的反响还不错的，不过电影后半段明显没前边的质量好！ 影片用儿子的“孤独”来反射爸爸、妈妈、邻居爷爷的内心，最后妈妈考核的落选、爸爸同意自己进入足球队 看似新学期新的开始，但“孤独”并未在人们心中消失。其实孤独并不可耻，可耻的是人...

                        ?(展开)",**,还行,41
8,西小河的夏天,"在绍兴的一个古镇台门，一个发生在江南水乡古镇里的故事，吴侬软语听来好亲切，足球的爱好连接的祖孙情看起来这么真实。同样孤独的男孩和邻居爷爷二人互相填补了心灵上的空缺、彼此依赖，感情真挚动人。诸多细节让人唤起了那个年代的记忆，平淡而温情，甚至还借了当年的旧课本...

                        ?(展开)",影视评论人,还行,48
9,西小河的夏天,"《西小河的夏天》，作为周全的电影处女作，不失为一部有人情味的佳片。该片主要对生活在同一个台门里的老中少三个阶段的人物进行了刻画，分别选取了具有代表性的事件：父权的压制、精神出轨、中年危机和安土重迁。特别喜欢顾宝明和荣梓杉这对老少组合，又有趣又感动，总体来说...

                        ?(展开)",芳香,推荐,37
