,影片名,评论内容,评论人,推荐星数,有用数
0,解救吾先生,"这篇影评可能有剧透

                        本片不是那种充斥着飙车枪战的酷炫警匪片，期待着警匪大战的观众请摆正心态。本片也没有什么深度心理刻画，反派的童年阴影青春创伤什么的毫不CARE，你一个画面都不会看到。片里的警方没有任何个人英雄主义，只有严密的团队合作，前线审讯追捕后援收网，环环相扣浑然一体，谁也...

                        ?(展开)",AF,推荐,2797
1,解救吾先生,"电影快要结束时，刘德华饰演的吾先生被成功解救，他坐在警车里还没有缓过劲来，眼神一直在盯着虚空中的某处；而这时镜头了给了吴若甫扮演的警察，他的眼睛湿润了一下。这一幕意味深长。时间来回到十一年前，“2004年2月3日凌晨2点多，著名演员吴若甫与几位朋友刚刚谈完事从朝阳...

                        ?(展开)",邓安庆,推荐,1809
2,解救吾先生,"根据真实的事件改编！ 没看《解救吾先生》之前，对我来说，选择看或不看，做决定之前，先研究一下面前摆着的“矛与盾”，这是十分自然的事。有个拒绝的声音像盾牌，阻拦下猎奇的行动力。  明星吴若甫先生被绑架案，2004年，我曾通过徐滔的《法治进行时》栏目，追踪着解救的全程...

                        ?(展开)",小小农,力荐,834
3,解救吾先生,"個人電影清單#171.《解救吾先生》  個人評分：7.8/10  下文含剧透。（其实剧不剧透也没差...）  没去上海电影节，但也有幸赶在全国提前点映先看了这部作品。电影在年中开始做宣传的时候便引起了我的关注，主要原因还是剧本改编自真实案件。  正片阅毕，首先最大的一个感想是：...

                        ?(展开)",新大町,推荐,470
4,解救吾先生,"这篇影评可能有剧透

                        1. 分身   吾先生，一个神奇的角色。他代表了丁晟对香港大哥级影星的一次集体致敬。  吾先生，“演过很多警察”、 “我看了你电影很多年”、 “从来不演匪”，他勇敢，面对匪徒的恐吓和同一只船上的小伙子的恐惧，他循循善诱，又不失勇气，甚至还不经意间去套取有效的信息，并...

                        ?(展开)",indicent time,力荐,740
5,解救吾先生,"中秋点映拿到的票，和朋友一起去看的下午场。在此之前，我虽未了解吾先生这部影片的故事架构，却在看到丁晟的名字时就意料到这该是一部极硬的男人片。这部电影无疑云集了许多大咖，金像金马影帝刘德华，金马金鸡影帝刘烨，东京影帝王千源，加之一位该剧的真实原型吴若甫，可谓...

                        ?(展开)",山水烟花,推荐,191
6,解救吾先生,"吾先生是谁？         片中的“吾先生”真实原型是演员吴若甫。          吾先生怎么了？         某日凌晨，“吾先生”与几名朋友刚刚谈完事，从朝阳区某酒吧出来，眼前突然出现了几个自称是警察的陌生男子给“吾先生”带上手铐，拉上了汽车扬长而去。当日中午，犯罪...

                        ?(展开)",睡在巴西旁边,推荐,102
7,解救吾先生,"如果国庆档只能推荐一部电影，我会推荐这一部：《解救吾先生》。 故事是根据“吴若甫绑架案”改编。演员吴若甫被几个自称警察的男人绑架了，要求200万赎金，警察必须在最短的时间抓到劫匪，否则他们就要撕票。 故事的结局是注定的，因为吴若甫被救出来了，还在《解救吾先生》里...

                        ?(展开)",咪蒙,力荐,178
8,解救吾先生,"脱胎于真实案件，导演一手硬一手软的讲了个故事。硬的是记录片，警察是主角；软的是剧情片（搞笑加煽情），吾先生是主角。华子在两部片子里演了一个相同角色：混蛋罪犯。因为看过当年的报道，剧情对我来说不神秘。基本上当年报道过的都细化呈现了，没报道的也没讲述或者演的敷...

                        ?(展开)",citymole,推荐,134
9,解救吾先生,"《解救吾先生》因为源自真实事件，所以真实也成了影片最大的特点，尽管题材本身并不是那种传统的悬念重重，但导演丁晟却通过高速镜头语言的运用营造出了很强的紧张感和真实感。这种从一开始就知道结果，再根据事件中的蛛丝马迹去推理营救的叙事方式，令人印象深刻，环环相扣的...

                        ?(展开)",桦树立秋,推荐,38
10,解救吾先生,"本片改编自“吴若甫被绑案”，片中吾先生的原型就是神勇警察曹刚（吴若甫，很佩服他的勇气），在故事的悬疑性和人物的深入挖掘上不可能有太多发挥。不过还是用手持摄影、快速剪辑和特殊叙事结构让影片一直处于高度紧张之中，时不时抖几个笑料也显得张弛有度。         ...

                        ?(展开)",夏了夏天,推荐,40
11,解救吾先生,"对这部电影，感触最深的还是刘德华。他似乎一直是个人形象盖过了剧中形象，一出场，不用演就是警察，就是好人。他在职业生涯中也一直勤奋认真，从来没有不良传闻，除了不公开女友之外，没什么八卦人士可以指责的地方，于是爱挑毛病的人说他无聊，没天分。也是无奈。 在这部电影...

                        ?(展开)",爬山虎,推荐,54
