,影片名,评论内容,评论人,推荐星数,有用数
0,负重前行,"当丧尸病毒流行，剧中男主，不信任妻子上岸更安全的想法，决定留在船上，也因此害的妻子感染上病毒，上岸后当妻子在车里看到丧尸，用车灯提醒男主，为不伤害孩子和男主，妻子决定下车，这里充分体现了妻子的睿智，和母爱，对男主的爱，可是同样爱着妻子的男主又怎能放弃妻子，...

                        ?(展开)",虹HongLi,推荐,72
1,负重前行,"该片讲述了被僵尸妻子咬伤，自己即将尸化的男子，究竟该如何保护自己背上的孩子。 不知曾几何时，世界天翻地覆。刚刚从车祸引起的剧烈冲撞和昏迷中醒来的男子，迷迷糊糊看见副驾驶的妻子向自己招手，然而却发现曾经相濡以沫的伴侣竟然变成容颜丑陋、凶猛嗜血的丧尸。经过一番搏...

                        ?(展开)",十里故清欢,推荐,33
2,负重前行,"《负重前行》讲述了男子被自己的丧尸妻子咬伤后，面临即将尸化的结果时，为了保护尚在襁褓中的女儿，这位父亲背上孩子，将一团腐肉挂在自己的面前，绑住自己双手，好让自己在变成丧尸后，一直追赶着挂在前面的肉，从而不伤害到自己背上的孩子，就这样他一路追赶，直至到安全区...

                        ?(展开)",烦烦,还行,51
3,负重前行,"父爱的表达不需要语言，这种感动足以跨越国界，震撼人心。幸存者起初准备像他们狙杀的无数僵尸一样弃之荒野，但孩子的啼哭让意识到一切的幸存者对这位父亲肃然起敬，并冒着危险正式的埋葬了他。这个电影感觉也算个比较悲惨的结局了 最后爸爸闻到妈妈的香水味也会安下来 因为他...

                        ?(展开)",樱花少女,推荐,49
4,负重前行,"我是看了微博上流传很广的一个视频后，找出来看的，那个短片感动了很多网友，里面也包括了我。 这片子与其说是一部丧尸电影，不如说是一部丧尸背景的父爱电影。之前看这类型的片子不少，变异之前和之后的都有，却第一次看到一部专拍变异中的故事片，而且拍的还这么感人。影片的...

                        ?(展开)",乡下丫头0504,推荐,38
5,负重前行,"不知何时，世界天翻地覆。刚刚从车祸引起的剧烈冲撞和昏迷中醒来的男子（Andy Rodoreda 饰），迷迷糊糊看见副驾驶的妻子（Alison Gallagher 饰）向自己招手，然而却发现曾经相濡以沫的伴侣竟然变成容颜丑陋、凶猛嗜血的丧尸。经过一番搏杀，丧尸妻子倒地不起，而男人左臂却被咬...

                        ?(展开)",七七,推荐,14
6,负重前行,"这篇影评可能有剧透

                        2013年，一部叫做《负重前行》的澳大利亚短片在网络走红，它还有另一个译名：《父爱无僵》。这部短片凭借短短7分钟的故事感动了无数网友。 2017年，短片《负重前行》的导演本·豪林和尤兰达·拉姆克将它拍成了105分钟电影版，整体框架没有太大改动，但丰富了故事的人物、背景、...

                        ?(展开)",凌睿,推荐,40
7,负重前行,"题材很好 充满绝望和矛盾 大赞作为父亲坚持到了最后一刻.严格的说，这不是一部惊悚片，算是一部带有惊悚元素的剧情片吧，展现了一个父亲在自己仅剩的48小时里，如何让自己的女儿能继续活下去，途中遇到和自己同样遭遇的家庭，而那个父亲选择先杀了自己的家人然后自杀，这也是一...

                        ?(展开)",芳香,推荐,37
8,负重前行,"丧尸片一般走的都是恐怖风，结果这部片子走的是温情风，最好笑的是主角们一个个死掉，但是我们没有任何心痛的感觉，主角们也从来没有反抗过…… 负重前行，男主角不仅背负的是孩子的重量，更是做人的善良和底线的重量，坚持到最后，哪怕死了也是胜利。幸好影片中大部分人都坚持...

                        ?(展开)",小女子无以为报,推荐,44
9,负重前行,"其实丧尸片在很早就是一个外国非常流行的灾难题材，前几年都有非常好的作品。比如《生化危机》。但这些都是单纯人类和病毒抗战简单暴力的丧尸片。也许导演和编剧也意识到，题材应该加一些更加深化的东西才能继续拍下去。 于是类似《负重前行》、《釜山行》这种关于亲情的温馨恐...

                        ?(展开)",神婆阿七,较差,34
10,负重前行,"不散作者 | 曾英俊 在7分钟的时间内构建一个完整的故事，没有台词没有对白，没有花哨的布景与转场，甚至连一个完整的线索链都没有，让你来俘获观众的心和眼角的泪，你觉得有可能吗？ 影视界总是时不时诞生奇迹，远在2013年，就有一部澳大利亚的短片用仅仅7分钟的时长，戳中了几...

                        ?(展开)",不散,推荐,11
11,负重前行,"《负重前行》讲述了男子被自己的僵尸妻子咬伤后，面临即将尸化的结果。为了保护尚在襁褓中的女儿，  男子背上孩子，将一团腐肉挂在自己的面前，绑住自己双手，好让在自己变成僵尸后，一直追赶着挂在前面的肉，不伤害自己背上的孩子，就这样他一路追赶，直至到安全区，被安全人...

                        ?(展开)",玉玲珑,推荐,32
12,负重前行,"这篇影评可能有剧透

                        影片中男主对妻子、女儿的爱毋庸置疑，但是如果你只看到了父爱，我觉得太低估这部电影了。这其实是一步非常好的女权电影，剧中一个个出现的女性角色其实代表着男主从一个“直男癌”如何逐步提升女性地位，最后从绝望到成功的转换： 首先说下男主的妻子：乍一看完，觉得这是典型...

                        ?(展开)",叶知秋,力荐,18
13,负重前行,"#负重前行#  不知曾几何时，世界天翻地覆。刚刚从车祸引起的剧烈冲撞和昏迷中醒来的男子，迷迷糊糊看见副驾驶的妻子向自己招手，然而却发现曾经相濡以沫的伴侣竟然变成容颜丑陋、凶猛嗜血的丧尸。经过一番搏杀，丧尸妻子倒地不起，而男人左臂则被咬伤。显然他已意识到自己的宿...

                        ?(展开)",salvation,推荐,16
14,负重前行,"这篇影评可能有剧透

                        一早上了六点的闹钟，起来就开始等开播，第一时间看完了。哭成了狗，一边哭一边想妈的今天周五啊还要去学校呢，我这一天可怎么过啊，然后就哭的更凶了...... 平复了好久心情，才开始动笔。 首先，父爱题材，我逢看必哭。 其次，男神的电影，我不能特别客观评价。 先说短片变长...

                        ?(展开)",小土,力荐,13
