,影片名,评论内容,评论人,推荐星数,有用数
0,魔幻手机,"也许在大人的眼里，这是一部雷剧烂片…但，在小朋友的眼里却是一部好看的科幻片。它能引起小朋友去奇思妙想，小孩子的世界没有复杂，没有雷不雷，烂不烂剧的概念。他们总想着在自己的身上有一天会发生奇遇，可以是奇妙的旅行，可以是为正义而战的勇士，也可以是个可以能带给他...

                        ?(展开)",灬阿澄灬,推荐,201
1,魔幻手机,"这篇剧评可能有剧透

                        王天霸对小千说: 性格决定命运,你的一生啊,就俩字概括,窝囊! 游总：因为你无法把消息传递出去，所以你这个卧底，只有一直卧着 小武：有顶绿帽子戴多好啊，冬天挡雪夏天挡风。 精神病院门口 大夫问黄眉:你真是孙悟空的结拜兄弟？ 精神病：还不把我师傅放了！你媳妇已经被我打死...

                        ?(展开)",蜜汁少女,力荐,51
2,魔幻手机,"舒畅美的很标准啊！ 那会儿觉得陆小千也很帅（现在不是这样想的） 演员演技真的很赞 小时候看真的很带感，直播放了看重播，还天天念叨着剧情。以我现在的认知看，剧情确实脑洞大开，演员像是一本正经地胡说八道，但也真的很佩服他们，或许是他们的尊重角色本身，尊重剧情，让我...

                        ?(展开)",讴歌,力荐,47
3,魔幻手机,"最开始看的时候，也是只看了几集，觉得剧情很单调，很没意思。 后来有一次，忍住看完了，我觉得这部片子比很多片子高了不知道多少档次。 先说剧情。42集的电视剧，很长，剧情丰富不丰富很重要，这部电视剧的剧情的起承转合，做得非常好，始终不会有烦闷的感觉。比起魔幻手机2的...

                        ?(展开)",月亮的伴星,力荐,97
4,魔幻手机,"从道德角度，至少都是正能量。其实央视拍的时候在里面加了很多正能量，比如那个大学教授捡破烂捐钱，还有傻妞对小千说爱一个人的意义，就连里面的王天霸做贼都有文化和良心。有心的朋友们可以重新去回味一下。 从科幻现实角度，有很大可能性，当然只是手机的可能性，虚幻人物不...

                        ?(展开)",顾羲,还行,30
5,魔幻手机,"该有的都有了，西游记，水浒传，三国演义红楼梦，蝙蝠侠，钢铁侠，超侠蜘蛛侠，回到未来2046黑客帝国 超级战警 星球大战，孙悟空大战宇宙超人奥特曼，葫芦娃智斗外星生命变形金刚点点点点点点。俺孤陋寡闻，看得片少， 要是看多的话说不定还能挑出一堆形容词来。  平心而论，这...

                        ?(展开)",俺,较差,62
6,魔幻手机,"这篇剧评可能有剧透

                        公元2060年，手机已经拥有了变为人形，光能充电，时空穿梭，遥控，自卫，重组基因等 等先进功能。这一天，一种穿梭多维空间的新功能问世了，科学家将这种功能植入一款名叫“傻妞”的手机中。在试验中，真人模式的傻妞穿梭时空回到唐朝，帮助孙悟空制服了图谋唐僧肉的黄眉大王，...

                        ?(展开)",南音,还行,33
7,魔幻手机,"看到评分吓了一跳，原来那些年大家对电视剧要求就这么高了哈哈，那时候真是百看不厌，还因为傻妞走了郁闷了好久，最喜欢结局陆小千拿着电话在那儿喂喂喂。  回头看看这些人，陆小千算是没怎么露面了，但是在2005年，曾凭借电影《青红》获得戛纳国际电影节影帝提名，还是很厉害...

                        ?(展开)",one_sunnyday,还行,21
8,魔幻手机,"这部剧当年我也是反反复复看了好几遍啊   只要电视上一播我就会看  不得不说当年的傻妞真的是惊艳到我了感觉真的好漂亮  酷酷的那时候内心也是很想要一个傻妞的  在剧中特别希望陆小千和傻妞在一起  不喜欢陆小千和楚楚在一起  虽然这部剧的内容有点荒诞但是从中却能感受到温情...

                        ?(展开)",夏天的summer1,推荐,16
9,魔幻手机,"一直都很喜欢舒畅，真的女神呀，要颜值有颜值要演技绝对碾压现在当红的几个女明星，可就不知道怎么一直遇不到好的资源，一直不火，也是很可惜了，当时特别喜欢这部电视剧，特别希望傻妞和陆小千在一起，我们那一帮小孩子就特别想要一部这个娃娃似的手机，也想有一个属于自己的...

                        ?(展开)",苗苗,推荐,16
