,影片名,评论内容,评论人,推荐星数,有用数
0,与君相恋100次,"这篇影评可能有剧透

                        *本文从头到尾都是剧透 *只讨论穿越设定，不涉及影片评价 *并没有100个那么多啦  *为什么每次讨论剧情设定的时候，一定有人跳出来质疑“是不是没有认真看电影”，不接受这种攻击谢谢。  1. 男主角为什么可以无限次穿越过去，而不用承受任何后果？ 比如说，这部电影会让我想到设...

                        ?(展开)",阿暖,较差,149
1,与君相恋100次,"这篇影评可能有剧透

                        戏谑点说，这是一个关于开着外挂去恋爱的故事。 男生陆拥有“时光作弊”的道具，然后从为女生葵海过的第一个生日开始，不断地回到过去，锻炼出一个又一个技能，给女生送上惊喜。 他的完美、波澜不惊，背后是绞尽脑汁、死不放弃外加全心全意的执拗。 竟然还有这种操作。 为你在...

                        ?(展开)",fattysi,推荐,161
2,与君相恋100次,"相比韩式苦情戏把人哭得死去活来，更喜欢这种日式小清新的豆蔻夏时，尽管replay的故事模式早已不罕见，但依旧拍出了青春年少独有的懵懂情愫和生命体悟，不煽情却也能让感动流进心里。结尾收得漂亮，献给彼此生日礼物的两首歌曲没有沦为MV，每句歌词都能传达出双方的寄托，烘托...

                        ?(展开)",樱花少女,推荐,40
3,与君相恋100次,"这是一部甜虐甜虐的电影，很日式小清新范，剧情就不说了，太假，但是可能人们还是需要这种不切实际的幻想来弥补自己错过的遗憾吧！所以啊，满目山河空念远，不如怜取眼前人。如果你遇到了喜欢的人，请好好珍惜吧！我们不知道未来会怎样，那就过好当下，好好对待身边的人，好好...

                        ?(展开)",且听风吟,还行,50
4,与君相恋100次,"这篇影评可能有剧透

                        我们总有着这样那样的遗憾，有些遗憾是白月光挂在天边，远远地看着，就这样算了吧，有些是朱砂痣烙印在心口，随着时间渐渐变淡了，但永远不会消失。如果有时光机就好了，我们一百次这样想。 《与君相恋一百次》讲的就是这样的故事。 爱是在你看不到的地方，把1%可能性变成理所...

                        ?(展开)",点酱,推荐,93
5,与君相恋100次,"这篇影评可能有剧透

                        其实我还挺喜欢这个电影的，算是很小清新很纯爱的那种感觉，说实话在这方面日本编剧的确比较能给观众带来不同的爱情体验。只是那个和中国永恒的大团圆结局一样，日本的大结局永远都是残缺。 当然这个电影第一点想让人吐槽的就是颜值，明显男女主角的颜值会预先丢失一分。坦白说...

                        ?(展开)",叶子的眼睛,较差,25
6,与君相恋100次,"男主和男二挺帅的，女主的演技大概是我看电影这么多年演技最做作的，看得我尴尬症都犯了，可以说比大幂幂和安吉拉宝贝还要尴尬了，不过是个歌手嘛，可以理解，不过说实话，逆转时间这个梗看腻了啊，全程都在想女主怎么还没有最终嗝屁.一直感觉女主的身材比例很奇怪，百度以后发...

                        ?(展开)",樱阿和为了嫁出,较差,57
7,与君相恋100次,"这篇影评可能有剧透

                        本来想说电影的最后一个情节才是神来之笔，就活了整个电影。但是看到大家都评论……难道没有一个人看出来是女主在不停的救男主？而且还救成功了？ 整个电影从一开始到最后倒数十分钟都平平淡淡，甚至乏味（对所谓的高颜值男女主不感冒），整部剧都沉浸在男主为了救女主不停的穿...

                        ?(展开)",我本山中一布衣,较差,25
8,与君相恋100次,"这篇影评可能有剧透

                        本来我不想评价这部片子，但是看他居然得了6.3感到实在不可思议特地来评价一下。本文言辞过激，受不了的玻璃心不要点开。首先女主角长的实在太难看了！！他每次一撅嘴我都想吐，故意装可爱的时候也很做作，让人觉得日本女生活得真累生活中也在拼演技。另外我认为这个人物一点也...

                        ?(展开)",神仙老子,较差,7
9,与君相恋100次,"友情提醒：龙星凉的迷妹就不要去看《与君相恋100次》了，真的是颜值骤降到让人心痛啊！ （之前他来中国宣传《与君相恋100次》就被人说颜值骤降了，但当时大家都以为是他晒黑的问题。） （看了《与君相恋100次》才发现是他脸形变了，从有棱有角的脸形变成了一个包子脸。而且电影...

                        ?(展开)",惘然,还行,13
