,影片名,评论内容,评论人,推荐星数,有用数
0,东方华尔街,"好惊喜国内也开始有这种迷你剧看了，每一集都像在看一部独立的电影，短小精悍。 刚更新到前两集，讲的是一帮金融高手试图征服金融市场的故事。里面的几个演员都是我很喜欢的，吴镇宇、张孝全、余男，张可颐、谭耀文……影帝、影后齐上阵，其它几位也是演技颜值兼备。虽然才两集...

                        ?(展开)",乡下丫头0504,推荐,56
1,东方华尔街,"这篇剧评可能有剧透

                        香港的电影电视剧，如果是很不错的片子，总给人一种很严谨的感觉。 像之前那么多的警察探案，刑侦，律政方面的，总是英姿飒爽。 这部剧也很不错，剧情严谨，演技在线，金融行业一直是水很深，两人从师徒到敌对，从合作到分道扬镳，不止是金融行业的变化，更是他们两个人情感，...

                        ?(展开)",墨里写繁花,推荐,55
2,东方华尔街,"以前看过TVB的剧觉得很不错，不过TVB渐渐没落，我也就不怎么看了，这几年一直被国产的情情爱爱的片子荼毒，仅仅为了爱情就要死要活的，看的我牙疼，而且近来国产剧又出现配角注水这一大神器，唉:-(。这次看到这个片子非常惊喜，希望那些编剧导演来学学，不要把观众当傻子耍，尊...

                        ?(展开)",zero非辞,推荐,47
3,东方华尔街,"非常好看！剧情紧凑且烧脑，看到完全停不下来！人物性格刻画得当！每个人演技都在线！！强烈安利！！ 刚更新到前两集，讲的是一帮金融高手试图征服金融市场的故事。里面的几个演员都是我很喜欢的，吴镇宇、张孝全、余男，张可颐、谭耀文……影帝、影后齐上阵，其它几位也是演技...

                        ?(展开)",许凡若曦,力荐,13
4,东方华尔街,"这篇剧评可能有剧透

                        这是一部只有5集的迷你剧！ 最开始看到资料的时候，简直不敢相信自己的眼睛。 要知道，国产剧只拍5集，就意味着如果男女主角要在剧里谈恋爱，几乎连壁咚的时间都不够！ 正因如此，这剧干脆放弃了那些狗血的卿卿我我（赞！），而将全副心力投诸于流畅且烧脑的正篇剧情。 它讲述...

                        ?(展开)",江湖鲜有的传说,推荐,18
5,东方华尔街,"题材有点涉及专业化，但慢慢就会懂的了。节奏很快毕竟只有5集，实话说质量不差但港剧惯性会怕烂尾。重点是就前几集已经放了很多见不了光的细节剧情，这也应该是为什么在香港拍的剧说的是粤语背景却说是东南亚的某城市城市。权游式的开头很酷炫，剧情进展很快，商战片每一秒特别...

                        ?(展开)",???????????????,推荐,13
6,东方华尔街,"第一集没有任何拖沓，开始就为以后剧情展开埋下了伏笔，叶抱一与政、商如何勾结，替人做事，与张孝全是为何反目成仇，叶抱一到底以前做了什么，会亏欠他人。使人很想继续追下去一探究竟。 作为金融犯罪的剧集，制作方也设计和展示了金融投资方面的黑幕来吸引观众。 剧集开始就...

                        ?(展开)",最爱锤子哥,推荐,46
7,东方华尔街,"这篇剧评可能有剧透

                        金融知识不懂不乱回答，权当是抛砖引玉。 毕竟，从网上再到新闻上面来看，《东方华尔街》这部剧的关注点太低，几乎没有什么人在谈论，希望能引起点关注吧。 中国大陆电视剧的问题很多，但大陆古装剧，年代剧，悬疑警匪剧，盗墓探险剧等等，还是拍得相当不错的，毕竟每年有那么...

                        ?(展开)",令狐伯光,推荐,5
8,东方华尔街,"这部剧最大的不同在于体量，只有5集，1集约50分钟，5集也就是250分钟，类似于一部加长电影。 开头播了十分钟的铺垫剧情，才进入了片头曲，我才恍然大悟：哦，现在才开始。 如果这是一部港片的开头，我会觉得太拖沓，时间线和画面切换混乱（剪辑师太拖后腿了！），结构不够精妙...

                        ?(展开)",石榴一朵,推荐,33
9,东方华尔街,"刚看完，可以说由着部片子的合作方就可以看出这部剧的特色，糅合了美剧，港剧和电影的拍摄手法，很有电影的质感，金融商战题材远超大陆玛丽苏偶像商战剧，初看挺烧脑，而且对金融股票不清楚的更加蒙。故事以97索罗斯狙击香港和08雷曼兄弟庞氏骗局引发金融海啸为背景，很有大时...

                        ?(展开)",公元1998,力荐,1
10,东方华尔街,"哇哇哇许久没在大众面前出现的天王刘德华终于带着作品来啦！！ 只不过......这一次不是他演了电影或者电视剧，而是第一次“触网”担任起了电视剧《东方华尔街》的监制！（姐只能默默在心里说一句，天王还是洋气啊，期待值看网友们这“架势”就知道了。?? 是滴，就是它—...

                        ?(展开)",娱乐拆穿姐,推荐,6
11,东方华尔街,"感想： 资本操控舆论操控金融市场操控房地产操控政治，只要他们需要，就可以制造假新闻制造假电影票房假数据 ，普通民众每个人都是没有薪水的路人甲和群演，只能跟着别人的剧本走下去，甚至还要倒贴钱帮他们演完这出戏，细思极恐。。 优点： 开局不错，节奏挺快，很开心有粤语...

                        ?(展开)",w w,推荐,26
12,东方华尔街,"一开始是冲着刘德华监制来看的，点开后才发现，好巧，这些都是我特别心水的演员！这是有史以来最高水准的网剧演技阵容吧 每一个毛孔都写满演技的吴镇宇，魅力已经超脱出了颜值。看他演戏时，不觉得他在演戏，而是很自然地觉得他就是那个聪明绝顶、正邪难辨的金融大鳄。希望他能...

                        ?(展开)",箭头,还行,25
13,东方华尔街,"作为一个编剧，我想说，第一集那个车门外的不道歉如果不是伏笔真的太可惜了，没背叛所以不道歉，道歉了就说明自己背叛了。吴镇宇这个角色从一开始的塑造就不是反派，超大概率后面有反转不反转就浪费本子了。当然节奏方面，以第一集来讲，回忆与现在主线的穿插还能更好，这个是...

                        ?(展开)",酒醒何处,力荐,
14,东方华尔街,"很久没有写评论了！ 本剧才看了2集，说实话，很畅快，意犹未尽！ 画面质感很好，有电影画面感！ 剧情回忆穿插，1997年，2008年，2018年！ 基本上交代了前因后果，那些说看不懂，杂乱无章的，建议去看其他的弱智偶像剧，不费脑，还能意淫，满足现实中得不到的需求。 本剧拍出了...

                        ?(展开)",风轻云淡,力荐,
15,东方华尔街,"在物欲横流的金钱世界里，真正受益的，往往都是那些依靠金钱、权利去赢得更多利益的幕后玩家们， 而大多数普通人，要么是被操纵的棋子，要么是被收割的韭菜。这很残酷，但也很真实。 完美诠释了金融世界的趣味 卡司阵容剧情都是电影级别 短短五集300分钟的迷你剧把一个故事说完...

                        ?(展开)",长安,力荐,
16,东方华尔街,"每一代年轻人都有属于自己的电视剧回忆，对于80后来说，TVB是无法抹去的经典。有人说，以前的港剧，就像永不熄灭的维多利亚港一般迷人，它不止映照大时代之中的风云变迁，也写尽了底层人物的欢喜悲伤。 我一直觉得，与其说是港剧没落了，不如说他们曾经的中坚力量也开始拥抱大...

                        ?(展开)",茗茗西西,力荐,
17,东方华尔街,"月24号晚上20点整，腾讯上线了《东方华尔街》。说实话，在最开始的时候对于国剧我是拒绝的，毕竟今年算是国产剧的小年，从开年到现在真的说不出有多少拿的出手的东西来，霸占屏幕的综艺电视剧和不怎么综艺的电视剧里来回切换倒人胃口，反倒是韩剧和美剧出了几部口碑之作——在...

                        ?(展开)",sgyxmg,力荐,
18,东方华尔街,"最近怎么这么多朋友在安利这个剧，朋友圈也是各种人刷，据说这个剧在有钱人的朋友圈已经被刷屏？可是我真的很穷。 本来我是一遍吃饭一遍看剧的，第一集错过了很多信息，又倒回去重新看，这种感觉好久没有啦，哈哈总共五集，目前出了两集了吧，看到那么多文章在推，作为资深毒饭...

                        ?(展开)",兔子爷,推荐,
