,影片名,评论内容,评论人,推荐星数,有用数
0,亚人 真人版,"《亚人 真人版》动作导演  大内贵仁  大内贵仁，1976年生，《亚人 真人版》、《热血街头》、《黑执事》动作导演 大阪体育大学毕业 有西式摔跤功夫底子，为成为替身武师单身前往香港，当时香港回归后，香港电影人纷纷北上，后经罗礼贤介绍，得到一个为成龙充当光替（就是灯光师...

                        ?(展开)",chenzj,推荐,45
1,亚人 真人版,"这篇影评可能有剧透

                        这才是真正的“自杀小队”。。。。男主人设真无语，太圣母了！一不小心被别人抓了，当了多年实验品，不但不记恨伤害他的人，还帮残害自己的人对付救了自己的同类。我真想一巴掌拍飞男主“你呀的脑子瓦楞了吗！”结果呢？那群人类直接把男主和另一个亚人干掉了，有点同情那个亚...

                        ?(展开)",君子懿,还行,55
2,亚人 真人版,"作为漫改，不错了。 说文戏垮，但作为没看原作的我来说这部反倒是同题材漫改中既站住了脚不说教又一黑到底的，哪有什么正义不正义，永井首要目的是为了妹妹和自己，本来就不是英雄主义，就像田中说的他被反复虐杀两年就想毁灭地球，佐藤从出生开始就被虐杀，二十多年了；永井还...

                        ?(展开)",蝶衣,还行,53
3,亚人 真人版,"这篇影评可能有剧透

                        步调快、剧情没有变动太多。 动作场面果然还是很棒，不管是特效的幽灵对战，还是真人对战，还是枪战，水准都很高。真的真的特别喜欢砂糖的动作场面！干净利落！ 不过，最棒的果然还是演员！！漫改的前辈们，果然还是不一样啊！ 比方说，原著的田中，找城田来演，颜值也高太多了...

                        ?(展开)",小萧,推荐,22
4,亚人 真人版,"电影里设定的漏洞挺多的，举几个例子吧（1）电影最后户琦说政府出动对亚的条件是逮捕主角，那么问题来了，反派都要在东京散播毒气了，政府的对亚还不出动是干什么来的，留着过年吗（滑稽）还tm要什么条件。（2）还有被打成碎块后不应该以最大的一块碎块重生吗。（3）影片中说反...

                        ?(展开)",鱼哥英俊潇洒,较差,18
5,亚人 真人版,"这篇影评可能有剧透

                        原是本格糖粉，看完有点被“氛围型帅哥” 丑帅代表刚哥圈粉。 （有极少剧透防侧漏，不影响观影） 跟大多数迷妹一样，提前自修了亚人的动漫和书，原作真的非常吸粉，本来以为是类似寄生兽的风格，但其实不同，不死身和小黑的设定只是个框架，大段和帽子的智力角逐让亚人情节更复...

                        ?(展开)",卫薇子603,推荐,10
6,亚人 真人版,"我就想不明白了男主佐藤为什么跟三体的程心一样是个圣母婊 自己明明被政府研究 每天都受死亡循环带来的痛苦 同类亚人来救他 他还装逼 看到这我就看不下去了 就算你不忍心和男2一样 不加入他们杀戮 最后也没必要来反同类吧 这不是贱是什么 活该他就该天天被研究 不要站在道德制...

                        ?(展开)",浩扬鼎业,很差,23
7,亚人 真人版,"啊啊啊啊佐藤健超帅语无伦次的帅～一百婚一百婚，帅到哭泣。请看图！！！ 心路历程大致如下:开场十分钟，男主好丑，气死我了，永井只是路人脸而已；开场半小时，男主还不错，可以接受，但是剧情舍弃太多；开场一个小时，啊啊啊啊帅爆了帅爆了，永井帅，佐藤大叔也帅，动作戏很...

                        ?(展开)",小九,推荐,41
8,亚人 真人版,"这篇影评可能有剧透

                        （含有剧透） 看了亚人电影！改编得的确还不错！刚哥演的佐藤是很帅了，还骚里骚气的，虽然由完美的愉快犯变成了强力复仇者，但还是非常可以。 就是有两点我无法纳得，一，最后永井和佐藤维持在一个给给的姿势上被从天而降的强力部队用液氮？冻成了冰雕，然后被直接打成碎片，...

                        ?(展开)",sloookkk,推荐,10
9,亚人 真人版,"这篇影评可能有剧透

                        不得不说日漫还都是蛮有想象力的，啥时候我们自己的国漫有如此热血又如此有想象力的作品就好了。。 说回到亚人这个剧情设定，其实从一开篇我就想到了X战警，基本上同样的世界观设定，同样的冲突，也有同样的阵营划分。但对比X战警来说，这部亚人从各方面来看还是感觉差了一个层...

                        ?(展开)",Archon,较差,4
10,亚人 真人版,"2017年是日本動漫改編電影成果相當豐碩的一年，先有7月的《銀魂真人版》和8月的《帝一之國》，這兩部皆以幽默取勝，而11月的《亞人》也著實令人驚艷，其特點在於劇情易懂、節奏明快、武打流暢，娛樂性十足，是一部無冷場的動作爽片。  　　「亞人」的設定非常前衛，這完...

                        ?(展开)",昆汀涂,力荐,2
11,亚人 真人版,"这篇影评可能有剧透

                        不管原著怎么样，这电影看起来就是一SB啊啊啊啊！！！ 尼玛的被抓起来SM虐杀了几百次，被救没一会居然出手反杀来救自己的人！！！！！ 居然在恩人没对自己进行威胁和人身伤害的情况下就直接反杀！！！ 尼玛的是心理变态还是受虐狂？！！！喜欢被绑起来SM虐杀的感觉么？！！还虐...

                        ?(展开)",西瓜87,很差,3
12,亚人 真人版,"扪心自问，如果在生活中有人打了你，你会怎么办，嗯，要么打回去，要么报警；但如果把疼痛+10倍100倍的锯掉你手臂，敲碎你的脑壳呢？这时你有枪，甚至你还有超不死超能力，你会怎么做呢？如果你“以德报怨”不杀他们，那么请睡服我们，给我一个能相信的理由。 电影片头RBZF对男...

                        ?(展开)",不忘初心得始终,很差,5
13,亚人 真人版,"首先抛开原动漫剧情，只说不死异能者这个创意。 站在民众的立场上，相信大部分人（包括我）更想政府多研究亚人，以揭开重生的秘密，因为我也想拥有亚人的神奇能力。 剥开虚伪的面具，扪心自问，我相信大部分人都有这个梦想。 这么好的创意，完全可以拍摄成一个黑暗化的电影，就...

                        ?(展开)",子云非云,较差,
14,亚人 真人版,"这篇影评可能有剧透

                        一部倾向写实的漫改作品，没有大多数漫改的尬。 印象最深刻的是帽子叔，一心想报复社会，对人对事心狠手辣，却整天把笑容挂在脸上，战斗意识极高，很有角色魅力。很遗憾的是主要角色太过扁平化，如果将砂糖和帽子叔各自的立场更多的着墨，倒不失为一个很好的议题。电影里关于权...

                        ?(展开)",爱吃包子的玄猫,推荐,
15,亚人 真人版,"最近刚看完犬屋敷动画，又来看亚人。把主人公设置成不会死的天选之子，仿佛像上个世纪的人讨论机器人一样。 电影只有一小时四十八分钟，实在太短了，我觉得这个设定完全可以有更带感的展开......可能是因为知道了亚人可以reset以后，看亚人对战亚人的场面就提不起劲来。 结局对...

                        ?(展开)",可尔必思,推荐,
16,亚人 真人版,"这篇影评可能有剧透

                        看的时候最受不了的就是男主的圣母性格！！原作里男主明明不是这么圣母的啊！！居然会去相信政府的承诺，最后政府还不是要将两人一起消灭吗？政府暂时欺骗最终还不是要拿亚人来做实验，一方可以不死，一方只有一条生命，两个物种之间的矛盾是无法化解的。 还有就是这个大魔王很...

                        ?(展开)",?,还行,
17,亚人 真人版,"这篇影评可能有剧透

                        一部改编失败的电影，缺乏人物塑造，使角色都扁平无趣。 《亚人》讲述了实习医生永井桂在车祸中成为不死的亚人，打败同为亚人的佐藤保护东京。 改编最失败的主要是两点： 1.主人公变得相对被动且毫无魅力。电影对主人公的过去没做任何交代，只靠着高于正常人性的善良和对妹妹的...

                        ?(展开)",职业影迷,还行,
18,亚人 真人版,"亚人是最喜欢的动漫之一，但是对人物改动也太大了，男主明明就是个腹黑又聪明的人物，怎么就化身成了千篇一律的男主形象毫无存在感。妹妹一出场我就想这个女的真漂亮，没想到是特意找个漂亮的女孩给她这么多戏份，还如此手足情深的样子。最反感就是这点，妹妹本来是憎恨哥哥，...

                        ?(展开)",天零零,还行,
