,影片名,评论内容,评论人,推荐星数,有用数
0,倩女幽魂,"小学四年级时候开始看武侠小说，我有两个年长我三四岁的表哥，他们手头颇有几个零花钱，暑假里在家前面的一家租书店里租全套的金庸和梁羽生来看，我跟着他们后面蹭着看。但是因为出钱的不是我，所以看一套书往往是颠三倒四地从后面看起，等翻到大结局，才能等到他们手里的那本...

                        ?(展开)",就叫我荣,力荐,1342
1,倩女幽魂,"今天在什么文艺界大联欢晚会上看见红楼剧组的那些个妖姬妖精，心里一紧，这些个华丽丽的女子们，怎么打扮也就是些小妖，即使是冰冰处长也不过就是很漂亮的妖孽而已。又翻出【倩女幽魂】，还是王祖贤，一直以来霸占着我心中【最迷人妖女】的位置。我对她与齐秦的绯闻从无兴趣，...

                        ?(展开)",脑残枪,力荐,761
2,倩女幽魂,"那天我知道87版上映之後我就趕著去看了，一大早的我們廳只有4個人，排隊買票的時候倒是有很多人，不過都在為關雲長還是里約大冒險做著艱難的決定，到我的時候我倒是很爽快地說，10點六號廳，87倩女幽魂。　　 　 　　 我問朋友為什麼只有四個人，她好像很無謂地說：“都看過了...

                        ?(展开)",[已注销],力荐,674
3,倩女幽魂,"回过头来看徐克的电影才觉得聂小倩的故事是拍得最好的。我虽然不知道鬼才导演这一美誉的由来，但总觉得这一褒奖加在能把人妖殊途的故事拍得这么荡气回肠又不失缠绵悱恻的徐克身上是最适当不过了。包括后来的青蛇，多少带着这种小倩式诀别的影子。罗家英演的唐僧被吊在烽火...

                        ?(展开)",貓先生拉麵屋,力荐,441
4,倩女幽魂,"在电影院看了87版的《倩女幽魂》。二十多年前的电影了，之前也已经看过了很多遍，但看的时候，还是禁不住被牵着走，被倾倒，被打动。这才是经典吧。 其实细究起来，87版来来去去就这么几个人物，就这么几个场景，无论道具、特效，都显得简陋。如果换到今时今日的某一部电影，多...

                        ?(展开)",梁赞,推荐,323
5,倩女幽魂,"一张似乎将要被人遗忘的脸。红的胭脂白的水粉。长发披肩，耳环摇曳。星光一样的眼眸，在你未定神的刹那，早已夺了你的魂魄。   　　 一九八七年的《倩女幽魂》。两个应该要记住的名字。王祖贤、张国荣。   　　 多情的应是那一身白裙的女鬼。王祖贤演绎的聂小倩。粉黛轻施...

                        ?(展开)",老顽童思密达,力荐,86
6,倩女幽魂,"前言 在我有限的观影经历中，《倩女幽魂》是我迄今为止重复观看次数最多的一部，我这里指的是徐克在1987年拍摄的《倩女幽魂》系列的第一部（又名《神剑诛妖》，不过我一直怀疑这一名字是后来制片方加上去的）。徐克的这部电影其实是翻拍自李翰祥在20世纪70年代拍摄的同名影片，...

                        ?(展开)",藥王子,力荐,101
7,倩女幽魂,"有些事物，不会随着时间的推移而变化，8这版《倩女幽魂》。历经三十多载，依然梦幻诗意难以替代。而其中对于乱世与人情的描绘，如今看来，还是初见时那般动人。 女鬼聂小倩与书生宁采臣在高人相助下。一番有惊无险最终与小倩结合，人鬼相恋的离奇故事纳入平凡生活的正常轨道。 ...

                        ?(展开)",妖妖灵,推荐,45
8,倩女幽魂,"柔弱书生宁采臣：无辜、善良、痴情、单纯得没有一丝一毫的造作。他眉眼清秀，气质亦不犀利，反而显得羞涩、怯懦，一副唯唯喏喏的读书人模样。他不是不怕鬼怪，要不然也不必在走夜路时点三盏灯笼；但是为了爱情，他也会变得很勇敢，与聂小倩有肌肤之亲以后，他也管不了千年树妖...

                        ?(展开)",新桥妖妖,力荐,48
9,倩女幽魂,"这篇影评可能有剧透

                        小学四年级时候开始看武侠小说，我有两个年长我三四岁的表哥，他们手头颇有几个零花钱，暑假里在家前面的一家租书店里租全套的金庸和梁羽生来看，我跟着他们后面蹭着看。但是因为出钱的不是我，所以看一套书往往是颠三倒四地从后面看起，等翻到大结局，才能等到他们手里的那本...

                        ?(展开)",萌萌哒,力荐,40
