,影片名,评论内容,评论人,推荐星数,有用数
0,偶像练习生,"真是，无敌令人羞耻。 不要以为没人看过produce 101 。还有就是2位平日舞蹈风格可爱性感的女生担任男生舞蹈导师，很质疑能否有教导能力。更诡异的是其中一个女生才出道不久，还是produce 推红的，你担任这档没版权节目心理到底有没有负担？知道你在韩国不易，又遭队友孤立排斥...

                        ?(展开)",Shenny,很差,371
1,偶像练习生,"这篇剧评可能有剧透

                        1. 这个综艺大概集齐了全国十八线演艺圈的娘泡，看到一堆男人对另一堆男人颜值和腿长的评头论足，作为一位女士，我都替他们尴尬的。2.这个综艺里难道都是一些吃土的拜金物质男？看到人家带个金链子穿个皮鞋就羡慕的不要不要的，我都有些担心这些金链子会在水里浮起来。还有辣么...

                        ?(展开)",ME,很差,349
2,偶像练习生,"看完第一期就忍不住吐槽了，很失望，这批练习生眼界也太小了，“哇，他腿好细，好帅”“王思聪的公司，有这六个字已经有优势了” 各种商业互吹，尴尬都快溢出屏幕了，还有蔡徐坤，这是打算每参加一个选秀节目，就把“原本是tf第四个成员”这个话题拿出来炒一波么？   范丞丞…...

                        ?(展开)",顾羲,较差,116
3,偶像练习生,"这些练习生的实力有点差啊.....第一期稍微好一点的就是陈立农，挺可爱的一个男孩子，其他的没感觉.......唱功有待加强，舞蹈软绵绵的，虽然是偶像但也要注重实力啊，而且颜值还真没几个高的，这一比张艺兴好多了，不愧是导师，一星给节目本身，还有一星给导师的，李荣浩好可爱...

                        ?(展开)",小小吃货,还行,84
4,偶像练习生,"确定是偶像练习生吗，每个人对每个人的评价都好高，唯独确认为自己是不行的，不知道是真的谦虚还是就是没自信，记得第一组的看到第二个人进来的时候，说“哇，他长的好帅，穿的好时尚，好像要去走时装周一样”真不知道这样的话是怎么说出来的，同样的都是练习生，看到那个公司...

                        ?(展开)",樱桃咻咻咻,很差,90
5,偶像练习生,"偶像练习生这个节目我一开始真是当笑话看的，里面的男孩子总是非常自然的透露出一些弱智感，例如“哇，他们穿的好好看哦”“穿金戴银的，好有钱”“我都快要爱上他了”……之类非常尴尬的吹捧方式，还有中间一些傻缺到的令人捧腹的表演。总之，自从赵本山退出春晚后，我很难再...

                        ?(展开)",丁宁利,还行,120
6,偶像练习生,"最近郁闷到不行，害我心情这么差的你在哪里。幸好有帅帅的哥哥陪我。哈哈哈哈哈哈哈哈。怕不是个搞笑节目，我看了十几分钟就笑趴了，男生们互相：“啊他穿的好高级天哪，像去巴黎一样，好好看，好帅，怎么可以这么帅，腿好细，好高，好性感，他衣服好好看啊，哇。我觉得我都快...

                        ?(展开)",小杨树,还行,55
7,偶像练习生,"一开始对偶练的期待还是蛮大的 后来节目播出之后 开始怀疑自己 是我打开的方式不对吗 是我的眼光有问题吗 首页抛开抄袭不说 里面那些男生的妆容是认真的吗 妆化的比女生还浓 真的是要出道的男团吗 ？男团或者是那个年龄的男生 在我印象中不是像三小只那样的就是像三石弟弟以及...

                        ?(展开)",夏天的summer1,很差,37
8,偶像练习生,"偶像，练习生，现在感觉就是效仿韩国的此类选秀节目，但又是东施效颦，不伦不类的感觉！ 现在的审美标准，我也不是很清楚了，一群男孩子满口哇哇哇的，他好白啊，好帅啊，腿好细，穿得好好看啊，无法苟同，选出来的也都差不多一个模子刻出来的，我傻傻分不清楚啊啊啊啊啊！ 也...

                        ?(展开)",三只兔子,还行,51
9,偶像练习生,"这篇剧评可能有剧透

                        节目里每个男孩都那么清纯呆萌天真，没有撕逼没有噱头，都是靠实实在在的能力，也都很团结，节目带给我们是满满的正能量。其中我最受关注就是偶像练习生“蔡徐坤”了，连续登顶微博热搜榜第二，蔡徐坤给我的印象是比较深的，因为他的风格还是蛮独特的。随着《偶像练习生》的播...

                        ?(展开)",花吖,推荐,52
10,偶像练习生,"感觉好多都是“老人”，有的参加过各种综艺选秀节目，有的是已经出道但一直不温不火的，刚开始看介绍各种公司时，感觉一脸懵，都不知道这些公司是干嘛的，看过了就懂了点，这个节目无非是来找热点，没啥创新型，来主题曲的开头貌似是copy国外的，呵呵呵！ 无非来打消时间，感觉...

                        ?(展开)",**,较差,31
11,偶像练习生,"首先，这种抄袭节目就是对创作的不尊重，啥啥都照搬可真是省事，其次，这是选偶像吗，整容脸戏精还有gay太明显了吧，大型搞基现场吗这是，还有直接说练习不到10天的，原版的小哥哥们都多努力多么渴望出道，让这种练习了几天几个月的人来上这个节目不是打脸吗？还好意思让国民制...

                        ?(展开)",阿牛,很差,61
12,偶像练习生,"这篇剧评可能有剧透

                        这是一篇尽可能中立客观正经的科普分析文。 （根据个人喜好将更新内容放在文末，已更至E05，持更） 张艺兴是一个我很欣赏的男艺人，从某种程度上来讲我看这个综艺就是因为张艺兴。 二专《SHEEP》出来后，张总及工作室和微博舞蹈发起的舞蹈battle应该算是他朝着自己的终极目标（...

                        ?(展开)",齐思,较差,73
13,偶像练习生,"看了十一期了，不写个长评都对不起自己，因为垃圾第四期和第十一期触犯两位导师的原创作品，本来想打三星的，就只打两星好了 第一期， 第一个出场的何东东占据很大的优势，成功让人记住了他（事实证明，后续镜头跟不上也是白搭）， 然后是非常油腻的蔡徐坤了，但是，他很聪明，...

                        ?(展开)",华灯初上,较差,14
14,偶像练习生,"这篇剧评可能有剧透

                        说一下目前所有涉及“借鉴”的部分。              1.节目形式！这个就不用说了。 2.自我介绍！部分练习生自我介绍“借鉴”韩版练习生创意及韩版练习生编舞。 3.选曲！选择原版经典舞台的音乐有蹭热度嫌疑！有人气的都避开了，剩下实力不是很强的孩子不得已跟原版做对比！aqy ...

                        ?(展开)",蛋妮的小不点,很差,28
15,偶像练习生,"迄今为止偶像练习生播放到了第三期，三期以来真的发现节目剪辑很乱。 第一期，在首A那块故意把蔡徐坤和陈立农放到一块设置悬念，但可以说成了开头败了结尾，看完的人都一脸梦，谁，谁是首A？ 对于导师，练习生也有很多异议，但其实三期以来我记忆犹新的就是越努力越幸运，还有...

                        ?(展开)",天山黑姥姥,较差,27
16,偶像练习生,"整个节目浓浓的韩国风，立意、导师、选手全都是，我个人来讲实在欣赏不来。 冲着热搜李荣浩的表情包看了一期，呃。。。。 张艺兴团队主舞跳舞没话说，李荣浩唱歌不错也有才华，至于其他人呃不了解甚至不认识。 选手一个个的韩式打扮我就不喜欢所以颜值这块对我来说没有。才艺方...

                        ?(展开)",双黄蛋,较差,45
17,偶像练习生,"给三星是因为作为一名韩粉+101观众，对创作团队感到失望无比。他们在拿抄袭的下作挑战国民的智商和忍耐。这么多期过去，敢问节目制作你们有花心思下功夫吗？没有！每一步都在抄袭，抄袭，抄袭！最可怕的是，这是公开地消费梦想、商品竞售！直到今晚，把每一个舞台认真看过后，...

                        ?(展开)",nestom,还行,13
18,偶像练习生,"文｜七号、一炸（珞思影视研究组） 从第一期开播时的全民吐槽到最后一期九人出道时的全民热捧，偶像男团竞演养成类真人秀《偶像练习生》完成了一次逆袭。长达4个月的pick历程，全民制作人终于在4月6日晚确认蔡徐坤、陈立农、范丞丞、Justin、林彦俊、朱正廷、王子异、小鬼、尤...

                        ?(展开)",捕娱记,力荐,11
