,影片名,评论内容,评论人,推荐星数,有用数
0,冰川时代,"这篇影评可能有剧透

                        人类在这部电影里多少扮演着一个残酷的角色，给所有的动物们都带来了痛苦，无论是善良的长毛象曼弗瑞德，还是扮演了大反派的剑齿虎，他们都因人类失去了同伴。在这短短的旅程里，这些动物给了我太多感动。树獭希德绝对是一个搞笑的角色，他总是不停的说，惹麻烦，出状况。至于...

                        ?(展开)",栗子,推荐,46
1,冰川时代,"很少这么认真的看一部动画电影，但冰河世纪给了我太多感动。 人类在这部电影里多少扮演着一个残酷的角色，给所有的动物们都带来了痛苦，无论是善良的长毛象曼弗瑞德，还是扮演了大反派的剑齿虎，他们都因人类失去了同伴。 在这短短的旅程里，这些动物给了我太多感动。 因为人类...

                        ?(展开)",幽犽,力荐,59
2,冰川时代,"这篇影评可能有剧透

                        一个“冰河时期”（其时间跨度是几千万年甚至2、3亿年）之中，一段持续的全球低温、大陆冰盖大幅度向赤道延伸的时期。在中国大陆学术界冰期称冰河时期（Ice Age）也称之为“大冰期”。相邻的冰河时期之间的地球气候比较温暖的时间段，称之为“大间冰期”。地球史上四大冰河时期...

                        ?(展开)",仙女山的月亮,推荐,30
3,冰川时代,"《冰川时代》描述在冰河纪这个充满惊喜与危险的蛮荒时代，因为一名突如其来的人类弃婴，让三只性格迥异的动物不得不凑在一起，尖酸刻薄的长毛象，粗野无礼的巨型树獭，以及诡计多端的剑虎，这三只史前动物不但要充当小宝宝的保姆，还要历经冰河与冰山各种千惊万险护送他回家。 ...

                        ?(展开)",花怜要开车,推荐,29
4,冰川时代,"近年来每每看好莱坞的动画作品，总能得到美美的享受。 最令人难忘的不是她一贯的主题，比如爱，比如勇敢，比如宽恕等等，虽然这些主题讲的那么自然不做作不说教。 最有意思的就是电影总能让人那么开心，尤其是主角的个性，多半是个小个子的家伙罗里罗嗦却是插科打诨妙趣因之生...

                        ?(展开)",CU,力荐,68
5,冰川时代,"该影片主要讲述了在冰河世纪这个充满惊喜与危险的蛮荒时代，一场剑齿虎与人类之间的复仇战斗导致人类婴儿丢失，而三个性格迥异，格格不入的动物也因此紧紧联系在一起。 邋遢、粗野无理，却有一颗善良之心的巨型树懒希德；喜怒无常且说话刁钻，却内心柔软的长毛象曼弗瑞德；性情...

                        ?(展开)",浮生愿景,推荐,28
6,冰川时代,"非常喜欢这部动画片，第一次看到《冰川时代》是小学的时候，站在商场里的彩电展示柜前，里面有个傻傻的松鼠拼了命去追逐一个总是吃不到嘴的松子。我在这部电影里看到了温暖，因为人类的行为而给多少生灵带来痛苦。曼弗瑞德的包容和友爱，来搞笑的希德，和我始终当反派来看待的...

                        ?(展开)",红装素裹,力荐,36
7,冰川时代,"《冰河世纪》是2002年美国动画电影，主要讲述了两百年前地球上的冰川时代，由于人类与剑齿虎的一场战斗，人类婴儿不慎丢失，三个格格不入的动物也因此深深地联系在一起，树懒希德虽邋遢，却有一颗善良的心；长毛象曼尼喜怒无常而且说话刁钻，却内心柔软；剑齿虎迪亚哥虽性情凶...

                        ?(展开)",沙里晶,力荐,30
8,冰川时代,"故事围绕着三只冰河时期的史前动物和一个人类弃婴展开。冰河期使得动物们纷纷迁移寻找食物。心地善良的长毛象——曼弗瑞德、嗜食的树獭——希德、狡猾的剑齿虎——迪亚戈，这三只性格迥异的动物为了使一个人类的小孩重返家园，竟然聚在了一起，组成了一只临时护送队，踏上了漫...

                        ?(展开)",毛毛球的毛毛虫,推荐,23
9,冰川时代,"冰河时期降至，动物们都急着迁徙到温暖的地方及储存食物。长毛象曼弗瑞德、树獭希德、剑齿虎迪亚戈为了帮助一个人类的婴儿回到父母身边，因而也掉了动物们迁徙的队伍。三只性格各异的动物，觉得集合力量帮助婴儿。一路上，善良的曼弗瑞德总觉得迪亚戈心怀鬼胎，想吃掉婴儿，互...

                        ?(展开)",想做你的蜡笔,推荐,21
10,冰川时代,"《冰河世纪》是由20世纪福克斯和导演克里斯伟奇于2002年推出的3D动画，时隔九年，这部动画如今回味起来观赏性依然丝毫不减，20世纪福克斯是八大电影公司中成立最晚的，系列影片出的也不算多，《冰河》作为其中一个系列无疑在娱乐性和商业性上获得了成功，。 片子讲述了长毛象曼...

                        ?(展开)",工藤新一,很差,19
11,冰川时代,"《冰川时代》是一部2002年蓝天动画工作室制作的完全数字化的动画电影，由20世纪福克斯电影公司发行，是《冰川时代》系列中的第一部，由克里斯·韦奇与卡洛斯·沙尔丹哈联袂执导 影片描述在冰河纪这个充满惊喜与危险的蛮荒时代，因为一名突如其来的人类弃婴，让三只性格迥异的动...

                        ?(展开)",桦树立秋,推荐,22
12,冰川时代,"这篇影评可能有剧透

                        这部电影第一次是在初中时候看的，当时特别喜欢，直到现在上了大学，冰河世纪依旧是最喜欢的系列影片，里面的猛犸象，剑齿虎和树懒也是最喜欢的角色，当然，还有那只松鼠…… 在这部电影里，最大的看点是三只动物对于婴儿的感情以及人类的残酷。曼尼，迪亚哥和希德都是因为人类...

                        ?(展开)",小人鱼,推荐,20
13,冰川时代,"这部电影中围绕着远古时代的动物们和一个婴儿展开了电影情节，从而反映出在这个世界上不仅仅是人有感情动物们也是感情的，他们也是有自己的温度的。在电影中，三只性格各异的动物，都有着自己的不同想法可是他们在帮助婴儿的过程中最终能够坦诚相对这也恰到好处体现出了在现实...

                        ?(展开)",夏天的summer1,推荐,14
14,冰川时代,"死死的抱著自己的松果不放，是不是很傻很可爱？哪怕过了两万年，也会因为松果被海浪吹跑恨恨不已。

                        ?(展开)",北极苹果,力荐,33
15,冰川时代,"论一个橡果的重要性，足以引发陨石撞地球。影片扶正黄鼠狼巴克，彻底解放它耍贱、勇敢、果断的天性，仿佛是一位洞察天机、博古通今的智者、伟人。但削弱树懒希德话唠、呆萌的特点心有不甘。全篇重点描述的父女之情，让每个家庭感同身受、切身体会。放手让子女独闯天涯、望子成...

                        ?(展开)",garden2099,还行,14
