,影片名,评论内容,评论人,推荐星数,有用数
0,初恋这件小事,"青春本来就是是一件乐在其中却不知情，离开了满是感伤，回想起来又满是想法的事情。   对于泰国的青春片我承认我一点抵抗力都没有。   《初恋这件小事》在很多人的并不期待中汹涌袭来，校园味的海报，言情味的名字，多数人以为会是并不起眼的片子。好的电影能触动人心，当开...

                        ?(展开)",六兔,力荐,4931
1,初恋这件小事,"这篇影评可能有剧透

                        本文是观后感不是影评。影片的优点和缺点留给影评人士去抒发，我只是想要表达我对影片小小的喜爱之情。  最初被认为不过是小朋友打打闹闹的爱情小品，上映后却让上万人在电影院里同时流泪，《初恋这件小事》成功的把小小的爱情变成我心中大大的感动。  由SAHAMONGKOL FILM INTE...

                        ?(展开)",暹罗copen,力荐,2078
2,初恋这件小事,"14岁那年我暗恋初中班里的学委，那个很瘦很高的眼镜男，数学好得一塌糊涂，总是看各种各样的小说。 那时他和班里的副班长MM形影不离，他们总能一起被叫到老师办公室去，一起布置黑板报，一起去领奖状之类的东西。如果那年就出现了四娘，我想我也会写出，“我在一个你看不到的角...

                        ?(展开)",Sophie  Z,推荐,1343
3,初恋这件小事,"这篇影评可能有剧透

                        這部電影講的是每個人的故事，那我也來數數我做過的吧：  1. 故意約朋友去某個地方，為的就是偷看他   2. 和朋友在上課時傳紙條討論他的事  3. 裝做沒事的故意經過他身旁  4. 把一件屬於他的但基本上算是垃圾的東西，當作珍藏並常常對著這件物品說話  5. 打他家電話，然後裝作...

                        ?(展开)",allyshine,推荐,583
4,初恋这件小事,"这篇影评可能有剧透

                        多谢copen的字幕 等这部电影等了好久好久。最初寻找此片的动力是Mario但是后来被剧情深深的吸引，一直痴痴地等了3个月。  名字叫做初恋这件小事， 其实我觉得不如叫暗恋这件小事，毕竟两人那时并没有在一起。暂且我不去夸这部戏的剧情不去夸这部戏主角们的演技，相信看过的人都...

                        ?(展开)",J,力荐,521
5,初恋这件小事,"手上青春还剩多少？数数已经换过几个对象了？让我一个“老头子”也会想起去写一场少女的春梦了，肯定带着羡慕， 你当不成那个怀春的少女，更当不成少女爱慕的那个对象，甚至想以一个旁观者去参与下，都没有这个机会。因为我们手上的青春已经没剩多少了，我们活泼的说自己还是年...

                        ?(展开)",男娼起义,推荐,330
6,初恋这件小事,"这篇影评可能有剧透

                        老实说此片得分如此之高一定得归功于女性同胞的鼎力相助。 另外就要仰仗Mario那张俊俏而粉嫩的脸蛋。 貌似从《暹罗之恋》开始，泰国俨然一副文艺小清新后起之秀的阵仗。我也不得不承认它对明朗的色调和文艺角度的空镜头把握非常精准到位。 另外一点跟日本台湾一样，它的小清新...

                        ?(展开)",饺大仙,还行,299
7,初恋这件小事,"这篇影评可能有剧透

                               晚上打开QQ，初中群闪个不停，打开看见是同学们纷纷在里面“恭喜恭喜”，公告里写着“班长结婚了，大家来喝喜酒呀~”。我“哦”了一下，迅速地打了几个字“恭喜班长，结婚快乐！”，然后退出QQ。     其实什么话都说不出来，他结婚了，不是跟我。哦，不，应该这样说，他...

                        ?(展开)",芜了?薏全~,力荐,266
8,初恋这件小事,"看完电影强烈感受是，作为一个女的，你必须：  1.摘了你那苦逼的眼镜！！！  2.卸了你的牙套！！！！！  3.要变得白白净净的！！！！！！  4.减肥啊变瘦啊果然身材才是王道！！！！！！！！  5.穿衣服要合适！！！！！！！！拿一件大校服遮住自己是人生中最不给力的事情了！！...

                        ?(展开)",川流,力荐,166
9,初恋这件小事,"十几岁的时候，该是件多么幸福的事。  初中刚入学的时候，我就注意到他。 瘦瘦的，高高的，眼睛轮廓很深，笑起来很温暖，说话嗓音粗粗的，画画特别好看，有人告诉我，他还得过全国叉叉叉奖。 以至于我现在想起他的时候，那时的模样还深深在我脑海里，一下就蹦出来了，好像从未...

                        ?(展开)",Miss.YY,力荐,121
10,初恋这件小事,"这篇影评可能有剧透

                        当第一次看到这个电影名字的时候。我默默的对自己说。又是一部不用花费脑筋的狗血韩国电影。于是我直接跳过他。进入康熙来了的八卦世界。  结果晚上一个丝毫不爱看电影的朋友敲我。说她刚看完MARIO演的一部电影。出于对mario同学的热爱。我询问了片名。她用了一系列的修饰词。...

                        ?(展开)",壳子,力荐,99
11,初恋这件小事,"亲手种的白玫瑰，小心珍藏的纽扣，咬了一口的苹果。贴满你照片的记事本，写满爱恋的字迹，一份三年的暗恋。我把青春耗在暗恋里，还不是想要和你在一起。时间纷纷扰扰喧喧闹闹什么是真实，为你跌跌撞撞傻傻笑笑买一杯果汁,就算庸庸碌碌匆匆忙忙活过一辈子，也要分分秒秒年年日日...

                        ?(展开)",灰灰,力荐,41
12,初恋这件小事,"我是初二的时候看的这部电影 现在才来写影评 为什么呢 一是因为以前不玩豆瓣 二是实在是笔力有限 文字无法表达出我真实的感受 但我觉得必须要写一下 算是纪念一下自己的青春 当然 我的青春里确定有这样一个学长 他比我高三届 我初二时他高二 巧的是我们住一个小区 我们的相遇也...

                        ?(展开)",Gising,力荐,47
13,初恋这件小事,"三星送给马里奥和初一时的小女生。  女主角越大越难看越没气质越俗气，简直是泰国女性的典型，为男人活着为男人打仗为男人去死。其实这就是皿煮国家的好处，整天只想着这小情小爱也不会死，从小无所事事自由惯了。但在瓷国你试试，你敢爱的这么纯净无暇小清新？有人说敢也是假...

                        ?(展开)",神的小羊,还行,149
14,初恋这件小事,"总是相信这样的故事是真实的，所以才会一次一次因为那些细节流眼泪，即使再狗血都好。    ——在我遇见你的最初，我是那个乱七八糟的小女孩，还不懂得打扮也不懂得措辞，只懂看见你傻笑，但我庆幸我能在这个时候遇见你，让我能够用我最完整最纯粹的心去爱你。    ——爱上...

                        ?(展开)",然而后跃,力荐,97
15,初恋这件小事,"第一段的暗恋，没几个人不经历过第一段吧。暗恋上一个人，满心思的被吸引，制造所有跟他不经意的偶遇，绕大圈就为经过他教室，在他面前紧张的无所适从，搜集关于他的一切，偷偷看他的每一个小细节和动作，在旁人谈论他的时候表面显得一潭死水，可是内心早已是翻山倒海兴奋不已...

                        ?(展开)",满心欢喜,力荐,36
16,初恋这件小事,"这篇影评可能有剧透

                        大半夜看了第二遍，老娘的少女心还是砰砰砰的！！！只是和第一遍不一样的是第一遍沉醉于阿亮的颜值，和阿亮学长一直的秘密！！第二遍感叹于她们的友谊！！！ 在小水还是丑小鸭的时候，她们陪她变好看，陪她追学长，陪她闹，陪她光芒万丈，却在中间有了矛盾，那几个女孩一起唱那...

                        ?(展开)",我不想学习,力荐,41
17,初恋这件小事,"“小水小姐曾在一次访问中提到，在你小时候，不好意思，你说你是个丑女。打扮也很丑。现在的你，和以前的你简直有天壤之别。是什么，让你有了这么大的改变？因为，我爱上了一个人。爱上了？事情是怎么样的？能不能和大家分享一下？可以，其实。。。他是学长，是高一的学长，是...

                        ?(展开)",亦心,力荐,42
18,初恋这件小事,"对于每一个很来说，初恋往往是最让人映像深刻的，因为它的纯净，因为年少，没有什么负担，所以快乐。而这部电影所展现的就是初恋的那种美好，那种纯净。 在看这部电影时，我们总是可以从中看到我们以前的身影，那种对喜欢人的关注，为喜欢人默默做事，甚至做些傻事，只为得到那...

                        ?(展开)",喜爱蒲公英少女,推荐,46
19,初恋这件小事,"这篇影评可能有剧透

                        初恋，都是被电影骗了，甜的牙都要掉了，但是就是因为生活没有激情，才需要这种有激情满满爱意的电影，来调动人们的生活中的激情。 可能所有过来人都觉得，青春里，欠我一个学长吧。的确，帅又温柔又体贴，又幽默的学长，谁不想要呢？有个小bug是阿亮什么时候喜欢小水的，影片...

                        ?(展开)",郑开司女朋友,力荐,30
20,初恋这件小事,"我就奇怪了，在最初的开始男主为什么会关注那默默无闻的女主，她不漂亮也不可爱，没有任何特长，知书达理说不上，更别提吹箫弹琴作画了。  他们之间没有特别的相遇，没有任何令人感动或印象深刻的经历，怎么他就爱上了她呢？  甚至记录起她的点点滴滴，收起糊在摩托车后座的怪...

                        ?(展开)",gwybaby,很差,63
21,初恋这件小事,"可能你曾经是开始时的小水 在阳光明媚的季节因为收到从天而降的芒果而高兴的胡思乱想 每天都在找各种各样千奇百怪的理由出现在他面前  只为了靠近一点 多看一眼 把一切巧合看作缘分 因为一点点的小小接触兴奋不已 使尽浑身解数 动用各方人脉 了解他的所有过去和现在 多希望自己...

                        ?(展开)",-福仔-,力荐,28
22,初恋这件小事,"那段无法安置的青春，女汉子也有温柔的一天，青春本就是一种乐在其中却不知情、离开了满是伤感，回想起来又满是想法的事情，初恋这件小事在很多人并不期待中汹涌而来，它满足了少女对初恋所有的幻想：丑小鸭经过努力也会变成白天鹅，灰姑娘与王子的故事中惠在现实中发生，即使...

                        ?(展开)",追风筝的人,推荐,31
