,影片名,评论内容,评论人,推荐星数,有用数
0,刺客伍六七,"当看起来人畜无害的无厘头动漫画风搭配上无节操而直戳内心的戏谑台词，会引发怎样的奇异化学反应？由啊哈娱乐和小疯映画出品，爆笑国产动画《刺客伍六七》，就给出了一个脑洞大开的答案。正如伍六七这个极为简单的名字一样，从画风到台词都透露出一种近乎简单粗暴的即视感，但...

                        ?(展开)",?柚?,推荐,48
1,刺客伍六七,"这篇剧评可能有剧透

                        每年的一月、四月、七月、十月都是大量二次元粉丝翘首以盼的时间段， 成熟的动画制作工业让日本早已成为全世界最稳定的动漫输出国家，于此相比国产动画一直还处于比较断层的阶段。 这种断层很难短时间内赶上，它其实是一种文化积累，需要长时间的沉淀。 为什么日本的动漫产业如...

                        ?(展开)",电影爬虫,力荐,2
2,刺客伍六七,"非常荣幸昨天下午在北京蓝色港湾参与了刺客伍六七的线下点映会，能够提前观看了几集。虽然并不是最终的完整版本，但仍能从播出的部分看到主创人员们满满的诚意和故事的连贯性。主线中暗藏了几条副线，看起来很无厘头的画风，却又能在搞笑之外峰回路转，笑中带泪，以小见大，层...

                        ?(展开)",AmandaCheung,力荐,12
3,刺客伍六七,"这篇剧评可能有剧透

                        简单的说一下第五集。 第五集褒贬太不一样了，观众认知差距也太大了，也可以侧面反应了制作组的强大吧。 五六七在某天接待了一位客人，这位男士交给了他一张照片，照片上面是一位阿婆，男士让五六七去刺杀她，越干净利落越好。五六七照做了，但是没有成功，因为他想不通啊。一...

                        ?(展开)",白渔,力荐,3
4,刺客伍六七,"百度推荐的新闻来看的这个所谓“国漫”，其实没我是对什么国漫什么日漫的不那么看重，都是动漫嘛，说直白就都是动画片，从前，全世界的动漫的受众群体都是当年我们那些吃屎长大的孩纸，随着我们这一代的长大，带来了新思创和我们对着童年的怀念，现在的动漫受众群体都是青少年...

                        ?(展开)",老头他哥,力荐,1
5,刺客伍六七,"初识伍六七的时候，不必费心思考，不必死盯各种梗，一个桥段、一个配音、简简单单，就能留下记忆烙印。生活已经各种纷繁多变了，看伍六七的时候，有一种进到一个单纯的世界里，“我就是一个刺客，我就是为了完成一个任务，最多就是各种好玩儿的变身”。对啊，简单好玩儿，就这...

                        ?(展开)",iamcactus,力荐,3
6,刺客伍六七,"国产动漫做出来的越多，不可避免的相似就越多。 每当新3d动漫上映，评论区一定有个人在吐槽3d的建模与动作 每当新的2d动漫上映，评论区一定有那么几个人吐槽角色的日漫化，配音的出戏 所以当这部漫画刚放出预告片，我遍给予了极大的希望。画风的不同，人物形象的简单，线条的柔...

                        ?(展开)",不想起名字,力荐,3
7,刺客伍六七,"----------帅气酷炫高冷刺客王牌--------- 提到刺客，脑中画面就是月黑风高夜，一身黑衣，身手矫捷的悄悄潜入一户，360°托马斯全旋翻进屋里，瞅准时机一刀毙命。随后消无声息的消失在黑暗中，这大概就是我们理想中喜欢的男主样子。 但是我们喜欢的理想中的这个人，他不喜欢你...

                        ?(展开)",自分革命|躁王,推荐,2
8,刺客伍六七,"这篇剧评可能有剧透

                        其实从“正能量”、“负能量”这两个词盛行，并受到官方的推崇开始，就开始暴露出一个问题了。 那就是现当代人的价值观，慢慢趋向于扁平化，对事非黑即白，非粉即黑。 这个价值观深究，也没有原则性的大问题，但却连带着会让人养成一个非常不好的习惯： 为他人预设立场。 对第...

                        ?(展开)",_远远远远远远远,推荐,5
9,刺客伍六七,"——我有一位好朋友，也是一位动漫画师，我们相隔不过十公里，却已经两年多没见面了，因为他一直要准备出一部伟大的国漫——哪怕不能一鸣惊人，但至少此生无憾。在获得成功之后继续坚持很容易，努力坚持到成功的人永远很少。 所以，当看到这部新番时，我暗下决心一定要为它写点...

                        ?(展开)",不可思议的小旧,力荐,13
10,刺客伍六七,"这篇剧评可能有剧透

                        画风喜欢，配音喜欢，可能跟自己的普通话不标准有关系，哈哈哈，广东普通话听着略可爱。但是故事不是很喜欢，感觉每个故事都是作者想象出来的，没有真实感，明明世间有很多感人的，悲伤的，无奈的，讽刺的故事...在这里却一个都没有，连续看到第五集，惊觉作者对现实的了解匮乏...

                        ?(展开)",象牙塔上的象牙,很差,5
11,刺客伍六七,"开头觉得蛮好看的，越往后越觉得有点...主角被设定成社会的底层人以及一系列的无理头还有打斗，风格有点像周星驰的功夫电影，但是功夫的主角后期是很强大的，我看了下局预告，结合前面的几集得出一个结论，难道主角要一直这样被虐下去，无理头下去？总让我有种虎头蛇尾的感觉，...

                        ?(展开)",萧恭竹,还行,35
12,刺客伍六七,"提起刺客，脑海中自然而然的会出现这样一幅画面，一个月黑风高的夜晚，身手矫健的黑衣人现身了，瞬间进入一所府邸，几个翻身潜入主人的房间，时机一到一刀毙命，随后悄无声息的消失在黑暗中，这是影视作品中对刺客的表述，也涵盖了不少人对刺客的认知。正在全网热播的爆燃动画...

                        ?(展开)",影评人大侃,力荐,1
