,影片名,评论内容,评论人,推荐星数,有用数
0,十月围城,"这篇剧评可能有剧透

                        看完十月围城，一直回荡在脑海中的就是这句话。在那个动荡不安的年代，每个人的命运都和时代紧密地联系在一起。正如区爹爹所说，成王败寇，成了，寇也是王，不成，王就是寇。  先驱者如李重光、秦少白，以及无数为革命牺牲的同志。所谓一将功成万骨枯，他们为了心中的一个并不...

                        ?(展开)",L,力荐,358
1,十月围城,"分集剧评模式，前30集，总有get到人的那个点。 【5-7】 1、若有得见，重光你可知李家过的是怎样的日子？ 重光对我的虐是持久的，初时仅痛一瞬，未曾想后劲十足。阿四在李家发生的每一件事，我都不自觉的联想如果重光还在，他会怎样处理。对奶奶而言，重光是疼到心坎里的孙子；...

                        ?(展开)",山水烟花,力荐,167
2,十月围城,"扎实的剧本，拍摄方面的考究，后期的加工。     如诗如画，如歌如泣！ 【不专业，主观论，看看就行】      看了太多后期工作，后期剪辑和画面衔接，整体渲染都是作品的重点项目。也是最辛苦的团队之一。可以说，一部成功的作品，不但是从故事构架开始，剧本、导演、演员分...

                        ?(展开)",见不得跟风,力荐,237
3,十月围城,"舒云篇   刚输入民主口号的年代里，一个女人是爱到多少深刻和盲目，为一个对她无任何交代，一味拒绝的男人，能勇敢到哪怕牺牲了老父的一品花翎也要跟随。。。。又是多少痴狂的爱凭一句召唤，便可假作他人妇，东撞一头西撞一头的留在危机重重的“围城”里，将爱的思念，寂寞挂在...

                        ?(展开)",吕嘉玥,力荐,217
4,十月围城,"这篇剧评可能有剧透

                        电视剧版《十月围城》是电影版的延续，电影版着重刻画为革命不惜牺牲的群像，电视剧版不但保留了电影版阿四、李玉堂、陈少白等主要角色，而且重新塑造了李重甲、区舒云、区巡抚等重要角色。剧中用前两集就把电影里的故事讲述完毕，再以车夫阿四为中心，从一个草根的人物串起整...

                        ?(展开)",如鱼得水,力荐,39
5,十月围城,"又一次重温完了，心里空落落的~ 想到重光，想到阿四，想到前赴后继的革命志士，他们为了同一个理想同一个信仰，远离亲人，远离家乡，待到革命成功后，又有多少志士能真正归根，而又有多少志士牺牲在异乡~ (?_?) 一曲『故乡香』唱出了多少革命志士的心声，又唱出了多少为...

                        ?(展开)",云之归处,推荐,46
6,十月围城,"一个人可以同时爱上两个人吗？我这里说的是真爱，能让你痛能让你笑的存在。可如果是真爱，怎么能回头就忘掉，把目光在另一个人的身侧反复摩挲，感觉到对方的呼吸，感觉她衣服下身体的动作，感觉到她指尖拂过的铁扶手的软暖触感。如果不是真爱，为什么我看着你的时候，你笑得那...

                        ?(展开)",judy,力荐,73
7,十月围城,"这篇剧评可能有剧透

                        电视剧《十月围城》从同名电影脱胎而来，很难想像这是一部改编剧，事实上在我看来，电视剧版《十月围城》内涵更为丰盈，完全可称为具有独立价值的文学作品。如果说电影是一部讲述革命先驱舍生取义保护大人物的英雄志，那么电视剧则是一部饶有史诗意味的时代赋。浩浩荡荡不可逆...

                        ?(展开)",青衿小菊,力荐,49
8,十月围城,"这篇剧评可能有剧透

                        《十月围城》剧情紧凑，从立意到深度，从情怀到技术，从表演到细节，无一不让人赞叹。既有小人物的悲欢离合，也有大时代的风云诡谲，夹杂着亲情与爱情的牵绊，权谋和野心的交锋。可以说该剧有着饱满的艺术构思和精良的制作水准，在寓教于乐的同时进行爱国主义教育。男主角钟汉...

                        ?(展开)",敏莉Lily,力荐,22
9,十月围城,"这篇剧评可能有剧透

                        《十月围城》中众演员表现精彩。钟汉良在《十月围城》中一人分饰两角，一个是圆滑跳脱的车夫王阿四，一个是一心为国的革命党人李重光，一个负责搞笑，一个负责虐心。钟汉良的“车夫”性格单纯活泼，但形象“惨不忍睹”，俨然一副“屌丝”相；而李重光则是沉稳大气的“男神”形...

                        ?(展开)",吉静,力荐,28
10,十月围城,"自幼酷爱历史，已离开近八年的近代史却在近日被陆续回归脑海，所谓“一将功成万骨枯”，历史剧中歌颂主角的高大全，谍战剧中宣扬红色特工的信念崇高，均不及这部讲述了万个骨头的故事来的悲悯，来的震撼，来的真实。是的，它讲的不是那个“将”，而是数万“骨头”，在韩流铺天...

                        ?(展开)",畅畅人生6688,力荐,38
11,十月围城,"昨天大家期待已久的十月围城终于开播了，博主怀着激动的心情开始了第二刷，对于前三集巨大的信息量和人物关系、人物情感塑造和演员演技方面的点评已有珠玉在前，故博主不再赘述。在此，博主仅就昨天精彩的武打戏份的场面调度说一点自己的看法。 众所周知，在戏里，大场景、多...

                        ?(展开)",叹浮生缘起缘灭,力荐,46
12,十月围城,"虽然铜雀一向是敢写的，但写下这个题目的时候还是有点不安忐忑需要深呼吸，重光是革命先烈，重光为国为民死而后已，你怎么可以关注这个？应该关注他的从容赴死，应该关注他以天下为己任的胸怀，退一步说不关注也就算了，还关注到一般言情男主的角度上去了，实在该拉出去打板子...

                        ?(展开)",judy,力荐,37
13,十月围城,"这篇剧评可能有剧透

                        宣统二年，同盟会代表抵达香港，商议举行大规模反清起义活动。广东将军铁山奉诏刺杀孙中山。大商人李玉堂母亲病重，要李玉堂带孙儿李重光回家。为了确保孙中山顺利召开会议并且安全离开香港，李重光甘愿作为孙中山的替身便于引开铁山等人的注意力，要求黄包车夫阿四故意拉着重...

                        ?(展开)",南音,推荐,10
14,十月围城,"这篇剧评可能有剧透

                        考验智商的故事总叫人欲罢不能。 哭成狗的同时还可能笑成二缺。 也难怪有说：演戏的是“疯子”，看戏的是“傻子”。 戏剧尚有“不疯魔不成活”一说，可见表现者投入的多少真的决定了作品的质量和看客的入戏程度。 现阶段我当“傻子”当的格外愉快。 《十月围城》电视剧的演员们...

                        ?(展开)",见不得跟风,力荐,56
15,十月围城,"我国电视剧作为一个大众娱乐消遣方式始于80年代，而今数十年，诞生了很多名噪一时、家喻户晓的演员，书写了许多经久不衰的故事，俨然已成为消遣主流。而进入新世纪，当《继承者》、《来自星星的你》等韩剧横扫东亚，当《生活大爆炸》、《犯罪心理》、《绯闻女友》、《神探...

                        ?(展开)",畅畅人生6688,力荐,32
16,十月围城,"上星已有五日有余，先遭删减又遭诋毁，是否总是好事多磨？分析贴太多，各有千秋，各执一词，还没结束，鹿死谁手未为可知，但是它的出现势必为大陆剧带来一些庆幸，一些清醒，原来我们也可以不雷人，不矫情，不玛丽苏，不拖拉生硬；原来我们也可以有这么好的编剧讲诉一段故事曲...

                        ?(展开)",sunshine6688,力荐,21
17,十月围城,"鞠觉亮（英文名： Gaau Leung Guk），男，中国香港著名导演。代表作品：83版《射雕英雄传》，《神雕侠侣》（刘德华版），《雪山飞狐》（吕良伟版），《鹿鼎记》（梁朝伟、刘德华版），《八月桂花香》，《逆水寒》，周迅版《射雕英雄传》，胡军版《天龙八部》，张涵予版《水浒...

                        ?(展开)",xiaowa1975,力荐,20
18,十月围城,"原贴地址：http://tieba.baidu.com/p/3165660258  想看图文混排的请移步此处  她为她的少白而来，她对少白盟誓：你冲锋我陷阵，你死了我守寡；他为他的阿纯而来，他对阿纯许愿：等你眼睛好了，我们就回香港结婚过日子。本来是风马牛不相及的两人，各自和李家也是风马牛不相及的...

                        ?(展开)",judy,力荐,29
19,十月围城,"原帖子地址：http://tieba.baidu.com/p/3165301880  想看图文混排的请移步那里。   1．舒云的灵动  这个舒云是少有的和小哇搭戏看了不会出戏的女主（个人看法），无论她是和阿四闹了还是笑了，无论是上公堂救人还是在奶奶面前损人，这个舒云自自然然，演绎地精准到位，演技赞...

                        ?(展开)",judy,力荐,25
20,十月围城,"虽然铜雀一向是敢写的，但写下这个题目的时候还是有点不安忐忑需要深呼吸，重光是革命先烈，重光为国为民死而后已，你怎么可以关注这个？应该关注他的从容赴死，应该关注他以天下为己任的胸怀，退一步说不关注也就算了，还关注到一般言情男主的角度上去了，实在该拉出去打板子...

                        ?(展开)",judy,力荐,22
21,十月围城,"这篇剧评可能有剧透

                               舒云吾妻如晤，你怕我死，不让我说出这个字，而我终究是死了，今以此信与你作别，我不怕死，竟与你大有干系。        少白自幼常以天下为己任，然则苍生之苦，未曾感同身受，生民之乐，亦是隔靴搔痒。我之革命，唯概念，唯宏论，唯慷慨激昂耳。你常怨我不解风情，恨我不...

                        ?(展开)",糖不苦,力荐,26
22,十月围城,"这篇剧评可能有剧透

                        当我看完十月围城这部电影的时侯，内心有很多的感触。 这部电影，讲述了1906年10月15日的香港中环，一群来自四面八方的革命义士，商人、乞丐、车夫、学生、赌徒等，在清政府和英政府的双重高压下，浴血拼搏、保护孙中山的故事。 他们不是什么高官人士，也不是什么的上流人士，...

                        ?(展开)",花减减,力荐,8
23,十月围城,"是什么样的力量可以改变一个人的人生态度 ，改变一个人的人生轨迹，甚至于改变一个人的人生理想，我想也只有“精神的力量”又或者说是“信仰的力量”才可能做到吧。在历史的洪流中，在时间的长河里，一个渺小的人物或许就因为他所处的时代造就了他的不平凡，成就了一个时代的英...

                        ?(展开)",元宝宝,推荐,10
24,十月围城,"十月围城已经在地方台播出，这部电视剧是一曲革命者的赞歌，钟汉良饰演的阿四从一个车夫成长为一个革命者，这需要一个漫长的过程，钟汉良在表演时抓住了人物的心理变化过程去演，这样，一个真实的阿四就呈现在观众的面前了，我认为，钟汉良的表演不仅让我们认同了阿四这个人物...

                        ?(展开)",我是一朵云,力荐,18
25,十月围城,"以前看过一遍，很喜欢。最近听说十月围城入围飞天奖，真为这部剧感到高兴。 　　这部剧是清末的故事，是以保护孙中山先生为中心的故事。李重光，孙先生的机要秘书，为了保护孙先生献出了生命。为了保护家，重光的父亲用钱将酷似重光的阿四买回了家。 　　阿四是小人物，重...

                        ?(展开)",旅行风景,力荐,13
26,十月围城,"纵观全剧，是一副浩荡的时代背景，呈现在你我眼前的是一位替身的成长之路，因其真实而令人动容，阿四由最初的无奈、挣扎转变为坚守。在《十月围城》里，不论是舒云和少白的牺牲，还是阿四与阿纯，甚至就连。一每段感情的结局都显得合情合理。却唯独让阿四和舒云这对假夫妻...

                        ?(展开)",阿离,力荐,16
27,十月围城,"（不算影评，就是推荐一部很妙的国产剧） 上回这么津津有味地看国产电视剧，还是《甄甄传》的时候。最近因为美剧荒，上周某天就开始随手翻搞笑国产片看，也就是凭着娱乐观摩的心态。然后在看完不少国产烂片以及对国产烂片的吐槽之后，翻到了《十月围城》电视剧。  就说我这人其...

                        ?(展开)",Freda蕾,力荐,17
28,十月围城,"总想问一个问题，阿四喜不喜欢舒云？舒云喜不喜欢阿四？这真是一个仁者见仁智者见智的题目，在网上搜索过答案，不同的人给出了不同的答案，实话说，总觉得不满意。     从情感主线上讲，我总觉得跟仙一很相像，阿纯在这部剧里就像赵灵儿一样是穿起全部的线索，也是事情...

                        ?(展开)",洛尘,力荐,11
29,十月围城,"铁山姓铁吗？铁，是一种坚硬的金属，色泽深黑，铁山这个人，钢筋铁骨的身手，铁骨铮铮的意志，刚中带柔的行事，对人对己是冷酷无情到铁石心肠，对爱人是至死不渝的铁血柔情。山有雄壮的风采，山也有朴素的品格，山前加铁，铁山二字，厚重肃穆，重逾万斤，铁山是铁山自己的魔障...

                        ?(展开)",judy,力荐,15
