,影片名,评论内容,评论人,推荐星数,有用数
0,唐山大地震,在中国，永远有以木卫二为首的酸文人，整天和自己国家电影过不去,黄雨青,力荐,1994
1,唐山大地震,5分钟的灾难片+130分钟的家庭苦情肥皂电视剧。哭点又多又明显，但就是挤不出半滴眼泪。,荔枝超人,较差,1540
2,唐山大地震,这电影如果叫《唐山一家人》或《天崩地裂一家亲》，可能大家接受起来心态会平和得多。其实我感到最可惜的是，以后再也不会有一部电影叫《唐山大地震》了。,麻绳,还行,1391
3,唐山大地震,在站内，有人问我，他这电影怎么样，我只能说，interesting。《唐山大地震》是中国电影的水平和中国观众的水准在黄金八点档相遇的结果。,木卫二,较差,897
4,唐山大地震,纯电视剧啊，开场简直就是唐山大车震。。。,大瘦瘦,较差,657
5,唐山大地震,《唐山大地震》势不可挡！太厉害了，在上海今天54家电影院放映745场，排第二的《七小罗汉》42家电影院放映151场，排第三的是《危情谍战》35家电影院117场。看来暑期档的电影市场真正做到了“百花齐放”，极大的丰富了人民群众的文化生活。幸好我生活中这片神奇的土地上，美国人民就看不到如此精彩的《,非诚勿扰,很差,641
6,唐山大地震,什么样的时代生产什么样的电影。这就是我们这个时代能提供给我们的产品。别抱怨别愤慨别内疚，这只是一部电影而已，你可以选择看或不看，但别道德绑架也别被绑架。,张小北,还行,524
7,唐山大地震,哭了=好片？这个等式不一定成立！看【惊声尖笑】你同样会笑，难道笑声越大，它就越好吗？本片就是一部肥皂剧。★★,亵渎电影,较差,474
8,唐山大地震,"真是好片子，本来就是看了豆瓣影评差点打算不去看呢。结果根本不像影评里说的根本就没有刻意煽情，都是很合情合理的台词剧情，就象是你的父母你的亲人一样会做的事说的话。但是这才是最感人的。感谢导演能这么细腻的发掘出来，拍出这样的好片。 
　　地震虽然不是好事，但是关联的是亲情。",乖不乖,力荐,382
9,唐山大地震,只看一次，下不为例，到是有一些亲情与想法，缅怀死去的生灵，但拍得不如预期！陈道明怎么亚太影帝的？,释凡,还行,262
10,唐山大地震,女儿叫方登，儿子叫方达。这是编剧还是原著起的名？他们是琼.方凳和亨利.方达的影迷吗？？？,大奇特(Grinch),较差,187
11,唐山大地震,"演哭戏的演员是烂演员, 导哭戏的导演是烂导演, 只会哭的电影是烂电影.

国外的电影是演员不哭观众哭, 这才是好导演好演员.

中国的电影只会哭, 评价只有一个烂字

中国的观众也太廉价了吧! 随便一个雷人的烂戏就要花钱看, 大家的素质提升一点好不好...",Cannix,很差,181
12,唐山大地震,陈道明每次出场我都像一个花痴一样发出赞叹...,Autorun,推荐,199
13,唐山大地震,我得去幼儿园砍孩子了...,樣衰仔,较差,132
14,唐山大地震,看完了电影，后悔的想哭,Coltrane,很差,133
