,影片名,评论内容,评论人,推荐星数,有用数
0,复仇者联盟3：无限战争,"这篇影评可能有剧透

                        有剧透！ 有剧透！ 有剧透！ 《复联3》海报上，有着“十年布局，巅峰一役”的小标题，有自信说出这句话的，可能也只有漫威了吧。 2007年，漫威冒着破产的风险孤注一掷拍摄了《钢铁侠1》，正是这一场破釜沉舟的豪赌换来了MCU的空前盛世。 2008年5月2日，《钢铁侠1》在北美上映。...

                       ",凌睿,力荐,9342
1,复仇者联盟3：无限战争,"*文中有剧透，观影前请慎重。 漫威十年 影片开场出现漫威十周年特别版LOGO，""MARVEL STUDIOS""上的""I""和""O""变化成数字“10”的字样。在官方宣传物料上，这个LOGO下面还有一句话""The First Ten Years""（第一个十年）。既有纪念意义，又似乎在告诉大家：未来我们还能再战十年！ 据...

                       ",彩蛋君KL,推荐,6197
2,复仇者联盟3：无限战争,"这篇影评可能有剧透

                        《复联3》一上映，全国漫威粉哭倒一片，上微博、朋友圈转一圈，简直是大型的哭丧现场。 结局这么惨，《复仇者联盟4》的故事要怎么继续？要怎么圆回来？ 这是我们最想知道的事情，恨不能穿越时空赶紧看完《复联4》。 那么就在《复联4》上映之前，我们重新捋顺一下《复联3》的剧...

                       ",X教授的傻儿子,推荐,3940
3,复仇者联盟3：无限战争,"此篇影评为话题“看《复仇者联盟3：无限战争》前应该了解哪些背景？”下内容，不包含任何关于《复仇者联盟：无限战争》的剧透。 先说两句：一、本篇影评适合以下几类观众食用：对MCU十年了如指掌的铁杆粉、看过几部MCU电影但对整体宇宙框架不太了解的路人粉、没怎么看过MCU但想...

                       ",Inconsolable,力荐,1938
4,复仇者联盟3：无限战争,"这篇影评可能有剧透

                        开场阿斯加德人遭到了灭霸的袭击，他们对附近发出了求救讯号，抵抗已经失败，乌木喉跨过死者，受伤的海姆达尔躺在地上，洛基被黑暗教团包围，灭霸一个人船首把托尔带到他面前，问是要他哥的头还是空间宝石。 过程中灭霸说了他失败的感受，索尔喷他话太多，并且告诉了观众一星期...

                       ",贺六浑,力荐,1877
5,复仇者联盟3：无限战争,"漫威最深情的反派，没有之一。 《复仇者联盟3》大陆定档于5月11日，和全球首映时间相比晚了近半个月。这是漫威电影在内地首次因翻译问题未能全球同步，对于观众而言，是一件很遗憾的事，毕竟晚了十多天，才能看到大反派灭霸的首次正式登场。 要知道，许多影迷都对他寄予深厚期...

                       ",架空,力荐,1511
6,复仇者联盟3：无限战争,"这篇影评可能有剧透

                        不剧透是不可能不剧透的，这辈子都不可能不剧透的，正儿八经的影评嘛又不会写。 故事的开头接的是《雷神3》的片尾彩蛋。阿斯嘉德飞船遭遇灭霸。后者没有任何想要当索尔的姐夫或者当洛基的女婿或者以任何形式成为奥丁家族姻亲的意思。作为一个执着追求音乐梦想的男子，灭霸的目...

                       ",马泽尔法克尔,推荐,834
7,复仇者联盟3：无限战争,"这篇影评可能有剧透

                        告诉各位好消息，QQ看点删除了那篇抄袭文，知乎上抄袭的那篇和百家号的也举报了，交给维权骑士处理 抄袭文章的地址: http://q.url.cn/CDJgDo 如今QQ看点都已经无耻到这种地步了吗？图片文字一个没变？强烈要求各位帮忙举报！ ——————分割—————— ——————分割—...

                       ",Ada Wang,推荐,1111
8,复仇者联盟3：无限战争,"这篇影评可能有剧透

                        索尔：嗨，大家好，我是雷神索尔，上一集中我没了锤子还没了右眼，那还玩个锤子？所以这一集中我改用斧子了。虽然我遭受的创伤是所有人中最多的，但是放心吧，我可是男主角，哦不，我是说放心吧我可是一个神，所以我不会这么轻易地狗带的。抱歉各位，最后一斧子没劈到灭霸的头...

                       ",卡尔文劳斯特张,还行,671
9,复仇者联盟3：无限战争,"这篇影评可能有剧透

                        老实市民为何在头上镶钻？ 性感少妇为何羊癫疯发作？ 为什么她去做了头发，他就绿了？ 为什么雷神在《雷神3》看了整整一集绿巨人，不但没让视力变得更好，反而还瞎了一只眼睛？说好的多看绿色可以改善视力呢？ 雷神单眼开飞船，是否违反宇宙交通管理条例？ 神探和小伙伴辞职做...

                       ",凌睿,力荐,639
