,影片名,评论内容,评论人,推荐星数,有用数
0,大话西游之大圣娶亲,"你在看大话西游的时候，如果笑得腹背抽筋，龇牙咧嘴，那么你很有幽默感。如果你看完了大话西游，你还笑得满地打滚，那么你其实什么都没看懂。如果你看完了大话，你忽然发现脸上不知什么时候已经有泪水，你总算看懂了大话的第一层了。如果你看完大话，笑也笑过了，泪也流过了，...

                        ?(展开)",苗汉子,力荐,10597
1,大话西游之大圣娶亲,"199X年。小学。东北某矿区职工电影院。 　　我跟很多小孩子挤在黑暗里看妖魔鬼怪。我们只是冲着孙悟空猪八戒来的。我不明白里面怎么会冒出来那么多女的跟孙悟空扯上瓜葛，原来都是妖精们或者女儿国的女儿们喜欢唐僧才对呀。电影里的妖怪也好可怕，总是在黑漆漆的夜里出现，...

                        ?(展开)",我对你的无语简直能沉默整个宇宙,力荐,4660
2,大话西游之大圣娶亲,"《大话西游》是我最喜欢的一部有关于爱情的电影，完全符合我对爱情伦理的最本源的想法。符合我爱情伦理观的电影有两部，另一部是《屋顶上的轻骑兵》，那个我以前在豆瓣上曾经写过，更侧重于精神分析。其实《大话西游》和《屋顶上的轻骑兵》有一些相似之处，但《大话西游》更接...

                        ?(展开)",阿邓瑞平,力荐,2308
3,大话西游之大圣娶亲,"拥有IPOD这种海量MP3的一种好处就是，你永远不知道下一刻在你耳机里会传出什么音乐。有些歌你放进去或许自己都忘记了。在某一个不经意的时候，当它回来，唤起的是一段记忆。一首歌是一个人、一件事、一段时光。 一首歌也可以让你想起一部电影。 以前电脑中这首歌的版本是从VCD...

                        ?(展开)",阿七,力荐,1028
4,大话西游之大圣娶亲,"周六的时候参加米兜组织的活动，到好北边的中国电影博物馆，看很久之前已经看过很多遍的《大话西游》。虽然路程远了一些，电影票还是好便宜；又赶上蜡像馆开幕，也算是不虚此行。     十多年前第一次看的时候，是电视台放的，中间看起，基本上没看明白。后来上了大学，赶上...

                        ?(展开)",谢小麦,力荐,571
5,大话西游之大圣娶亲,"一个女人。 一个身材玲珑，风情不羁的女人。 一个天上有地下无，机敏跳脱，额头光洁而红唇饱满的女人。 她衣袂翩翩，青丝飘扬，贝齿如编。手腕上一串银铃，牵起天地间的靡靡之音，纵是天兵神将，都要元魂颠倒。 但她带着一把剑。 剑，本来也没什么，居家旅行防身绑架寻仇……之...

                        ?(展开)",鱼·无,力荐,434
6,大话西游之大圣娶亲,"这篇影评可能有剧透

                        大话西游  （一）  观音：孙悟空，你这个畜牲，你本来答应如来佛祖护送你师傅唐三藏去取西经的，你居然跟牛魔王串通要吃你师傅，你知不知道你犯了弥天大罪？ 孙悟空：少罗嗦！你追了我三天三夜，因为你是女人我才不杀你，不要以为我怕了你！ 唐僧：悟空，你怎么可以这样跟观音...

                        ?(展开)",喜宴,力荐,415
7,大话西游之大圣娶亲,"这部《大话西游之大圣娶亲》是我第一次在电影院看的《大话西游》系列，几年前的重映版我都没看，这次没有错过机会，选择这部“加长纪念版”。 看到片头还是“红底白字”的公映许可证，有些触动，这里有点个人经历在里面。 都说《大话西游》系列当年并没有在中国内地公映过，可...

                        ?(展开)",乌鸦火堂,力荐,494
8,大话西游之大圣娶亲,"这篇影评可能有剧透

                        昨晚夜静，重温《大话西游》   ——大笑，流泪，然后沉默。   　　我面对的是一部痛彻心肺的喜剧。   　　寓言篇故事已然存在，已然不可避免。   　　世界是巨大的枷锁，你不得不重复自己或是别人的生活。   　　记得长辈说过：年轻是一种罪过。他们说我们不成熟。   　　真切...

                        ?(展开)",shawn,力荐,386
9,大话西游之大圣娶亲,"这篇影评可能有剧透

                        　　大话西游二十年  　　二十年，那么就是一九九四年的事情。我已经吃不准看到的时候是几几年，但我非常确定两部都是去电影院出了票钱的。  　　顺便说说最近很流行的“欠**一张票”这种营销模式，大抵意思是之前也许看到的途径是九区，所以当有机会花钱的时候，孩儿们，拿钱...

                        ?(展开)",本来老六,力荐,282
10,大话西游之大圣娶亲,"[两段台词] 刘镇伟全片对王家卫进行戏仿，其中男女主角的两段台词，成为了观众反复背诵的名句： 男主角：曾经有一份真诚的爱情摆在我的面前，但是我没有珍惜，等到了失去的时候才后悔莫及，尘世间最痛苦的事莫过于此。如果可以给我一个机会再来一次的话，我会跟那个女孩子说我...

                        ?(展开)",离净语,力荐,254
