,影片名,评论内容,评论人,推荐星数,有用数
0,季春奶奶,"这篇影评可能有剧透

                        故事很感人，阐述的方式是平淡的。   季春奶奶是一位传统的海女。有着孤苦的命运。独自带着孙女慧智生活。一把年纪还要出海下水。长年累月被海风吹被烈日晒，导致她的皮肤粗糙，泛红。这是劳作的标志。她孤苦，却坚强。 孙女却被有预谋地拐走了。12年。孩子丢失的那一刻，电影...

                        ?(展开)",凉菇的安而遇随,力荐,359
1,季春奶奶,"文 / 沐梵 看电影的初衷是反抗平庸。 生活乏味了，要看个浪漫爱情振奋神经；缺乏激情了，想在热血青春片里代入一把；世俗压力不堪重负了，渴望在超级大片的狂轰乱炸中释放；觉得人心冷漠了，则要在天伦人常中走一遭，非得用泪水才能将冷硬心肠浸泡得柔软。 以家庭亲情为主线的...

                        ?(展开)",沐梵,还行,314
2,季春奶奶,"影片整体来说很不错，挺感人的，两位主角演技很棒，特别是金高银跟尹汝贞这位老戏骨搭戏一点都不觉得违和。 影片后半部分的节奏掌握的非常好，泪点和重点导演安排的不错 拍摄的画面和呈现出来的场景很漂亮。编剧写的还可以，后半部分一直在哭。。。影片的前期节奏感觉有点乱，...

                        ?(展开)",雨洛,推荐,33
3,季春奶奶,"讲述的是小时候因为遭遇事故而失踪的孙女，十年后再次和奶奶相遇的故事，充满了令人流泪的感动，她们身上的秘密也令人好奇。韩国的影视技术好的惊人，最深刻的是很多次梦中都会回到那个老房子，姥爷在床上躺着，你坐在沙发上，闭着眼睛晃晃悠悠，我打开门，你看到我，说了句：...

                        ?(展开)",青年人电影协会,推荐,23
4,季春奶奶,"一个五岁的孩子丢了，一个可爱善良爱画画的孩子丢了，一个她夏天的小甜心冬天的小棉袄丢了，一个她说，“就算人生再累再辛苦只要有一个坚定的伙伴就可以了”的人生希望丢了… 在无数个丢孩子的白天与黑夜，她过得怎样？有没有吃苦？有没有挨饿受冻？有没有遭遇坏人？有没有过得...

                        ?(展开)",夏薇莨,力荐,67
5,季春奶奶,"这应该是我看过的最感人的亲情电影了吧 韩国电影真的是牛啊 细节处理的相当好 感情是慢慢升华的 取景也很棒 季春奶奶是个海女 年纪这么大了还要去海里工作 很辛苦 所以她的皮肤很粗糙 小时候的慧智被奶奶带着去买菜 可是被人拐跑了 季春奶奶发现后的感情处理得相当好 我看了就...

                        ?(展开)",蜜汁少女,推荐,15
6,季春奶奶,"这篇影评可能有剧透

                        亲情是韩国电影中我最喜欢的类别之一。 尹汝贞奶奶，最开始认识她是《澡堂老板家的男人们》，后来是全度妍的《下女》，还有我正在追的《我亲爱的朋友们》，是我非常喜欢的一位奶奶级演员，剧中她一举手一投足、哪怕脸上的皱纹与老年斑都是戏，我把故事按照奶奶的各个阶段切割:...

                        ?(展开)",刘大仙,推荐,73
7,季春奶奶,"这篇影评可能有剧透

                        故事其实挺平淡  奶奶和孙女相依为命 孙女却不幸走失   多年后 小混混惠知无意中看到了奶奶的寻人  返回了故乡  苦苦等候孙女归来的奶奶 终于等回来了她的小孙女  为了补偿这么多年的离别她用她最大的力气去弥补她爱她   但孙女却不似当年的小孙女  她有时候抗拒和奶奶的接触 ...

                        ?(展开)",御剑乘风,推荐,19
8,季春奶奶,"该片以风景优美的济州岛为背景，讲述小时候因为遭遇事故而失踪的孙女，12年后再次和奶奶相遇的故事。 季春奶奶奇迹地找回12年前遭遇事故失踪的孙女慧智，把慧智带回济州岛海边的家一起生活，重新互相适应对方。但是比起一天到晚只想着慧智的奶奶，慧智则完全相反，像带着很多秘...

                        ?(展开)",HANABI,力荐,12
9,季春奶奶,"非常喜欢尹老师的表演，把一位乡村老奶奶的慈祥、辛苦、关爱、坚强，表演的淋漓尽致，让人落泪。看完电影之后，真的很想打慧智一下，因为心疼季春奶奶。  而作为有孩子的家长，看到慧智和季春奶奶逛市场的时候，就想提醒季春奶奶：让慧智走在前面啊走在前面。  作为一个妈妈，...

                        ?(展开)",一觉年华秋梦醉,推荐,35
