,影片名,评论内容,评论人,推荐星数,有用数
0,寂静之地,"不写影评已经好久了，但是最近实在实在看电影的价值观上收到了很大的冲击。忍不住在这发些牢骚。 寂静之地是一部豆瓣8.0，imdb8.3的高分电影，这是个什么概念呢，以经典恐怖片做对比来说，闪灵豆瓣8.0，异形豆瓣8.0，寂静岭豆瓣7.5，咒怨豆瓣7.3。这么看来这部寂静之地实在是堪...

                        ?(展开)",周小young,较差,2342
1,寂静之地,"1. 找个高楼，一根长杆子，挂上个闹钟 2. 挖个深坑，埋点铁签子，扔个闹钟进去 3. 倒上汽油，中心放个闹钟，点把火 4. 埋好地雷，放个闹钟 5. 做个大号铁刺猬，里面放个闹钟 6. 找个高点的地方，扔个闹钟下去，怪物来了扔个手雷下去 7. 每人一把枪，找个单入口隧道，堵在入口处...

                        ?(展开)",zephyrtian,很差,1050
2,寂静之地,"这篇影评可能有剧透

                        看了这个电影，总的来说，感觉还好，戏剧张力还是挺强的，看了不少评论，感觉一部分人觉得bug比较多，谈谈个人脑补感想和解读： 0. 我觉得真的是很刻意、人为设置的几处不能算bug但是显得很虚假的段落： 小儿子的死。我很难理解，为什么一家人走路，会让最小的儿子走在最后面，...

                        ?(展开)",陈长生,还行,512
3,寂静之地,"这篇影评可能有剧透

                        ""OVERRATED! (过高评价!)"" 是本片在烂番茄网站差评里必出现的字眼，然而本片依旧红得发紫，烂番茄新鲜度高达96%，难道是有什么操作？喜闻乐见的是，笔者看到豆瓣的评分从之前的8.0被拉到了7.8，不由松了一口气：观影人数多了，评分也就相对有了意义。个人觉得最多6.5分，没脑子...

                        ?(展开)",Thomas,较差,402
4,寂静之地,"这篇影评可能有剧透

                        如果用一个词定义的话，我能想到的就是：雷片。真的蠢，全程蠢，也没什么惊吓点。我不知道是怎么刷分刷到这么高的。我在美国看的原版，可能国内的和谐版更恐怖一些？（呵呵，微笑）真的是槽点太多，不吐不快。一条一条说吧。（全程剧透，如果你想体验一下这片的槽点，那建议还...

                        ?(展开)",渔网2,很差,302
5,寂静之地,"我们曾经生活不见天日的地方，按你们人类的话来说，就是地底生物。不知道从多久开始，我们就生活在那里，距离地表十多公里的地壳层下方。随着怪口膨胀，我们开始向四面八方发展，在石缝中挖出可居住的空间，没想到有一天居然把“天”给挖穿了。大家伙都非常好奇，于是就拉帮结...

                        ?(展开)",便便,力荐,341
6,寂静之地,"这篇影评可能有剧透

                        上半年最受期待恐怖片，《寂静之地》一定算一个。 在国内上映之前，《寂静之地》就已经在北美口碑大爆，《滚石》《好莱坞报道》等多家媒体，对它都不吝赞美—— 片中母亲提出疑问：‘我们是谁？如果我们连自己的孩子都保护不了？’影片以复杂、情感真切的方式给出答案，它证明...

                        ?(展开)",架空,较差,385
7,寂静之地,"If they hear you, they hunt you. 这部影片还没上映的时候，就把这个很有意思的基本设定抛给了观众，确实吊足了胃口。实际上，这个设定在自然界中也有迹可循：很多洞穴生物在漆黑一片的环境里，视觉都严重退化，大多依赖极其灵敏的触觉或者嗅觉来捕猎。不过，正常情况下，听觉...

                        ?(展开)",柳烟堆雪,力荐,179
8,寂静之地,"这篇影评可能有剧透

                        我们的观众很少能有机会在电影院欣赏一部真正的恐怖惊悚片，今年赞誉极高的美恐《寂静之地》在国内上映了。与多数主流恐怖片不同，这是一部靠声音取胜，擅用镜头语言的电影，很少依赖对白，属于“高概念”恐怖片。 这几年见识过很多演员改行做导演，但是约翰·卡拉辛斯基这次的...

                        ?(展开)",大奇特(Grinch),推荐,120
9,寂静之地,"这篇影评可能有剧透

                        我是一名忠实的索狗。 忠实到什么程度呢，索尼第一方的看家作品我基本都是白金，第一时间入手实体版这种成都就不用提了，翻来覆去体验无数次高清重置版还得买。所以当我和太太走进电影院看这部电影的第一眼时，我就觉得有戏： 因为这场景和最后生还者（The Last of Us）太TM像...

                        ?(展开)",monocle,很差,128
