,影片名,评论内容,评论人,推荐星数,有用数
0,心迷宫,"由于政策性原因，中国电影的名字中不能出现殡或者棺之类的字，但荒诞的是，某种程度上说，这种修改片名的指令反而部分拯救了这部电影的亲和度。从《殡棺》改名为《心迷宫》之后，这部小成本电影对于观众的拒斥感减弱了很多，反而增强了悬疑类型片的感觉。虽然即便如此它也...

                        ?(展开)",frozenmoon,推荐,4405
1,心迷宫,"上来先放一句大话，这部电影，是2015年国产电影中，迄今为止我最喜欢的一部。在今年国产电影商业片与艺术片交织的海洋之中，其实有着一定的精品。人人心中都有自己的佳作，《心迷宫》不是最好的，但这部电影是华语片中少见的以剧作结构取胜的黑色喜剧。上一部给我如此感觉的作...

                        ?(展开)",乌鸦火堂,力荐,3482
2,心迷宫,"采访：祖伊、蜉蝣    前一晚去看了《心迷宫》的提前点映，正在查阅影片的短评和导演信息时，祖伊突然走过来问我，明天有个《心迷宫》导演的专访，要去吗？  狂点头。  这绝对是能排入我个人今年院线片前三名的佳作。170万的极低成本，无任何可宣传的点，这个影迷型的导演的首部...

                        ?(展开)",蜉蝣,力荐,1651
3,心迷宫,"個人評分：8.0/10  （二刷完毕，已更新） 前晚有幸参与了格瓦拉新放映活动，成为《心迷宫》的全国第一批次超前试映观众。这部在无论在国际还是国内的业内都饱受赞誉，因此让我在观影前就报以了很高的期待。到观影结束，可以说这部片成为个人的年度国产电影前三甲是毫无问题的，...

                        ?(展开)",新大町,推荐,692
4,心迷宫,"从14年电影制作完成到15年的最终上映，从《殡棺》到《心迷宫》，观影前，我对这部电影的好奇甚至大于审度的欲望。  这是一部不落窠臼、别出心裁的国产片，故事并不复杂，但涉及到的落点不少，往小了看有亲情、婚外情、家庭暴力、地方黑霸，往深了看有阶级歧视、农村劳动力流失...

                        ?(展开)",睡在巴西旁边,力荐,258
5,心迷宫,"当我们在评价一部电影的时候，我们会关注些什么？ 有没有大明星？演员们的表演好不好？ 是不是大导演？故事情节牛不牛逼？ 有没有大场面？特效够不够炫目？有没有1500个特效镜头？ 是不是喜剧？笑点密不密集？有没有“笑尿了”，“笑到背过气去”？ 上映前有没有大规模宣传？有...

                        ?(展开)",油炸绿菠萝,力荐,246
6,心迷宫,"Q:导演创作经历？ A:热爱电影；被称为“李安”—很长时间在家写剧本;这次处女作来源于之前拍的一部短片，后来花170万拍成，先去FIRST上拿奖，后来有名。该片为处女作，本人姓也读xin，因此会做一辈子忻（新）导演。  Q:演员都是非专业吗？如何选择的？ A:都是来自河南的职业演...

                        ?(展开)",Ricky925,推荐,111
7,心迷宫,"首发于微信公众号：movie432，文末有二维码噢~ 对先天不足、后天不良的中国电影来说，学习乃至抄袭外国电影一直是条捷径。无奈很长一段时间，无论是商业电影还是独立电影，中国电影创作者连挑选抄袭对象都会发生致命错误，进而制造了大量不堪入目的山寨电影。也难怪到了《泰囧...

                        ?(展开)",木卫二,推荐,102
8,心迷宫,"精巧的叙事结构，完美的剪辑，让影片的可看性极高。故事逻辑严谨剧情无懈可击，层层抽丝拨茧让上帝视角的观众洞悉真相，各种高级逻辑梗绝对是黑色幽默的典范。灰色深沉的主题，无法挣脱的宿命，以及对人性的探讨让影片回味无穷。好看的不像获奖片！ 信仰+黑色幽默+乡村伦理冲突...

                        ?(展开)",长安,力荐,46
9,心迷宫,"一个好故事便足以笃定电影的全部，《心迷宫》在多角色间游刃有余的的紧扣人物心灵，在多线索中营造了扑朔迷离的重重悬疑，在看似平凡的乡村里构筑了暗潮涌动的内容纵深，那挣扎于善恶人性间的“心迷宫”，变的仿若触手可及，扣人心弦。 中国农村背景犹如纪录片式的聚焦，在伊始...

                        ?(展开)",沙里晶,力荐,56
10,心迷宫,"这篇影评可能有剧透

                        小小的剧透 还没看过电影的慎入吧。   村长儿子肖宗耀在与同村姑凉（其实就是女朋友）幽会时被同村的白虎撞见，失手杀死了白虎，慌乱中掩盖好尸体就走，准备借钱和已经怀孕的妹子远走高飞。和妹子一番纠结之后还是决定回去大不了自首。可是当儿子回村之后却发现什么事都没有，...

                        ?(展开)",昨夜星辰恰似你,推荐,50
11,心迷宫,"《心迷宫》的故事乍看上去并没有什么惊喜感，但导演却用了较为复杂的叙事结构，三组故事因为一口棺材被串联起来，可独立存在又互有牵连，巧合中带着些许黑色幽默。 在这场匪夷所思的离奇命案中，电影里的每个人都被蒙在鼓里，不管是出于爱、出于自私还是出于懒惰、嫉妒和不忠，...

                        ?(展开)",黑洞啊,推荐,34
12,心迷宫,"《心迷宫》是2015年国产电影最大的惊喜，我要把2015国产电影之光的桂冠送给它。《心迷宫》是用极少成本投入获得极佳电影表现力的一个标准案例，在混乱拥挤的院线商业电影中，《心迷宫》就像一个卓尔不群的刀客一样，在院线最不起眼的角落怀揣利器，无声嘲笑着周遭一干作...

                        ?(展开)",安德烈大叔,推荐,73
13,心迷宫,"绝对的国产佳作，大有诺兰风范的一部河南农村题材，每个人都心怀鬼胎，正如电影最后的奖章埋葬，正直和荣誉，是最脆弱不堪的，能拍这种片导演在国内绝对是珍稀的了，真的很推荐！       影片采用多视角的手法，巧妙地将几件事拼合在一起，人物的心理描写细腻，耐人寻味。心迷宫...

                        ?(展开)",自掘坟墓,力荐,36
14,心迷宫,"这篇影评可能有剧透

                         （有剧透，请小心观看）     走出放映厅，看到导演本人被影迷观众们围着拍照、提问。由于事先买票的时候不知道导演会亲临现场出席见面会，所以按个人习惯买的最后一排位置，没有机会提出问题，未免有些遗憾。想上去请教一二，又见人多嘴杂，怕忻导分身无暇，所以悻悻离开。   ...

                        ?(展开)",张隐,推荐,111
15,心迷宫,"这篇影评可能有剧透

                        故事发生在村里。对这个地点，或者说这个组成社会的一个单位，村是一个极有意思的存在。说它有意思是因为，它的原始性、自然性和独特性。村，是社会化的产物，但同时它又不那么科学化、理性化、法制化。 在村之上的乡镇、城市似乎都遵循着一个“法”，但村稍稍不同，它更本源的...

                        ?(展开)",樱桃咻咻咻,推荐,36
16,心迷宫,"这是一部不落窠臼、别出心裁的国产片，故事并不复杂，但涉及到的落点不少，往小了看有亲情、婚外情、家庭暴力、地方黑霸，往深了看有阶级歧视、农村劳动力流失、留守家庭情感维系，影片采取多角度叙事，通过三个交错发展的故事，深入描绘了当真相被掩盖，当自身欲望被揭开时人...

                        ?(展开)",三六十八,推荐,31
17,心迷宫,"很不错的悬疑电影，一个简单的案子，却引出了错综复杂的人物关系，引出了不同人物背后的故事。故事的开始就埋下了伏笔，一个河南的乡村，经常因为烧山而导致人意外死亡，首先就是一个烧山开荒而自己被烧死的老者的葬礼。在葬礼上引出了黄欢和王宝山的纠葛，耀宗和父亲的父子问...

                        ?(展开)",kiki,推荐,37
18,心迷宫,"《心迷宫》是由北京太合娱乐文化发展股份有限公司、北京海平面影视文化传播有限公司联合出品的剧情悬疑片，由忻钰坤执导，邵胜杰、霍卫民、王笑天、罗芸、孙黎等主演。该片讲述了中国某偏远村庄里，因为一具莫名出现的尸体而引发的一连串离奇怪事的故事。该片于2015年10月16日...

                        ?(展开)",dac,力荐,27
19,心迷宫,"非常感谢心迷宫剧组的邀请，使得我有机会能够才全国院线上映之前看到这部电影。  从去年还是前年解除到故事梗概开始，就对这部悬疑片很有兴趣，一度写过三页剧本，后来因为时间不够充分而放弃剧本的写作。  昨晚看过全片以后更觉得导演和演员们太不容易了。仅仅170万的投资，拍...

                        ?(展开)",仁慈的父,推荐,66
20,心迷宫,"观影体验的确惊喜惊艳，有必要为这部没什么名气的国产片记一小笔。  导演忻钰坤以前从未听说过，可处女作就能拍得这么成熟，比好些成名导演更稳健大气，真是江山代有才人出。  影片讲的是中国农村五天之内的几个离奇命案，以拆乱事件的自然发生顺序打破时间线索的混剪方法叙事...

                        ?(展开)",艾小柯,推荐,66
21,心迷宫,"这篇影评可能有剧透

                        清晨，一具突然出现的烧焦尸体打破了村子的寂静，而前晚，一连串的怪事也接连发生。村里的妙龄少女黄欢失踪了，村花丽琴外出务工的丈夫说好回来也迟迟不见踪影，臭名昭著的痞子白虎为了躲避赌债连夜回村，哥哥竟说他已经半年没回过家。看似毫不相干的一群人因为一具尸体的出现...

                        ?(展开)",南音,推荐,22
22,心迷宫,"低成本电影 ，看到开头还觉得没多大质感，看到后面感觉才上来。镜头画面虽然感觉不大，编剧和剪辑流弊到极点。就一个小镇里两天发生的事情电影从各个角度展开，各种插叙最后又衔接到一起。唯一不好的可能就是分界不明显有点乱，但是看到最后看懂了就不乱了。话说我要是大壮我就...

                        ?(展开)",空空的书包,推荐,29
23,心迷宫,"这篇影评可能有剧透

                        平心而论，《心迷宫》的剧本新颖吗？这要具体问题具体分析，故事简言之，就是一具焦尸引发的闹剧，属于典型的黑色喜剧，当年的《疯狂的石头》走得就是这样的路子。炫技般的连环叙事，阴差阳错的人物关系，错上加错的故事走向，多条线索连环交织。这样的电影其实不少，比如科恩...

                        ?(展开)",小脏喵,还行,18
24,心迷宫,"这篇影评可能有剧透

                        三个不同的角色 男人，女人，老村长 一个想要挣脱父权控制的青年，在一次争执中失手杀死了同村的痞子，被迫逃亡。他没有想过会用这样的方式逃离安逸的生活，走或留他都将失去一切。最后一刻也是恍然大悟！ 一个女人在一个男人身上找到慰籍，是爱情还是不伦。 半辈子兢兢业业的...

                        ?(展开)",三只兔子,力荐,33
25,心迷宫,"170万的拍摄成本，这个数字或许还不及一些大牌明星参演报酬的十分之一，但它完成的《心迷宫》却获得了2015年度神作的美誉。 影片的故事设置之烧脑、剧情结构之巧妙、画面之真实都让我如痴如醉。 据说对于拍摄的历程，导演算起账来依然有种每一寸钢都用在刀刃上的仔细：“其实本...

                        ?(展开)",POOOOOON太,推荐,23
26,心迷宫,"这篇影评可能有剧透

                        电影里故事是采用倒叙和穿插的手法表现的！（本文严重剧透） 影片没有一个多余的镜头，片中的动物世界是其中一个时间轴提示，时间顺序依次是：生病的白虎（简称：白）赌钱输了钱，在城里正好遇上陈自立（简称：陈）和陈的小三，白偷了陈的钱包！ 村长老肖的儿子肖宗耀（简称：...

                        ?(展开)",阿米尔,推荐,20
27,心迷宫,"剪辑技巧把故事做出了更多可看性，是小成本电影的一条出路。作为一部2015年的电影和导演处女作，很不错了。 但这种剪辑手法很新鲜吗？我仿佛失忆了，看不惯前排影评人夸的像2005年的这种架势。 实际扣分点恰在很多人说的乡村真实感，不是有萧条破败和文明隔绝就够真实。至少有...

                        ?(展开)",叶蓁蓁,推荐,22
