,影片名,评论内容,评论人,推荐星数,有用数
0,恐怖游轮,"（此文有剧透慎入）   此片的评论常常分为两派，一派主张用时空重叠的理论想要理清现实逻辑，一派主张Jess的鬼魂在车祸后进行了一场幻境之旅。其实这两种解释并非互相矛盾的，即使是幻境也是一个完整的程序也是遵循严密的内在逻辑的。  【1】关于官方解释  那么究竟有没有一个...

                        ?(展开)",勤劳的小蜘蛛,力荐,18464
1,恐怖游轮,"这篇影评可能有剧透

                         类似这样和时间轴的电影总会拿来被大切八块，然后一堆分析狂人（逻辑真的很强的人和自以为逻辑很强的人）来对影片的每个细节进行推敲，从而架起一个完整的故事。  好吧，从宏观的来看，故事可能是这样的：  现实中，女主是个不那么好的妈妈，一直一直对小孩子发脾气，因为小孩...

                        ?(展开)",alan,力荐,2078
2,恐怖游轮,"如果一部科幻电影，硬将它划分为另类灵异型，是完全没有浪费精力讨论的必要，因为冥界里的世界是根本不需要逻辑的。   首先，Aeolus号世里始终有“3”个洁西：  A善良版洁西(她始终由左舷登船） B邪恶版洁西(她始终由右舷登船)  每个洁西（善良A、邪恶B）分别会有3个不同角色：...

                        ?(展开)",花橘子叔叔,力荐,995
3,恐怖游轮,"这篇影评可能有剧透

                                很好的一部电影，看了两遍，终于看懂了一些，参考网上的一些影评，获益匪浅。网上一般认为，在船上，一共有三种经历的Jess，她们开始登船时的初始状态是一样的，本质也都是善良的，这三种经历是循环往复出现的循环过程。 但在仔细观看思索每一个细节后，本人认为只有两...

                        ?(展开)",雨点涟漪,力荐,486
4,恐怖游轮,"本文包含深度剧情分析。        在《K星异客》里，关于宇宙的命运，有这么一段话“它会崩溃为一点，然后再度膨胀，这样周而复始。当宇宙再度膨胀后，所有的一切都会重演。你所犯过的错误全会重演，一次又一次，永远轮回。”这种说法很有些宿命论的意思，因为假如这种理论...

                        ?(展开)",闲潭影,力荐,423
5,恐怖游轮,"这篇影评可能有剧透

                        恐怖游轮　最完整的轮回　女主角的六个阶段   看了这个故事，纠结了一整天，怎么都想不通所有的情节是如何连贯的。 因为导演少演了三个段落。就是女主角用斧子砍死那个没戴头罩的自己扔到海里和女主角变成用刀杀朋友的那个人。 有人说成女主角的命运是两个不相同的轮回。一个轮...

                        ?(展开)",最终灵魂,力荐,439
6,恐怖游轮,"犀利诡变的架构，令那无线循环往复如俄罗斯套娃般的命运交汇塑造了完美的悬疑观感，电影对细节的苛求是近乎无可挑剔的，怎样的恐怖才算是不寒而栗？伊始便是终点，终点便是伊始的《恐怖游轮》，一场无解的救赎，最恐怖的莫过于心魔。 我居然会有些感动，根据那传说，我会问，西...

                        ?(展开)",长安,推荐,117
7,恐怖游轮,"Save Our Souls（SoS） 是的，不要怀疑，就是它，本年度最佳悬疑电影将不再有任何悬疑! 这电影可能会让你头疼不已，原因它逻辑性十足，正因如此，它很有可能 将观众们的逻辑思维以及有限的耐心搅得一塌糊涂 在这里，发至一个善良的观影人的优秀品德，让我们重新整理一下这部电...

                        ?(展开)",花橘子叔叔,力荐,206
8,恐怖游轮,"这篇影评可能有剧透

                        你也炼狱自己了吗？！                        作者：比林思   （原创影评，转载请注明）  本片是部轮回片，它有一个令人不容易看懂的原因 就是整部电影通过主线JESS的视角，只拍摄出一个循环的五分之三 到影片结尾时，JESS去码头，并不是开始新的循环，而是会第二次上游轮 上...

                        ?(展开)",比林思,力荐,227
9,恐怖游轮,"看了很多朋友的观点，谈谈我自己的看法： 　　 作为一部电影，我同意一位朋友的看法，还是需要交代清楚故事的起因的，我说的交代清楚，不一定要直直白白的演出来，但应该能从编剧的铺垫、暗示、发展结果来推断出来的，看完此片，我最大的疑问也在于此。 　　 而后面的A杀B，B杀...

                        ?(展开)",失洛河,力荐,193
10,恐怖游轮,"这篇影评可能有剧透

                            恐怖游轮就刚好对了偶的思路，空间重叠完全想到，导演也没有不给提示到像穆赫兰道那样一个镜头淡出就进入了梦境。。。。所幸看的时候主线逻辑比较清晰，带来了深深的感慨。     后来看剧析更加佩服导演编剧的天才。每一个情节没有一分钟是浪费的。     观影的时候明白了JES...

                        ?(展开)",小土豆来未,力荐,88
11,恐怖游轮,"比较烧脑，第一次看的时候结尾很莫名，回想起来的时候懂了大概，又看了几遍才能大概理解，影片是想表达什么，传递什么样的信息给到我们。女主在影片最开始其实就已经出车祸死亡，灵魂弥留之际，她告诉死神自己还有个约会，赴约后就会回来接受死亡，结果她却违背了承诺，希望能...

                        ?(展开)",离离原,力荐,54
12,恐怖游轮,"这篇影评可能有剧透

                        《恐怖游轮》是一部西西弗斯式悲剧轮回的电影，讲述了一个三角形的封闭轮回。片子的理念清晰，简单的封闭循环拍得严丝合缝，每个细节都耐人寻味。而影片最大卖点在于它的充满逻辑和循环的情节，类似西欧神话寓言的现代版。除了故事本身的严谨和情感的真诚以外，在细节和道具的...

                        ?(展开)",敏莉Lily,力荐,33
13,恐怖游轮,"又看了一遍，我还是按照原来的思维，来想想，想像船上有多少个人，有1，2，3，4。 我之前看了两篇理清的人物线，被一句话惊醒，你别跟我说有多少个人，从头到尾都是她。 是的，上传的是她，回去的是她，又上船的还是她，并没有人其他人，只有她自己被轮回折磨。 一个人的情感变...

                        ?(展开)",三生sss,力荐,52
14,恐怖游轮,"这篇影评可能有剧透

                        《恐怖游轮》独特之处在于并没有一个标准答案，既可以理解游轮为一个时间异常区域，来自不同时空的同一批访客上演杀戮轮回，也可以理解为已经死去的灵魂产生的灵异幻境，颇有“濒死片”的意境。像《恐怖游轮》这一类双向的互动电影，其最大价值就在于每个观众可以不断提出自己...

                        ?(展开)",吉静,力荐,32
15,恐怖游轮,"这篇影评可能有剧透

                        《恐怖游轮》影片并未以血腥场面骇人，而是以精巧的剧情架构和宿命般的一波三折，让人沉入其中。电影中奇特的轮回式剧本架构无疑是本片最为吸引人的特质，其独特之处在于并没有一个标准答案，既可以理解游轮为一个时间异常区域，来自不同时空的同一批访客上演杀戮轮回，也可以...

                        ?(展开)",如鱼得水,力荐,50
16,恐怖游轮,"这篇影评可能有剧透

                        每一次的轮回，总能把前面的一些碎片给补得完整。一些前面的细节，比如最开始女主没带她的孩子以及向友人说的那句“对不起”，还有中途出现的房间号，一些细节或者当时觉得疑惑的地方，都是为后面的铺垫。整个结束的时候，有种一片片碎片，终于拼凑完整的感觉。 一个不愿承认自...

                        ?(展开)",爱吃馒头的宝宝,力荐,28
17,恐怖游轮,"这篇影评可能有剧透

                        虽然是惊悚，但是没有想象中的那么恐怖。看完后感觉就是乱乱的，看了大家的影评，才知道原来想的是灵魂超度的故事，女主角不小心发生车祸，失去了儿子。想重来一次，就所有人的命，没想到一次次的沦陷。 电影中女主角出现了三次，每次的状态都不一样，也正是折射出她对生命在不...

                        ?(展开)",栗子,推荐,26
