,影片名,评论内容,评论人,推荐星数,有用数
0,我的邻居山田君,"生活与俳 ?? ??--<我的邻居山田君一家>观后感(三) ?? ??<我的邻居山田君>的神来之笔,是在一段段生活情景的描述之后,突然打上一句俳句。于是这段生活场景便变得颇有意思。 ?? ??一家人外出旅游，将小女儿丢下在车站，之后历经一番扰攘，将于找回。然后一家人合唱：...

                        ?(展开)",[已注销],力荐,227
1,我的邻居山田君,"我的鄰居山田君 有很好的英文譯名 The ups and downs of life。 這是我近來看過的最最最最最好的動畫片了。  就像墨墨說的 它讓我好希望 也有一戶像山田一家一樣可愛的鄰居呢。  山田爸爸和山田媽媽的結婚典禮很無敵的融合了日本的傳説 比如桃太郎 比如竹取物語 當然還有很多無...

                        ?(展开)",木夕兔,力荐,68
2,我的邻居山田君,"中午看了一部根据日本漫画改编的动画片《我的邻居山田君》。这部片和其他的动画电影不一样，绘画非常简单，与其说是电影更像是电视中常见的动画片。1999年上映的，导演是高畑勋。也许这个导演不如宫崎骏名气那么大，但我想很多人其实都看过他的作品，比如《再见萤火虫》和《岁...

                        ?(展开)",蓝调共和,推荐,81
3,我的邻居山田君,"这篇影评可能有剧透

                        这部电影好温馨，暖得不行。 它记录的是山田君一家五口人，简单平凡而幸福的生活。 这里没有轰轰烈烈，惊天动地的戏剧冲突，全部都是他们生活日常琐碎。 俏皮幽默的对白，搭配日系简易童话风，加上轻松的配乐。 普通人家的生活被描绘得无比精妙有趣，让人捧腹之余，又倍觉温馨...

                        ?(展开)",你曾是少年?,力荐,40
4,我的邻居山田君,"与宫崎骏长期搭档的高田勋被誉为大师身边的大师，他特别擅长于对市井小民的刻画，那些发生在普通人物之间的细腻生活在他的笔下呈现出清新开朗的面貌，有时又带着一点点细微的忧伤与寂寥。          制作于1999年的动画片《隔壁的山田君》由一部倍受喜爱的四格漫画而来...

                        ?(展开)",鲜雁,力荐,39
5,我的邻居山田君,"当我长大，坠入爱河，我问我的爱人：“前方会如何？彩虹会否日复一日地出现？”我的爱人这么说：“未来难以预料，世事不可强求，将来是怎样就怎样……” 上面是片尾高潮时出现的歌曲，说“高潮”其实有些勉强，因为这部动画电影就像生活本身，没有明显的潮起潮落，只有日复一日...

                        ?(展开)",冬冬,力荐,35
6,我的邻居山田君,"山田一家，都是世俗到不能再世俗，平凡到不能再平凡的小人物。 无论哪个年龄，无论哪个成员都有着自己的欢笑和烦恼。 简单的线条，浅到无法察觉的色调铺衬，地球上最渺小的一家窗口里传出的温馨，就这么跃然而现。 象是就在身边呼吸着的一样真实。 并且也象是自己内心深处的感...

                        ?(展开)",老妇女,力荐,28
7,我的邻居山田君,"今天感冒，头沉沉的…… 闲逛豆瓣竟然看到了前段时间薇姐总是提起的我的邻居山田君 她总是用一副很严肃的表情来讲这个动画片 她说这一家子反应慢三拍得感觉跟我们的精神领袖涛子有一拼 然后我就把脑惨的很得工作狂人推荐给她去看了 那个囧到死舞蹈啊…… 咱们不如一块拍出来在...

                        ?(展开)",草签,力荐,8
8,我的邻居山田君,"奶奶：“这是什么品种？” 老板：“这是美浓菊，这是大菊。” 奶奶：“不是，我说的是这只虫……”  妈妈：“晚餐煮什么好呢？……好吧！就这么办！女人要有胆量！” 女儿：“你要煮什么？” 妈妈：“虽然上礼拜、前天都煮咖哩，但就是这样，今天更要吃咖哩！”  爸爸（对儿子...

                        ?(展开)",sosovipp,推荐,8
9,我的邻居山田君,"画面柔美，讲述一家人的生活，轻松搞笑，在觉得心太累的时候，看一下这部片子能使你真正会心一笑。片中的一家人十分真实，都能找到一些我们自己的生活中一些影子。我们真的应该静下心来，去欣赏生活中那点点滴滴，去学会珍惜身边平时不起眼的人和事。

                        ?(展开)",Yu,推荐,2
