,影片名,评论内容,评论人,推荐星数,有用数
0,战长沙,"这篇剧评可能有剧透

                        （喜欢影评的朋友，欢迎大家关注我的微博：蓟城君） http://weibo.com/u/2626651055  最近几年的抗日剧和清宫戏一直在争奇斗雷，大概是由于之前大家对清宫戏的吐槽不遗余力而忽视了抗日剧的潜力，致使抗日剧默默在角落里发育成了一只哥斯拉。也对，自从中国有了电视剧这东西，...

                        ?(展开)",蓟城君,力荐,3807
1,战长沙,"这篇剧评可能有剧透

                              从一年多前看到这部剧的片花，我便决定一定要好好追这部剧，从片花里头，我从故事、剪辑、演员和画面上都看到了很高的诚意。当片花播尽，片名出来，《战长沙》，底下便是这句：每一个向死而行的生命都在热烈的生长。       我不会忘记我第一次看到这句话时的震撼。战争片...

                        ?(展开)",想飞的乌龟仔,力荐,2323
2,战长沙,"作为一个湖南人，一个抗战军属后裔，看《战长沙》的感觉完全不一样，七十多年前的那场发生在我们本土的战争，呈现的都是熟悉的故地，那些熟悉的城镇、熟悉的地名，都是我的先辈用生命和热血捍卫过的祖宗之地，这种割舍不断的地域亲情让人无法置身其外。  其实一开始我是很浅显...

                        ?(展开)",阿汤,力荐,1094
3,战长沙,"剧终人散，是现今大多数人看完不少影视作品的现实写照，前提还得是那些能让人耐着性子看完的剧，方有人散于剧终的说法。更甚者，剧还远未落幕，看戏的大众或被雷或被瘆的速度逃离现场，一边抖落着满身鸡皮疙瘩、捋顺倒立的汗毛，一边恨不得自戳双目、记忆清零，自我催眠我...

                        ?(展开)",海城小璐,力荐,697
4,战长沙,"这篇剧评可能有剧透

                        這不是影評！！！（教练！我想成为一篇可口的厕所读物！！！） =====首先是態度立場表明一下：我曾經以為自己是一枚高冷的日飯，自從擼了顧清明才認識到，我只不過是一個膚淺的顏飯。 謝謝  【【【楼主是电视狗 暂时没空填这个坑了 但是相信我有时间一定会把它填完的好吗！】】...

                        ?(展开)",T.V.Zoe ?,力荐,604
5,战长沙,"这篇剧评可能有剧透

                        这算是我第一部认认真真看完的抗日剧。有机会去看亮剑之类的经典来对比一下吧。  ----------------------  这几天，网上没资源，作为海外党，在youtube上找到的枪版，两天时间看完了。有很多很多的感触，无从下笔，也无从叙述。  这部戏其实没有正确意义上的男女主角，是群像戏...

                        ?(展开)",菠萝头斗地主,力荐,337
6,战长沙,"这篇剧评可能有剧透

                        这里先引述一段《电视剧》杂志对编剧曾璐的独家专访：“人物需要一种成长。我们写剧本的时候是把顾清明和薛君山作为一体两面来写的，他们本来就是互相照应的角色，采用了一种埋伏笔的方法。因为顾清明和薛君山确实是代表着不同家国观念的人，薛代表的胡家是过日子的人，他们就...

                        ?(展开)",Allegra,力荐,408
7,战长沙,"1.首先要说的就是国民党政府的“焦土政策”。 国民党李宗仁曾在发表的文章中提到“举国一致，痛下决心，不惜流尽最后一滴血，更不惜化全国为焦土，以与侵略者做一殊死之抗战。”  2.“一处失慎，三起放火” 13日凌晨2时许，长沙南门口外的伤兵医院突然起火，警备司令部参谋长许...

                        ?(展开)",Franchi,推荐,248
8,战长沙,"7月20日《战长沙》编剧之一的曾璐曾到战长沙吧，专门回复了一些问题，现整理如下：  问题1：想问编剧为什么要这么早就安排姐夫的离开呢 ？姐夫梦到平安的时候是否是姐夫离开时的伏笔？  答： 姐夫牺牲是难以避免的。曾经有军人接受民国报纸访问，记者说：“你想过抗战胜利以后...

                        ?(展开)",焰,力荐,269
9,战长沙,"这篇剧评可能有剧透

                        对于民国剧，我一直没怎么涉猎。可能民国剧不是狗血剧情就是悲惨结局，让我敬而远之。        我对真正的民国剧以及抗日剧都停留在《大宅门》《闯关东》《亮剑》诸如此类的央视剧集里。        战长沙片花的意外入眼，让我在开始就十分期待这部剧，果然没辜负我的希望。相信在...

                        ?(展开)",致太二,力荐,227
10,战长沙,"这篇剧评可能有剧透

                        该剧中，男人作为一个群体所呈现出来的众生相可谓丰富多彩，值得推敲。一场战争激发了他们人性中最勇敢的部分，也消除了他们内心的懦弱，让男人们从后方的“安乐窝”走向残酷的战场，保家卫国的意识从此觉醒。虽然男人是驰骋在战争前线的主力军，但女人作为大后方，其力量同样...

                        ?(展开)",敏莉Lily,力荐,63
11,战长沙,"一、湘湘的婚服 湘湘两次穿婚服，一次是1938年底文夕大火发生的那天，一次是1941年底国民党军击退日军之后。 不论是文夕大火，还是方先觉部队坚守长沙南门的那场苦战， 对这座有着几千年历史的古城，都是不能避开的一笔。 小人物的命运，由此和历史相连。  湘湘订婚那次，不论...

                        ?(展开)",焰,力荐,267
12,战长沙,"顾清明具备了一切男主的光环，光夸人长得一表人才都太肤浅了，人家可是真正的实力派，一直在用行动诠释着什么是学贯中西文武双全。一封骈体文格式的《告长沙工商联书》写得洋洋洒洒言辞恳切义理灼灼，端得是好文采；德国军校毕业生的军事素养是城防布局了然于胸街道巷陌熟门熟...

                        ?(展开)",工藤新一的猴子,力荐,82
13,战长沙,"这篇剧评可能有剧透

                        湘湘在郴州街上找清明，低头看着照片，听到背后传来熟悉的声音：他会没事的。 是小满，她的双胞胎弟弟。 ：你的脚怎么了？ ：磨破了。 小满的话很短促，他笑着看着姐姐，这个笑，不是原来的他那样不懂事、闯祸后讨饶的笑，这个笑，是他一天之内经历爸爸被日本人杀死、奶奶被汉...

                        ?(展开)",Banyan,力荐,173
14,战长沙,"A.看人不能只看脸，看剧不能只看名  如果盘点“那些不能因为名字难听就错过的影视剧”，《战长沙》绝对金榜题名么么哒。看到这名字，我这种从小就好好上音乐课的孩子，立刻就想起了京剧入门歌曲《学唱脸谱》好么，“蓝脸的窦尔敦盗御马啊~~~红脸的关公战长沙~~~~~”  这名字真...

                        ?(展开)",Miss歪,力荐,169
15,战长沙,"好久没看到这样让我心动的cp了，上一次是去年的这个时候听见你的声音，果然夏季是恋爱和心动的季节~不对，夏季是别人恋爱的季节。  长官夫妇萌萌哒，我记得这卡司12年刚出来的时候差点没喷饭，相差12岁还能不能好好恋爱，我深深忧愁过。事实就是年龄差萌一脸，女大男10岁可以上...

                        ?(展开)",小夕在流浪,力荐,151
16,战长沙,"焦土抗战”口号为反对不抵抗和消极抗战而生。应该说，“焦土抗战”之所以会成当时国人的共识，实在是因为当时敌强我弱之际，于种种主张当中其乃最悲壮、最能激发民族志气、彰显民族精神的口号。 “焦土抗战”政策整体上还是成功的。尽管蒋介石对“焦土抗战”的理解和执行与李宗...

                        ?(展开)",Gising,力荐,46
17,战长沙,"这篇剧评可能有剧透

                        极少写长评，但把第一篇献给《战长沙》，盼上星。                         ————————————————————————     在被蜂涌不尽的抗战剧占领电视荧屏的今天，只在地方台播出并被交口称赞的《战长沙》无疑让人耳目一新，惊喜不断。    且看导演的选角儿阵容就...

                        ?(展开)",joiedevivre,力荐,152
18,战长沙,"先说点外围的，看片尾字幕，发现是山东影视剧中心拍的，有种顺理成章意料之中的感觉。自《闯关东》知道他们，印象里是擅长拍家族史诗的，风格很正，精品率比较高。《战长沙》讲长沙胡家人抗战时期的颠沛流离，不过两个女婿是当仁不让的主角，将生活细节和幽默夹杂在剧变惨烈的...

                        ?(展开)",浮云客,推荐,117
19,战长沙,"这篇剧评可能有剧透

                        不以大场面抢收视，不用刻意煽情赚眼泪，不靠炒作雷点博眼球，这样的现实主义战争剧集，在如今的荧屏上可真的算是凤毛麟角。 战长沙，一个平实的剧名，引出的却是一场久违了的让人欲罢不能的好戏。  成长 在胡家所有的孩子中，双生子是最特别的存在。湖南话中的“满崽”寓意最...

                        ?(展开)",Pluto,推荐,134
20,战长沙,"姐夫是一个形象很饱满的人。好丈夫，好姐夫，作为家人没的说。但是作为处长，贪污，吃回扣，开烟管，抽成，以权谋私，也算是够黑的了。放在现在就是大贪官。另外，姐姐和医生青梅竹马，是被他活生生拆散的。大家不能因为姐夫对姐姐好，就觉得逼婚是好事啊！三观还是要有的。我...

                        ?(展开)",翻的走开,力荐,31
21,战长沙,"这是我唯一一部因为剧而看的剧，以前看剧都是冲演员看，然而霍建华和杨紫都不是我看剧的因素，但是这部剧好到我不看演员也要追。 印象最深刻的就是女主姐姐和姐夫因为长时间打仗而分开，结果产生了嫌隙，后来姐姐怀孕，他居然怀疑这孩子不是他的。姐夫执意送姐姐去乡下产子，因...

                        ?(展开)",小女子无以为报,推荐,36
22,战长沙,"这应该是为数不多的中国抗日战争片中毫不犹豫想要打五星的电视剧。 不虚假，不夸张，把国家与小家很好的融入在一起，我甚至都深深的记得花2天时间一口气将他看完时泪如雨下的情景。 这部剧是一个配角人物都展现非常成功的片子，那个家中顶梁柱一般存在的姐夫，那个和姐姐一起打...

                        ?(展开)",薛定谔的喵,推荐,36
23,战长沙,"随着剧情的深入，我沉浸在其中恍惚身临其境，感叹着“可怜河边无定骨，尤是深闺梦中人”，流着眼泪看完了电视剧《战长沙》，内心涌动着一股不得不提笔一诉衷情的冲动。 这是我近年来看过的一部非常优秀的军事文学作品。它不是流俗的披着战争外衣的言情剧，也不是以战争为幕布繁...

                        ?(展开)",爱哭的女王,还行,21
24,战长沙,"感受特别深的就是一家人吃饭，围坐，从一开始的子孙满堂，到后来一个一个的战亡，桌子上的人越来越少。胡家的悲壮牺牲那场景骗了我不少眼泪，我的感觉是真的融入了这样一个美满的民国大家庭中去了……民国有太多值得追忆的色彩 还是忍不住 看了小说战长沙 战争 远比我们想象的...

                        ?(展开)",小慢,推荐,24
25,战长沙,"这篇剧评可能有剧透

                        还好没有错过你 ——评《战长沙》从镜头美学说起  《战长沙》3月份其实在我们上海地方台上过档，而且回头想来我当时还看到过电视剧频道的预告呢。可惜我却和他失之交臂了。因为我压根儿没正眼瞅那预告，就颇不屑地把他归类于抗日雷剧了——“呵呵，拉个台湾偶像和内地童星配戏...

                        ?(展开)",ghostalive,力荐,96
26,战长沙,"这篇剧评可能有剧透

                        《战长沙》中，男人是驰骋在战争前线的主力军，但女人作为大后方，其力量同样不容忽视。剧中各色的女性形象都个性鲜明，她们敢爱敢恨，在生活中坚持着自己的处事原则，当战争到来临时，她们毅然走出深闺，放弃了懦弱和逃避，毅然为民族大义献出自己的力量。在荧幕上，长沙女儿...

                        ?(展开)",吉静,力荐,19
27,战长沙,"10 顾清明：记住，从今以后有人问你，怕死不丢人，说谎不丢人，说了谎死不承认才丢人！  11 丢人不怕 怕的是回不来。  12 明翰：战争，那就是一场噩梦。过去的就让它过去了，毕竟我们都还活着。至少，我还有妹妹，还有毛毛；你呢，还有湘湘和念亲，这么一大家子人。。。  13 薛...

                        ?(展开)",荔枝龙眼果,力荐,25
28,战长沙,"这篇剧评可能有剧透

                        在这部剧里我看到了很多人情味，感觉很真实很贴近生活。双胞胎虽然平时吵闹不休，但出了事也是绝对支持对方的。就角色来说，哪个不是有血有肉。         我最喜欢大姐夫，纵然他为了钱倒腾外国货，私用公车拉货等等，也磨灭不了他对家人的照顾、关心、呵护。在前线上他奋勇杀敌...

                        ?(展开)",-福仔-,推荐,20
29,战长沙,"覆巢之下焉有完卵，这是一个悲伤和希望并存的故事，普通人的悲欢离合，在那个战争的背景下，显得是那么美好而真实，湘湘有一幕对着顾老的台词说的极好：“我尊重清明每个决定，我也接受任何结果，无论这结果是什么。” 这一句又何尝不是每个抗日战士家人的心声呢？国难当头，岂...

                        ?(展开)",快乐卟卟,力荐,21
