,影片名,评论内容,评论人,推荐星数,有用数
0,捉妖记2,"这篇影评可能有剧透

                        你《捉妖记2》自己就是个妖孽，你还喊捉妖？真是贼喊捉贼啊。 大胆妖孽，贫道今天就要替天行道！ 看到有人说《捉妖记2》从早晨7：00开始就全部满座，我看了一下我们这边也是一票难求，比当初的《战狼2》还火爆，但我去看了的时候发现根本没多少人。 之前我亲眼看到早晨9：00的...

                        ?(展开)",凌睿,很差,1717
1,捉妖记2,"这篇影评可能有剧透

                        此前的《捉妖记》还算是颇具野心，初步的构建了一个人妖世界，为了讨喜，设立胡巴这样一个角色来卖萌也无可厚非。 但到了第二部，开始只拿胡巴主打卖萌，还加入了一个笨笨来打配合，就很可耻了。弃宏伟的人妖世界设定于不顾，有的只是像上集一样的剧情:某某妖王又派人来抓胡巴...

                        ?(展开)",RUNE,很差,1503
2,捉妖记2,"看完2之后有点失望，其实《捉妖记》第一部还是可以的，剧情和梗都不错，特效也很用心当时。 看2也有点是冲着梁朝伟和李宇春去的，但是梁朝伟的加入也没有让整部电影有什么亮点，倒是李宇春还不错有些惊喜。 剧情方面也是炒老梗了，特别是结局也有点不知所云，所以编剧导演是打...

                        ?(展开)",神婆阿七,较差,200
3,捉妖记2,"这篇影评可能有剧透

                        从头到尾我不知道故事主线是什么，是为了表现对异族的敌视?还是认可?还是大同?还是为了表现对野生动物的保护，不应该作为食用？还是妖怪与人版本的王子复仇记？好像都有点，但又都不是？简简单单一个故事，愣是被说成个四不像，妖族天生吃肉喝血，你把人家改造的吃素就是对的吗...

                        ?(展开)",干脆面菌7,很差,99
4,捉妖记2,"预告里白百何的造型就娱乐到我了233333越是这种许多人都喷的片子，越是能引起我的好奇心，我是不是找虐啊（笑哭）第一部表现还是可圈可点的，剧情，特效做的都不错，单看胡巴还是很可爱的。一直见好多人吹白百何的演技，不知道有什么地方可以吹？尴尬的演技搭配着可笑的造型，...

                        ?(展开)",春风十里,较差,135
5,捉妖记2,"去年看捉妖记的时候感觉还不错，所以这次又来看了。怎么说呢，电影搞笑部分真的很欢乐，所有人都被逗笑了。但是要说剧情的话没有第一部好，第一部至少有个线在那边，知道里面的角色都在为什么而奔波，但是这一部给人感觉就是一个过渡，没有什么主线，也就没有什么太深的感觉了...

                        ?(展开)",gin桑妈,还行,107
6,捉妖记2,"不如第一部，剧情特别散，节奏缓慢，李宇春有特色但感觉不是很适合那个角色，杨佑宁出场没多久就猜到了剧情的走向一定是反派，梁朝伟老了点，倒是不影响，但和李宇春的搭配感觉有点不搭啊，尤其李宇春旁边真的美女如云，为啥让她来演这个角色，每个人讲的都不少反而没有讲好，...

                        ?(展开)",洪荒粉红,还行,128
7,捉妖记2,"想说这电影场次还真的是挺满的，早早就买电影票了差点都买不到。电影本身的话我想应该大部分人都是冲着胡巴去的吧，毕竟胡巴真的是太萌了（?ò ? ó?）连我这老阿姨都被萌到了。里面唯一的亮点（除了那些挺萌的妖怪以外）应该是梁朝伟了吧，不得不说是里面感觉最自然...

                        ?(展开)",花怜要开车,还行,79
8,捉妖记2,"电影没有一个明确的剧情线，感觉东一榔头，西一棒槌，讲着梁朝伟这边的屠四谷然后又跳到白百何那边，最后两组会师无比尴尬…本来以为最起码会有个boss，结果在一阵非常尴尬的轻微打斗中，一切结束了？？？主题模糊，剧情线不清晰，台词尴尬，没有矛盾，没有精彩点，连五年级的...

                        ?(展开)",雨落晴安,较差,54
9,捉妖记2,"可以说远不如前作，虽然第一部也没有好到哪去，但起码不会让人觉得无聊。 全程只有打闹，剧情几乎为零，我要热闹还不如看春晚，说到这儿电影一开始新永宁村的一段尬舞还真让我有种在看春晚的错觉。本以为故事将在这里展开，结果那么大群妖怪被几个杂兵突袭一下就七零八落四散逃...

                        ?(展开)",心理强迫症,较差,83
10,捉妖记2,"今天早上去看了捉妖记2,最大的感受是这剧没有半点突破，吃老本，与第一部相比要差很多，而且最后的结尾没有说明白，隐约觉得是为了拍下一部留后路，剧情很敷衍，不知道卖点在哪？原谅我只能给5分，真的不能再多了，希望捉妖记到此结束，不要再来骗观众的时间和金钱了！！对了，...

                        ?(展开)",昱洕,较差,73
11,捉妖记2,"看过第一部， 虽不是什么绝佳好片，但也是合格的一部商业片，但果然...有句话说的好，大多有续集的商业片 都是为了圈钱，不过你圈钱，也别把观众当傻子啊，这质量，比起第一部，差了一个海沟啊，剧情混乱且幼稚，主次不分，乱加主角，连胡巴看起来都没有那么萌了 说实话，这也...

                        ?(展开)",心如止水,较差,60
12,捉妖记2,"除了消费胡巴的萌，已经没有什么了。有多少人因胡巴而去的，又因剧情烂而吐槽。全程没有什么亮点。找胡巴找胡巴，吐口水都知道胡巴下落，也是无语。续集真的没发法看，编剧瞎编应该很辛苦吧，主题是什么，1送走胡巴。2找回胡巴。难道3又是胡巴不见?加的客窜，演员演的满身尴尬...

                        ?(展开)",好姑娘是春秋呀,较差,44
13,捉妖记2,"谈吐电影：操之过急的套现，粗制滥造的剧情  文 | 执麦者 2018年2月17日  《捉妖记》第一部出品不易，在换角风波之后，依靠强大的网路宣传能力，博得24亿的惊人票房。可以这么说，尽管第一部《捉妖记》缺点明显，但是它制作的诚意满满，营造的人妖的世界观架构是相当有趣的。而...

                        ?(展开)",执麦者,较差,58
14,捉妖记2,"简直不能比。第一部胡巴既能卖萌，剧情由衷的感染人，看完眼眶有点跟着掉泪。而第二部全程尴尬烂！以下我的说点: 1.梁朝伟现在年纪大喜欢演喜剧了？仿佛在凹周星驰的喜剧效果，但是有点尴尬。配音就更严重出戏，以前的好感似乎在慢慢磨掉了。 2.胡巴吐个口水就知道它在干嘛了，...

                        ?(展开)",青年人电影协会,很差,90
15,捉妖记2,"这篇影评可能有剧透

                        不管是不是过渡，我觉得这2根本没必要，一个5分钟就可以说完的故事你偏要讲2小时！说来说去就一件事，反复嚼让人反胃！ 片中两条线。一条宋天师和他娘子正承受着与小胡巴分离的痛，其中不乏1中的梗，男人生孩子，胡巴吐口水。终于他们在天师府寻到了能找到胡巴的方法！ 另外一...

                        ?(展开)",叶不羞的嘲讽脸,还行,22
16,捉妖记2,"对于《捉妖记》，其实剧情薄弱这一问题已经显露无疑，而作为续作的《捉妖记2》并没有能去更为细腻的填充原有的世界架构，也没有能带来更为精彩的故事，电影只是在啃着原有的老本，彻底的将胡巴变成了只知卖萌的萌物，这使电影的时长虽然长达两个多小时，但只让人看到了导演做着...

                        ?(展开)",蝶衣,较差,46
17,捉妖记2,"《捉妖2》作为贺岁档，中规中矩，春春是最大亮点，又蛮又泼又娇又风情又专情令人惊艳，造型师该加俩鸡腿。 除此之外乏善可陈，一个字：“乱！” 天荫和小岚婚后CP感缺失，感觉还是生涩恋爱期而不是夫妻样，秀恩爱的地方全让人出戏。笨笨相当萌，梁朝伟没感觉到人物存在感，然而...

                        ?(展开)",萧秋水,还行,48
18,捉妖记2,"这篇影评可能有剧透

                        1.欠钱的时候叫我朱老板 ， 借钱的时候叫我小朱朱 在你心头 。我到底是哪个？ 2.还有一个问题 ，你要老实交代……错  。何时成亲 ？ 4.三个月钱不还清 ，小屠屠甘愿入赘给亲爱的小朱朱， 这可是你亲手签名的婚约， 而且上面还有你的唇印 。 5.钱我就不要了，日子我也算过了 ，...

                        ?(展开)",艾玛,还行,67
19,捉妖记2,"这篇影评可能有剧透

                        第二部比第一部可能动画成分更多了，感觉有点幼稚，适合小孩子看。 白百何的发型服装也是无力吐槽，经过一指禅，简直快无法直视他了。 李宇春的扮相很不错啊，哈哈，四川话也挺逗的，发型也好看，算是出人意料的惊喜了，娄艺潇的客串也不错嘛，希望爱情公寓继续拍。 男主的演技...

                        ?(展开)",墨里写繁花,还行,31
20,捉妖记2,"合格的爆米花电影，在春节看看还可以，平时应该达不到这么高的票房，但也没有很多评论说的那么差，感觉和唐探2质量差不多。好像大部分的电影都是2不如1,1的整体剧情还是不错的，2唯一继承了1的就是胡巴的可爱，但剧情实在是太弱了，看完以后一句话就可以叙述完这个故事，胡巴爸...

                        ?(展开)",kiki,还行,44
21,捉妖记2,"大年初一，就在大家窝在被窝里吃鸡抢红包的时候，我已经坐在电影院连看了三场春节档，提前了好几天用抢火车票的力气抢来的。三日票房30亿（截至目前），其中11亿就是《捉妖记2》，马云爸爸想着法子做活动凑五福给我们撒红包，而我们老百姓尽给胡巴这个小崽子送红包了。 《捉妖...

                        ?(展开)",嘚嘚嘚嘚嘚,较差,19
22,捉妖记2,"这篇影评可能有剧透

                        第一部和第二部都是以胡巴为主线，都是妖王想得到小妖王。 第一部看着胡巴觉得萌萌的，挺可爱的，最后，宋天阴却把胡巴凶走了，说人妖不能生活在一起。 第二部，又想把胡巴找回来，那第一部干嘛又把胡巴凶走呢！第二部又是以找胡巴为主线，就感觉剧情没新意，老旧思想，与第一...

                        ?(展开)",亦心,还行,27
23,捉妖记2,"开头的群妖乱舞有点尴尬，曾志伟和吴君这一部他们没有存在的必要，后面也没有戏份，开头的生硬搞笑就很多余。 全篇只有李宇春一个人说方言，语言是要有环境，才会存在共鸣的，大家都说方言，就会很滑稽很好笑，只有你一个人说，就会很智障。 男女主角的性格和第一部大相径庭，...

                        ?(展开)",小女子无以为报,还行,31
24,捉妖记2,"看了第一部就还挺喜欢的，所以还挺期待第二部的，看到了之后，感觉还是比较喜欢第一部吧。捉妖记2是讲述了天荫和小岚找回胡巴团聚一堂的合家欢故事，是一部搞笑的电影片，小胡巴很可爱，很喜欢它。很适合过年的时候和家人一起去看。其实电影里面的很多造型有点让人接受不了，不...

                        ?(展开)",沙与鸟,还行,45
25,捉妖记2,"这篇影评可能有剧透

                        纯吐槽捉妖记 有剧透 其实爆米花电影有剧透也无所谓 1.套路和第一部一模一样 ，真的一模一样！一个看似位高权重的大人物，就是一个伪装人类反派妖。采用的双线结构，一条线是井白夫妻俩先找爹再找儿子；另一条就是不学无数梁朝伟先想卖掉胡巴，然后相处中慢慢喜欢上它，卖掉之...

                        ?(展开)",棋落指尤凉,还行,7
26,捉妖记2,"电影内容有点乱，整部剧都很平淡，没有什么亮点，演员阵容挺大，有的演感觉和剧中人物不太塔，梁朝伟演的赌徒，感觉有点出戏，剧情笑点不少。 剧中只有胡巴依然可爱，重回永宁村的胡巴被妖王追杀，逃王时与赌徒屠四谷相识，和另外一小妖，之人相依为命，在清水镇生活，展回谷因...

                        ?(展开)",虹HongLi,还行,37
27,捉妖记2,"我没有想到捉妖记二是那么的难看。李宇春在里面的形象，我不知道是恶搞还是什么,里面的剧情，也非常的俗套。我都能猜到结局了。那个坏妖王的将军那么厉害，居然被轻而易举的打败了,果然应了那句，坏人死于话多。而且我好像看不到人和妖，共处的那种希望。感觉捉妖记还能出个345...

                        ?(展开)",莫失莫忘,较差,14
28,捉妖记2,"这篇影评可能有剧透

                        “妖”对人类来说，本身是一个很奇妙的存在，对我们有一种奇怪的刺激和神秘的吸引。学者刘仲宇在《中国精怪文化》一书中说过：“自从上古迄于近代，中国人的社会生活，没有哪个领域是不曾有过精怪介入的。”可见“妖气”弥漫之甚。说起来最近归来的大圣也是个妖物，只是后来得...

                        ?(展开)",特仑苏,力荐,24
