,影片名,评论内容,评论人,推荐星数,有用数
0,机器之血,"前两年，大哥《还没长大就老了》的自传，大聪认真拜读过，相信书中很多的惊心动魄的故事，打动了很多读者。 按理说，大哥戏也拍了这么多，岁数也到了打不动的年纪，自传也写了，大家能预想到的就是大哥受千万人崇敬，功成名退。 但大哥偏不这么做，在一次采访中，大哥说了，好...

                        ?(展开)",大聪看电影,较差,149
1,机器之血,"成龙大哥，从年头干架到年尾，年初在印度干土狼，年中跑到英国干恐怖分子，年底轮到在飞船上干生化人了。 干架力全宇宙最max，感觉全宇宙的反派，都不是成龙大哥的对手了。大哥，你这么拼，真的好吗？ 至于影片，就是那种标准的成龙大哥的商业动作片。整体看，动作场面还是值回...

                        ?(展开)",栗子,较差,55
2,机器之血,"看完这部电影有个想法，如果本片不叫《机器之血》的话，叫《警察故事2017》是完全可行的，成龙饰演的这个角色，完全就是老年版的陈家驹。 说句实在的，我是个成龙粉丝，熟悉我的朋友也常见我为成龙之前的作品撰文打call，是个连《绝地逃亡》这样相对平庸的成龙作品都觉得不错的...

                        ?(展开)",乌鸦火堂,还行,68
3,机器之血,"《机器之血》除了让成龙假模假样回到了《我是谁》那种国际范的巅峰时期动作打斗，真没劲啊！就像悉尼歌剧院顶上攀爬与晃悠绳子跳跃，单独拿出来可以让人望得目瞪口呆，但加入生化人、飞船、高科技等科幻元素，却拍成一锅不伦不类的大杂烩！尤其在最后的犹如超级赛亚人复活的即...

                        ?(展开)",蝶衣,还行,48
4,机器之血,"这两星都是看在是成龙大哥的片子份上打的，要是换个人简直是负分了?因为有“清醒一点”一直没看这片……果然看片还是需要再清醒一点。小猪一点不帅了全程搞笑担当，什么都不会还一直没被抓也是神奇。博士干嘛要救林sir女儿？救完后这种全世界仅此一枚的高科技不关地下十几层...

                        ?(展开)",顾羲,较差,27
5,机器之血,"披着科幻外衣的典型成龙式动作商业片，打戏很多很认真，大哥摔来摔去看着真的很痛。  可惜剧情不仅套路还弱智，想煽情又煽不动，每次刚有苗头就被欧阳娜娜哭腔的“爸爸”给扼杀了。 她讲英文台词还可以，一换到中文就跳戏，演的最好的一段就是她不说话面色惨白的躺着hhh  打戏...

                        ?(展开)",杨小妞儿,较差,47
6,机器之血,"昨天看到一个影评人的影评，标题是“成龙已经打了五十年了，欧阳辣辣你就放过他吧”，让我虎躯一震？这是把这电影的锅都丢给了欧阳娜娜，我想说你们这群中年老男人在看完整部电影，得出这个结论，良心不会痛么？ 机器之血当然不算什么上佳的作品，只能说故事完成度还是不错的。...

                        ?(展开)",静待花开,还行,63
7,机器之血,"单身狗看电影的好处就是，劳资只看自己想看的，你说《妖猫传》是好片是吧（我就不赶首映看），明知道《机器之血》是SHI是吧，我就吃我就吃。 好吧，言归正传，看完本片，一味想要吐槽成龙的朋友们，请大家还是手下留情……（虽然槽点真的多），不过明显大哥的这一部烂片之所以...

                        ?(展开)",胖小笛儿,还行,51
8,机器之血,"其实相对于成龙来说，已经拍过无数经典的动作影片，这部片子拍成这样我感觉已经很不错的。不管什么事物 ，不管什么样的人物也是一样，他们都会经历从发展，高潮，巅峰，回落的过程，成龙作为影响深远的一代动作巨星，在发挥他充分的价值之后，还能拍出这这么一部挺燃的还充满人...

                        ?(展开)",最美的时光,推荐,26
9,机器之血,"很少写评论，真的是忍无可忍。 都是些最老套的剧情结构，你不愿退休可以，但也不要那么功利， 吃自己的老本有很多种方法的大哥。 绝对逃亡一看就知道是收了旅游景点的钱拍的一部尴尬电影，现在又把老套剧情贴上科幻标签， 你当观众傻吗？ 联合出品人还有自己的仔，您干嘛啊？现...

                        ?(展开)",苍穹之莫,很差,5
