,影片名,评论内容,评论人,推荐星数,有用数
0,河东狮吼,对于豆瓣上6.5分的加权评分我不能认同，尽管这表示大多数人的想法。我认为一个好的爱情喜剧电影应当是引起共鸣或让人受之启发的电影，并且能将这个主旨贯彻始终，这部电影显然符合这个标准，不因电影的过分无厘头和低劣的制作水平为转移。所以这部电影无论豆瓣评分多低，但不改他在我心中的经典地位。,左宜右有42,力荐,487
1,河东狮吼,从现在开始你只许疼我一个，要宠我不许骗我，答应我的每一件事情都要做到，对我讲的每一句话都要真心，不许欺负我骂我，要相信我，别人欺负我你要在第一时间出来帮我，我开心呢你要陪着我开心，我不开心呢你就要哄我开心。永远觉得我是最漂亮的，梦里面也要见到我，在你的心里只有我。,沉歌,还行,439
2,河东狮吼,如果不是张柏芝的话，这将是一部非常烂的烂片~~,战国客,还行,314
3,河东狮吼,张柏芝其实不会演戏，她只是做自己就已经赚足我眼泪,yoyomygirl,推荐,292
4,河东狮吼,从现在开始，你只许疼我一个人，要宠我，不能骗我，答应我的每一件事都要做到，对我讲的每一句话都要真心，不许欺负我，骂我，要相信我，别人欺负我，你要第一时间出来帮我，我开心了，你就要陪着我开心，我不开心了，你就要哄我开心，永远都要觉得我最漂亮的，梦里也要见到我，在你的心里面只有我，就,眠去,还行,140
5,河东狮吼,从现在开始，你只许疼我一个人，要宠我，不能骗我，答应我的每一件事都要做到，对我讲的每一句话都要真心，不许欺负我，骂我，要相信我，别人欺负我，你要第一时间出来帮我，我开心了，你就要陪着我开心，我不开心了，你就要哄我开心，永远都要觉得我最漂亮的，梦里也要见到我，在你的心里面只有我,病気君,推荐,95
6,河东狮吼,曾经真的感动过我。,陈阿沫。,推荐,138
7,河东狮吼,出其意外的好。,时间的玫瑰1987,力荐,114
8,河东狮吼,无脑片还是好看 第一次tv看片这么幼弱的哭了,roucy猫与风太,力荐,51
9,河东狮吼,很搞笑啊，张对古说的那段很经典的话流传性很高，不错，看看挺好的,蓝下老婆,还行,34
10,河东狮吼,很经典，很好看,九尾黑猫,推荐,57
11,河东狮吼,当年的张柏芝是真美，太漂亮了。很喜欢这个电影，古天乐在里面好搞，一直记得他唱的魔性的歌曲。虽然是喜剧，但是后面真的很感动。,梦梦梦梦,力荐,24
12,河东狮吼,我們這些濕人生性浪漫，很多時候控制不住自己的。東坡兄你好野！,巽,还行,29
13,河东狮吼,标准男朋友或老公的守则:要宠我，不能骗我，答应我的每一件事情，你都要做到 ，对我讲的每一句话都要真心，不许骗我、骂我，要关心我，别人欺负我时，你要在第一时间出来帮我，我开心时，你要陪我开心 ，我不开心时，你要哄我开心，永远都要觉得我是最漂亮的 ，梦里你也要见到我，在你心里只有我。,爱情海,推荐,17
14,河东狮吼,莫名喜欢那时的张柏芝古天乐，片子还是很轻松搞笑的，还有点小感动！,蓝色啄木鸟,推荐,17
15,河东狮吼,帅哥+美女的组合，还是我喜欢的帅哥美女，必须好评，毕竟我一颜控，哈哈,?小宝贝?,力荐,15
16,河东狮吼,"挺好看的，张柏芝年轻时的颜真是无敌，记得这电影讲的是他和古天乐是一对夫妻，范冰冰在里面演公主，最后结局还是好的，她老公还是爱她。
印象最深的是她唱的那首歌:别像个小孩，带着一脸的无奈，找不到依赖，事到如今，我要离开。",大志的小耳朵,还行,5
17,河东狮吼,纯娱乐消遣的一部作品，当时柏芝的颜值真是没话说，靓！,元宝宝,还行,11
18,河东狮吼,"从现在开始 你只许疼我一个 要宠我不许骗我 答应我的每一件事情都要做到 对我讲的每一句话都要真心 不许欺负我骂我 要相信我 别人欺负我 你要在第一时间 出来帮我 我开心呢 你要陪着我开心 
我不开心呢 你就要哄我开心 永远觉得我是最漂亮的 梦里面也要见到我 在你的心里只有我",慕詩,推荐,6
19,河东狮吼,反正古天乐的颜值也能撑死一部电影，哈哈一乐就行了,铃儿响叮当,还行,10
20,河东狮吼,有人的地方就有麻烦。,Christian Dior,推荐,11
21,河东狮吼,经典，每次播都看,糖醋里脊,推荐,14
22,河东狮吼,"张柏芝的那段台词很经典：要宠我，不能骗我 

答应我的每一件事情，你都要做到 

对我讲的每一句话都要真心 

不许骗我、骂我，要关心我 

别人欺负我时，你要在第一时间出来帮我 

我开心时，你要陪我开心 

我不开心时，你要哄我开心 

永远都要觉得我是最漂亮的 

梦里你也要见到我，在你心里只有我。。。。。。",小4,推荐,1
23,河东狮吼,也算经典吧，记得那段经典台词。,爬山虎,推荐,8
24,河东狮吼,从现在开始 你只许疼我一个 要宠我不许骗我 答应我的每一件事情都要做到 对我讲的每一句话都要真心 不许欺负我骂我 要相信我 别人欺负我 你要在第一时间 出来帮我 我开心呢 你要陪着我开心 我不开心呢 你就要哄我开心 永远觉得我是最漂亮的 梦里面也要见到我 在你的心里只有我,白.茶,还行,1
25,河东狮吼,不喜欢古天乐就像不喜欢张柏芝一样..这也包括范冰冰..又是一部我讨厌的影星之集大成...,Dr.Young,很差,0
26,河东狮吼,从现在开始 你只许疼我一个 要宠我不许骗我 答应我的每一件事情都要做到 对我讲的每一句话都要真心 不许欺负我骂我 要相信我 别人欺负我 你要在第一时间 出来帮我 我开心呢你要陪着我开心 我不开心呢你就要哄我开心 永远觉得我是最漂亮的 梦里面也要见到我 在你的心里只有我……,咖啡泡肉松,还行,0
27,河东狮吼,三颗星全给那段台词：从现在开始，你只许疼我一个人，要宠我，不能骗我，答应我的每一件事都要做到，对我讲的每一句话都要真心，不许欺负我，骂我，要相信我，别人欺负我，你要第一时间出来帮我，我开心了，你就要陪着我开心，我不开心了，你就要哄我开心，永远都要觉得我最漂亮的，梦里也要见到我。,Charlene,还行,1
28,河东狮吼,那一大段的经典台词从当年盛世美颜的张柏芝嘴里说出来，我想应该绝大部分人都拒绝不了吧。,磕巴,推荐,22
29,河东狮吼,"真性情柏芝，里面那一长串话记得好清楚哦：
从现在开始 
你只许疼我一个 
要宠我不许骗我 
答应我的每一件事情都要做到 
对我讲的每一句话都要真心 
不许欺负我骂我 
要相信我 
别人欺负我 
你要在第一时间 
出来帮我 
我开心呢 
你要陪着我开心 
我不开心呢 
你就要哄我开心 
永远觉得我是最漂亮的 
梦里面也要见到我 
在你的心里只有我

一个人背两个人的债。。",泥鳅鳅,推荐,1
30,河东狮吼,我是一颗菠菜 菜菜菜菜...张柏芝的颜值巅峰,请你吃童话,还行,4
31,河东狮吼,张柏芝颜巅，蛮搞笑的,X,推荐,6
32,河东狮吼,从现在开始，我只疼你一个，宠你，不会骗你。答应你的每一件事情， 我都会做到； 对你讲的每一句话，都是真话。 不欺负你，不骂你，相信你。有人欺负你，我会第一时间出来帮你。 你开心的时候，我会陪着你开心； 你不开心，我也会哄得你开心。 永远觉得你最漂亮； 做梦，都会梦见你；在我的心,零,推荐,0
33,河东狮吼,笑点低的人在我眼里和白痴没什么两样,科林,很差,4
34,河东狮吼,中意啊。前半段搞笑忘情水之後動情。母老虎有什麽不好。百無一用是書生上狐狸精的鈎。做老公標準很簡單。只疼你一個，寵你一個，不騗你，答應你的每件事都做到，對你講的每句話都真心，不罵你，相信你，有人欺負你第一時間出來幫你，開心時陪你開心，不開心時哄你開心，做夢夢見你，心裏只有你。,vivien,推荐,0
35,河东狮吼,“从现在开始，你只许疼我一个人，要宠我，不能骗我，答应我的每一件事都要做到，对我讲得每一句话都要真心，不许欺负我，骂我，要相信我，别人欺负我，你要在第一时间出来帮我，我开心了，你就要陪着我开心，我不开心了，你就要哄我开心，永远都要觉得我是最漂亮的，梦里也要见到我，在你的心里面只有我，就是这样了。”,Lan~die,还行,0
