,影片名,评论内容,评论人,推荐星数,有用数
0,泡泡糖,"昨晚临睡前，看完了两集最新的韩剧——《泡泡糖》，原本是纯属无聊得来消遣之物，但没想到从第一集的第一幕开始，我就深陷其中。  深夜里的广播，有一群不爱回家的人，也有一群还在忙碌着加班加点的人。有人带着耳机独自听着寂寞电台，寻找着和自己志同道合的单身男女；有人在...

                        ?(展开)",Stefanie,力荐,138
1,泡泡糖,"和现实中很多男女一样，女主和男二相爱多年，但是在同家公司上班，必须假装不认识，偷偷的恋爱，又加上男朋友很忙，没有时间陪你，即使有男友也像没有男友，你难受他不在，感觉自己一个人是常态，只能与孤独做伴，所以女主和男二分手了，虽然刚开始是很痛苦，但女主没有和男二...

                        ?(展开)",烦烦,推荐,38
2,泡泡糖,"如果说幸儿跟男二的分手是累觉不爱，是“心若是伤透了再爱你也不能回头” 那么利焕和幸儿的这次分手是什么呢？真的是“太过痛苦的爱情希望不是爱情” 第十集的最后，两个人那么不舍那么心痛的逐渐远离，太虐心 “没办法只分手一半” 给你爱的同时、守护你的同时，也让你痛让你...

                        ?(展开)",誰也不欠,力荐,37
3,泡泡糖,"不满恋人对自己的忽视而分手的女主，爱着女主又没能表白而只能作为哥哥存在的男主，与生俱来被亲妈讨厌的隔辈遗传外貌的女二，一脸苦大仇深的男二，将自己全部希望寄托于儿子的单亲妈妈，脾气怪异的作家闺蜜，酗酒的同居好友，寄宿在员工值班室的部长大叔，44岁自恋又自卑三线...

                        ?(展开)",誰也不欠,力荐,26
4,泡泡糖,"虽不是‘哈韩’一族，却仗着如今业已而立，从祖宗剧《蓝色生死恋》和《对不起我爱你》到如今大热的《healer》《kill me hill me》等等，大抵韩式爱情剧，也看的七七八八了。   我的感官里，韩式爱情剧虽然高产，却大概也就分为几种，一种是‘谁敢比我惨’style，诸如这些年大...

                        ?(展开)",啦啦啦啦啦,力荐,32
5,泡泡糖,"这剧真是如上周看完前两集的感觉，慢慢的，不用心急看的那种，明明是周一周二的剧，却让我能留到周末再补，看的时候没有着急上火，看完也不急切盼望下一周。看着很舒服的剧。  看过前四集，思考比较多的是幸儿和男二这段感情，抱歉看了四集我仍没记住男二叫什么。好像太贴近现...

                        ?(展开)",誰也不欠,力荐,13
6,泡泡糖,"我最喜欢这部剧的地方？——大家都很正常（行为逻辑 / 动机）。  剧中的女二是一个富三代，土豪的程度大概就是可以随意在大街上把心仪的男子绑回家当压寨丈夫的那种。（我好羡慕...）按理来讲，这种家世的设定，剧情发展一般都是女二跑到女主跟前甩女主好多钱让女主滚蛋的那种...

                        ?(展开)",不姨妈的大白色,还行,8
7,泡泡糖,"这篇剧评可能有剧透

                        是冲着李东旭找到这部剧的，加上演对手戏的女主长得也挺舒服，剧照也都是暖洋洋的小清新气息，就毅然入坑。  看完感觉不是很喜欢主感情线的剧情，倒是喜欢上了一些旁枝末节的东西，比如女主播和“经纪人”小鲜肉啦，女二的哥哥啦……  主要是特别讨厌那种没在一起还暧昧不清、...

                        ?(展开)",sneeze,还行,5
8,泡泡糖,"这样舒服的爱情文艺片，竟然作为电视剧播放，真意外，还不错  故事很平淡、半快进状态看完后，竟然想再看多次，俊男美女、文艺范的氛围与剪辑是理由之一，还有对爱情的诠释角度 — 陪伴及共同成长表示喜欢，剧中的爱情平淡得如同白开水，与其说爱人，更像家人的感觉，这样，虽...

                        ?(展开)",小甘果,推荐,3
9,泡泡糖,"这篇剧评可能有剧透

                            我不知道怎样形容看《泡泡糖》的感觉，是我看电影看电视剧最想体会的一种感觉，很文艺、很舒服、很美好、很静止，且每一集都有一个动人的点触动我不自觉地流泪，很想跟着人物的情绪好好地放纵地宣泄一场（真心地大笑或大哭），是那种可以笑着流泪，很享受的凄美的感受。   ...

                        ?(展开)",Smile 玉,推荐,6
10,泡泡糖,"这篇剧评可能有剧透

                        主题是幸福的有简单主线的平静的群像剧，难得的青梅竹马在一起了，平凡没有恶意的富家女在相亲中一次次受挫但终于遇到一个可以聊天不用看时间的平凡男子，酩汀的中年男子在挽回着一个别扭的前女友，大龄的女明星和他的年轻后辈在努力的越过众人议论的目光相爱着，有抱负的中年...

                        ?(展开)",kdm,推荐,3
11,泡泡糖,"我认为，泡泡糖这部剧其实讲的是人与人之间心灵碰撞的故事。 首先是男女主之间的，这是电视剧的明线。我不明白的是为什么女主在小时候片段的戏里是霸道的，强势的感觉，但长大后反倒是软弱的，退缩的。他爸爸的死亡和听到阿姨在电话里说的话是导致她后来性格变化的原因吧。就像...

                        ?(展开)",yanmaicy,推荐,2
12,泡泡糖,"从一开始就知道肯定是个大团圆结局，所以看到11集，我竟然看不下去了。缓了一周，百无聊赖中又恢复了，虽然摸清泡沫剧套路的我已经准确猜到各种起承转合，但到了15集，在每个甜到发腻的镜头出现时，我都莫名其妙地期待着隐藏的悲剧会发生。可是（这样转折好像不大好）他们还是...

                        ?(展开)",Dear Aileen,还行,
13,泡泡糖,"这篇剧评可能有剧透

                        刚看了两集，很温暖细腻了，好多打动人的小细节来记录一发。 为了这个剧还第一次充了视频网站会员的我... 第一集： 1??手镯花絮，妈妈的手镯就是lihuan从妈妈那里偷来送给幸儿的啊 2??lihuan妈妈告诉幸儿离自己儿子远一点的时候，幸儿的演技啊，那么努力的笑，笑的...

                        ?(展开)",Mere,力荐,
14,泡泡糖,"剧荒，看到该剧海报清新，特别是评论中有那么多溢美之词。         坚持到第四集超级无敌想弃。我能忍受剧情慢，也能忍受平淡无奇细水长流的日常，但是真的没办法忍受编剧对人设沉重心理的过分解读。父母早早去世，母亲强势阻拦，误会分手，妻子出轨离婚……剧中的人物似乎都有...

                        ?(展开)",风筝,还行,
15,泡泡糖,"好久没认认真真看完一部韩剧，专门找资源看这部剧是因为觉得剧情简介很对我胃口，而事实证明这确是一部小众却十分精彩的剧。非常非常喜欢这部剧，讲的是秋天的故事，但是在春天看也刚刚好。 反正我觉得剧中的一切都是很美好的。 剧情很甜很轻松，很舒服的感觉，但是即使这样，...

                        ?(展开)",Lemonas Mo,力荐,
16,泡泡糖,"好想怒打五星，觉得短评会写不下过多的废话，在二刷吴海英时候发现配音的画面是这部剧，以为制作团队是差不多的，百度一下编剧和导演又并不是，自以为两剧是有相似之处的，关于幸福家庭的成人童话，总觉得海英的家，和杏儿虽然不一样，但却有着相似的气息。大概幸福的样子在自...

                        ?(展开)",瑞瑞,推荐,1
17,泡泡糖,"看了好多剧评，节奏太慢是这个剧最大的硬伤了，因此也有很多人给打了两三星的分，我也不止一次地想要弃掉这个剧，却又忍不住一点一点得把它看完。这部剧太真实了，就好像在叙述着我们身边人的事，好像他们就是我们的朋友，这就是发生在我们身边的事。家长里短万事琐碎充斥着他...

                        ?(展开)",嗯你听我说,推荐,1
