,影片名,评论内容,评论人,推荐星数,有用数
0,燃烧,"不散特邀作者 | LORENZO 戛纳又一部爆款诞生了！李沧东时隔八年的新作《燃烧》，以3.8分创造了场刊历史最高分！Indiewire，《卫报》，《综艺》纷纷献上四星以上的高分，甚至有外国媒体直接在推特上说，“如果这部电影不拿大奖，那么评委们都瞎了”。《燃烧》着实在戛纳点燃了一...

                        ?(展开)",不散,力荐,87
1,燃烧,"这篇文章刊载在《燃烧》发行公司提供给记者的报道资料。 吴正美编剧与李沧东的对话已经对于电影做出了充分的解释。无论在观影前还是观影后，这篇文章都会对观影提供帮助。所以在工作之余进行了翻译。 《寻求生存意义的舞-与李沧东导演的简短对话》 吴正美（音译） 2010年，我在...

                        ?(展开)",L_SHEEP,推荐,42
2,燃烧,"上学的时候曾经读过原著《烧仓房》，小说中只有三个人物，分别以“我”、“他”、“她”来指代，在电影之即分别对应了钟秀、惠美、本三人。在电影中通篇也都是围绕这三个人物展开，虽然人物少，但每一个人物的痛苦与困境都进行了足够充分的刻画，同时又给观众留出了一定的想象...

                        ?(展开)",大脸萌猫,推荐,47
3,燃烧,"这篇影评可能有剧透

                        首尔的雨下了两天了。戛纳也在下。 在忠武路看完《燃烧》，心情就像首尔的天气，停不下来的暴雨倾盆。我从忠武路坐地铁，到高速巴士站换乘，经过三站回到家，或者说冲回到家。我记得很清楚，这条平常上课坐了很多遍的地铁线。在这个夜晚缩短了很多。一路心情随着电影的余味燃烧...

                        ?(展开)",进站的1994列车,力荐,33
4,燃烧,"这篇影评可能有剧透

                        该剧讲述了在一次送货的过程中，年轻的邮差钟秀被正在人行道上做促销活动的惠美所散发的魅力所吸引，这个年轻女孩之前曾住在与他相同的街区。在前往非洲旅行之前，她请求钟秀照顾她的猫咪。旅行回来后，惠美向他介绍了本，一个她在旅途上认识的神秘男人，这部如黑豹一样流畅的...

                        ?(展开)",毛毛虫,推荐,35
5,燃烧,"当地时间5月16日，韩国导演李沧东的新作《燃烧》在戛纳电影节首映，这是他继《诗》之后沉寂八年打磨的作品，此次也是他在《密阳》和《诗》之后第三次角逐金棕榈大奖。 《燃烧》改编自村上春树短篇小说《烧仓房》，在一次送货的过程中，年轻的邮差钟秀（刘亚仁饰）偶然间与惠美...

                        ?(展开)",电影大爆炸,推荐,18
6,燃烧,"导演我都没有了解清楚，简单说下演员，刘亚仁在韩国的明星里是让我演技入粉的唯一85后男演员，对比一下国内85后小生，这要让人哭泣，人家都要去争取戛纳影帝了，我们国内小生有几个开始刷主流奖项的啊！以电影论，韩国电影的发展真的是要超越中国很多啊！想当初看请回答1988，...

                        ?(展开)",佛系观影,力荐,20
7,燃烧,"#Burning##刘亚仁# 又回想了一下电影写了关于自己对电影的看法 分析一下三个人物 Ben是典型的纨绔子弟，家庭有人每天吃喝玩乐可以享受舒适的生活，但看似完美的生活对于他来说似乎没有乐趣所以烧仓房成为他的兴趣，就是说太舒适安稳的生活不合适他了不正当的事情才让他生活有趣...

                        ?(展开)",fleuret,推荐,14
8,燃烧,"今天在首尔住家附近看了这部电影，其中对于几个细节的地方想发表下自己的看法。 首先这部电影改编自村上春树的短篇小说《烧仓房》。之前没看过，看完电影后马上看了。和电影的脉络大致一致，只是刘亚仁饰演的男主人公角色做了很大调整：原作是一个已婚男人，年纪应该是比女主大...

                        ?(展开)",巫婆公主,力荐,10
9,燃烧,"李沧东导演在前段日子的媒体见面会上对于《烧烧》一直强调的只有“神秘”两字，再无更多透露。看完发布会，我一直在思考息影八年的李沧东这一次究竟会变化些什么？会不会是铤而走险的对固有风格的颠覆呢？重读烧仓房后，我认为答案很大可能是否的。 一、边缘化的人物          ...

                        ?(展开)",黄摸鱼,推荐,14
10,燃烧,"《燃烧》翻拍自村上春树的短片小说《烧仓房》。但李沧东在情节上做出很大的改编，登场人物的职业和性格都有变化。 读过原著《烧仓房》，小说中只有三个人物，分别以“我”、“他”、“她”来指代，在电影之即分别对应了钟秀、惠美、本三人。在电影中通篇也都是围绕这三个人物展...

                        ?(展开)",一生一个你,推荐,18
11,燃烧,"太多false idol... 太多mystery... 李沧东在《密阳》之后痴迷于关注人类如何解释现实对之呈现的意义。 村上的小说聚焦于富家子弟燃烧的仓房，而李沧东则在电影中展示了主人公烧掉自己心中仓房的过程。 无法从错乱的现实中寻找到得当的意义来自我建设，结果只好软弱无力地把伪神...

                        ?(展开)",喬,推荐,
12,燃烧,"时隔八年，继成功的文艺电影《诗》之后，李沧东导演带着让影迷们期待已久的第六部电影《燃烧》，回归了戛纳电影节的主竞赛单元。本片改编自村上春树的短评小说《烧仓房》，充斥了符号化的描述。影片里贯穿了一个秘密事件，随着剧情张力的逐渐积累，主角们也是越陷越深，最终，...

                        ?(展开)",甄甏甏,力荐,2
13,燃烧,"这篇影评可能有剧透

                        本文原载“桃桃淘电影”微信公众号。 没有严重剧透。 今年可以说是戛纳电影节的“大年”了，佳作频出，前方传回的场刊分数和评价每天都在刷新影迷的期待值。特别是李沧东导演的《燃烧》，获得了戛纳场刊有史以来的最高分：3.8。（满分4） 算上时差，《燃烧》在韩国的首映时间只...

                        ?(展开)",乔麦,力荐,4
14,燃烧,"电影氛围很好 因为是打破戛纳记录的电影 第一时间就去看了 可是电影里有辱华片段 看起来有点气 看完之后觉得有些瘆人 总体来讲电影拍的很好 标准的冲奖电影 电影节的天菜 但对于一般观众 比如我 来说 觉得更适合在家抱着电脑看 女主角一定会火的 演技真的很好 自然流畅 收放自...

                        ?(展开)",国服第一难带,推荐,
15,燃烧,"戛纳电影节还在如火如荼的进行当中，除了每年必扒的红毯亮点，参评作品也值得关注。 毕竟，这才是电影节的意义所在。 于是，这部韩国电影就成功引起了小编的注意。 《燃烧》，李沧东导演作品，昨日在韩国上映之后就收获了超五万的首映票房，排在当日票房榜的第二位。这部影片，...

                        ?(展开)",鹿笙,推荐,1
