,影片名,评论内容,评论人,推荐星数,有用数
0,真爱的谎言之破冰者,"冲着男主去追剧，罗晋在剧中饰演的靳远铮铮铁骨，外形魅力值爆表，演技颜值双在线，没有让我失望。他饰演的靳远，有着大好前程，却加入了贩毒团伙，成为了贩毒头子坤叔的心腹。专门利用拍卖交易为贩毒集团洗钱。可怕不？揪心不？纵然是心腹，却也时时刻刻要接受毒贩的考验，同...

                        ?(展开)",爱吃猫的鱼?,还行,68
1,真爱的谎言之破冰者,"这篇剧评可能有剧透

                        《真爱的谎言之破冰者》今晚我陪着母上大人看完了。整个剧感觉剧情还算紧凑，戏剧冲突倒是挺强，男主靳远跟女主、坤叔、警方等各条线的冲突。但故事情节有点尴尬，还有许多bug。还有就是女主的人设太过脑残了，虽然是为了推动剧情发展但也不至于写得这么智障吧，很多次女主犯二...

                        ?(展开)",敏莉Lily,较差,46
2,真爱的谎言之破冰者,"文艺来源于生活，影视作品的内容首先应该是基本真实，一帮烂人又拍了一部烂片，与抗日神剧有一比。一部刑侦缉毒片，连警察都看不下去了，还会是好剧吗？剧情巧合太多，不和逻辑，很大程度上脱离实际，该剧是披着缉毒剧外衣的言情剧，缉毒只是附带的。对男女主的设定也是偶像剧...

                        ?(展开)",花吖,很差,38
3,真爱的谎言之破冰者,"打开电视，一股尴尬的气息扑面而来，不会再为这剧贡献收视率了。脑残人设的女主无敌，男主在尴尬剧情的衬托上也尴尬无比。题材是好题材，但抵不住打着缉毒的幌子你侬我侬啊，简直就是浪费金钱资源，侮辱观众智商，就连剧作名也是如此之尬。女主的演技有待提高，除了瞪眼还是瞪...

                        ?(展开)",人间四月是芳菲,较差,48
4,真爱的谎言之破冰者,"我是一集不落完整看完的，我喜欢看这种卧底缉毒题材的电视剧，导演班底还不错，演员演技也在线，但是其中有些剧情确实有点说不过去，男主帅，女主美，两人演员把角色诠释的很好，最起码我是入戏了。尽管刚开始看觉得有的情节不合理，但瑕不掩瑜，剧情越来越紧张，人物表演也很...

                        ?(展开)",甜甜一笑,推荐,36
5,真爱的谎言之破冰者,"前期的男主挺不错的。但看到一半就觉得女主很好，虽然恋爱脑但三观很正，正义感十足，非常有活力，这么叽叽喳喳的角色被女主演绎得难得的不讨人厌，还有点讨喜，颠覆了我以往对她的印象，这种算是可见好人设的重要性了。 这剧在现代剧里面的尺度还是挺大的，但可惜的是里面很多...

                        ?(展开)",小甜橘,还行,5
6,真爱的谎言之破冰者,"这个剧的剧名——《真爱的谎言之破冰者》，融合了真爱、谎言和破冰，可见片方很想在一个片名里反映一切元素，恭喜你们，做到了。 但是这个剧名真的很赶客……不知所云 剧情就是做卧底的男主之前因为巴拉巴拉的原因离开了女主，然后他重新出现在女主的生活，俩个人一起打击毒品...

                        ?(展开)",石榴一朵,较差,12
7,真爱的谎言之破冰者,"这篇剧评可能有剧透

                        从开头就知道靳远是卧底(男主怎么能是坏人呢，嫌弃脸)，女主瞪眼派演法也是……编剧啊，咱不能不套路吗，就来一次靳远就是因为家庭变故什么的七年来彻彻底底的成了毒贩，然后越陷越深，做了老大(千万不要之后为了爱情改邪归正哈，烂俗)，然后女主婚后历经挣扎最后因为爱情选择...

                        ?(展开)",淡紫色,较差,5
8,真爱的谎言之破冰者,"这篇剧评可能有剧透

                        1、少阳的人设 一开始出场是个屌屌的少年，会打架，爱远哥，是个很好的人设，后来被陷害染毒，突然变得无时无刻的怂，不论是毒瘾犯还是正常时候，好像从未意气风发过，人设完全倒塌，期待他跟毒品抗争，或者在远哥跟毒贩之间周旋的场面也是没有出现。 2、没有密码的开屏 女主被...

                        ?(展开)",相看不厌敬亭山,还行,6
9,真爱的谎言之破冰者,"评论里都在说小说内容不同，亏我还花了钱去看，完全是上当！明明小说也是渣的，且不说有手机开屏，房门开锁这些bug明晃晃的都在，就算大逻辑都不通。坤叔作为一个毒贩为了试探靳远，把毒品寄给谭逗逗，那么我们去推论结果，如果靳远真是卧底，故事勉强说得通，如果靳远不是卧底...

                        ?(展开)",榴莲米饭,较差,8
10,真爱的谎言之破冰者,"《真爱的谎言之破冰者》作为看惯了逻辑非常严谨的美剧观众来说其实非常灾难。因为到处都是bug，其实没有一部剧逻辑严谨到没有bug，前几天看了一部关于霸道总裁契约妻的电视剧，作为生活剧都是一堆bug，何况是涉及多方面顾虑的缉毒题材呢？ 我觉得缉毒题材首先最大一个前提就是...

                        ?(展开)",浪迹天涯,力荐,18
