,影片名,评论内容,评论人,推荐星数,有用数
0,神雕侠侣,"1、《故乡的原风景》   http://www.tudou.com/programs/view/kwecFZ3kvMs/   耳熟能想、脍炙人口！    2、《西天取经路遥迢》   http://www.tudou.com/programs/view/Cs-DIUUWHm4/       3、《妙音鸟》   http://www.tudou.com/programs/view/KZtn4asF0qI/   不敢确定⒐⒌神雕...

                        ?(展开)",[已注销],力荐,495
1,神雕侠侣,"我站在襄阳城楼上，望着底下洪水般涌入城门的蒙古大军，不禁凄然一笑：我知道，这座被坚守了数十载春秋的城池，终于结束了它固若金汤的神话。     再长久的坚持，也终会有疲倦的一天。       恍惚中我看到了我的师姐，这世间我所见过最聪明智慧的女子。她的一生，不是在刀...

                        ?(展开)",紅豆生南京,推荐,473
2,神雕侠侣,"在豆瓣看到很多次的照片，本不以为意，有一个注释却吸引了我：杨过与小龙女在时隔16年后的阴历3月终于重逢，而戏外，2011年的阴历3月同样是16年后，古天乐和李若彤在飞往云南的飞机上相遇。  古天乐对李若彤说的第一句话竟然是‘姑姑’！说完连他自己都惊讶，竟然已经有1...

                        ?(展开)",菱夏,力荐,403
3,神雕侠侣,"很久以前写的，博大家一笑     闲来无事，趁着四月香港金像的揭晓，我也来凑个趣，弄个本人眼中的各版神雕的金像奖评选。（一家之言，偏心莫怪）  　　参选剧集：83版 刘德华 陈玉莲主演  　　 84版 孟飞 潘迎紫主演  　　 95版 古天乐 李若彤主演  　　 98版 任贤齐 吴倩莲...

                        ?(展开)",棠棠,力荐,117
4,神雕侠侣,"最经典版本的金庸武侠剧，没有之一。古天乐跟李若彤简直演的太完美，当然那时候的古天乐还是白古。古天乐把杨过演绎的有血有魂，忘不了他的轻狂，更忘不了他的痴情。李若彤的小龙女，一出场更是不食人间烟火的惊艳。难忘她的一袭素妆，亦难忘她的脱俗。还有一见杨过误终身的小...

                        ?(展开)",品茗听雨轩,力荐,101
5,神雕侠侣,"记得有一次在长江的江滩上游玩时，突然听到了那段音乐，我立即想起是古天乐版《神雕侠侣》的配乐，站在江边听着那种音乐，有一种淡淡忧伤的感觉，原来这段音乐就是、《故乡的原风景》。 剧中的配乐很好听。本人搜集了一下。  1、《昔情难追》来源《东邪西毒》电影原声音乐 神雕...

                        ?(展开)",woaini@浮尘,推荐,81
6,神雕侠侣,"无聊去看了2014版的神雕侠侣emmmmmmmm这么特立独行活泼的小龙女真是实在让人有点emmmmmm果断又开了最喜欢的这个版本来洗洗眼！果然古天乐和李若彤版的杨过和小龙女才是最符合形象的，也是看着最养眼的一对，可以说是最喜欢的一堆荧屏CP，也是最经典的一版神雕侠侣。听说他们俩...

                        ?(展开)",gin桑妈,力荐,42
7,神雕侠侣,"当我的家庭还可以算上是资本家的年代，长辈们对我的教育投资是不遗余力的，但是他们并没有懂得繁华不可久恃的道理，毅然将我送进万恶的私立外国语学校苦读达十年之久。如果这个世界上真的有一种东西叫时光机器的话，我一定要回到那个时候，告诉他们 ，爷爷，奶奶，爸爸，妈妈，...

                        ?(展开)",卫阶,力荐,79
8,神雕侠侣,"如果我喜欢上了一个电视剧里的人，那么我一定会说，那个人叫杨过。 如果我念念不忘一个电视剧里的人，那么那个人一定是杨过。 如果给一次机会去见一个电视剧里的人，那么那个人一定是杨过。 人们说一见杨过误终身，我却要说，一见杨过，人生圆满。 有些人我们只能用来崇拜，用...

                        ?(展开)",黑色素乀^乀,力荐,37
9,神雕侠侣,"这篇剧评可能有剧透

                        《95版电视剧神雕侠侣》若重温，必因小龙女。若不再看，只因黄蓉！！且不说剧中黄蓉的戏份竟是小龙女的几倍。作为射雕的二部曲，黄蓉再不是当年聪颖智慧的蓉儿了，反而成了自私自利自作聪明的中年妖妇，剧中人物没有第二个比她更恶心。可以说，杨过与小龙女的凄惨都是她一手缔...

                        ?(展开)",逆风飞飏,推荐,80
10,神雕侠侣,"“一见杨过误终身”在我心中准确来说是“一见白古误终身”。一身褴褛却掩盖不了他的容貌，长身玉立、君子如玉等一切美好词语形容都不过分。风流而不下流、痴情而不浪情，难怪先有陆无双、陆英、公孙绿萼等人 后有郭襄对他一见钟情甚至终生不嫁。     而姑姑一身白衣一出场如画...

                        ?(展开)",御剑乘风,力荐,36
