,影片名,评论内容,评论人,推荐星数,有用数
0,穿越时空的爱恋,"如果硬是要挑毛病，那大概就是……没有表达很正统的意义深刻的教育思想？  据说徐峥当年拍这部剧的时候根本摸不着头脑？哈哈！毕竟是大陆第一部穿越剧啊，那时候估计还不知穿越为何物吧！  到现在穿越剧已经有很多了，但是我只喜欢这一部，为什么？很简单，最重要的一个原因，...

                        ?(展开)",诸葛武侯,力荐,300
1,穿越时空的爱恋,"这篇剧评可能有剧透

                        这是我看过的第一部穿越电视剧，这个时候的徐峥还是英俊帅气的朱允炆，还不是后来胖乎乎的猪哥哥……那是我第一次知道明朝这段历史，知道朱允炆朱棣这两个名字。对剧情的记忆都已经模糊了，但对一些细节却记忆尤新。杀人不眨眼的朱元璋其实是个老小孩儿，经常抱着水晶瓶哭，他...

                        ?(展开)",脱发达人一腿毛,力荐,56
2,穿越时空的爱恋,"季淑妃，是她的封号。是她的名分，淑，意为贤良淑德。她是朱棣的正室，是王妃。她没有名字，只有封号，季淑妃。她爱着朱棣，她不是想巩固正室的位置，她只是爱朱棣。她并不淑德，她手段激烈，泼辣，她不想朱棣的心被别人抢走。可是她的丈夫是朱棣，不是房玄龄，房玄龄怕老婆，...

                        ?(展开)",大脸猫咪爱吃鱼,推荐,34
3,穿越时空的爱恋,"这部剧的关于朱允炆的结局是我最喜欢的一个说法 既然关于朱允炆的结局是个谜 那在各种推断里面 他乔装成和尚 逃出宫外 从此与世隔绝  至少 我不喜欢想象成 被自己的四皇叔烧死在紫禁城 烧死在自己只坐了四年的皇座 这些 都是有关 我最最喜欢的一段历史时期 我最最欣赏的朱元璋 ...

                        ?(展开)",[已注销],力荐,77
4,穿越时空的爱恋,"这篇剧评可能有剧透

                        《穿越时空的爱恋》是大陆第一部穿越剧，该剧融合了言情、偶像、现代、古装及搞笑等多种元素，情节诙谐幽默又不失温馨。张庭和徐峥在剧中的对手戏也相当精彩，古灵精怪的小玩子，一直默默包容她的朱允文，最终无法改变的历史，都让人唏嘘不已，只能寄托于故事最后一幕，希望他...

                        ?(展开)",吉静,力荐,30
5,穿越时空的爱恋,"小玩子（张庭 饰）潜入香港会展中心企图偷窃一件名为""游梦仙枕""的文物，被香港女警张楚楚（刘莉莉 饰）撞破，二人打斗过程中正值百年才有一次的天文奇观——十三颗行星在子时排成一条直线，就在那一刹那二人凭空消失了。等再次醒来，小玩子已经到了几百年前明朝的皇宫，另一边...

                        ?(展开)",青年人电影协会,力荐,39
6,穿越时空的爱恋,"这篇剧评可能有剧透

                        因为这部剧年代久远，再加上看的时候懵懵懂懂，不懂什么穿越啥的。 虽然这部剧比较久远的，但是现在剧中的很多情节至今还是记得，一直以来偏爱冷清的主演，所以燕王和女护卫的感情记得尤为深刻，在回去的那一刻，她选择放弃，而留在燕王身边，我是真的很佩服她，但愿他不负她的...

                        ?(展开)",海米,推荐,39
7,穿越时空的爱恋,"盗贼和女警察一次意外穿越回明朝，这应该我看的第一部穿越题材那时候还蛮新鲜的感觉。好玩好闹的飞贼小玩子被朱允炆当做仙子顺利留了下来，而一本正经的警察楚楚则昏迷被酷似现代男朋友的朱棣带走。    奇思妙想古灵精怪的小玩子把现代的新鲜玩意带到了皇宫逗乐了老皇帝，而楚...

                        ?(展开)",御剑乘风,力荐,25
8,穿越时空的爱恋,"‘我知道在你的眼中我不是个值得深爱的男子，至少不值得你来深爱。我怯懦，我没有志气，我一无所有。我不知道除了你之外，我还会不会再爱上别人，因为不管是心也好还是情也罢，我已经给了你，我就不会再给另外一个人。’  怎么能不被他感动。 虽然，很多人都说感动只是感动，感...

                        ?(展开)",喜福,推荐,58
9,穿越时空的爱恋,"这篇剧评可能有剧透

                        最近也重温了一遍穿越时空的爱恋，很喜欢无柳，对朱棣的深情，又那么独立能干，终于在看到小玩子和允文的经历后决心抛下一切与朱棣相守，不负如来不负卿；喜欢楚楚的机智和勇敢，轻松破了仙鸭店的冤案，可以低调得没人认出她。 也很喜欢小玩子，这个古灵精怪的二十一世纪神偷，...

                        ?(展开)",爱吃馒头的宝宝,力荐,23
