,影片名,评论内容,评论人,推荐星数,有用数
0,结爱·千岁大人的初恋,"这篇剧评可能有剧透

                        又名《都是""傻白甜""为什么关皮皮就招人喜欢》 看完结爱前八集，很多嫌弃女主傻、作、笨的评论，心下郁结，决定为皮皮""平反""。 许多人说是因为宋茜演得可爱所以关皮皮才不讨厌。我不同意这个观点，宋茜固然值得肯定，但关皮皮并非一无是处。 ①向得理不饶人say NO? 结爱第二...

                        ?(展开)",猪嘻嘻,推荐,923
1,结爱·千岁大人的初恋,"讲真的，我还是前年看的作者的这篇文，我记得当时我看第一部异客逢欢的时候就觉得贺兰静霆这只不对这位狐狸好深情，我对狐狸的印象还一直停留在聊斋里魅惑女子，没想到在作者笔下的男狐狸这么深情，真的是生生世世只爱一人，各种轮回各种寻找，那么痴情我觉得好难得啊。 尤其是...

                        ?(展开)",Giroro,推荐,486
2,结爱·千岁大人的初恋,"这篇剧评可能有剧透

                        《结爱》圆了7年的一个梦 我是2011年看到的施大的《结爱》，当时正当失恋，急需转移注意力。以前总有人对我说，看《沥川》吧，那是施大的代表作。看了《结爱》才知道那是施大的代表作。因为在那里面倾注了更多的心血，记录了那段只属于关皮皮和贺兰的独家记忆。 失恋的冬天很冷...

                        ?(展开)",小哲哲1980,力荐,168
3,结爱·千岁大人的初恋,"比起小说，剧里的人物更有人性了，他们或者更宽容，或者更执着，起码再不是兽与人之间的鸿沟，更懂得如何知道爱与被爱，如何付出。还有作为偶像奇幻剧，导演给出了所有该剧种最高配，故事线路、画面、男主高颜值，看得出导演不留余地都抓住了，而且很“不怀好意”地下了猛料，...

                        ?(展开)",一个瓜子壳,推荐,79
4,结爱·千岁大人的初恋,"这篇剧评可能有剧透

                        小慧颜和小贺兰的初次见面是在两人婚房 两人很可爱了，贺兰从背后叫慧颜，然后把头巾往下拉了拉，贺兰不小心拉掉了头巾。嗯！小慧颜很局促呀！（小妹妹的情绪管理的很好，好喜欢这个小妹妹呀）两人开始了互动。撩人的土味情话来了： 小慧颜：我奇丑无比 贺兰：我不相信你很丑，...

                        ?(展开)",志评,推荐,127
5,结爱·千岁大人的初恋,"今天偶然看到《结爱．千岁大人的初恋》的一个小片段，立刻被深深地打动了。男主的画外音：慧颜，你知道吗？因为你，我可以在晚上看到这个世界了，我会一直寻找你，陪伴你，等着我。听着男主深情而哀伤的声音，瞬间眼泪就流下来了。这是一种怎样的深情不悔的感情？男主与他的恋...

                        ?(展开)",宁玉溪,力荐,36
6,结爱·千岁大人的初恋,"这篇剧评可能有剧透

                        其实关皮皮的人设不太讨喜啊，面对自己和男朋友之间的差距越来越大，不想着通过努力去缩短距离，反而只是自怨自艾…… 说实话，一个实习生不努力工作给上司留个好印象，还任性的请假?还有就是还伸手找找父母要钱给男朋友买礼物? 不过我觉得电视剧剧情还行吧，就是感觉时不时的...

                        ?(展开)",叶子的眼睛,还行,68
7,结爱·千岁大人的初恋,"看了八集，被这位不懂人间俗事的千年狐狸感动了，这八集给我印象最深的就是贺兰那句""我此生都没有骗过你""。骗不骗听起来很简单吧 但是做到太难了。 贺兰他 说是富可敌国也不为过，身份地位都不逊于任何人间的男子，狐狸的模样更是衬得他妖媚绝美，他对自己爱的人却只承诺过""我...

                        ?(展开)",Narcissus,力荐,69
8,结爱·千岁大人的初恋,"这篇剧评可能有剧透

                        很久没看玄幻剧了，一口气看了好几集居然有停不下来的节奏！陈正道导演果然是实力派，小女主太有灵气了，这样的慧颜值得贺兰找寻近千年啊，各个配角都很出彩，女主闺蜜的心路历程铺垫得很好，女主那个高傲的同事演技也挺好的，让人讨厌不起来，连拍卖那一场的关汉卿后代，演技...

                        ?(展开)",铃儿响叮当,力荐,107
9,结爱·千岁大人的初恋,"这篇剧评可能有剧透

                        “我此生都没有骗过你”。阿西，我想偷你的媚珠。电视剧拍出电影质感。剧情流畅，细节精致，表现手法细腻，人物性格饱满。没看过这么好看的偶像剧。不，是喜剧，大晚上的我都快笑岔气了哈哈哈。最后，我被阿西苏爆了。 阿西这个角色太有意思了，有意思在他很多面，随着剧情的深...

                        ?(展开)",蒋焱焱,力荐,96
