,影片名,评论内容,评论人,推荐星数,有用数
0,致命之吻,"山崎贤人终于走出纯爱剧，不再给女主角配戏，自己主演电视剧，演花心牛郎。为了给多年前操作失误，引起海难的爸爸归还巨额赔偿金（这是什么强盗逻辑？船出事故船长要赔三个亿？），成为头牌，勾搭各色富婆，获得财物，颜值情商双高，撩妹手段娴熟，一心指望娶富家女翻身，是个...

                        ?(展开)",sunnyjaja,推荐,84
1,致命之吻,"很养眼的组合，翩翩公子，富家千金，顶级配置，说了一个不落俗套，但也不俗套的故事！ 欺骗，也许能得到一时的利益，也许能达到一些目的，但是在生活中还是真诚更多，你不经历过什么，你永远不知道一些事一些情一些人，就像你虽然活了很大年纪，但是你也许只是一张白纸，没有太...

                        ?(展开)",三只兔子,推荐,47
2,致命之吻,"刚看第一集的一大半，我就纳了闷了，男主既然爱财的话，那在知道自己穿越回去的时候不是应该去看各种彩票赌博结果，之后大赚一笔吗？你说那又不是你的100亿，你要就算勾搭上人妹子，人也不会把家族所有钱都给你，男主啊，你这智商……还能活这么大，还能套女人的钱，哈哈哈，难...

                        ?(展开)",るろうに決心,推荐,70
3,致命之吻,"这篇剧评可能有剧透

                        说实话好久没有看过颜值这么高的日剧了，以往的日记总有一种看得人抓狂的感觉。 说实话男主是真的很渣，也很帅。不过后面剧情一出来，男主印证了一句话，可怜之人必有可恨之处。男主的生事很是可怜，可是玩爱情游戏的男主也的确很渣。其实我没有看明白男主最后是学会爱了还是没...

                        ?(展开)",叶子的眼睛,力荐,44
4,致命之吻,"这篇剧评可能有剧透

                        收视推移：7.4_6.5_7.1_6.7_7.3_5.9_7.3_6.5_7.1_7.5 Ep10 7.5 贤人和苏打真亲了，哈哈哈哈哈······· 亲一次不够，还分两次亲。 亲前有准备动作，准备动作还浮夸得不能再浮夸。 然后，抱着就啃！ 太激烈了，这是开播以来最激烈的吻吧，由两兄弟完成的，哈哈哈哈~ 本来还...

                        ?(展开)",倪可倪可sue,力荐,79
5,致命之吻,"欧尼酱八九話の淚 一共三次 对妹妹抱着得不到的爱 扭曲的爱 寂寞的爱 爆发力只在一瞬 水汪汪的大眼睛霎时充满泪水 眼泪像掉落在脸上断线的珍珠 委屈又令人心痛 欧尼酱是除了旺太郎外全剧第二个悲剧性的人物 就算所有的路都是自己选择的 但欧尼酱只是想保护妹妹而已啊…… “呐 ...

                        ?(展开)",丧脸女孩,推荐,17
6,致命之吻,"这篇剧评可能有剧透

                        旺太郎是个人渣，这点我绝对不反驳。 尊氏真可怜，这点就必须要反驳了。 一个十几年前造成沉船事故导致多少人家家破人亡的角色可怜？ 一个可以为了自己去杀害养父的人可怜？ 第一个不是男主和叔叔逼他的，第二个不是男主逼他的。 看个剧乐呵乐呵，喜不喜欢属于个人喜好，但说这...

                        ?(展开)",霁青,推荐,19
7,致命之吻,"这篇剧评可能有剧透

                        不得不佩服编剧的胆子，一部10集的日剧，在第一集里就已经囊括了Time Leap、接吻、床戏、赎罪、渣男、情杀、骗局、伪骨科等等惊悚悬疑加情爱的元素，外加一位上帝视角的神秘乞丐，感觉看完之后脑容量已经要原地爆炸了。 首先简单地介绍一下这部霓虹国开年神剧《致命的接吻》—...

                        ?(展开)",FerraZun,推荐,41
8,致命之吻,"这篇剧评可能有剧透

                        最终话演完了，想写写自己对于这个故事和结局的一些想法。最开始官网介绍了这是一部“人渣”牛郎和吻杀女之间的“邪道爱情故事”。怎么个邪道法？大概就是极速展开的不可思议的爱情故事吧，所以一直把它当做爱情片在期待。前两集播毕，爱情的影子没看着，倒像是牛郎上位的悬疑...

                        ?(展开)",纳豆Joe,较差,19
9,致命之吻,"真是迷致命之吻这种 “只有你才能看到我人性的卑劣和胆怯” 的设定 不由地想到王尔德说的 “我更想要的是茫茫世间只有我能看出你的迷人之处 而其他人都只是漠然地与你擦肩而过 看吧 背你而去的人群之中 明明只有我朝向你微笑地伸出双手 为了补偿他人对你的漠视 我会更溺爱你” ...

                        ?(展开)",Ailice,推荐,9
