,影片名,评论内容,评论人,推荐星数,有用数
0,荒野猎人,"认识亚利桑德罗·冈萨雷斯·伊纳里多，是从去年他的那部具有强烈讽刺意味但又饱含着艺术的辛酸的《鸟人》开始的。这位满脸胡渣的墨西哥导演用他那自然而深刻的导演风格，以及不惜运用一切手法达到他的天才设想的个性，征服了无数奖项，也征服了包括我在内的无数影迷。  关注他...

                        ?(展开)",没有枪的牛仔,力荐,5679
1,荒野猎人,"小伙伴看完《丹麦女孩》之后，给我发了微信，说“一切都太棒了，小李子今年白被熊强了”，好吧，我回想了一下之前看过的《荒野猎人》，一股心酸涌上心头。  首先要说的是，《荒野猎人》是一部了不起的佳作，导演冈萨雷斯去年的神片《鸟人》让不少大叔哭天喊地得爱不完，这部新...

                        ?(展开)",油炸绿菠萝,力荐,3026
2,荒野猎人,"废话：（可以跳过） 原来的开篇删了，当初是抱着愤怒撕逼的心态写的，其实我平时很懒。毕竟我和那位题主也算握手言和了，没必要再攻击。虽然我这篇影评写在言和之前，当时觉得不会很多人看也就无所谓了，现在想想还是改了原来的攻击性前言吧。  我只是稍懂一点点美国历史。这种...

                        ?(展开)",黑桃二,推荐,1964
3,荒野猎人,"这部电影似乎成了小李子卖惨的个人秀。被熊拍、脖子破洞、瘸腿、儿子被谋杀、吃生肉、冰河漂流、躲在马的尸体里取暖…… 和小李子的荒野求生相比，鲁滨逊轻松得就像在海滨度假。总的来说，各个电影奖的评委们还是对小李子的惨样买单。小李子先拿了金球奖最佳男主，又拿了英国学...

                        ?(展开)",Vamei,推荐,1259
4,荒野猎人,"这篇影评可能有剧透

                        如果《聂隐娘》是唐画卷的话，《荒野猎人》便是落基山脉云雾中缭绕不死的灵。 这是一个发生在1820年，一名皮草猎人负伤遭到朋友弑子抛弃，奇迹生还走向复仇之路的故事。  这已经不是第一次，在长片里大饱眼福阿尔伯塔的山和林了。好莱坞导演偏爱在阿尔伯塔取景，  作为加拿大最...

                        ?(展开)",药师,推荐,501
5,荒野猎人,"有一个片段我特别想为《荒野猎人》记下来。  格拉斯（小李）被众人抛弃后费力地爬到儿子身旁，力气耗尽绝望地头枕着儿子的躯体躺下，望空。摄影机距离小李极近，他的呼气在镜头上凝结成白雾，他的脸在白雾里渐渐模糊。之后镜头剪切，变成格拉斯望向天空他眼里看到的主观镜头—...

                        ?(展开)",艾小柯,推荐,312
6,荒野猎人,"在电影院巨幕的震撼下，两个半小时过后，嘈杂的放映厅里，一片寂静，连前排进场时超级活跃的棒球帽小哥，转头起身时，表情都是睁目结舌，更不用说，后排一直传出惊呼的女性观众们。相信大多数人已经看过高清资源下的影片了，还记得小李子最后看向的是哪里么？对的，是镜头，是...

                        ?(展开)",小玄儿,力荐,294
7,荒野猎人,"作为 20年最弱奥斯卡 ，今年的颁奖季唯一可以期待的也就是小李子能不能完成小金人零的突破了。  小李子与奥斯卡的爱恨情仇如今可谓人尽皆知，媒体们更是各个替小李子 抱 屈 含 冤 。  成功命中威廉王子两个孩子姓名的英国博彩公司最近也上调了小李子的赔率，从8赔1上调到 12...

                        ?(展开)",檀贾小姐姐,还行,125
8,荒野猎人,"故事发生在19世纪初 ，格拉斯在美洲生活已久，与当地的一个女子结婚并育有一子，可她的妻子在一次白人军队对印第安人的扫荡中丧生。他带着儿子做皮草猎人为生，在一次狩猎过程中，他因为遭到熊的攻击而身受重伤，他所乘坐船的船长想要带他离开却因为条件限制无法做到，于是雇...

                        ?(展开)",snowflake,推荐,47
9,荒野猎人,"这是属于莱昂纳多一个人的电影。  他的戏从那头熊开始。 熊叼着他疯狂地左甩右甩， 那个力道、幅度和频率， 与我家狗狗玩它的小布偶一样一样的。 不知道拍的时候，小李的脑花有没有被晃散啰。  被熊袭击的小李重伤，丧失行动能力，被绑在担架上抬着走，成了猎人们的累赘。 然后...

                        ?(展开)",白瑞德,力荐,72
10,荒野猎人,"As long as you can still grab a breath ,you fight     本片首先给人强烈视觉冲击的就是极具特色的摄影风格，调度完美的长镜头，广角旋转镜头，大全景，自然光拍摄等等。Lubezki和Alejandro González I?árritu的再次合作，却完全不同于去年的《鸟人》局限于剧院一地...

                        ?(展开)",Moviegoer,力荐,190
11,荒野猎人,"从海上到陆地一路走来，小李为了一座小金人耗尽了心血。《泰坦尼克》里你爱深情浓，《猫鼠游戏》里你玩世不恭，《盗梦空间》里你困于情网，《盖茨比》里你情深一往。记得你在《被解救的姜戈》眼前一锤定音，也曾在《禁闭岛》上不懈追寻。如今你改头换面做了《荒野猎人》，如果...

                        ?(展开)",渭水徐公,力荐,104
12,荒野猎人,"这篇影评可能有剧透

                        不惜增肥，一脸胡渣，被熊糟蹋，生吞活剥，与自然和命运抗争，演技再度提升。小李子坦言这是从影以来最艰难的表演。金球奖三次封帝，已证明其实力，奥斯卡影帝志在必得。好莱坞一向有对自毁形象的演员倾斜的传统，小李子，我看好你！小李子凭着眼神演绎出欣喜、悲伤、恐惧、空...

                        ?(展开)",槑槑,推荐,25
13,荒野猎人,"它以复仇为主线，并不在意讲述复仇的快感，而是将人置于一个无感情的容器，看人性怎么在里面挥发出超人的求生意志，又怎么被环环相报的暴力杀死。这是过去一整年，看得我最痛的一部电影 在电影的开头，我们可以看到格拉斯一家三口在一起的画面，伴随着女人的旁白：“As long as...

                        ?(展开)",哎呀嘛 咔咔滴,力荐,20
14,荒野猎人,"影片中让我感受最深的主要有三个方面：爱、正义和坚韧。 影片在叙事上主要讲述休·格拉斯为儿子复仇的&gt;故事，里面充满了残酷、残忍的情节，但整个影片却贯穿着休·格拉斯对妻子和儿子的爱。没有这份爱，休·格拉斯是无法在身体多次饱受摧残的情况下并在残酷的自然环境下坚持...

                        ?(展开)",顾羲,推荐,44
15,荒野猎人,"“原创影评，内部试映观看，转发请注明出处”  继《鸟人》以后，墨西哥裔导演亚历桑德罗冈萨雷斯的新片《荒野猎人》讲述的是一个与印第安人相爱并有一子的英国雇佣军（莱昂纳多迪卡普里奥饰）在逃避印第安人的追杀中，被熊袭击，并被同伴抛弃，在极度寒冷和危险的野外艰难生存...

                        ?(展开)",弗拉基米尔,力荐,82
16,荒野猎人,"影片很残酷，暴力血腥，摄影太棒，非常美妙的镜头语言让人难以置信，极简的复仇故事，在导演完美的调度、卢贝斯基绝美的摄影、小李的表演相结合下带来了最震撼的视听感受，小李也终于凭借出色的表演拿到小金人。  绝美的摄影，超神调度，标志性长镜头，极度血腥的杀戮和严酷自...

                        ?(展开)",Sunday,推荐,22
17,荒野猎人,"一直在想怎么去描述观看这部电影之后的感觉。 我算不上是小李子的粉，甚至连小李子的颜粉都算不上，当初看了不起的盖茨比，我就感叹小李子很久没有这么帅这么苏了，甚至已经有点不适应耍帅的他了。他的精神兮兮，他的癫狂，甚至他的邪恶，都比帅帅的他来得过瘾。 当荒野猎人的...

                        ?(展开)",奔跑忘记忧伤,推荐,36
18,荒野猎人,"看完整部影片 概括就是景很美 人很酷 动物很可怜。 影片的第一个主题，是复仇。 从片头格拉斯一伙人穿着动物毛皮大衣可知，他们一伙人沿路一直通过残杀野兽来温饱自己。而从那只熊开始，格拉斯一伙人入侵野生世界的领地，就必然会惹怒动物世界的本来固有者。那只熊杀人并不是因...

                        ?(展开)",满心欢喜,推荐,27
19,荒野猎人,"这篇影评可能有剧透

                        《荒野猎人》中除了“往死里折磨”演员外，还彻底放弃非线性叙事手法，采用壮丽浩瀚的自然景观广角镜头和令人惊艳的一镜到底手法，使景物也成为影片重要的表达甚至叙事手段，让人观影时沉浸在“自然之神秘莫测，人之渺小茫然”的震撼中不能自拔。这种极致的视觉感受，搭配坂本...

                        ?(展开)",小脏喵,推荐,33
