,影片名,评论内容,评论人,推荐星数,有用数
0,超时空同居,"看完这部电影，一直在琢磨一个问题： 1999年的陆鸣，74年生人，属虎，当年25岁。1999年的谷小焦，当年12岁。当时空重叠，2018年的谷小焦（31岁）遇到了99年的陆铭（25岁），那么两人该如何面对各自的年龄问题，究竟是“我的老婆未满十八岁”，还是“我的男友比我小6岁”？ 但两...

                        ?(展开)",乌鸦火堂,推荐,447
1,超时空同居,"这篇影评可能有剧透

                        有段时间会在网上到处看到佟丽娅与雷佳音的消息，不论是“头围”大爆料，还是红毯“竞走”大赛，狂轰滥炸的宣传之中，总给人一种不温不火的期待。说期待是总觉得两位演员加上徐峥的保驾护航，总该对这种所谓的都市爱情电影，来点不一样的东西了，但又总会下意识的将国内这种爱...

                        ?(展开)",nothing纳森,还行,381
2,超时空同居,"这篇影评可能有剧透

                        首先从阵容上来说，它已经给我吃了一颗镇定药丸，佟丽娅、雷佳音主演，配角则有徐峥、陶虹、李光洁、范明等等演技派助力。 虽然说是一部爱情轻喜剧，但是我依然对它充满了期待。 ＂老娘天下最美＂，或许只有佟丽娅说出来让别人无法反驳。 即使是在今天上映的这部爱情轻喜剧中，...

                        ?(展开)",Penina,推荐,226
3,超时空同居,"《超时空同居》的好，首先当然是源于意外。而意外则是因为，过去这么多年来国产爱情片每每交出的答卷实在是让人意兴阑珊——我们的爱情片，往往连爱情的边都摸不着，就在一堆浮华虚饰的人物和故事拼贴中草草收场。而《超时空同居》这个片名加上“穿越”这个题材，更是让人往雷...

                        ?(展开)",时间之葬,推荐,129
4,超时空同居,"这篇影评可能有剧透

                        很久没有看国产爱情电影了，之前的爆款《后来的我们》、《前任攻略》统统都没有看，但这部之前从没有期待的《超时空同居》却给了我意外的惊喜。 故事很简单，生活在2018年的女主角谷小焦（佟丽娅）和生活在1999年的男主角陆鸣（雷佳音）所居住的房子因为时空交错发生重叠而住到...

                        ?(展开)",毛香菇,推荐,178
5,超时空同居,"这篇影评可能有剧透

                        喜剧应有悲剧内核，而这一部的悲剧性隐藏于其科幻设定中。 任何作品，凡涉及对历史的修改，都几乎绕不过「祖母悖论」或与之类似的伦理困惑。如果你回到过去，杀死了自己的祖母，那么不复存在的你是如何在一开始回到过去的呢？ 针对这一悖论，有如下的解释：历史是被无数次修改...

                        ?(展开)",KetevanYang,推荐,181
6,超时空同居,"爱情电影一向是少女心和催泪弹齐飞，但自从绝症车祸这一套不流行了以后，催泪的重任就落在了“怀念前任”这个主题上。 怀念前任这一题材作为超安全的煽情灵药，给了每一个现代人一个无压力释放款款深情的机会。有人说前任已经成了一种国民情结，此言不虚。怎么一夜之间，前任比...

                        ?(展开)",肖恩恩恩恩肖,推荐,105
7,超时空同居,"每年都会有一部我喜欢的商业爱情喜剧电影，去年是《喜欢你》，今年是《超时空同居》。 在收获彩蛋对于单身狗的十万点暴击之后，我甜笑着走出影院，原来那个对的人，即使跨越时空也遇得见。 故事发生在两个在不同年代，1999年和2018年。 在不同时空同样生活重压下喘不上一口气的...

                        ?(展开)",山水烟花,推荐,86
8,超时空同居,"虽然剧情挺老套的，但是因为故事的节奏掌握的很好，基本没有没有什么废话，使得观众有个一很快乐的观影过程。这部电影在国产爱情片里显得那么的清新脱俗， 比大部分爱情片好了太多，虽然穿越梗已经被用烂，但是他有自己的创新。 丫丫和大头感情渲染力很强，只能说CP感太强了！...

                        ?(展开)",花怜要开车,推荐,67
9,超时空同居,"你有没有那么一刻遇到一个人觉得他会是你的那个命中注定。 你看陆鸣在1999年谷小焦爸爸手底下做事，那年陆鸣25岁，像电影结局那样，没发生那件事，那么他会不会在2018年他44岁时遇到已经25岁的谷小焦，如果遇到了，我猜他们也不会有交集的了吧，毕竟一个可能还是大老板的女儿，...

                        ?(展开)",Giroro,推荐,34
10,超时空同居,"这篇影评可能有剧透

                        《超时空同居》讲述的是2018年的谷小焦（佟丽娅 饰）和1999年的陆鸣（雷佳音 饰）因时空折叠而意外住在同一个房间的故事。 谷小焦打开门，他们就会来到2018年；陆鸣打开门，他们就会来到1999年。 电影的缺点和优点都很明显，总体在及格线以上，谈不上特别优秀但也绝不是烂片。 ...

                        ?(展开)",凌睿,还行,36
11,超时空同居,"这篇影评可能有剧透

                        如果说，19年后的我，冷酷，无情，那么钱对我来说也毫无意义。25岁的陆鸣遇上19年后的31岁的谷小焦，所处时空差了19年。“你开门是1999年，我开门是2018念，那同时开门呢?”同时开门，时空继续交错，颤抖。不在同一平面的两条直线，注定无法相交。爱情的魔力，不管我们距离多远...

                        ?(展开)",你猜我谁啊,推荐,20
12,超时空同居,"这部电影剧情设定挺有意思的，国产爱情奇幻喜剧，题材很新颖少见，出乎意料的好看，有笑点也有泪点。没想到男女主还挺有cp感的，前段时间就看到他俩在网上互怼，特别搞笑。前夫哥火了之后还挺受大家喜欢的，自带幽默细胞，有亲和力，丫丫是真的很美，徐峥客串的那一段真的是太...

                        ?(展开)",yan,力荐,35
13,超时空同居,"昨天的你是你，也不是你，不是明天的你。人总是会变，因为每一个奇妙的经历改变，人性很复杂，爱情也很复杂，爱情可以让人变得疯狂也能让人变得善良，那个笑起来傻傻的陆鸣会变成冷血算计的陆石屹，也可以因为遇见一个可爱的姑娘坚守住那颗纯洁的心，让人去相信世间还是有美好...

                        ?(展开)",雨夜与你,力荐,54
14,超时空同居,"这篇影评可能有剧透

                        在电影里，我见过三种恋人的离别：心灵、空间和时间。 比如心灵，像《革命之路》，英俊漂亮如杰克露丝，也逃不过中年夫妻的同床异梦。 比如空间，像《暗恋桃花源》，云之凡和江滨柳因战乱离散，相隔两地苦恋40年不得见。 其中最扎心的，莫过于因为时间产生的离别，《超时空同居...

                        ?(展开)",怀璧不予,推荐,33
15,超时空同居,"这篇影评可能有剧透

                        《超时空同居》是一部喜剧基础上添加了奇幻色彩的电影。整部影片看下来还不错，小成本的喜剧爱情片能拍成这样已经很好了！虽然有些地方有点矫情，有些地方有点尴尬，但是整体的节奏还是蛮轻松浪漫的！演员表现也加分不少，雷佳音一人饰演出两个不同性格，青涩和成熟之间的转换...

                        ?(展开)",敏莉Lily,推荐,60
16,超时空同居,"这篇影评可能有剧透

                        看完整部电影，小焦的选择，我多多少少能够理解一些。小焦爱的是99年的陆鸣，而不是事业有成额陆石屹，导演在影片中表现的很明确，观众应该也都没有异议，但是，面对陆鸣费尽心血完成的图纸，小焦感受到了陆鸣的心情，与其说小焦的选择是为了让陆鸣成为房产大亨，不如说，是为...

                        ?(展开)",唯美主义,推荐,35
17,超时空同居,"《超时空同居》比较适合那些看片不太带脑的观众，被影片带着走，看到雷佳音和佟丽娅“欢喜冤家”式的互怼就乐一乐，看到两人悲情分手的煽情戏就感动一把，没准这部分观众观看本片还是会觉得值回票价的。 但像毒舌君这种看片稍微爱较点真儿的观众，看完后仔细一想，就觉得本片的...

                        ?(展开)",日常佛系,较差,45
18,超时空同居,"一部爱情轻喜剧，这次用的穿越梗挺舒服，雷佳音和佟丽娅的搭配还挺新鲜。徐峥今年监制的作品不少，这部的特别演出好有喜感。影片讲述的是1999年郁郁不得志的雷佳音与2018年失意女青年佟丽娅因为时空交错生活到了同一个屋檐下。因为年代不同，生出很多让人捧腹的故事，还碰撞出...

                        ?(展开)",发呆中的电冰箱,力荐,42
19,超时空同居,"这篇影评可能有剧透

                        还记得，3周前的一个春日中午，我和几位朋友，与一位图书界贩卖版权的贤真同志聊目前影视界最火的类型，在我还在纠结是否要写玛丽苏，虐恋小言的时候：贤真一脸严肃认真的告诉我，现在流行跨界： 分分钟好几百万生意的贤真，举了当时最流行的“无人机+谈恋爱” 的《 南方有乔木...

                        ?(展开)",京客隆小丸子,推荐,36
20,超时空同居,"1 影片尾声，雷佳音在片中奔跑着，两侧脸颊的肉随着脚步节奏欢快地颤动着。在我担心他硕大的头围随时会溢出屏幕时，他机智地停下来，望着佟丽娅笑了。 哗，笑起来又感觉好帅啊。 哪怕眼睛咪得更小了，哪怕依旧长得“很伤感”，哪怕笑起来像一只肥加菲猫。 但那一刻真觉得，好像...

                        ?(展开)",不良生,还行,30
21,超时空同居,"这篇影评可能有剧透

                        很有趣，应该说相当的意外之喜，做为一部我只是为了等人蹭空调才临时买票进去的电影。能给出“有趣”这个评价，在我心里至少也是“颇值票钱”的保底级了。 难得的国产电影编剧，竟然承得起一个“巧”字。 一直以来我不是太爱看国产爱情片的原因，是因为太“浮”，捏着拿腔拿调...

                        ?(展开)",风息神泪,推荐,11
22,超时空同居,"这篇影评可能有剧透

                        从影片的一开头我们就能明显感受到，2018年和1999年冷暖色调的对比；从陆鸣和陆石屹截然不同的声线，更能感受到踩在尸体身上带来的成功使一个人几乎完全变了。 99年的陆鸣肯定怎么也没想到未来的自己会成为故事的反派，陆石屹却仿佛看穿做出不同选择的陆鸣将导致如今自己的消失...

                        ?(展开)",3艺0,推荐,43
23,超时空同居,"（剧透仅限于预告片中的部分） 对于爱情片，我的钟爱程度还挺一般的，但如果加上了奇幻的成分，那这个程度就完全可以翻个倍。 嗯！我确实是一个奇幻片爱好者，毕竟在这个现实且沉闷的世界里，我们实在太需要想象力的安慰了。 可想象力在电影行业的难度越来越高，毕竟一些能开的...

                        ?(展开)",猫语猫寻,力荐,26
24,超时空同居,"这篇影评可能有剧透

                        这部电影在没上映之前可以说是已经赚足了热度，微博宣传也好，“雷佟”组合互怼也罢，都极大的引起了我的好奇心，这个周末也专门去刷了电影下面浅谈一下自己的感受 说是喜剧爱情片也没错，电影院氛围确实挺好的，笑声不断，雷佳音这个大头也终于全是嬴来了自己的春天。其实超时...

                        ?(展开)",七年,推荐,52
25,超时空同居,"套了一层科幻的外衣，实则是在表现男女主人公的爱情，就像《星际穿越》中所说的，唯有爱才是永恒的，话说随着科技的飞速发展，近些年来喜欢在影片中加入科幻元素的电影越来越多。反派竟然是未来的男主人公自己，最终过去的男主人公改正了自己的错误，从而也改变了未来。片中笑...

                        ?(展开)",雨洛,推荐,71
26,超时空同居,"这篇影评可能有剧透

                        下午拉着闺蜜一起去看了   我的妈耶这场简直就是情侣场   进场的时候基本都是小情侣一块?    我左边是一对小情侣   闺蜜右边是一对小情侣   简直了！！！ 丫丫在里面非常非常非常好看！太美貌了！！虽然女主在里面有点拜金有点虚荣吧   但是我还是觉得丫丫很可爱(?? ....

                        ?(展开)",小慢,推荐,60
27,超时空同居,"这篇影评可能有剧透

                        一个想骗钱反被骗的2018年失意女青年谷小焦，一个竭尽全力拉投资却卷进害老板事件的1999年陆鸣，一觉醒来时空发生重叠两人睡在一张床上，更惊喜的是两人通过自己的房门可以将对方带到自己的年代。一系列投机作弊的合伙行为引发种种爆笑事件，可他们却不知道他俩紧密的宿命联系...

                        ?(展开)",毛毛虫,推荐,37
28,超时空同居,"文/刘小昭 金圣叹先生在留给大儿子的遗信中说：“字谕大儿知悉。花生米与豆腐干通嚼，有火腿滋味。” 这本是金先生临刑前真名士自风流的洒脱黑色幽默，结果三百年后被雷佳音变成了哄姑娘的手段，先生知道，也会抚须微笑吧。 《超时空同居》，讲的是来自2018年的谷小焦（佟丽娅 ...

                        ?(展开)",刘小昭,推荐,20
29,超时空同居,"电影《超时空同居》讲述的是，一个想骗钱反被骗的2018年失意女青年谷小焦，一个竭尽全力拉投资却卷进害老板事件的1999年陆鸣，一觉醒来时空发生重叠两人睡在一张床上，更惊喜的是两人通过自己的房门可以将对方带到自己的年代，从而引发一系列有意思的故事。鉴于我对喜剧片的要...

                        ?(展开)",Gising,还行,52
30,超时空同居,"18.5.20(为什么这种日子去找虐我也不是很懂 时空梗这几年还是玩得多起来了 被偷走的五年 重返 乘风破浪 等等 能玩起来还是挺开心的 时空在某一地方交汇 十九年前的人和十九年后的人相遇 然后发生了一系列故事 傻傻的雷佳音也没有那么油腻了 丫丫依旧那么好看 徐峥和小陶虹的客...

                        ?(展开)",昨夜星辰恰似你,推荐,37
31,超时空同居,"有剧透，慎重： 1、故事情节及逻辑线索 这部电影，最大的亮点以及最大的难点，在于如何处理两个时空交错、重叠、再分开的合理性。时间，空间这两个维度就一定要清晰，任何的非常态的变动，都要明确，有理由，有动力。在空间上，当空间重叠，2018与1999的同一个地点，同一个房子...

                        ?(展开)",蝶衣,推荐,55
