,影片名,评论内容,评论人,推荐星数,有用数
0,超时空同居,这部电影但凡是换个雷佳音以外的人演都算完了，雷佳音确实是把男主演得蛮可爱的。但女性角色啊……我现在怀疑以徐峥为代表的这类中年男子只承认世界上有三种女性：1、老公出轨多少次都选择原谅的贤妻；2、对穷小子不离不弃的女神；3、清纯高贵的初恋，并且还要求2在经过3的挑战后成为1……,王大根,还行,2777
1,超时空同居,关于这部喜剧奇幻片，最喜剧的部分是“思诚”是别人的老公，最奇幻的部分是佟丽娅只有在电影里才能找到好男人。,凌睿,还行,2024
2,超时空同居,无论片中的陆鸣怎么选，小焦都会过上衣食无忧的生活，她要么会有一个家财万贯的亲爹，要么会有一个亿万资产的“干爹”（结合片中两人的实际年龄和事实情况，大概就是这个意思吧）,时间之葬,推荐,1094
3,超时空同居,绷着喜剧两个字去的，爱情部分也很有意思，并没有落入俗套；这是一部没有另外的演员演男二的电影，get到雷佳音的演技，佟丽娅一直都能get到。真的是有演技的人，演爱情也蛮好的。,蛋蛋的忧伤,推荐,936
4,超时空同居,难得不尬的国产爱情喜剧，雷佳音负责搞笑，佟丽娅负责颜值，结尾居然被感动到....ps：对《甜蜜蜜》的致敬好赞。,阿德,推荐,845
5,超时空同居,电影一开头就很搞笑，全场也是笑料很足。有一场戏很逗，明明剧情很煽情，但是为什么要给雷佳音脸部大特写？结果就是大头哭的很伤心，看的人真的很想笑啊哈哈哈哈哈大头对不起我还是爱你的哈哈哈。大头演技在线自带喜感，丫丫依旧美腻。但是最近是不是营销过头了？？？看多了会烦。,咕噜咕噜,较差,734
6,超时空同居,和预期差不多，是一个完成度不错的类型片，只是没想到编剧在类型片的写作技巧和结构方面能做的这么优秀，细节铺垫上水准很高。从父女关系，邓丽君的磁带，父亲的钥匙扣，死亡原因到不撕标签的西装，被雨伞堵住关不上的门，或者是男主角当年如何掘到的第一桶金等等，一看就知道编剧是个会讲故事的人！,亵渎电影,还行,655
7,超时空同居,不行了，雷佳音标志性的憨笑一出，世界立马亮堂似的。更不行的是他居然哭，还哭得那么伤心，搅得心里太不是滋味。佟丽娅这次表演也很好，美而动人。徐峥客串那段爆笑。科技、大亨线一般，99年戏最好，有人给你做这样的烤鸡和巧克力蛋糕，真是富贵得不行。不行了，要给大头打满四颗星才行。,Mr. Infamous,推荐,549
8,超时空同居,这部电影有毒，俩男人喜剧色彩特别浓，意外的男女搭配，题材新颖，脑洞大开，笑中带哭。仿佛看了部喜剧，却又是爱情文艺。,青年人电影协会,推荐,419
9,超时空同居,"? 你有过一夜情吗？
? 我没有，这是原则性的问题，谁有谁不要脸…
——2018轻而易举版《你眼中的世界》+《触不到的恋人》，致敬《断背山》《甜蜜蜜》有心了。",影志,还行,348
10,超时空同居,“你确定未来的我还是我吗？”3.5，有些惊喜，华语爱情喜剧拍到这个程度不错了。莫忘初心的老梗，却用了时空重叠，先遇到过去的TA，相濡以沫的浪漫和情怀，再反衬未来，这才是“后来的我们”。演员是亮点，大脑袋与老斑鸠的同居，雷佳音好玩，佟丽娅漂亮，结尾走现实路线，徐峥、杨迪好玩,乌鸦火堂,推荐,311
11,超时空同居,雷佳音太出色，萌,桃桃淘电影,还行,270
12,超时空同居,抛开可笑的奇幻逻辑架构，爱情的部分还挺好看的。两个演员讨喜舒服，自然而然的甜，居然还看哭了0.1秒。听工作人员说导演原本是想拍两个人同居的过程中日久生情的，雷佳音说：“不是啊，直男看到那么漂亮的女孩肯定是一秒就喜欢了啊。”哈哈哈哈。,蜉蝣,还行,259
13,超时空同居,尝过了巧克力蛋糕，才知道黑芝麻糊馒头有多香。坐过了豪车副驾，才知道人工广播的三轮车有多稳。去过了另一个时空，才知道大脑袋和老斑鸠是一对。陆鸣贱兮兮问谷小焦，搬家啥都不带吗？心里想说的是，连我都不带吗？于是穿着带价签兜屁股沟的西装，人模人样跑去叮嘱她：你搬家，请带我一起去祸害人间。,西楼尘,较差,240
14,超时空同居,一部完成度非常高的商业小品，流畅性协调性兼备。价值观上高于国产电影的平均值：在沉溺过去和厌恶现在的之间，选择折中，矫正重来。演员默契拉动整部好感度，恭喜雷佳音迈入5000万＋片酬俱乐部，事业上升期请居安思危，穿好铁裤衩，防止人设崩塌。,shininglove,推荐,258
15,超时空同居,前期吹太狠了，就很一般啊，成片不是我想象中的样子，丫丫蛮美的，陈狗真是不懂珍惜?,菠萝吹雪,较差,197
16,超时空同居,搞笑中不失温情，神秘之中又带着些许人性的欲望。人生若重新来过，是否会有另一番景象。,栗子,还行,189
17,超时空同居,真的挺尴尬，全程翻白眼，由内到外的Low，时空悖论的设定完全沦为这个做作且老套剧本的遮羞布。迷影梗玩的好叫致敬，反之就是辣眼睛的恶搞了，显然本片属于后者。雷佳音还行，佟丽娅就太灾难了，几场哭戏看的我只想笑，可又不敢笑，生怕邻座入戏太深的初中小妹妹反手就给我一巴掌，这比电影可怕多了,Mr.发条橙、,较差,146
18,超时空同居,丫丫和雷佳音好有cp感啊，丫丫好美，雷佳音一哭我就想笑，但是真的还不错，梗虽然老但设定还不错，推荐。,自掘坟墓,推荐,143
