,影片名,评论内容,评论人,推荐星数,有用数
0,这！就是铁甲,"偶然打开节目，觉得意外的还不错。浅谈一下看法： 1. 四位经理人。节目组对艺人的选择实在是巧妙，郑爽流量小花扛收视艹热度；吴尊，张一山口碑佳 路人缘好吸引受众；撒贝宁轻松诙谐自带笑点调节气氛。意外的发现爽妹子直男的一面也是很惊讶，还有就是她真的美，对比以前整个人...

                        ?(展开)",还是你爸爸,力荐,605
1,这！就是铁甲,"从第一期就在看，本来只是带着看看的心态去看的，结果是，燃爆全场，非常带感，郑爽真的是傻人有傻福哈，铁甲都超强的，张一山有着年轻人挫败但一直坚持不放弃的精神，非常正能量！节目还挺有笑点的，国外的铁甲有实力强的也有实力弱的，国内虽然实力还及不上国外，但是有进步...

                        ?(展开)",略略略,推荐,61
2,这！就是铁甲,"其实这一期的比赛场景并不是很多，仅仅也就节目快结束的时候那两场，不过还挺精彩但是也挺残忍的。看着一个个机器人被掀翻在地，不能动弹，直到被K.O。不过，这也是他们的使命吧。 看完这一期，不得不说女孩子的直觉真的是可怕啊，就目前来看，郑爽盲选的五台铁甲无疑是战斗实...

                        ?(展开)",叶子的眼睛,推荐,66
3,这！就是铁甲,"这篇剧评可能有剧透

                        《这！就是铁甲》是优酷、天猫出品、创客星球联合打造，优制娱乐承制的S+超级网综。48支国际顶级格斗铁甲战队荣耀集结，加盟这档全球参与国家最多的中国铁甲格斗节目。郑爽、张一山、吴尊、撒贝宁担任战队经理人，用尊严与汗水铸就激烈战事，用钢铁和火花定义英雄的诞生。 很喜...

                        ?(展开)",花吖,推荐,82
4,这！就是铁甲,"这篇剧评可能有剧透

                        昨天刚看了第一期，观感不错。 撒老师简直是行走的无所不知，各种知识信手拈来，太棒了，而且自从看了了不起的挑战，他就再也不是我印象里那个欢迎收看今日说法了，哈哈。 爽妹子美美哒，盲选阶段可以看出她挺果断的，选的机器也攻击性比较强，虽然她大多是根据外观什么的，也...

                        ?(展开)",墨里写繁花,推荐,85
5,这！就是铁甲,"开始只是为了看郑爽瞄了一眼这个节目，结果竟被吸引进去了，四个经理人的互动有梗，机器人格斗真的很热血 ，选手也很有趣。小爽在节目里表现出色，果断豪爽大气，让人刮目相看，小撒一如既往搞笑担当。节目邀请了多支来自国内外的强力铁甲战队，在舞台设计和高科技技术的应用方...

                        ?(展开)",花吖,推荐,52
6,这！就是铁甲,"爽妹子好灵气啊，冷静又果断，表现比预期好很多，关键是女人的直觉太可怕了，选的太厉害了。 撒老师综艺届的搞笑担当。一山少爷很棒。年少时的男神吴尊叔叔超帅的。四个经理之间的互动好可爱啊！还有各个机器人都很霸气 本来以为很无聊，但是真的很刺激，铁甲战斗真是燃，荷尔...

                        ?(展开)",一个大脑壳,力荐,46
7,这！就是铁甲,"一开始看到这个名字觉得和街舞那个名字有些重合就点进去看了看，结果一看就停不下来了。 撒贝宁是个很有梗很机智的主持人，一直都很喜欢看他主持，不管是作为主持人还是玩家他都很会活跃气氛，看起来不会很枯燥无聊的。本来作为一个女孩子，我对这类的东西是不怎么感兴趣的，可...

                        ?(展开)",樱桃咻咻咻,还行,60
8,这！就是铁甲,"真滴很燃啊呜呜呜呜，而且郑爽表现出乎意料的好?感觉少女思维独立 不盲目 很果断 我这个优柔寡断的秤子简直被她迷的死死的 and撒老师真滴很贼了嘻嘻～综艺感满满滴?因为喜欢郑爽 所以不敢五星呜呜呜 就当去掉粉丝滤镜吧? 真滴很燃啊呜呜呜呜，而且郑爽表现出乎意料的...

                        ?(展开)",怼怼怼就是你,推荐,61
9,这！就是铁甲,"《这就是铁甲》将故事情节设定在未来的3018年，当科技发展到顶峰，世界生存秩序已被完全颠覆，人类也停止了对生命温度的思考。若想改变未来的趋势，只有立足当下，警醒世人。 酷炫的灯光舞美、可以全方位摆动的高科技座椅、来自全球13个国家的48支顶尖战队、一触即发的铁甲大战...

                        ?(展开)",兮颜,推荐,37
10,这！就是铁甲,"这篇剧评可能有剧透

                        哇！看完第四期，我完全爱上了贪吃蛇，操控太厉害了！那灵活的走位！灵魂式的躲避！太棒啦！机甲也很棒，绿色的外型好看，机身也很结实，在狂战斧的猛砸之下毫不畏惧！性能好，比他重的铁甲，说举起就举起了！赞！ 郑爽其实是一个很聪明、很用功、很有主见的一个人，光只看网络...

                        ?(展开)",萧萧是个乖孩子,力荐,28
11,这！就是铁甲,"这篇剧评可能有剧透

                        其实相较于比赛，我更愿意用战斗来形容这一场场机器人之间的搏斗。因为在搏斗的过程中，它们不仅仅会负伤，还有可能阵亡…… 这一期其实只有两场四机混战的比赛，一场是俄罗斯的空间站和中国的河马双赢，一场是中国的贪吃蛇大杀四方。 空间站那个翻身的本领着实惊艳，而河马的...

                        ?(展开)",南 ことり,推荐,31
12,这！就是铁甲,"无意间观看，作为最近热门题材的节目，这就是铁甲可以算是一枝独秀了，灯光舞台效果好，几位经理人很走心，很自然，所有天时地利人和搭配在一起就是所向披靡的开始。郑爽让我大跌眼镜，极其思路清晰并且心思细腻，有着出众的判断力。快狠准完全不拖泥带水。撒贝宁的诙谐风趣可...

                        ?(展开)",往事不要再提,推荐,56
