,影片名,评论内容,评论人,推荐星数,有用数
0,遇见王沥川,"这个状况，我自己都是震惊的！ 毕竟很长时间以来高以翔在我脑袋里还停留在毛豆、花瓶，怎么一瞬间就成了演技派了！！！ 重点是再配上他那张欧式立体可帅酷可暖男的脸，简直要人命啊啊啊啊！ 虽然两年前刷片花就已经很燃， 但还是没想到看了正剧心里竟然会燎起熊熊大火， 119都...

                        ?(展开)",mummer,力荐,1722
1,遇见王沥川,"如果言情剧没有了吻戏？        呵！        呵呵！        呵呵呵！       谁还会看言情剧哦！！！！        所以吻戏对于言情剧来说，是非常重要的。但光有吻戏是不够的，一部有水平的言情剧还应该把吻戏拍出风格，这个风格不仅是玩情调，更重要的是要和人物性格和谐...

                        ?(展开)",风水天蝎,推荐,1188
2,遇见王沥川,"也许我跟各位原著粉丝不一样，在看这部剧之前，我没有看过这本小说，也不知道书里的小秋和沥川到底是怎样的两个人，这部剧吸引我的，完全是13年放出来的那段片花。  如果我没记错的话，片花的音乐用的是胡小鸥的那首start over，重新开始，这支曲子将沥秋跌宕起伏的情感表现的...

                        ?(展开)",尤未可知,力荐,948
3,遇见王沥川,"本来是想把这部剧看完了再来写评论的，但是看到有一篇认为打高分都是水军的评论觉得有些可笑。那我就来说下我为何会评8分以上之高分好了。      首先，我要承认这部剧并没有我所打的五星那样完美，就算是搁在三年前，它也依然存在很多不足，剧情的改编也有很多突兀的地方。我甚...

                        ?(展开)",柚花可乐,力荐,720
4,遇见王沥川,"所有的美好，都值得等待。所有的努力，都应该被肯定。一部好剧, 必经得起时间的考验，在岁月的沉淀下历久弥新。《遇见王沥川》，治愈系典藏之作，在这个盛夏终于与我们见面了！  这些天着迷一样地听着胡小鸥为《遇见王沥川》写的《Start Over》和《I Must Come Back》，几天时...

                        ?(展开)",阡陌·沐恩,力荐,768
5,遇见王沥川,"第二次为《遇见王沥川》写影评了。播出过半时写的《遇见王沥川，可遇而不可求的王沥川》是因着对《沥川往事》的情怀，这篇写于看到结局之后的影评则是出于我对作者和编剧施定柔笔下沥秋夫妇的爱情的歌颂！  有人说，一个月的追剧好像谈了一场恋爱，经历的是一段真挚、坚定、无...

                        ?(展开)",阡陌·沐恩,力荐,316
6,遇见王沥川,"这篇剧评可能有剧透

                        实话说，《沥川往事》是一部不错的言情小说，情节跌宕起伏，颇具悬念。从女主角的角度写了好一曲虐恋情深。尤其是女主角谢小秋的人物性格鲜明，而且有变化、有转折、有纠结，也有成长。谢小秋的情感变化，解读了她心目中的爱情。爱得狂热、爱得独立、爱得执着。 看完了小说，我...

                        ?(展开)",筱兮,较差,337
7,遇见王沥川,"真的是无意间看到了这部电视剧，今天已经刷完了第二遍了，真的是超好看。王沥川大长腿帅的哟，前几集他和小秋在一起的画面简直甜到爆，身高差也好萌，9集以后就差不多开始虐了，心里不是很开心，但是四年后归来，王沥川对待小秋葱内心里表现的关心一点都没有少，两个人彼此都爱...

                        ?(展开)",爱吃馒头的宝宝,力荐,61
8,遇见王沥川,"这部剧整体来说剧情不错，谢小秋在大学时期遇到了王沥川，两人相识没多久就相恋了，但是美好的生活没有多久，王沥川发现自己已经身患重病，不想拖累谢小秋，与谢小秋分手了。几年过后，两人再次相遇，王沥川并不想耽误谢小秋，但是谢小秋并不想放弃自己的爱情，后来谢小秋得知...

                        ?(展开)",爱喝冰淇淋奶茶,推荐,48
9,遇见王沥川,"这篇剧评可能有剧透

                        小秋，女孩子一个人住一楼我很担心你。你要move on 小秋，答应我戒酒身体最重要。你要move on 小秋，雨太大让我送你回家吧。你要move on 小秋，你头上怎么受伤了有事没事。你要move on 小秋，你来苏黎世为什么不找我，独自在外面不安全。你要move on 小秋，为什么一声不吭跑出...

                        ?(展开)",致太二,推荐,170
10,遇见王沥川,"两人因一系列误会而相识，并迅速地度入爱河，但一场疾病却让两人不得不分开，多年以后的偶遇，两人身边都有人陪伴着。 深爱沥川的小秋不愿放弃旧情，而不忍耽误小秋的沥川只能佯装冷漠。 面对再次来临的爱情危机，深深相爱的两个人交出了不同的答卷，却终于明白幸福从来都不是...

                        ?(展开)",**,还行,31
11,遇见王沥川,"很多人都觉得王沥川很残忍，一直拒绝着小秋。也有人说，为什么不一起面对病魔，能呆在一起，多一天就美好一天嘛。还有人说，以小秋的性格，绝对是不离不弃的，王沥川其实不必这么决绝。  可能没有人仔细想过，王沥川是个怎样的人。  他高大英俊，出身良好，谈吐有礼，非常有才...

                        ?(展开)",混凝土,推荐,169
